,ENG FP Equity_PX_LAST
2024-12-20,77.4164
2024-12-23,77.2444
2024-12-24,77.8251
2024-12-27,77.88
2024-12-30,77.3567
2024-12-31,77.767
2025-01-02,78.669
2025-01-03,78.4644
2025-01-06,78.2364
2025-01-07,78.0483
2025-01-08,77.8203
2025-01-09,78.061
2025-01-10,77.1624
2025-01-13,76.8703
2025-01-14,77.0441
2025-01-15,78.2063
2025-01-16,78.4866
2025-01-17,79.1827
2025-01-20,78.5965
2025-01-21,78.8829
2025-01-22,78.3458
2025-01-23,78.5122
2025-01-24,78.0964
2025-01-27,78.0603
2025-01-28,78.9175
2025-01-29,79.011
2025-01-30,79.5677
2025-01-31,79.5838
2025-02-03,79.5324
2025-02-04,79.3735
2025-02-05,79.613
2025-02-06,80.2048
2025-02-07,80.228
2025-02-10,80.3875
2025-02-11,80.153
2025-02-12,79.6667
2025-02-13,80.0513
2025-02-14,79.6713
2025-02-17,79.7595
2025-02-18,79.8709
2025-02-19,79.8814
2025-02-20,79.3881
2025-02-21,79.459
2025-02-24,79.4514
2025-02-25,79.4897
2025-02-26,80.1188
2025-02-27,80.4815
2025-02-28,80.1046
2025-03-03,80.3974
2025-03-04,79.1219
2025-03-05,78.101
2025-03-06,77.9518
2025-03-07,77.0645
2025-03-10,77.9222
2025-03-11,76.6624
2025-03-12,76.4713
2025-03-13,76.5962
2025-03-14,77.2568
2025-03-17,78.2195
2025-03-18,78.1786
2025-03-19,78.4543
2025-03-20,78.8233
2025-03-21,78.4091
2025-03-24,78.6829
2025-03-25,78.7495
2025-03-26,78.8256
2025-03-27,78.9179
2025-03-28,78.5717
2025-03-31,78.2087
2025-04-01,78.7272
2025-04-02,78.6652
2025-04-03,77.523
2025-04-04,75.0446
2025-04-07,71.8899
2025-04-08,73.3617
2025-04-09,70.932
2025-04-10,73.2115
2025-04-11,72.6435
2025-04-14,74.4344
2025-04-15,75.679
2025-04-16,75.7942
2025-04-17,75.9199
2025-04-22,75.5183
2025-04-23,76.2749
2025-04-24,76.4995
2025-04-25,76.545
2025-04-28,77.0007
2025-04-29,77.575
2025-04-30,78.2336
2025-05-02,79.0273
2025-05-05,79.6111
2025-05-06,79.6677
2025-05-07,79.4699
2025-05-08,79.6969
2025-05-09,79.7765
2025-05-12,80.3725
2025-05-13,80.2073
2025-05-14,79.6709
2025-05-15,80.7506
2025-05-16,81.384
2025-05-19,81.3353
2025-05-20,82.0606
2025-05-21,81.4944
2025-05-22,81.0446
2025-05-23,80.7154
2025-05-26,81.3484
2025-05-27,81.673
2025-05-28,81.2676
2025-05-29,80.9965
2025-05-30,81.3052
2025-06-02,81.0817
2025-06-03,81.1316
2025-06-04,81.3646
2025-06-05,81.1716
2025-06-06,81.3281
2025-06-09,80.9648
2025-06-10,81.0287
2025-06-11,80.925
2025-06-12,80.5482
2025-06-13,80.5965
2025-06-16,80.4266
2025-06-17,80.286
2025-06-18,80.3472
2025-06-19,80.3672
2025-06-20,80.4815
2025-06-23,80.3166
2025-06-24,80.7799
2025-06-25,80.1773
2025-06-26,80.3464
2025-06-27,80.6762
2025-06-30,80.5992
2025-07-01,81.2467
2025-07-02,80.8534
2025-07-03,81.202
2025-07-04,80.9437
2025-07-07,80.9565
2025-07-08,80.7901
2025-07-09,80.9958
2025-07-10,80.959
2025-07-11,80.8231
2025-07-14,80.973
2025-07-15,80.9817
2025-07-16,80.4914
2025-07-17,81.4801
2025-07-18,81.8371
2025-07-21,81.8927
2025-07-22,81.8627
2025-07-23,82.0625
2025-07-24,81.9109
2025-07-25,81.9384
2025-07-28,82.1046
2025-07-29,82.5638
2025-07-30,82.8468
2025-07-31,82.6582
2025-08-01,81.6372
2025-08-04,82.4681
2025-08-05,82.4645
2025-08-06,82.7931
2025-08-07,82.5512
2025-08-08,82.5595
2025-08-11,82.4359
2025-08-12,82.2809
2025-08-13,82.9152
2025-08-14,82.8179
2025-08-15,83.0196
2025-08-18,83.1102
2025-08-19,83.463
2025-08-20,83.6423
2025-08-21,83.7228
2025-08-22,84.3592
2025-08-25,83.6377
2025-08-26,83.1326
2025-08-27,83.851
2025-08-28,83.5704
2025-08-29,83.296
