,GTT FP Equity_DX_SI_QTY,GTT FP Equity_DX_SHORT_INTEREST_VALUE,GTT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GTT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GTT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GTT FP Equity_DX_SI_MV,GTT FP Equity_DX_DSS,GTT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GTT FP Equity_DX_SUPPLY_SI_QTY,GTT FP Equity_DX_BROKER_SI_QTY,GTT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GTT FP Equity_DX_BROKER_SI_MV_NEW_x,GTT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GTT FP Equity_DX_SUPPLY_SI_QTY_INC_x,GTT FP Equity_DX_BROKER_SI_MV_INC_x,GTT FP Equity_DX_SUPPLY_SI_MV_NEW,GTT FP Equity_DX_BROKER_SI_QTY_ADD,GTT FP Equity_DX_BROKER_SI_QTY_NEW,GTT FP Equity_DX_SUPPLY_SI_MV_DEC,GTT FP Equity_DX_BROKER_SI_QTY_INC,GTT FP Equity_DX_SUPPLY_SI_QTY_DEC,GTT FP Equity_DX_BROKER_SI_MV_NEW_y,GTT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GTT FP Equity_DX_BROKER_SI_MV_INC_y,GTT FP Equity_DX_SUPPLY_SI_QTY_INC_y,GTT FP Equity_DX_BROKER_SI_MV_ADD,GTT FP Equity_DX_SUPPLY_SI_QTY_ADD,GTT FP Equity_DX_BROKER_SI_QTY_DEC,GTT FP Equity_DX_SUPPLY_SI_MV,GTT FP Equity_DX_BROKER_SI_MV_DEC,GTT FP Equity_DX_SUPPLY_SI_MV_RMV,GTT FP Equity_DX_BROKER_SI_MV_RMV,GTT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GTT FP Equity_DX_UTILIZATION_QUANTITY,GTT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GTT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GTT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GTT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GTT FP Equity_DX_ACTIVE_UTILIZATION_MV,GTT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GTT FP Equity_DX_BROKER_SI_CON_RATIO,GTT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GTT FP Equity_DX_DEMAND_SUPPLY_RATIO,GTT FP Equity_PX_LAST
2014-04-04,3209.0,113014.21,0.03,0.02,0.01,0.16,0.0,113014.21,0.0,3209.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2474206.0,87136318.89,,116.03,0.0,,1.0,100.0,0.0013,46.74
2014-04-07,3209.0,112869.14,0.03,0.02,0.01,0.16,0.0,112869.14,0.0,3209.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2468103.0,86809803.38,,115.1,0.0,,1.0,100.0,0.0013,46.68
2014-04-08,3209.0,111611.81,0.03,0.02,0.01,0.16,0.0,111611.81,0.0,3209.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2461068.0,85598087.01,,114.34,0.0,,1.0,100.0,0.0013,46.16
2014-04-09,745.0,26175.58,0.01,0.0,0.0,0.04,0.0,26175.58,0.0,745.0,0.0,,,,,,,,,,,,,,,,,2464.0,0.0,0.12,,,0.0,0.0,2342213.0,82293673.24,,108.09,0.0,,1.0,100.0,0.0003,46.63
2014-04-10,745.0,25805.09,0.01,0.0,0.0,0.04,0.0,25805.09,0.0,745.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2548457.0,88272709.88,,118.15,0.0,,1.0,100.0,0.0003,45.97
2014-04-11,745.0,25765.8,0.01,0.01,0.0,0.04,0.0,25765.8,0.0,745.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2548850.0,88151886.07,,117.18,0.0,,1.0,100.0,0.0003,45.9
2014-04-14,745.0,25816.32,0.01,0.02,0.0,0.04,0.0,25816.32,0.0,745.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2547112.0,88264506.38,,117.29,0.0,,1.0,100.0,0.0003,45.99
2014-04-15,745.0,25501.97,0.01,0.02,0.0,0.04,0.0,25501.97,0.0,745.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2549974.0,87287716.93,,117.0,0.0,,1.0,100.0,0.0003,45.43
2014-04-16,745.0,25569.33,0.01,0.02,0.0,0.04,0.0,25569.33,0.0,745.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2549780.0,87511622.69,,115.93,0.0,,1.0,100.0,0.0003,45.55
2014-04-17,745.0,25541.26,0.01,0.02,0.0,0.04,0.0,25541.26,0.0,745.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2554578.0,87580054.2,,116.26,0.0,,1.0,100.0,0.0003,45.5
2014-04-18,745.0,25541.26,0.01,0.02,0.0,0.04,0.0,25541.26,0.0,745.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2554578.0,87580054.2,,116.35,0.0,,1.0,100.0,0.0003,
2014-04-21,745.0,25541.26,0.01,0.02,0.0,0.04,0.0,25541.26,0.0,745.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2551002.0,87457456.16,,116.28,0.0,,1.0,100.0,0.0003,
2014-04-22,745.0,25793.87,0.01,0.02,0.0,0.04,0.0,25793.87,0.0,745.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2651454.0,91800333.29,,120.85,0.0,,1.0,100.0,0.0003,45.95
2014-04-23,745.0,26882.88,0.01,0.02,0.0,0.04,0.0,26882.88,0.0,745.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2578112.0,93029623.35,,119.4,0.0,,1.0,100.0,0.0003,47.89
2014-04-24,641.0,23714.51,0.01,0.02,0.0,0.03,0.0,23714.51,0.0,641.0,0.0,,,,,,,,,,,,,,,,,104.0,0.0,0.0,,,0.0,0.0,2647856.0,97960388.83,,127.2,0.0,,1.0,100.0,0.0002,49.1
2014-04-25,42.0,1550.67,0.0,0.0,0.0,0.0,0.0,1550.67,0.0,42.0,0.0,,,,,,,,,,,,,,,,,599.0,0.0,0.03,,,0.0,0.0,2647396.0,97743893.29,,129.6,0.0,,1.0,100.0,0.0,49.0
2014-04-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,42.0,0.0,0.0,,,0.0,0.0,2645233.0,98261976.73,,129.45,0.0,,0.0,,0.0,49.3
2014-04-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2653485.0,99568192.88,,131.01,0.0,,0.0,,0.0,49.8
2014-04-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2646393.0,99581238.29,,131.32,0.0,,0.0,,0.0,49.94
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2646693.0,99592527.0,,131.84,0.0,,0.0,,0.0,
2014-05-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2644043.0,98835368.56,,131.53,0.0,,0.0,,0.0,49.61
2014-05-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2647950.0,99400403.82,,131.25,0.0,,0.0,,0.0,49.82
2014-05-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2644015.0,98834321.91,,131.09,0.0,,0.0,,0.0,49.61
2014-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2642556.0,99755435.88,,131.2,0.0,,0.0,,0.0,50.1
2014-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2641015.0,101488232.55,,132.92,0.0,,0.0,,0.0,51.0
2014-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2641339.0,101500683.14,,134.85,0.0,,0.0,,0.0,51.0
2014-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2642717.0,101473986.65,,134.38,0.0,,0.0,,0.0,50.96
2014-05-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2645013.0,102399198.21,,135.25,0.0,,0.0,,0.0,51.38
2014-05-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2647945.0,99879061.0,,135.15,0.0,,0.0,,0.0,50.06
2014-05-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2608241.0,96848536.39,,130.22,0.0,,0.0,,0.0,49.28
2014-05-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2613163.0,95692392.93,,128.65,0.0,,0.0,,0.0,48.6
2014-05-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2614515.0,97514900.51,,127.66,0.0,,0.0,,0.0,49.5
2014-05-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2589627.0,97562262.7,,128.34,0.0,,0.0,,0.0,50.0
2014-05-21,843000.0,32106598.75,7.59,24.88,2.28,41.49,1.0,32106598.75,75742.0,843000.0,2884718.86,,,,,,843000.0,,,,,,,,,41.49,75742.0,,3.79,,,,100.0,2.92,0.0,0.0,,0.0,100.0,22.6,0.6501,77.4,0.3251,48.49
2014-05-22,843000.0,31921202.84,7.59,24.27,2.28,41.14,1.0,31921202.84,75742.0,843000.0,2868061.38,,,,,,,,,,,,,,,,,,3.68,,,,100.0,2.91,0.0,0.0,,0.0,100.0,22.33,0.6532,77.67,0.3234,48.21
2014-05-23,1532000.0,58239638.25,13.79,43.83,4.14,76.99,1.0,58239638.25,101742.0,1532000.0,3867765.85,,,,1.21,,664000.0,,,25000.0,,,,1.21,,34.51,26000.0,,4.91,,,,74.33,3.94,35133.0,1335596.09,,1.7,74.3,41.68,0.3923,44.76,0.5936,48.4
2014-05-26,1555500.0,59010825.23,14.0,45.31,4.2,78.06,1.0,59010825.23,105242.0,1555500.0,3992553.69,,,,1.13,,,,,23500.0,,,,1.13,,,3500.0,,5.09,,,,4.07,4.07,2481085.0,94124637.3,,120.12,4.07,41.03,0.385,44.14,0.6014,48.3
2014-05-27,911918.0,34287337.12,8.21,26.23,2.46,44.29,1.0,34177622.81,124660.0,909000.0,4687109.42,,,,0.87,,,,0.17,16500.0,3500.0,,,0.87,,,22918.0,663000.0,6.02,34.46,,,4.85,4.85,2445284.0,91940587.7,,118.12,4.85,27.98,0.5909,71.6,0.3548,47.87
2014-05-28,54612.0,2002319.93,0.49,1.6,0.15,2.67,0.0,1895333.01,50434.0,51694.0,1849135.79,,,,,,,,4.55,,94226.0,,,,,,20000.0,857306.0,2.41,41.61,,,1.96,1.96,2524572.0,92562089.61,,120.31,1.96,5.1,0.87,93.11,0.0212,46.68
2014-05-29,32367.0,1216717.3,0.29,0.95,0.09,1.57,0.0,1216717.3,32367.0,32367.0,1216717.3,,,,,,,,1.06,,22245.0,,,,,,4178.0,19327.0,1.51,0.97,,,1.27,1.27,2522259.0,94814970.98,,118.34,1.26,2.98,0.9422,97.02,0.0127,47.86
2014-05-30,35567.0,1340920.45,0.32,1.06,0.1,1.75,0.0,1340920.45,32367.0,35567.0,1220276.44,,,,0.19,,,,,3200.0,,,,0.19,,,,,1.55,,,,1.26,1.26,2537079.0,95651056.16,,120.71,1.27,2.73,0.9469,97.27,0.0138,48.0
2014-06-02,35567.0,1340920.45,0.32,1.09,0.1,1.77,0.0,1340920.45,34567.0,35567.0,1303219.2,,,3200.0,,,,,0.05,,1000.0,,,,3200.0,,,,1.66,,,,1.35,1.35,2531663.0,95446866.17,,121.74,1.35,2.72,0.9471,97.28,0.0139,48.0
2014-06-03,37833.0,1420111.2,0.34,1.02,0.1,1.87,0.0,1420111.2,37833.0,37833.0,1420111.2,,,,0.11,,,,0.06,2266.0,1234.0,,,0.11,,,4500.0,,1.82,,,,1.5,1.5,2491651.0,93527383.32,,119.41,1.5,2.56,0.95,97.44,0.015,47.79
2014-06-04,77448.0,2859055.64,0.7,1.82,0.21,3.77,0.0,2859055.64,37833.0,77448.0,1396635.83,,,,1.9,,,,,39615.0,,,,1.9,,,,,1.81,,,,1.49,1.49,2496697.0,92167591.59,,119.05,1.5,1.27,0.975,98.73,0.0306,47.0
2014-06-05,77448.0,2852972.54,0.7,1.82,0.21,3.73,0.0,2852972.54,76448.0,77448.0,2816135.28,,,39615.0,,,,,0.05,,1000.0,,,,39615.0,,,,3.59,,,,2.99,2.99,2482890.0,91462878.21,,116.55,2.99,1.26,0.9751,98.74,0.0303,46.9
2014-06-06,1768.0,65044.97,0.02,0.05,0.0,0.08,0.0,50917.55,1384.0,1384.0,50917.55,,,,,,,,3.57,,76064.0,,,,,,1000.0,76064.0,0.07,3.66,,,0.05,0.05,2609711.0,96011630.34,,122.27,0.05,43.43,0.5086,56.57,0.0007,46.84
2014-06-09,1768.0,65100.51,0.02,0.05,0.0,0.08,0.0,50961.03,1384.0,1384.0,50961.03,,,,,,,,,,,,,,,,,,0.07,,,,0.05,0.05,2613633.0,96238035.63,,122.72,0.05,43.52,0.5084,56.48,0.0007,46.88
2014-06-10,1384.0,51156.7,0.01,0.04,0.0,0.06,0.0,51156.7,1384.0,1384.0,51156.7,,,,,,,,,,,,,,,,,,0.06,,,,0.05,0.05,2602820.0,96207870.04,,122.37,0.05,27.81,0.5985,72.19,0.0005,47.06
2014-06-11,1384.0,51319.76,0.01,0.04,0.0,0.07,0.0,51319.76,1384.0,1384.0,51319.76,,,,,,,,,,,,,,,,,,0.07,,,,0.05,0.05,2601711.0,96473402.41,,122.61,0.05,27.76,0.5989,72.24,0.0005,47.21
2014-06-12,1384.0,51982.86,0.01,0.04,0.0,0.07,0.0,51982.86,1384.0,1384.0,51982.86,,,,,,,,,,,,,,,,,,0.07,,,,0.05,0.05,2628408.0,98722670.33,,124.36,0.05,27.71,0.5994,72.29,0.0005,47.82
2014-06-13,1384.0,52178.53,0.01,0.04,0.0,0.07,0.0,52178.53,1384.0,1384.0,52178.53,,,,,,,,,,,,,,,,,,0.07,,,,0.05,0.05,2651275.0,99956388.4,,126.9,0.05,27.76,0.5989,72.24,0.0005,48.0
2014-06-16,1384.0,51961.12,0.01,0.04,0.0,0.07,0.0,51961.12,1384.0,1384.0,51961.12,,,,,,,,,,,,,,,,,,0.07,,,,0.05,0.05,2647534.0,99399450.73,,126.69,0.05,27.7,0.5995,72.3,0.0005,47.8
2014-06-17,1768.0,65267.15,0.02,0.05,0.0,0.08,0.0,51091.48,1384.0,1384.0,51091.48,,,,,,,,,,,,,,,,,,0.07,,,,0.05,0.05,2642114.0,97535777.9,,125.96,0.05,43.48,0.5085,56.52,0.0007,47.0
2014-06-18,1768.0,65253.27,0.02,0.05,0.0,0.08,0.0,51080.61,1384.0,1384.0,51080.61,,,,,,,,,,,,,,,,,,0.07,,,,0.05,0.05,2638555.0,97383670.2,,123.81,0.05,43.35,0.5089,56.65,0.0007,46.99
2014-06-19,1384.0,51167.57,0.01,0.04,0.0,0.07,0.0,51167.57,1384.0,1384.0,51167.57,,,,,,,,,,,,,,,,,,0.07,,,,0.05,0.05,2636183.0,97461770.2,,123.82,0.05,27.71,0.5993,72.29,0.0005,47.07
2014-06-20,1384.0,50689.27,0.01,0.04,0.0,0.07,0.0,50689.27,1384.0,1384.0,50689.27,,,,,,,,,,,,,,,,,,0.07,,,,0.05,0.05,2603542.0,95355236.0,,122.52,0.05,27.75,0.599,72.25,0.0005,46.63
2014-06-23,1384.0,51091.48,0.01,0.04,0.0,0.07,0.0,51091.48,1384.0,1384.0,51091.48,,,,,,,,,,,,,,,,,,0.06,,,,0.05,0.05,2663584.0,98328360.34,,124.4,0.05,27.55,0.6008,72.45,0.0005,47.0
2014-06-24,2384.0,88007.29,0.02,0.07,0.01,0.11,0.0,14175.67,2384.0,384.0,88007.29,,,1000.0,,,,,,,,,,,1000.0,,,1000.0,0.11,0.05,,,7.82,0.09,28113.0,1037814.16,,1.31,7.96,15.88,0.7329,84.12,0.0009,47.0
2014-06-25,384.0,14278.22,0.0,0.01,0.0,0.02,0.0,14278.22,384.0,384.0,14278.22,,,,,,,,0.1,,2000.0,,,,,,,,0.02,,,,0.01,0.01,2665513.0,99111397.62,,125.36,0.01,,1.0,100.0,0.0001,47.34
2014-06-26,768.0,28954.56,0.01,0.02,0.0,0.04,0.0,14477.28,384.0,384.0,14477.28,,,,,,,,,,,,,,,,,,0.02,,,,0.01,0.01,2664073.0,100438889.03,,126.58,0.01,,1.0,100.0,0.0003,48.0
