,74SW FP Equity_DX_SI_QTY,74SW FP Equity_DX_SHORT_INTEREST_VALUE,74SW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,74SW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,74SW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,74SW FP Equity_DX_SI_MV,74SW FP Equity_DX_DSS,74SW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,74SW FP Equity_DX_SUPPLY_SI_QTY,74SW FP Equity_DX_BROKER_SI_QTY,74SW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,74SW FP Equity_DX_BROKER_SI_MV_NEW_x,74SW FP Equity_DX_SUPPLY_SI_QTY_NEW_x,74SW FP Equity_DX_SUPPLY_SI_QTY_INC_x,74SW FP Equity_DX_BROKER_SI_MV_INC_x,74SW FP Equity_DX_SUPPLY_SI_MV_NEW,74SW FP Equity_DX_BROKER_SI_QTY_ADD,74SW FP Equity_DX_BROKER_SI_QTY_NEW,74SW FP Equity_DX_SUPPLY_SI_MV_DEC,74SW FP Equity_DX_BROKER_SI_QTY_INC,74SW FP Equity_DX_SUPPLY_SI_QTY_DEC,74SW FP Equity_DX_BROKER_SI_MV_NEW_y,74SW FP Equity_DX_SUPPLY_SI_QTY_NEW_y,74SW FP Equity_DX_BROKER_SI_MV_INC_y,74SW FP Equity_DX_SUPPLY_SI_QTY_INC_y,74SW FP Equity_DX_BROKER_SI_MV_ADD,74SW FP Equity_DX_SUPPLY_SI_QTY_ADD,74SW FP Equity_DX_BROKER_SI_QTY_DEC,74SW FP Equity_DX_SUPPLY_SI_MV,74SW FP Equity_DX_BROKER_SI_MV_DEC,74SW FP Equity_DX_SUPPLY_SI_MV_RMV,74SW FP Equity_DX_BROKER_SI_MV_RMV,74SW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,74SW FP Equity_DX_UTILIZATION_QUANTITY,74SW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,74SW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,74SW FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,74SW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,74SW FP Equity_DX_ACTIVE_UTILIZATION_MV,74SW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,74SW FP Equity_DX_BROKER_SI_CON_RATIO,74SW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,74SW FP Equity_DX_DEMAND_SUPPLY_RATIO,74SW FP Equity_PX_LAST
2011-06-28,280660.0,5498400.0,1.39,24.85,1.39,5.72,1.0,5269890.99,161660.0,268996.0,3167075.26,,,,,,,,,,,,,,,,,,3.28,,,,46.93,46.93,182786.0,3580953.97,,3.75,46.63,10.69,0.8027,88.95,0.8148,21.75
2011-06-29,442996.0,8698669.83,2.2,37.91,2.2,9.61,1.0,5969265.71,181564.0,303996.0,3565190.86,,,,,,35000.0,,0.0,,96.0,,,,,0.75,20000.0,,3.93,,,,100.0,52.8,0.0,0.0,,0.0,100.0,7.82,0.6634,80.66,1.2883,21.8
2011-06-30,399900.0,7816416.39,1.98,31.77,1.98,8.78,1.0,6878211.87,105564.0,351900.0,2063346.29,,,,1.13,,,,2.55,48000.0,118066.0,,,1.13,,,42066.0,96.0,2.29,0.0,,,44.94,30.7,129345.0,2528167.99,,2.8,44.99,22.98,0.4651,63.49,1.163,21.7
2011-07-01,183564.0,3554860.16,0.91,13.42,0.91,4.06,1.0,2399420.22,119354.0,123900.0,2311383.38,,,,,,10000.0,,,,,,,,,0.23,13790.0,238000.0,2.59,5.19,,,47.99,34.6,129345.0,2504866.9,,2.8,48.01,19.12,0.3709,54.18,0.5322,21.5
2011-07-04,258846.0,4991771.23,1.28,16.75,1.28,5.66,1.0,3546459.01,134636.0,183900.0,2596416.83,,,15000.0,0.86,,20000.0,,,40000.0,,,,0.86,15000.0,0.43,282.0,,2.89,,,,57.1,42.96,101147.0,1950591.03,,2.17,57.13,29.92,0.2722,36.81,0.826,21.41
2011-07-05,258846.0,4889184.62,1.28,16.03,1.28,5.64,1.0,3473575.22,130846.0,183900.0,2471470.49,,,,,,,,0.08,,3790.0,,,,,,,,2.82,,,,56.4,41.81,101147.0,1910504.15,,2.18,56.37,29.72,0.2718,36.86,0.8271,20.97
2011-07-06,262636.0,4882705.12,1.3,15.27,1.3,5.61,1.0,3489372.84,134636.0,187690.0,2503037.99,,,,0.05,,,,,3790.0,,,,0.05,,,3790.0,,2.85,,,,57.1,43.2,101147.0,1880438.99,,2.14,57.04,29.2,0.275,37.89,0.8427,20.64
2011-07-07,262636.0,4932383.81,1.3,14.43,1.3,5.5,1.0,3524875.18,134636.0,187690.0,2528504.95,,,,,,,,,,,,,,,,,,2.77,,,,57.1,43.19,101147.0,1899571.36,,2.08,57.12,29.37,0.2753,37.86,0.8425,20.85
2011-07-08,291528.0,5425092.39,1.45,15.45,1.45,6.18,1.0,3937364.16,139636.0,211582.0,2598509.24,,,178.0,,,23892.0,,0.0,,178.0,,,,178.0,0.5,5000.0,,2.93,,,,58.04,44.84,100969.0,1878948.69,,2.12,57.99,26.08,0.2403,33.81,0.9362,20.66
2011-07-11,291528.0,5039086.3,1.45,14.31,1.45,6.15,1.0,3657212.89,139636.0,211582.0,2413620.15,,,,,,,,,,,,,,,,,,2.92,,,,58.04,44.66,100969.0,1745257.76,,2.12,57.94,25.98,0.2404,33.88,0.9323,19.19
2011-07-12,276528.0,4483407.01,1.37,12.84,1.37,5.39,1.0,3187225.58,139636.0,196582.0,2263948.03,,,,,,,,,,,,,,,,,15000.0,2.68,0.39,,,58.04,45.85,100969.0,1637031.77,,1.94,58.04,21.74,0.2405,35.83,0.9079,18.0
2011-07-13,290528.0,4972080.41,1.44,12.57,1.44,5.27,1.0,3603888.91,129636.0,210582.0,2218583.46,,,,0.4,,,,0.19,24000.0,10000.0,,,0.4,,,,10000.0,2.31,0.2,,,56.22,42.08,100969.0,1727977.98,,1.79,56.3,24.44,0.2402,33.84,0.9431,19.0
2011-07-14,290528.0,4747028.35,1.44,11.83,1.44,5.59,1.0,3440765.52,129636.0,210582.0,2118163.37,,,,,,,,,,,,,,,,,,2.46,,,,56.22,42.08,100969.0,1649764.24,,1.92,56.16,24.28,0.2405,34.02,0.9431,18.14
2011-07-15,290176.0,4613204.94,1.44,11.45,1.44,5.33,1.0,3361956.4,129284.0,211471.0,2055351.19,,,11428.0,0.0,,,,0.23,889.0,11946.0,,,0.0,11428.0,,166.0,,2.34,,,,67.25,41.97,62964.0,1000998.83,,1.14,67.25,21.04,0.224,33.99,0.942,17.65
2011-07-18,289530.0,4511658.53,1.44,10.99,1.44,5.2,1.0,3231259.41,171530.0,207362.0,2672900.17,,,42246.0,0.56,,,,,34683.0,,,,0.56,42246.0,,,38792.0,3.03,0.71,,,81.28,55.68,39501.0,615532.15,,0.7,81.28,28.77,0.2693,39.63,0.9399,17.3
2011-07-19,193168.0,3062276.49,0.96,7.13,0.96,3.38,0.0,1680409.32,127208.0,106000.0,2016618.01,,,6250.0,,,,,0.9,,50572.0,,,,6250.0,,,101362.0,2.19,1.86,,,52.91,38.35,113233.0,1795073.48,,1.94,52.97,20.73,0.2535,42.0,0.5823,17.6
2011-07-20,201289.0,3143878.0,1.0,7.32,1.0,3.58,0.0,1782424.78,116539.0,114121.0,1820190.86,,,8121.0,0.14,,,,0.31,8121.0,18790.0,,,0.14,8121.0,,,,2.05,,,,53.01,34.74,103297.0,1613367.67,,1.81,53.03,19.9,0.2381,40.15,0.6001,17.34
2011-07-21,164205.0,2551361.66,0.81,5.74,0.81,2.85,0.0,1229355.29,125455.0,79121.0,1949277.29,,,6000.0,,,5000.0,,,,,,,,6000.0,0.09,2916.0,40000.0,2.15,0.74,,,66.84,37.66,62235.0,966986.35,,1.06,66.94,25.21,0.2367,36.04,0.4929,17.25
2011-07-22,139019.0,2230152.84,0.69,4.73,0.69,2.43,0.0,1162921.9,91572.0,72492.0,1469004.64,,,1758.0,0.15,,,,0.11,8371.0,7000.0,,,0.15,1758.0,,,15000.0,1.58,0.25,0.49,,60.23,34.9,60477.0,970176.4,28641.0,1.04,60.22,24.62,0.2137,30.77,0.5299,17.81
2011-07-25,145019.0,2313342.92,0.72,4.78,0.72,2.59,0.0,1252104.29,94284.0,78492.0,1504018.26,,,2712.0,0.1,,,,,6000.0,,,,0.1,2712.0,,,,1.68,,,,62.01,34.93,57765.0,921467.21,,1.03,62.02,23.7,0.201,29.51,0.5373,17.71
2011-07-26,95142.0,1479998.12,0.47,3.1,0.47,1.68,0.0,835324.24,66284.0,53699.0,1031092.42,,,,0.21,,,,0.5,11539.0,28000.0,,,0.21,,,,36332.0,1.16,0.67,,,24.56,24.56,203610.0,3167291.17,,3.56,24.56,29.03,0.2384,31.87,0.3525,17.27
2011-07-27,95174.0,1470208.72,0.47,3.15,0.47,1.66,0.0,830014.34,66284.0,53731.0,1023927.91,,,,0.0,,,,,32.0,,,,0.0,,,,,1.15,,,,24.74,24.74,201589.0,3114063.78,,3.49,24.82,29.18,0.2385,31.81,0.3553,17.15
2011-07-28,100128.0,1546736.07,0.5,3.3,0.5,1.73,0.0,951586.86,65201.0,61601.0,1007198.17,,,,0.13,,,,0.05,7870.0,2916.0,,,0.13,,,1833.0,,1.12,,,,24.46,24.46,201409.0,3111283.22,,3.46,24.48,27.73,0.2385,32.39,0.3756,17.15
2011-07-29,92290.0,1500473.75,0.46,3.09,0.46,1.58,0.0,874092.21,65201.0,53763.0,1060054.05,,,,0.05,,,,,2994.0,,,,0.05,,,,10832.0,1.11,0.19,,,24.54,24.54,200467.0,3259242.28,,3.46,24.3,29.94,0.2736,38.48,0.3474,18.05
2011-08-01,138149.0,2277169.63,0.69,4.66,0.69,2.5,0.0,1312443.82,79201.0,79622.0,1305504.29,,,,0.13,,20000.0,,0.08,5859.0,6000.0,,,0.13,,0.38,20000.0,,1.44,,,,29.87,29.87,185911.0,3064451.31,,3.38,29.83,23.6,0.2282,34.64,0.5211,18.3
2011-08-02,132149.0,2203265.57,0.66,4.57,0.66,2.43,0.0,1227469.13,83451.0,73622.0,1391343.98,,,4250.0,,,,,,,,,,,4250.0,,,6000.0,1.53,0.1,,,31.8,31.8,179014.0,2984626.32,,3.28,31.75,24.65,0.2505,36.73,0.5035,18.51
2011-08-03,132149.0,2260400.5,0.66,4.93,0.66,2.44,0.0,1259299.77,83451.0,73622.0,1427424.21,,,,,,,,,,,,,,,,,,1.54,,,,31.25,31.25,183575.0,3140039.06,,3.4,31.12,24.65,0.2512,36.89,0.4949,18.99
2011-08-04,137149.0,2260686.2,0.68,5.44,0.68,2.63,0.0,1295960.38,88451.0,78622.0,1457976.04,,,5000.0,,,5000.0,,,,,,,,5000.0,0.09,,,1.7,,,,33.02,33.02,179447.0,2957902.41,,3.41,33.24,23.84,0.2323,35.14,0.5119,18.3
2011-08-05,137149.0,2285393.16,0.68,5.73,0.68,2.51,0.0,1310123.88,86618.0,78622.0,1443365.86,,,,,,,,0.04,,1833.0,,,,,,,,1.58,,,,33.04,33.04,175560.0,2925457.88,,3.2,32.96,23.57,0.2315,35.26,0.5231,18.5
2011-08-08,136649.0,2231520.14,0.68,5.54,0.68,2.54,0.0,1275756.25,86118.0,78122.0,1406333.39,,,,,,,,0.0,,500.0,,,,,,,500.0,1.59,0.01,,,32.79,32.79,176492.0,2882168.57,,3.25,32.89,23.72,0.2332,35.31,0.5204,18.13
2011-08-09,127424.0,2065952.29,0.63,5.23,0.63,2.65,0.0,1117041.65,96118.0,68897.0,1558381.48,,,10000.0,0.16,,,,,10000.0,,,,0.16,10000.0,,,19225.0,1.73,0.02,,,36.33,36.33,168470.0,2731439.78,,3.03,36.3,21.78,0.2558,40.54,0.4816,18.0
2011-08-10,116811.0,1751840.36,0.58,4.76,0.58,2.11,0.0,1162419.59,84643.0,77509.0,1269409.76,,,7750.0,0.16,,,,0.35,8612.0,19225.0,,,0.16,7750.0,,,,1.53,,,,32.37,32.37,176867.0,2652513.46,,3.14,32.72,23.95,0.3485,52.03,0.4467,16.65
2011-08-11,115915.0,1764505.0,0.58,4.85,0.58,1.95,0.0,1166234.06,82559.0,76613.0,1256746.48,,,,,,,,0.04,,2084.0,,,,,,,896.0,1.37,0.1,,,31.58,31.58,178861.0,2722694.46,,2.98,31.47,23.85,0.3498,52.03,0.4434,16.9
2011-08-12,115140.0,1757893.16,0.57,5.0,0.57,1.97,0.0,1169684.46,81784.0,76613.0,1248632.4,,,,,,,,0.01,,775.0,,,,,,,,1.38,,,,31.28,31.28,179674.0,2743162.2,,3.04,31.29,23.96,0.3502,52.06,0.4404,16.95
2011-08-15,115140.0,1752707.63,0.57,5.33,0.57,1.95,0.0,1166234.06,81784.0,76613.0,1244949.12,,,,,,,,,,,,,,,,,,1.36,,,,31.29,31.29,179592.0,2733822.04,,3.02,31.14,23.81,0.3514,52.24,0.4405,16.9
2011-08-16,107704.0,1649215.1,0.53,5.12,0.53,1.84,0.0,1059271.27,81784.0,69177.0,1252315.68,,,,,,,,,,,,,,,,,7436.0,1.39,0.12,,,30.67,30.67,184867.0,2830771.82,,3.13,30.67,25.59,0.3289,48.83,0.4039,17.0
2011-08-17,111140.0,1710838.46,0.55,5.48,0.55,1.91,0.0,1117771.39,77784.0,72613.0,1197371.41,,,,0.13,,,,0.07,7436.0,4000.0,,,0.13,,,,4000.0,1.32,0.07,,,29.76,29.76,183590.0,2826100.7,,3.12,29.72,24.76,0.3745,53.98,0.4252,17.09
2011-08-18,111140.0,1646769.61,0.55,5.76,0.55,1.93,0.0,1075912.2,77784.0,72613.0,1152531.29,,,,,,,,,,,,,,,,,,1.34,,,,29.17,29.17,188859.0,2798337.79,,3.22,29.4,24.89,0.3739,53.87,0.4168,16.45
2011-08-19,111140.0,1612733.03,0.55,5.93,0.55,1.84,0.0,1053674.5,77784.0,72613.0,1128709.97,,,,,,,,,,,,,,,,,,1.27,,,,29.76,29.76,183553.0,2663505.37,,3.02,29.66,24.68,0.3723,53.74,0.4253,16.11
2011-08-22,110679.0,1683803.57,0.55,6.21,0.55,1.81,0.0,1097677.02,77323.0,72152.0,1176345.5,,,,,,,,0.02,,461.0,,,,,,,461.0,1.25,0.02,,,29.59,29.59,184007.0,2799371.54,,3.0,29.44,24.8,0.3693,53.34,0.4235,16.89
2011-08-23,106511.0,1639581.74,0.53,6.33,0.53,1.81,0.0,1046514.68,77323.0,67984.0,1190274.99,,,,,,,,,,,,,,,,,4168.0,1.3,0.07,,,29.15,29.15,187919.0,2892739.35,,3.16,29.12,25.88,0.3956,55.91,0.4016,17.09
2011-08-24,106051.0,1633455.95,0.53,6.7,0.53,1.82,0.0,1040041.86,77202.0,67524.0,1189107.75,,,,,,,,0.0,,121.0,,,,,,,460.0,1.32,0.0,,,29.24,29.24,186835.0,2877735.64,,3.19,29.22,26.04,0.3938,55.66,0.4017,17.1
2011-08-25,103123.0,1611578.88,0.51,7.01,0.51,1.78,0.0,1009489.15,74274.0,64596.0,1160734.36,,,,,,,,0.05,,2928.0,,,,,,,2928.0,1.27,0.05,,,28.75,28.75,184056.0,2876378.32,,3.16,28.72,26.84,0.3843,54.33,0.3992,17.35
2011-08-26,102523.0,1569881.15,0.51,7.23,0.51,1.78,0.0,979937.32,73674.0,63996.0,1128131.48,,,,,,,,0.01,,600.0,,,,,,,600.0,1.26,0.0,,,28.53,28.53,184586.0,2826469.01,,3.17,28.5,26.85,0.3833,54.22,0.397,17.0
2011-08-29,102343.0,1545922.63,0.51,7.64,0.51,1.74,0.0,963960.39,73494.0,63816.0,1110149.57,,,,,,,,0.02,,180.0,,,,,,,180.0,1.24,0.02,,,28.53,28.53,184071.0,2780449.32,,3.11,28.48,26.86,0.3831,54.19,0.3973,16.77
2011-08-30,92811.0,1421166.37,0.46,7.22,0.46,1.57,0.0,975282.33,61046.0,63692.0,934765.52,,,,,,,,0.21,,12448.0,,,,,,,124.0,1.03,0.01,,,23.7,23.7,196519.0,3009192.81,,3.31,23.71,29.89,0.449,59.29,0.3603,17.0
2011-08-31,86979.0,1339698.49,0.43,6.9,0.43,1.49,0.0,891191.61,61046.0,57860.0,940264.14,,,,,,,,,,,,,,,,,5832.0,1.04,0.1,,,23.23,23.23,201794.0,3108142.4,,3.44,23.24,31.8,0.5029,63.3,0.3309,17.1
2011-09-01,86979.0,1433712.42,0.43,7.33,0.43,1.51,0.0,953731.37,61046.0,57860.0,1006247.58,,,,,,,,,,,,,,,,,,1.05,,,,23.24,23.24,201640.0,3323719.21,,3.5,23.12,31.87,0.5025,63.24,0.3311,18.3
2011-09-02,85498.0,1486311.42,0.42,7.36,0.42,1.58,0.0,980101.89,59565.0,56379.0,1035487.84,,,,,,,,0.0,,1481.0,,,,,,,1481.0,1.09,0.0,,,22.75,22.75,202272.0,3516330.0,,3.74,22.62,32.32,0.4987,62.7,0.3265,19.3
2011-09-05,83582.0,1486881.67,0.41,7.56,0.41,1.62,0.0,968869.33,59565.0,54463.0,1059631.34,,,,,,,,,,,,,,,,,1916.0,1.16,0.0,,,23.1,23.1,198275.0,3527212.36,,3.86,23.1,33.47,0.4918,61.54,0.3242,19.75
2011-09-06,79839.0,1419576.45,0.4,7.26,0.4,1.59,0.0,901826.39,55822.0,50720.0,992542.45,,,,,,,,0.06,,3743.0,,,,,,,3743.0,1.11,0.05,,,21.21,21.21,207338.0,3686571.0,,4.11,21.27,34.89,0.4808,59.82,0.3034,19.74
2011-09-07,78831.0,1398813.49,0.39,7.19,0.39,1.56,0.0,905127.13,52042.0,51009.0,923457.16,,,,,,5000.0,,0.08,,3780.0,,,,,0.1,,4711.0,1.02,0.1,,,19.82,19.82,210515.0,3735474.89,,4.14,19.79,35.12,0.428,54.73,0.3002,19.7
2011-09-08,76849.0,1322111.66,0.38,7.2,0.38,1.53,0.0,843461.44,50068.0,49027.0,861370.83,,,,,,,,0.03,,1974.0,,,,,,,1982.0,1.0,0.03,,,19.12,19.12,211733.0,3642658.57,,4.18,19.27,36.17,0.4226,53.53,0.2935,19.1
2011-09-09,75336.0,1289296.21,0.37,7.46,0.37,1.47,0.0,778924.12,48555.0,45514.0,830967.63,,,,,,,,0.04,,1513.0,,,,,,,3513.0,0.95,0.08,,,18.55,18.55,213135.0,3647580.82,,4.12,18.73,37.0,0.3924,49.95,0.2879,19.0
2011-09-12,74166.0,1215829.83,0.37,7.52,0.37,1.42,0.0,726947.09,47385.0,44344.0,776799.29,,,,,,,,0.03,,1170.0,,,,,,,1170.0,0.9,0.03,,,18.26,18.26,212146.0,3477785.43,,4.01,18.37,37.25,0.389,49.39,0.2858,18.2
2011-09-13,72819.0,1206866.08,0.36,7.25,0.36,1.34,0.0,712611.01,46038.0,42997.0,763011.04,,,,,,,,0.04,,1347.0,,,,,,,1347.0,0.83,0.05,,,17.76,17.76,213193.0,3533355.32,,3.87,17.7,37.65,0.3861,48.76,0.2809,18.4
2011-09-14,70953.0,1182330.9,0.35,7.2,0.35,1.31,0.0,685389.66,44172.0,41131.0,736063.6,,,,,,,,0.03,,1866.0,,,,,,,1866.0,0.81,0.03,,,17.05,17.05,214859.0,3580319.86,,3.94,17.02,38.73,0.3806,47.29,0.2739,18.5
2011-09-15,69501.0,1129338.5,0.34,7.18,0.34,1.29,0.0,644753.64,42720.0,39679.0,694167.58,,,,,,,,0.03,,1452.0,,,,,,,1452.0,0.78,0.03,,,16.49,16.49,216311.0,3514889.59,,3.96,16.45,39.44,0.3765,46.21,0.2683,18.04
2011-09-16,67687.0,1134004.45,0.34,7.27,0.34,1.24,0.0,634377.04,40079.0,37865.0,671469.62,,,,,,,,0.05,,2641.0,,,,,,,1814.0,0.73,0.04,,,15.47,15.47,219066.0,3670155.55,,3.97,15.44,40.74,0.3729,44.65,0.2612,18.6
2011-09-19,64003.0,1037694.19,0.32,7.33,0.32,1.2,0.0,554183.79,37222.0,34181.0,603488.17,,,,,,,,0.05,,2857.0,,,,,,,3684.0,0.7,0.06,,,14.64,14.64,217028.0,3518720.91,,4.04,14.73,41.1,0.3657,43.39,0.2517,18.0
2011-09-20,54101.0,864968.31,0.27,6.41,0.27,0.97,0.0,511281.15,27320.0,31979.0,436792.93,,,,,,200.0,,0.22,,10302.0,,,,,0.0,400.0,2402.0,0.49,0.06,,,10.52,10.52,232346.0,3714754.4,,4.16,10.51,36.69,0.3438,44.38,0.2083,17.75
2011-09-21,52520.0,834014.46,0.26,6.58,0.26,0.94,0.0,482718.42,25739.0,30398.0,408733.78,,,,,,,,0.03,,1581.0,,,,,,,1581.0,0.46,0.04,,,23.73,10.11,82728.0,1313715.69,,1.48,23.72,38.33,0.338,42.21,0.2064,17.63
2011-09-22,52474.0,803506.96,0.26,6.67,0.26,0.93,0.0,464764.32,24165.0,30352.0,370026.02,,,,,,,,0.03,,1574.0,,,,,,,46.0,0.43,0.0,,,9.49,9.49,230557.0,3530398.93,,4.09,9.57,38.52,0.3376,41.99,0.206,17.0
2011-09-23,52414.0,764819.35,0.26,6.43,0.26,0.89,0.0,442017.55,24072.0,30292.0,351255.99,,,,,,,,0.0,,93.0,,,,,,,60.0,0.41,0.01,,,9.45,9.45,230634.0,3365386.08,,3.91,9.46,38.0,0.3367,42.32,0.2058,16.2
2011-09-26,50136.0,740610.86,0.25,6.2,0.25,0.82,0.0,413823.85,24072.0,28014.0,355592.48,,,,,,,,,,,,,,,,,2278.0,0.39,0.05,,,9.45,9.45,230634.0,3406934.06,,3.75,9.4,39.6,0.3284,39.63,0.1968,16.4
2011-09-27,40916.0,611783.57,0.2,5.0,0.2,0.67,0.0,373714.89,17872.0,24994.0,267225.43,,,,,,,,0.1,,6200.0,,,,,,,3020.0,0.29,0.05,,,17.48,7.0,84395.0,1261889.58,,1.37,17.49,33.37,0.3046,41.39,0.1602,16.6
2011-09-28,39321.0,570934.31,0.2,4.92,0.2,0.66,0.0,351583.21,16964.0,24214.0,246314.43,,,,,,,,0.01,,908.0,,,,,,,780.0,0.28,0.01,,,6.51,6.51,243723.0,3538816.97,,4.05,6.54,33.12,0.3002,40.89,0.1508,16.12
2011-09-29,38347.0,545739.05,0.19,4.69,0.19,0.62,0.0,330841.93,16450.0,23247.0,234109.77,,,,,,,,0.01,,514.0,,,,,,,967.0,0.27,0.02,,,6.31,6.31,244237.0,3475882.54,,3.93,6.32,33.78,0.304,40.65,0.1471,15.8
