,MILL FP Equity_PX_LAST
2020-11-17,12.074
2020-11-18,12.39
2020-11-19,12.168
2020-11-20,12.255
2020-11-23,12.354
2020-11-24,12.484
2020-11-25,12.343
2020-11-26,12.416
2020-11-27,12.428
2020-11-30,12.283
2020-12-01,12.384
2020-12-02,12.302
2020-12-03,12.37
2020-12-04,12.45
2020-12-07,12.505
2020-12-08,12.61
2020-12-09,12.613
2020-12-10,12.504
2020-12-11,12.508
2020-12-14,12.581
2020-12-15,12.59
2020-12-16,12.685
2020-12-17,12.731
2020-12-18,12.749
2020-12-21,12.616
2020-12-22,12.752
2020-12-23,12.879
2020-12-24,12.854
2020-12-28,12.819
2020-12-29,12.835
2020-12-30,12.818
2020-12-31,12.84
2021-01-04,12.738
2021-01-05,12.863
2021-01-06,13.011
2021-01-07,12.932
2021-01-08,13.115
2021-01-11,13.113
2021-01-12,13.286
2021-01-13,13.246
2021-01-14,13.417
2021-01-15,13.242
2021-01-18,13.253
2021-01-19,13.326
2021-01-20,13.46
2021-01-21,13.459
2021-01-22,13.371
2021-01-25,13.515
2021-01-26,13.501
2021-01-27,13.42
2021-01-28,13.366
2021-01-29,13.226
2021-02-01,13.374
2021-02-02,13.668
2021-02-03,13.769
2021-02-04,13.954
2021-02-05,14.067
2021-02-08,14.18
2021-02-09,14.361
2021-02-10,14.706
2021-02-11,14.747
2021-02-12,14.722
2021-02-15,14.776
2021-02-16,14.672
2021-02-17,14.512
2021-02-18,14.402
2021-02-19,14.601
2021-02-22,14.35
2021-02-23,14.182
2021-02-24,14.193
2021-02-25,14.082
2021-02-26,13.919
2021-03-01,14.28
2021-03-02,14.14
2021-03-03,14.056
2021-03-04,13.788
2021-03-05,13.392
2021-03-08,13.864
2021-03-09,13.923
2021-03-10,14.018
2021-03-11,14.233
2021-03-12,14.183
2021-03-15,14.399
2021-03-16,14.263
2021-03-17,14.269
2021-03-18,14.328
2021-03-19,14.275
2021-03-22,14.247
2021-03-23,14.207
2021-03-24,14.055
2021-03-25,13.975
2021-03-26,14.143
2021-03-29,14.045
2021-03-30,14.182
2021-03-31,14.308
2021-04-01,14.42
2021-04-06,14.608
2021-04-07,14.529
2021-04-08,14.649
2021-04-09,14.701
2021-04-12,14.654
2021-04-13,14.713
2021-04-14,14.777
2021-04-15,14.861
2021-04-16,14.856
2021-04-19,14.728
2021-04-20,14.392
2021-04-21,14.56
2021-04-22,14.755
2021-04-23,14.738
2021-04-26,14.799
2021-04-27,14.938
2021-04-28,14.814
2021-04-29,14.738
2021-04-30,14.691
2021-05-03,14.683
2021-05-04,14.376
2021-05-05,14.593
2021-05-06,14.37
2021-05-07,14.553
2021-05-10,14.435
2021-05-11,13.997
2021-05-12,13.973
2021-05-13,13.89
2021-05-14,14.133
2021-05-17,14.124
2021-05-18,14.155
2021-05-19,13.973
2021-05-20,14.232
2021-05-21,14.305
2021-05-24,14.444
2021-05-25,14.437
2021-05-26,14.653
2021-05-27,14.735
2021-05-28,14.778
2021-05-31,14.715
2021-06-01,14.763
2021-06-02,14.808
2021-06-03,14.794
2021-06-04,14.759
2021-06-07,14.839
2021-06-08,14.897
2021-06-09,14.98
2021-06-10,14.89
2021-06-11,15.079
2021-06-14,15.161
2021-06-15,15.011
2021-06-16,15.03
2021-06-17,15.26
2021-06-18,15.212
2021-06-21,15.335
2021-06-22,15.447
2021-06-23,15.45
2021-06-24,15.684
2021-06-25,15.726
2021-06-28,15.799
2021-06-29,15.861
2021-06-30,15.861
2021-07-01,15.841
2021-07-02,15.933
2021-07-05,15.896
2021-07-06,15.943
2021-07-07,15.887
2021-07-08,15.525
2021-07-09,15.707
2021-07-12,15.758
2021-07-13,15.779
2021-07-14,15.682
2021-07-15,15.465
2021-07-16,15.494
2021-07-19,15.236
2021-07-20,15.431
2021-07-21,15.647
2021-07-22,15.714
2021-07-23,15.818
2021-07-26,15.729
2021-07-27,15.377
2021-07-28,15.658
2021-07-29,15.783
2021-07-30,15.57
2021-08-02,15.688
2021-08-03,15.53
2021-08-04,15.641
2021-08-05,15.67
2021-08-06,15.641
2021-08-09,15.666
2021-08-10,15.783
2021-08-11,15.586
2021-08-12,15.69
2021-08-13,15.625
2021-08-16,15.517
2021-08-17,15.376
2021-08-18,15.477
2021-08-19,15.367
2021-08-20,15.504
2021-08-23,15.667
2021-08-24,15.88
2021-08-25,15.971
2021-08-26,15.818
2021-08-27,15.885
2021-08-30,16.027
2021-08-31,15.938
2021-09-01,16.075
2021-09-02,16.101
2021-09-03,16.015
2021-09-06,16.109
2021-09-07,16.065
2021-09-08,15.847
2021-09-09,15.878
2021-09-10,15.882
2021-09-13,15.701
2021-09-14,15.7
2021-09-15,15.59
2021-09-16,15.784
2021-09-17,15.836
2021-09-20,15.503
2021-09-21,15.727
2021-09-22,15.882
2021-09-23,16.013
2021-09-24,15.935
2021-09-27,15.852
2021-09-28,15.462
2021-09-29,15.491
2021-09-30,15.675
2021-10-01,15.363
2021-10-04,15.036
2021-10-05,15.368
2021-10-06,15.173
2021-10-07,15.582
2021-10-08,15.404
2021-10-11,15.35
2021-10-12,15.325
2021-10-13,15.405
2021-10-14,15.579
2021-10-15,15.733
2021-10-18,15.658
2021-10-19,15.852
2021-10-20,15.87
2021-10-21,15.858
2021-10-22,15.857
2021-10-25,16.021
2021-10-26,16.113
2021-10-27,15.892
2021-10-28,15.704
2021-10-29,15.874
2021-11-01,16.084
2021-11-02,16.089
2021-11-03,16.23
2021-11-04,16.567
2021-11-05,16.445
2021-11-08,16.398
2021-11-09,16.44
2021-11-10,16.443
2021-11-11,16.353
2021-11-12,16.736
2021-11-15,16.596
2021-11-16,16.739
2021-11-17,16.71
2021-11-18,16.519
2021-11-19,16.515
2021-11-22,16.3
2021-11-23,15.894
2021-11-24,16.036
2021-11-25,16.102
2021-11-26,15.492
2021-11-29,15.656
2021-11-30,15.368
2021-12-01,15.429
2021-12-02,15.088
2021-12-03,14.886
2021-12-06,14.827
2021-12-07,15.599
2021-12-08,15.547
2021-12-09,15.476
2021-12-10,15.222
2021-12-13,15.062
2021-12-14,14.956
2021-12-15,14.792
2021-12-16,14.96
2021-12-17,14.86
2021-12-20,14.523
2021-12-21,14.864
2021-12-22,14.993
2021-12-23,15.054
2021-12-24,15.074
2021-12-27,15.206
2021-12-28,15.209
2021-12-29,15.129
2021-12-30,15.341
2021-12-31,15.263
2022-01-03,15.312
2022-01-04,15.18
2022-01-05,15.086
2022-01-06,14.806
2022-01-07,14.712
2022-01-10,14.435
2022-01-11,14.74
2022-01-12,14.742
2022-01-13,14.64
2022-01-14,14.348
2022-01-17,14.475
2022-01-18,14.27
2022-01-19,14.249
2022-01-20,14.434
2022-01-21,14.053
2022-01-24,13.459
2022-01-25,13.614
2022-01-26,13.837
2022-01-27,13.757
2022-01-28,13.561
2022-01-31,13.987
2022-02-01,14.183
2022-02-02,13.989
2022-02-03,13.684
2022-02-04,13.533
2022-02-07,13.669
2022-02-08,13.82
2022-02-09,14.046
2022-02-10,14.113
2022-02-11,13.924
2022-02-14,13.881
2022-02-15,13.985
2022-02-16,13.921
2022-02-17,13.802
2022-02-18,13.507
2022-02-21,13.321
2022-02-22,13.323
2022-02-23,13.176
2022-02-24,12.964
2022-02-25,13.284
2022-02-28,13.446
2022-03-01,13.381
2022-03-02,13.445
2022-03-03,13.315
2022-03-04,13.045
2022-03-07,12.84
2022-03-08,12.537
2022-03-09,12.839
2022-03-10,12.655
2022-03-11,12.696
2022-03-14,12.384
2022-03-15,12.432
2022-03-16,12.999
2022-03-17,13.045
2022-03-18,13.402
2022-03-21,13.36
2022-03-22,13.547
2022-03-23,13.496
2022-03-24,13.418
2022-03-25,13.394
2022-03-28,13.387
2022-03-29,13.714
2022-03-30,13.616
2022-03-31,13.47
2022-04-01,13.507
2022-04-04,13.787
2022-04-05,13.731
2022-04-06,13.331
2022-04-07,13.238
2022-04-08,13.399
2022-04-11,13.274
2022-04-12,13.448
2022-04-13,13.431
2022-04-14,13.442
2022-04-19,13.457
2022-04-20,13.354
2022-04-21,13.181
2022-04-22,12.926
2022-04-25,12.8
2022-04-26,12.7
2022-04-27,12.792
2022-04-28,12.84
2022-04-29,13.081
2022-05-02,12.884
2022-05-03,13.019
2022-05-04,12.684
2022-05-05,12.593
2022-05-06,12.315
2022-05-09,11.873
2022-05-10,11.754
2022-05-11,11.893
2022-05-12,11.886
2022-05-13,12.278
2022-05-16,12.218
2022-05-17,12.207
2022-05-18,11.966
2022-05-19,11.874
2022-05-20,11.829
2022-05-23,11.878
2022-05-24,11.419
2022-05-25,11.689
2022-05-26,12.015
2022-05-27,12.045
2022-05-30,12.398
2022-05-31,12.268
2022-06-01,12.138
2022-06-02,12.3
2022-06-03,12.181
2022-06-06,12.314
2022-06-07,12.264
2022-06-08,12.382
2022-06-09,12.227
2022-06-10,11.878
2022-06-13,11.498
2022-06-14,11.462
2022-06-15,11.593
2022-06-16,11.139
2022-06-17,11.29
2022-06-20,11.366
2022-06-21,11.456
2022-06-22,11.409
2022-06-23,11.519
2022-06-24,11.892
2022-06-27,11.945
2022-06-28,11.853
2022-06-29,11.707
2022-06-30,11.588
2022-07-01,11.697
2022-07-04,11.719
2022-07-05,11.839
2022-07-06,12.045
2022-07-07,12.291
2022-07-08,12.346
2022-07-11,12.129
2022-07-12,12.164
2022-07-13,12.008
2022-07-14,11.903
2022-07-15,12.033
2022-07-18,12.214
2022-07-19,12.251
2022-07-20,12.479
2022-07-21,12.545
2022-07-22,12.502
2022-07-25,12.417
2022-07-26,12.273
2022-07-27,12.376
2022-07-28,12.488
2022-07-29,12.469
2022-08-01,12.543
2022-08-02,12.53
2022-08-03,12.789
2022-08-04,12.794
2022-08-05,12.752
2022-08-08,12.923
2022-08-09,12.634
2022-08-10,12.797
2022-08-11,12.886
2022-08-12,12.952
2022-08-15,13.102
2022-08-16,13.15
2022-08-17,13.01
2022-08-18,13.061
2022-08-19,12.888
2022-08-22,12.799
2022-08-23,12.697
2022-08-24,12.787
2022-08-25,12.85
2022-08-26,12.605
2022-08-29,12.432
2022-08-30,12.306
2022-08-31,12.234
2022-09-01,12.071
2022-09-02,12.23
2022-09-05,12.159
2022-09-06,12.126
2022-09-07,12.098
2022-09-08,12.229
2022-09-09,12.372
2022-09-12,12.481
2022-09-13,12.221
2022-09-14,12.107
2022-09-15,12.064
2022-09-16,11.78
2022-09-19,11.808
2022-09-20,11.815
2022-09-21,11.909
2022-09-22,11.575
2022-09-23,11.432
2022-09-26,11.551
2022-09-27,11.579
2022-09-28,11.612
2022-09-29,11.289
2022-09-30,11.333
2022-10-03,11.251
2022-10-04,11.586
2022-10-05,11.541
2022-10-06,11.694
2022-10-07,11.411
2022-10-10,11.319
2022-10-11,11.251
2022-10-12,11.204
2022-10-13,11.159
2022-10-14,11.336
2022-10-17,11.354
2022-10-18,11.371
2022-10-19,11.298
2022-10-20,11.341
2022-10-21,11.185
2022-10-24,11.098
2022-10-25,11.351
2022-10-26,11.493
2022-10-27,11.471
2022-10-28,11.443
2022-10-31,11.59
2022-11-01,11.676
2022-11-02,11.526
2022-11-03,11.459
2022-11-04,11.392
2022-11-07,11.39
2022-11-08,11.519
2022-11-09,11.327
2022-11-10,11.721
2022-11-11,11.821
2022-11-14,11.826
2022-11-15,12.002
2022-11-16,11.741
2022-11-17,11.694
2022-11-18,11.778
2022-11-21,11.744
2022-11-22,11.727
2022-11-23,11.831
2022-11-24,11.891
2022-11-25,11.815
2022-11-28,11.748
2022-11-29,11.865
2022-11-30,11.854
2022-12-01,12.11
2022-12-02,11.98
2022-12-05,12.006
2022-12-06,11.853
2022-12-07,11.661
2022-12-08,11.664
2022-12-09,11.771
2022-12-12,11.71
2022-12-13,11.792
2022-12-14,11.834
2022-12-15,11.597
2022-12-16,11.423
2022-12-19,11.368
2022-12-20,11.195
2022-12-21,11.305
2022-12-22,11.469
2022-12-23,11.316
2022-12-27,11.415
2022-12-28,11.331
2022-12-29,11.237
2022-12-30,11.333
2023-01-02,11.4
2023-01-03,11.514
2023-01-04,11.655
2023-01-05,11.695
2023-01-06,11.715
2023-01-09,11.801
2023-01-10,11.777
2023-01-11,11.862
2023-01-12,11.96
2023-01-13,12.05
2023-01-16,12.013
2023-01-17,12.079
2023-01-18,12.018
2023-01-19,11.956
2023-01-20,11.894
2023-01-23,12.099
2023-01-24,12.217
2023-01-25,12.113
2023-01-26,12.276
2023-01-27,12.389
2023-01-30,12.342
2023-01-31,12.334
2023-02-01,12.259
2023-02-02,12.639
2023-02-03,12.745
2023-02-06,12.538
2023-02-07,12.512
2023-02-08,12.493
2023-02-09,12.585
2023-02-10,12.242
2023-02-13,12.292
2023-02-14,12.303
2023-02-15,12.454
2023-02-16,12.546
2023-02-17,12.329
2023-02-20,12.412
2023-02-21,12.265
2023-02-22,12.322
2023-02-23,12.276
2023-02-24,12.312
2023-02-27,12.175
2023-02-28,12.141
2023-03-01,12.049
2023-03-02,12.165
2023-03-03,12.382
2023-03-06,12.365
2023-03-07,12.268
2023-03-08,12.278
2023-03-09,12.249
2023-03-10,11.961
2023-03-13,11.871
2023-03-14,11.727
2023-03-15,11.813
2023-03-16,11.931
2023-03-17,12.074
2023-03-20,11.961
2023-03-21,12.009
2023-03-22,12.08
2023-03-23,12.016
2023-03-24,12.019
2023-03-27,12.045
2023-03-28,12.051
2023-03-29,12.147
2023-03-30,12.241
2023-03-31,12.354
2023-04-03,12.331
2023-04-04,12.316
2023-04-05,12.227
2023-04-06,12.213
2023-04-11,12.307
2023-04-12,12.267
2023-04-13,12.19
2023-04-14,12.192
2023-04-17,12.287
2023-04-18,12.344
2023-04-19,12.268
2023-04-20,12.293
2023-04-21,12.219
2023-04-24,12.219
2023-04-25,12.164
2023-04-26,12.078
2023-04-27,12.009
2023-04-28,12.216
2023-05-02,12.027
2023-05-03,12.09
2023-05-04,11.965
2023-05-05,12.084
2023-05-08,12.12
2023-05-09,12.147
2023-05-10,12.13
2023-05-11,12.166
2023-05-12,12.114
2023-05-15,12.214
2023-05-16,12.196
2023-05-17,12.241
2023-05-18,12.424
2023-05-19,12.35
2023-05-22,12.379
2023-05-23,12.28
2023-05-24,12.071
2023-05-25,12.165
2023-05-26,12.311
2023-05-29,12.306
2023-05-30,12.273
2023-05-31,12.143
2023-06-01,12.285
2023-06-02,12.534
2023-06-05,12.494
2023-06-06,12.579
2023-06-07,12.557
2023-06-08,12.43
2023-06-09,12.504
2023-06-12,12.528
2023-06-13,12.649
2023-06-14,12.659
2023-06-15,12.598
2023-06-16,12.673
2023-06-19,12.599
2023-06-20,12.492
2023-06-21,12.396
2023-06-22,12.384
2023-06-23,12.401
2023-06-26,12.38
2023-06-27,12.408
2023-06-28,12.509
2023-06-29,12.55
2023-06-30,12.625
2023-07-03,12.693
2023-07-04,12.74
2023-07-05,12.644
2023-07-06,12.413
2023-07-07,12.455
2023-07-10,12.453
2023-07-11,12.59
2023-07-12,12.7
2023-07-13,12.743
2023-07-14,12.7
2023-07-17,12.753
2023-07-18,12.74
2023-07-19,12.832
2023-07-20,12.768
2023-07-21,12.773
2023-07-24,12.769
2023-07-25,12.903
2023-07-26,12.828
2023-07-27,13.014
2023-07-28,13.051
2023-07-31,13.13
2023-08-01,13.064
2023-08-02,12.861
2023-08-03,12.83
2023-08-04,12.74
2023-08-07,12.709
2023-08-08,12.622
2023-08-09,12.601
2023-08-10,12.731
2023-08-11,12.576
2023-08-14,12.611
2023-08-15,12.52
2023-08-16,12.503
2023-08-17,12.357
2023-08-18,12.27
2023-08-21,12.222
2023-08-22,12.313
2023-08-23,12.368
2023-08-24,12.342
2023-08-25,12.32
2023-08-28,12.432
2023-08-29,12.561
2023-08-30,12.462
2023-08-31,12.641
2023-09-01,12.693
2023-09-04,12.667
2023-09-05,12.663
2023-09-06,12.577
2023-09-07,12.435
2023-09-08,12.446
2023-09-11,12.475
2023-09-12,12.47
2023-09-13,12.383
2023-09-14,12.537
2023-09-15,12.513
2023-09-18,12.407
2023-09-19,12.305
2023-09-20,12.352
2023-09-21,12.142
2023-09-22,12.181
2023-09-25,12.138
2023-09-26,12.065
2023-09-27,12.065
2023-09-28,12.004
2023-09-29,12.185
2023-10-02,12.073
2023-10-03,12.006
2023-10-04,11.915
2023-10-05,11.857
2023-10-06,11.856
2023-10-09,11.898
2023-10-10,12.164
2023-10-11,12.124
2023-10-12,12.081
2023-10-13,11.992
2023-10-16,12.102
2023-10-17,12.081
2023-10-18,12.033
2023-10-19,11.901
2023-10-20,11.737
2023-10-23,11.679
2023-10-24,11.853
2023-10-25,11.768
2023-10-26,11.694
2023-10-27,11.631
2023-10-30,11.618
2023-10-31,11.72
2023-11-01,11.76
2023-11-02,11.948
2023-11-03,12.125
2023-11-06,12.089
2023-11-07,12.222
2023-11-08,12.208
2023-11-09,12.298
2023-11-10,12.239
2023-11-13,12.311
2023-11-14,12.472
2023-11-15,12.587
2023-11-16,12.389
2023-11-17,12.475
2023-11-20,12.518
2023-11-21,12.502
2023-11-22,12.693
2023-11-23,12.672
2023-11-24,12.609
2023-11-27,12.605
2023-11-28,12.57
2023-11-29,12.648
2023-11-30,12.694
2023-12-01,12.83
2023-12-04,12.916
2023-12-05,12.883
2023-12-06,13.016
2023-12-07,13.013
2023-12-08,13.065
2023-12-11,13.151
2023-12-12,13.136
2023-12-13,13.129
2023-12-14,13.194
2023-12-15,13.249
2023-12-18,13.173
2023-12-19,13.255
2023-12-20,13.262
2023-12-21,13.161
2023-12-22,13.035
2023-12-27,13.066
2023-12-28,13.09
2023-12-29,13.09
2024-01-02,13.096
2024-01-03,12.977
2024-01-04,12.895
2024-01-05,12.807
2024-01-08,12.873
2024-01-09,12.941
2024-01-10,12.94
2024-01-11,12.865
2024-01-12,12.963
2024-01-15,12.929
2024-01-16,12.907
2024-01-17,12.778
2024-01-18,12.823
2024-01-19,12.871
2024-01-22,12.996
2024-01-23,13.099
2024-01-24,13.171
2024-01-25,13.201
2024-01-26,13.215
2024-01-29,13.233
2024-01-30,13.278
2024-01-31,13.205
2024-02-01,13.187
2024-02-02,13.252
2024-02-05,13.308
2024-02-06,13.424
2024-02-07,13.438
2024-02-08,13.433
2024-02-09,13.471
2024-02-12,13.612
2024-02-13,13.433
2024-02-14,13.511
2024-02-15,13.562
2024-02-16,13.562
2024-02-19,13.523
2024-02-20,13.467
2024-02-21,13.463
2024-02-22,13.595
2024-02-23,13.626
2024-02-26,13.647
2024-02-27,13.64
2024-02-28,13.611
2024-02-29,13.65
2024-03-01,13.676
2024-03-04,13.716
2024-03-05,13.551
2024-03-06,13.547
2024-03-07,13.59
2024-03-08,13.666
2024-03-11,13.756
2024-03-12,13.896
2024-03-13,13.892
2024-03-14,13.833
2024-03-15,13.709
2024-03-18,13.766
2024-03-19,13.777
2024-03-20,13.824
2024-03-21,14.074
2024-03-22,13.935
2024-03-25,13.889
2024-03-26,13.94
2024-03-27,14.001
2024-03-28,14.139
2024-04-02,13.927
2024-04-03,13.911
2024-04-04,13.844
2024-04-05,13.7
2024-04-08,13.717
2024-04-09,13.674
2024-04-10,13.745
2024-04-11,13.737
2024-04-12,13.711
2024-04-15,13.633
2024-04-16,13.479
2024-04-17,13.45
2024-04-18,13.5
2024-04-19,13.325
2024-04-22,13.522
2024-04-23,13.827
2024-04-24,13.859
2024-04-25,13.562
2024-04-26,13.7
2024-04-29,13.711
2024-04-30,13.798
2024-05-02,13.758
2024-05-03,13.898
2024-05-06,13.97
2024-05-07,13.987
2024-05-08,13.982
2024-05-09,14.026
2024-05-10,14.098
2024-05-13,14.174
2024-05-14,14.162
2024-05-15,14.107
2024-05-16,14.158
2024-05-17,14.111
2024-05-20,14.206
2024-05-21,14.148
2024-05-22,14.109
2024-05-23,13.932
2024-05-24,13.924
2024-05-27,13.979
2024-05-28,13.928
2024-05-29,14.1
2024-05-30,14.1
2024-05-31,13.897
2024-06-03,13.938
2024-06-04,14.156
2024-06-05,14.108
2024-06-06,14.235
2024-06-07,14.257
2024-06-10,13.981
2024-06-11,14.197
2024-06-12,14.264
2024-06-13,14.146
2024-06-14,14.232
2024-06-17,14.214
2024-06-18,14.305
2024-06-19,14.348
2024-06-20,14.356
2024-06-21,14.34
2024-06-24,14.371
2024-06-25,14.291
2024-06-26,14.291
2024-06-27,14.222
2024-06-28,14.163
2024-07-01,14.077
2024-07-02,14.071
2024-07-03,14.09
2024-07-04,14.107
2024-07-05,14.066
2024-07-08,14.089
2024-07-09,14.125
2024-07-10,14.15
2024-07-11,14.226
2024-07-12,14.308
2024-07-15,14.319
2024-07-16,14.294
2024-07-17,14.238
2024-07-18,14.204
2024-07-19,14.058
2024-07-22,14.103
2024-07-23,14.117
2024-07-24,14.01
2024-07-25,13.917
2024-07-26,13.995
2024-07-29,14.059
2024-07-30,14.134
2024-07-31,14.265
2024-08-01,14.169
2024-08-02,13.727
2024-08-05,13.552
2024-08-06,13.631
2024-08-07,13.814
2024-08-08,13.845
2024-08-09,13.87
2024-08-12,13.889
2024-08-13,13.917
2024-08-14,13.948
2024-08-15,14.191
2024-08-16,14.223
2024-08-19,14.294
2024-08-20,14.231
2024-08-21,14.3
2024-08-22,14.345
2024-08-23,14.358
2024-08-26,14.357
2024-08-27,14.401
2024-08-28,14.406
2024-08-29,14.551
2024-08-30,14.568
2024-09-02,14.537
2024-09-03,14.469
2024-09-04,14.393
2024-09-05,14.34
2024-09-06,14.192
2024-09-09,14.357
2024-09-10,14.328
2024-09-11,14.264
2024-09-12,14.44
2024-09-13,14.51
2024-09-16,14.478
2024-09-17,14.573
2024-09-18,14.487
2024-09-19,14.635
2024-09-20,14.518
2024-09-23,14.65
2024-09-24,14.781
2024-09-25,14.737
2024-09-26,14.777
2024-09-27,15.057
2024-09-30,14.875
2024-10-01,14.849
2024-10-02,15.095
2024-10-03,15.1
2024-10-04,15.149
2024-10-07,15.093
2024-10-08,15.027
2024-10-09,15.007
2024-10-10,14.921
2024-10-11,15.119
2024-10-14,15.191
2024-10-15,15.22
2024-10-16,15.24
2024-10-17,15.117
2024-10-18,15.287
2024-10-21,15.176
2024-10-22,15.076
2024-10-23,15.282
2024-10-24,15.258
2024-10-25,15.336
2024-10-28,15.14
2024-10-29,15.264
2024-10-30,15.305
2024-10-31,15.024
2024-11-01,15.133
2024-11-04,14.937
2024-11-05,15.007
2024-11-06,15.617
2024-11-07,15.504
2024-11-08,15.477
2024-11-11,15.716
2024-11-12,15.468
2024-11-13,15.553
2024-11-14,15.746
2024-11-15,15.597
2024-11-18,15.607
2024-11-19,15.373
2024-11-20,15.588
2024-11-21,15.615
2024-11-22,16.081
2024-11-25,16.147
2024-11-26,16.113
2024-11-27,15.992
2024-11-28,16.029
2024-11-29,16.107
2024-12-02,16.125
2024-12-03,16.093
2024-12-04,16.278
2024-12-05,16.121
2024-12-06,16.177
2024-12-09,16.416
2024-12-10,16.338
2024-12-11,16.448
2024-12-12,16.427
2024-12-13,16.275
2024-12-16,16.266
2024-12-17,16.041
2024-12-18,16.213
2024-12-19,16.173
2024-12-20,16.01
2024-12-23,15.919
2024-12-24,16.154
2024-12-27,15.983
2024-12-30,15.853
2024-12-31,15.896
2025-01-02,15.912
2025-01-03,16.044
2025-01-06,16.185
2025-01-07,15.917
2025-01-08,15.814
2025-01-09,15.928
2025-01-10,15.924
2025-01-13,15.69
2025-01-14,15.697
2025-01-15,15.887
2025-01-16,15.903
2025-01-17,16.045
2025-01-20,15.962
2025-01-21,15.985
2025-01-22,16.189
2025-01-23,15.845
2025-01-24,15.911
2025-01-27,16.121
2025-01-28,16.372
2025-01-29,16.441
2025-01-30,16.715
2025-01-31,16.349
2025-02-03,16.276
2025-02-04,16.418
2025-02-05,16.551
2025-02-06,16.586
2025-02-07,16.797
2025-02-10,16.499
2025-02-11,16.8
2025-02-12,16.7
2025-02-13,16.538
2025-02-14,16.605
2025-02-17,16.903
2025-02-18,16.919
2025-02-19,16.985
2025-02-20,16.793
2025-02-21,16.91
2025-02-24,16.517
2025-02-25,16.774
2025-02-26,16.802
2025-02-27,16.808
2025-02-28,16.642
2025-03-03,16.42
2025-03-04,16.436
2025-03-05,16.201
2025-03-06,16.141
2025-03-07,15.828
2025-03-10,15.925
2025-03-11,15.234
2025-03-12,15.387
2025-03-13,15.261
2025-03-14,15.225
2025-03-17,15.546
2025-03-18,15.665
2025-03-19,15.443
2025-03-20,15.617
2025-03-21,15.594
2025-03-24,15.757
2025-03-25,15.77
2025-03-26,15.93
2025-03-27,15.779
2025-03-28,15.297
