,PINR FP Equity_DX_SI_QTY,PINR FP Equity_DX_SHORT_INTEREST_VALUE,PINR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PINR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PINR FP Equity_DX_SI_MV,PINR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PINR FP Equity_DX_SUPPLY_SI_QTY,PINR FP Equity_DX_BROKER_SI_QTY,PINR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PINR FP Equity_DX_SUPPLY_SI_QTY_INC_x,PINR FP Equity_DX_BROKER_SI_MV_INC_x,PINR FP Equity_DX_BROKER_SI_QTY_ADD,PINR FP Equity_DX_SUPPLY_SI_MV_DEC,PINR FP Equity_DX_BROKER_SI_QTY_INC,PINR FP Equity_DX_SUPPLY_SI_QTY_DEC,PINR FP Equity_DX_BROKER_SI_MV_INC_y,PINR FP Equity_DX_SUPPLY_SI_QTY_INC_y,PINR FP Equity_DX_BROKER_SI_MV_ADD,PINR FP Equity_DX_SUPPLY_SI_QTY_ADD,PINR FP Equity_DX_BROKER_SI_QTY_DEC,PINR FP Equity_DX_SUPPLY_SI_MV,PINR FP Equity_DX_BROKER_SI_MV_DEC,PINR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PINR FP Equity_DX_UTILIZATION_QUANTITY,PINR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PINR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PINR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PINR FP Equity_DX_ACTIVE_UTILIZATION_MV,PINR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PINR FP Equity_DX_BROKER_SI_CON_RATIO,PINR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PINR FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-03-24,147800.0,2593003.2,23.54,18.34,2.63,2593003.2,0.0,147800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-03-25,147800.0,2560635.0,24.43,18.96,2.59,2560635.0,0.0,147800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-03-26,147800.0,2590047.2,25.08,18.96,2.56,2590047.2,0.0,147800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-03-29,147800.0,2610443.6,25.78,18.96,2.59,2610443.6,0.0,147800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-03-30,147800.0,2616799.0,25.67,20.55,2.6,2616799.0,0.0,147800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2023-04-06,124.0,2403.49,0.01,0.02,0.0,1201.75,62.0,62.0,1201.75,,,62.0,,,,,,0.0,62.0,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2023-04-07,124.0,2403.49,0.01,0.02,0.0,1201.75,62.0,62.0,1201.75,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2023-04-10,124.0,2403.49,0.01,0.02,0.0,1201.75,62.0,62.0,1201.75,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2023-04-11,124.0,2412.17,0.01,0.02,0.0,1206.09,62.0,62.0,1206.09,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2023-04-12,124.0,2413.54,0.01,0.02,0.0,1206.77,62.0,62.0,1206.77,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2023-04-13,124.0,2397.17,0.01,0.02,0.0,1198.58,62.0,62.0,1198.58,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2023-04-14,124.0,2400.27,0.01,0.02,0.0,1200.13,62.0,62.0,1200.13,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2023-04-17,124.0,2410.06,0.01,0.01,0.0,1205.03,62.0,62.0,1205.03,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2023-07-03,690.0,14845.35,0.15,0.08,0.01,7422.68,345.0,345.0,7422.68,,,345.0,,,,,,0.01,345.0,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2023-07-04,690.0,14937.81,0.12,0.08,0.01,7468.91,345.0,345.0,7468.91,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2023-07-05,690.0,14910.9,0.12,0.07,0.01,7455.45,345.0,345.0,7455.45,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2023-11-01,35.0,767.8,0.0,0.0,0.0,767.8,35.0,35.0,767.8,,,35.0,,,,,,0.0,35.0,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-11-02,35.0,770.53,0.0,0.0,0.0,770.53,35.0,35.0,770.53,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-11-03,35.0,769.3,0.0,0.0,0.0,769.3,35.0,35.0,769.3,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-11-06,35.0,768.67,0.0,0.0,0.0,768.67,35.0,35.0,768.67,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-11-07,35.0,774.55,0.0,0.0,0.0,774.55,35.0,35.0,774.55,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,35.0,,,,,35.0,0.0,0.0,0.0,0.0,35.0,776.3,0.0,0.0,,0.0,,0.0
2024-06-13,59.0,1648.7,0.0,0.0,0.0,1648.7,59.0,59.0,1648.7,,,59.0,,,,,,0.0,59.0,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2024-06-14,59.0,1678.2,0.0,0.0,0.0,1678.2,59.0,59.0,1678.2,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2024-06-17,128.0,3645.31,0.01,0.0,0.0,3645.31,59.0,128.0,1680.26,,0.0,,,69.0,,0.0,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.1695
2024-06-18,128.0,3662.34,0.01,0.0,0.0,3662.34,128.0,128.0,3662.34,69.0,,,,,,,69.0,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2024-06-19,268.0,7580.11,0.01,0.01,0.01,3790.06,134.0,134.0,3790.06,6.0,0.0,,,6.0,,0.0,6.0,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-06-20,59.0,1672.18,0.0,0.0,0.0,1672.18,59.0,59.0,1672.18,,,,0.0,,75.0,,,,,75.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,59.0,,,,,59.0,0.0,0.0,0.0,0.0,59.0,1668.34,0.0,0.0,,0.0,,0.0
2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,200.0,5700.4,0.01,0.0,,0.0,,0.0
2024-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,300.0,8565.3,0.01,0.0,,0.0,,0.0
2024-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3592.4,0.0,0.0,,0.0,,0.0
2024-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3583.35,0.0,0.0,,0.0,,0.0
2024-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3592.28,0.0,0.0,,0.0,,0.0
2024-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3599.6,0.0,0.0,,0.0,,0.0
2024-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,424.0,12362.14,0.01,0.0,,0.0,,0.0
2024-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3607.78,0.0,0.0,,0.0,,0.0
2024-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3605.8,0.0,0.0,,0.0,,0.0
2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3604.43,0.0,0.0,,0.0,,0.0
2024-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3608.4,0.0,0.0,,0.0,,0.0
2024-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,324.0,9462.42,0.01,0.0,,0.0,,0.0
2024-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3598.11,0.0,0.0,,0.0,,0.0
2024-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3608.9,0.0,0.0,,0.0,,0.0
2024-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3549.62,0.0,0.0,,0.0,,0.0
2024-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,224.0,6457.25,0.01,0.0,,0.0,,0.0
2024-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3571.82,0.0,0.0,,0.0,,0.0
2024-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3555.58,0.0,0.0,,0.0,,0.0
2024-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3568.84,0.0,0.0,,0.0,,0.0
2024-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3633.94,0.0,0.0,,0.0,,0.0
2024-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,124.0,3642.87,0.0,0.0,,0.0,,0.0
2024-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2324.0,68511.52,0.07,0.0,,0.0,,0.0
2024-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2224.0,66175.12,0.07,0.0,,0.0,,0.0
2024-08-01,116.0,3424.32,0.01,0.0,0.0,3424.32,116.0,116.0,3424.32,,,116.0,,,,,,0.0,116.0,,0.0,,100.0,35.8,0.0,0.0,0.0,100.0,,1.0,100.0,0.358
2024-08-02,116.0,3335.7,0.01,0.0,0.0,3335.7,116.0,116.0,3335.7,,,,,,,,,,,,0.0,,100.0,35.8,0.0,0.0,0.0,100.0,,1.0,100.0,0.358
2024-08-05,116.0,3230.6,0.01,0.0,0.0,3230.6,116.0,116.0,3230.6,,,,,,,,,,,,0.0,,100.0,51.79,0.0,0.0,0.0,100.0,,1.0,100.0,0.5179
2024-08-06,116.0,3247.42,0.0,0.0,0.0,3247.42,116.0,116.0,3247.42,,,,,,,,,,,,0.0,,100.0,3.71,0.0,0.0,0.0,100.0,,1.0,100.0,0.0371
2024-08-07,116.0,3300.43,0.0,0.0,0.0,3300.43,116.0,116.0,3300.43,,,,,,,,,,,,0.0,,100.0,93.55,0.0,0.0,0.0,100.0,,1.0,100.0,0.9355
2024-08-08,116.0,3300.08,0.0,0.0,0.0,3300.08,116.0,116.0,3300.08,,,,,,,,,,,,0.0,,100.0,93.55,0.0,0.0,0.0,100.0,,1.0,100.0,0.9355
2024-08-09,116.0,3304.03,0.0,0.0,0.0,3304.03,116.0,116.0,3304.03,,,,,,,,,,,,0.0,,100.0,93.55,0.0,0.0,0.0,100.0,,1.0,100.0,0.9355
2024-08-12,116.0,3302.98,0.0,0.0,0.0,3302.98,116.0,116.0,3302.98,,,,,,,,,,,,0.0,,100.0,93.55,0.0,0.0,0.0,100.0,,1.0,100.0,0.9355
2024-08-13,116.0,3277.0,0.0,0.0,0.0,3277.0,116.0,116.0,3277.0,,,,,,,,,,,,0.0,,100.0,93.55,0.0,0.0,0.0,100.0,,1.0,100.0,0.9355
2024-08-14,116.0,3245.33,0.0,0.0,0.0,3245.33,116.0,116.0,3245.33,,,,,,,,,,,,0.0,,100.0,93.55,0.0,0.0,0.0,100.0,,1.0,100.0,0.9355
2024-08-15,116.0,3294.05,0.0,0.0,0.0,3294.05,116.0,116.0,3294.05,,,,,,,,,,,,0.0,,100.0,93.55,0.0,0.0,0.0,100.0,,1.0,100.0,0.9355
2024-08-16,116.0,3321.66,0.01,0.0,0.0,3321.66,116.0,116.0,3321.66,,,,,,,,,,,,0.0,,100.0,93.55,0.0,0.0,0.0,100.0,,1.0,100.0,0.9355
2024-08-19,116.0,3314.58,0.01,0.0,0.0,3314.58,116.0,116.0,3314.58,,,,,,,,,,,,0.0,,100.0,93.55,0.0,0.0,0.0,100.0,,1.0,100.0,0.9355
2024-08-20,116.0,3314.58,0.01,0.0,0.0,3314.58,116.0,116.0,3314.58,,,,,,,,,,,,0.0,,100.0,93.55,0.0,0.0,0.0,100.0,,1.0,100.0,0.9355
2024-08-21,116.0,3323.63,0.01,0.0,0.0,3323.63,116.0,116.0,3323.63,,,,,,,,,,,,0.0,,100.0,93.55,0.0,0.0,0.0,100.0,,1.0,100.0,0.9355
2024-08-22,116.0,3324.68,0.01,0.0,0.0,3324.68,116.0,116.0,3324.68,,,,,,,,,,,,0.0,,100.0,56.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.5686
2024-08-23,192.0,5505.41,0.01,0.01,0.01,3326.18,192.0,116.0,5505.41,76.0,,,,,,,76.0,,,,0.01,,100.0,68.57,0.0,0.0,0.0,100.0,,1.0,100.0,0.6857
2024-08-26,192.0,5522.88,0.01,0.01,0.01,5522.88,192.0,192.0,5522.88,,0.0,,,76.0,,0.0,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-08-27,192.0,5523.84,0.01,0.01,0.01,5523.84,192.0,192.0,5523.84,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-08-28,192.0,5544.19,0.01,0.01,0.01,5544.19,192.0,192.0,5544.19,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-08-29,192.0,5591.04,0.01,0.01,0.01,5591.04,192.0,192.0,5591.04,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-08-30,192.0,5626.75,0.01,0.01,0.01,5626.75,192.0,192.0,5626.75,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-02,192.0,5612.54,0.01,0.01,0.01,5612.54,192.0,192.0,5612.54,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-03,240.0,7012.56,0.01,0.01,0.01,7012.56,240.0,240.0,7012.56,,,48.0,,,,,,0.0,48.0,,0.01,,100.0,95.24,0.0,0.0,0.0,100.0,20.01,0.6799,79.99,0.9524
2024-09-04,240.0,7013.28,0.01,0.01,0.01,7013.28,240.0,240.0,7013.28,,,,,,,,,,,,0.01,,100.0,95.24,0.0,0.0,0.0,100.0,20.0,0.68,80.0,0.9524
2024-09-05,192.0,5579.33,0.01,0.01,0.01,5579.33,192.0,192.0,5579.33,,,,0.0,,48.0,,,,,48.0,0.01,0.0,100.0,94.12,0.0,0.0,0.0,100.0,20.08,1.0,100.0,0.9412
2024-09-06,192.0,5490.05,0.01,0.01,0.01,5490.05,192.0,192.0,5490.05,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-09,192.0,5555.14,0.01,0.01,0.01,5555.14,192.0,192.0,5555.14,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-10,192.0,5571.84,0.01,0.01,0.01,5571.84,192.0,192.0,5571.84,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-11,192.0,5535.94,0.01,0.01,0.01,5535.94,192.0,192.0,5535.94,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-12,192.0,5613.89,0.01,0.01,0.01,5613.89,192.0,192.0,5613.89,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-13,192.0,5628.29,0.01,0.01,0.01,5628.29,192.0,192.0,5628.29,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-16,192.0,5620.03,0.01,0.01,0.01,5620.03,192.0,192.0,5620.03,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-17,192.0,5616.58,0.01,0.01,0.01,5616.58,192.0,192.0,5616.58,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-18,192.0,5584.32,0.01,0.01,0.01,5584.32,192.0,192.0,5584.32,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-19,192.0,5601.79,0.01,0.01,0.01,5601.79,192.0,192.0,5601.79,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-20,192.0,5667.07,0.01,0.01,0.01,5667.07,192.0,192.0,5667.07,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-23,192.0,5736.77,0.01,0.01,0.01,5736.77,192.0,192.0,5736.77,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-24,192.0,5712.0,0.01,0.01,0.01,5712.0,192.0,192.0,5712.0,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-25,192.0,5723.52,0.01,0.01,0.01,5723.52,192.0,192.0,5723.52,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-26,192.0,5727.17,0.01,0.01,0.01,5727.17,192.0,192.0,5727.17,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-27,192.0,5751.74,0.01,0.01,0.01,5751.74,192.0,192.0,5751.74,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-09-30,192.0,5657.86,0.01,0.01,0.01,5657.86,192.0,192.0,5657.86,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-10-01,192.0,5674.75,0.01,0.01,0.01,5674.75,192.0,192.0,5674.75,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-10-02,192.0,5644.8,0.01,0.01,0.01,5644.8,192.0,192.0,5644.8,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-10-03,192.0,5608.13,0.01,0.01,0.01,5608.13,192.0,192.0,5608.13,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-10-04,192.0,5576.26,0.01,0.01,0.01,5576.26,192.0,192.0,5576.26,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-10-07,192.0,5495.42,0.01,0.01,0.01,5495.42,192.0,192.0,5495.42,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-10-08,192.0,5570.5,0.01,0.01,0.01,5570.5,192.0,192.0,5570.5,,,,,,,,,,,,0.01,,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.9412
2024-10-09,184.0,5387.52,0.01,0.0,0.01,5387.52,192.0,184.0,5621.76,,,,,,,,,,,8.0,0.01,0.0,100.0,94.12,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-10,184.0,5358.26,0.01,0.0,0.01,5358.26,184.0,184.0,5358.26,,,,0.0,,8.0,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-11,184.0,5366.18,0.01,0.0,0.01,5366.18,184.0,184.0,5366.18,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-14,184.0,5397.27,0.01,0.0,0.01,5397.27,184.0,184.0,5397.27,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-15,184.0,5376.85,0.01,0.0,0.01,5376.85,184.0,184.0,5376.85,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-16,184.0,5394.51,0.01,0.01,0.01,5394.51,184.0,184.0,5394.51,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-17,184.0,5337.1,0.01,0.01,0.01,5337.1,184.0,184.0,5337.1,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-18,184.0,5340.23,0.01,0.01,0.01,5340.23,184.0,184.0,5340.23,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-21,184.0,5309.14,0.01,0.01,0.01,5309.14,184.0,184.0,5309.14,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
