,ELIS FP Equity_DX_SI_QTY,ELIS FP Equity_DX_SHORT_INTEREST_VALUE,ELIS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ELIS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ELIS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ELIS FP Equity_DX_SI_MV,ELIS FP Equity_DX_DSS,ELIS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ELIS FP Equity_DX_SUPPLY_SI_QTY,ELIS FP Equity_DX_BROKER_SI_QTY,ELIS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ELIS FP Equity_DX_BROKER_SI_MV_NEW_x,ELIS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ELIS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ELIS FP Equity_DX_BROKER_SI_MV_INC_x,ELIS FP Equity_DX_SUPPLY_SI_MV_NEW,ELIS FP Equity_DX_BROKER_SI_QTY_ADD,ELIS FP Equity_DX_BROKER_SI_QTY_NEW,ELIS FP Equity_DX_SUPPLY_SI_MV_DEC,ELIS FP Equity_DX_BROKER_SI_QTY_INC,ELIS FP Equity_DX_SUPPLY_SI_QTY_DEC,ELIS FP Equity_DX_BROKER_SI_MV_NEW_y,ELIS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ELIS FP Equity_DX_BROKER_SI_MV_INC_y,ELIS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ELIS FP Equity_DX_BROKER_SI_MV_ADD,ELIS FP Equity_DX_SUPPLY_SI_QTY_ADD,ELIS FP Equity_DX_BROKER_SI_QTY_DEC,ELIS FP Equity_DX_SUPPLY_SI_MV,ELIS FP Equity_DX_BROKER_SI_MV_DEC,ELIS FP Equity_DX_SUPPLY_SI_MV_RMV,ELIS FP Equity_DX_BROKER_SI_MV_RMV,ELIS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ELIS FP Equity_DX_UTILIZATION_QUANTITY,ELIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ELIS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ELIS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ELIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ELIS FP Equity_DX_ACTIVE_UTILIZATION_MV,ELIS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ELIS FP Equity_DX_BROKER_SI_CON_RATIO,ELIS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ELIS FP Equity_DX_DEMAND_SUPPLY_RATIO,ELIS FP Equity_PX_LAST
2015-04-07,77846.0,1168875.27,0.07,0.43,0.07,1.27,0.0,287181.21,58720.0,19126.0,881694.06,,,,,,,,,,,,,,,,,,0.96,,,,100.0,1.07,0.0,0.0,,0.0,100.0,28.58,0.4004,54.23,0.0142,15.93
2015-04-08,77846.0,1192355.5,0.07,0.44,0.07,1.25,0.0,292950.07,58720.0,19126.0,899405.43,,,,,,,,,,,,,,,,,,0.94,,,,100.0,1.08,0.0,0.0,,0.0,100.0,29.23,0.3956,53.38,0.0143,16.25
2015-04-09,35279.0,558319.83,0.03,0.2,0.03,0.58,0.0,24672.49,33720.0,1559.0,533647.35,,,,,,,,0.38,,25000.0,,,,,,,17567.0,0.55,0.29,,,0.61,0.61,5492321.0,86920597.17,,86.58,0.64,2.81,0.915,95.6,0.0064,16.79
2015-04-10,40279.0,635930.4,0.04,0.22,0.04,0.68,0.0,103554.4,33720.0,6559.0,532376.0,,,,0.08,,,,,5000.0,,,,0.08,,,,,0.57,,,,100.0,0.61,0.0,0.0,,0.0,100.0,14.83,0.7245,83.8,0.0073,16.75
2015-04-13,39720.0,630848.74,0.04,0.2,0.03,0.67,0.0,95294.37,33720.0,6000.0,535554.37,,,,,,,,,,,,,,,,,559.0,0.57,0.01,,,100.0,0.61,0.0,0.0,,0.0,100.0,15.09,0.7437,84.91,0.0072,16.85
2015-04-14,39720.0,640582.9,0.04,0.2,0.03,0.66,0.0,96764.79,33720.0,6000.0,543818.11,,,,,,,,,,,,,,,,,,0.56,,,,100.0,0.6,0.0,0.0,,0.0,100.0,15.18,0.7425,84.82,0.0071,17.11
2015-04-15,39720.0,647696.33,0.04,0.2,0.03,0.68,0.0,97839.32,33720.0,6000.0,549857.01,,,,,,,,,,,,,,,,,,0.58,,,,100.0,0.6,0.0,0.0,,0.0,100.0,14.93,0.746,85.07,0.007,17.3
2015-04-16,49720.0,787329.45,0.04,0.24,0.04,0.85,0.0,253364.26,33720.0,16000.0,533965.18,,,,0.17,,,,,10000.0,,,,0.17,,,,,0.58,,,,100.0,0.59,0.0,0.0,,0.0,100.0,32.12,0.564,67.88,0.0088,16.8
2015-04-17,49720.0,788266.74,0.04,0.23,0.04,0.83,0.0,253665.89,33720.0,16000.0,534600.86,,,,,,,,,,,,,,,,,,0.56,,,,100.0,0.54,0.0,0.0,,0.0,100.0,32.24,0.563,67.76,0.008,16.82
2015-04-20,49720.0,793421.88,0.04,0.23,0.04,0.84,0.0,255324.82,33720.0,16000.0,538097.06,,,,,,,,,,,,,,,,,,0.57,,,,100.0,0.54,0.0,0.0,,0.0,100.0,32.06,0.5644,67.94,0.0079,16.93
2015-04-21,16000.0,258039.44,0.01,0.07,0.01,0.27,0.0,258039.44,0.0,16000.0,0.0,,,,,,,,0.57,,33720.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,32.13,1.0,100.0,0.0024,17.11
2015-04-22,56000.0,936392.09,0.05,0.25,0.05,0.96,0.0,601966.34,20000.0,36000.0,334425.75,,,,,,20000.0,,,,,,,,,0.34,20000.0,,0.34,,,,100.0,0.3,0.0,0.0,,0.0,100.0,28.45,0.5929,71.55,0.0084,17.74
2015-04-23,96338.0,1634504.89,0.09,0.42,0.08,1.71,0.0,1295177.75,20000.0,76338.0,339327.14,,,,,,40338.0,,,,,,,,,0.72,,,0.35,,,,0.3,0.3,6647179.0,112778411.32,,113.14,0.31,41.51,0.3767,42.17,0.0145,18.0
2015-04-24,56000.0,972813.2,0.05,0.23,0.05,1.0,0.0,625379.92,20000.0,36000.0,347433.29,,,,,,,,,,,,,,,,,40338.0,0.36,0.72,,,34.04,0.29,38757.0,673273.59,,0.72,33.24,27.95,0.5972,72.05,0.0082,18.43
2015-04-27,25091.0,437527.94,0.02,0.1,0.02,0.46,0.0,348752.89,5091.0,20000.0,88775.05,,,,,,,,0.27,,14909.0,,,,,,,16000.0,0.09,0.28,,,8.66,0.07,53666.0,935808.63,,0.99,8.64,,1.0,100.0,0.0036,18.5
2015-04-28,10182.0,174766.88,0.01,0.04,0.01,0.19,0.0,87383.44,5091.0,5091.0,87383.44,,,,,,,,,,,,,,,,,14909.0,0.09,0.27,,,8.66,0.07,53666.0,921139.2,,0.97,8.81,,1.0,100.0,0.0015,18.21
2015-04-29,7091.0,119907.41,0.01,0.03,0.01,0.13,0.0,119907.41,0.0,7091.0,0.0,,,,,,2000.0,,0.09,,5091.0,,,,,0.04,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,28.2,0.595,71.8,0.001,17.94
2015-04-30,2000.0,34140.08,0.0,0.01,0.0,0.04,0.0,34140.08,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,5091.0,0.0,0.09,,,0.0,0.0,7025144.0,119919490.47,,121.1,0.0,,1.0,100.0,0.0003,18.11
2015-05-01,2000.0,34140.08,0.0,0.01,0.0,0.04,0.0,34140.08,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,7020197.0,119835044.98,,122.09,0.0,,1.0,100.0,0.0003,
2015-05-04,2000.0,34705.63,0.0,0.01,0.0,0.04,0.0,34705.63,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6993666.0,121359776.97,,122.92,0.0,,1.0,100.0,0.0003,18.41
2015-05-05,2000.0,34253.19,0.0,0.01,0.0,0.04,0.0,34253.19,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6989108.0,119699620.17,,123.0,0.0,,1.0,100.0,0.0003,18.17
2015-05-06,2000.0,33744.2,0.0,0.01,0.0,0.04,0.0,33744.2,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6793730.0,114624487.63,,117.43,0.0,,1.0,100.0,0.0003,17.9
2015-05-07,2000.0,33913.86,0.0,0.01,0.0,0.04,0.0,33913.86,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6905017.0,117087897.86,,119.02,0.0,,1.0,100.0,0.0003,17.99
2015-05-08,2000.0,33763.05,0.0,0.01,0.0,0.04,0.0,33763.05,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6973110.0,117716731.63,,120.39,0.0,,1.0,100.0,0.0003,17.91
2015-05-11,2000.0,33913.86,0.0,0.01,0.0,0.04,0.0,33913.86,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6977069.0,118309678.67,,120.31,0.0,,1.0,100.0,0.0003,17.99
2015-05-12,2000.0,33555.68,0.0,0.01,0.0,0.04,0.0,33555.68,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6935731.0,116366597.68,,119.24,0.0,,1.0,100.0,0.0003,17.8
2015-05-13,2000.0,33329.47,0.0,0.01,0.0,0.04,0.0,33329.47,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6937599.0,115613233.48,,117.98,0.0,,1.0,100.0,0.0003,17.68
2015-05-14,2000.0,32971.29,0.0,0.01,0.0,0.04,0.0,32971.29,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6943738.0,114471988.94,,117.29,0.0,,1.0,100.0,0.0003,17.49
2015-05-15,2000.0,32613.11,0.0,0.01,0.0,0.04,0.0,32613.11,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6940321.0,113172720.11,,116.03,0.0,,1.0,100.0,0.0003,17.3
2015-05-18,2000.0,32801.62,0.0,0.01,0.0,0.03,0.0,32801.62,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6935888.0,113754192.88,,115.72,0.0,,1.0,100.0,0.0003,17.4
2015-05-19,2000.0,33272.91,0.0,0.01,0.0,0.03,0.0,33272.91,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6914595.0,115034352.16,,116.52,0.0,,1.0,100.0,0.0003,17.65
2015-05-20,2000.0,33970.42,0.0,0.01,0.0,0.04,0.0,33970.42,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6908693.0,117345590.46,,117.91,0.0,,1.0,100.0,0.0003,18.02
2015-05-21,2000.0,34535.96,0.0,0.01,0.0,0.04,0.0,34535.96,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6911600.0,119349377.67,,120.07,0.0,,1.0,100.0,0.0003,18.32
2015-05-22,2000.0,34988.4,0.0,0.01,0.0,0.04,0.0,34988.4,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6909466.0,120875574.01,,121.97,0.0,,1.0,100.0,0.0003,18.56
2015-05-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2000.0,0.0,0.04,,,0.0,0.0,6919466.0,120267861.8,,123.15,0.0,,0.0,,0.0,18.44
2015-05-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6900010.0,120645111.07,,122.97,0.0,,0.0,,0.0,18.55
2015-05-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6802485.0,119260501.29,,121.05,0.0,,0.0,,0.0,18.6
2015-05-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6679957.0,114593807.18,,117.92,0.0,,0.0,,0.0,18.2
2015-05-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6651222.0,114539711.4,,115.93,0.0,,0.0,,0.0,18.27
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,6757141.0,118147078.98,,118.93,0.0,,0.0,,0.0,18.55
2015-06-02,110000.0,1925398.74,0.17,0.46,0.1,2.04,0.0,962699.37,55000.0,55000.0,962699.37,,,,,,55000.0,,,,,,,,,1.02,55000.0,,1.02,,,,0.8,0.8,6820201.0,119378239.86,,120.29,0.84,,1.0,100.0,0.016,18.57
2015-06-03,110000.0,1918140.91,0.17,0.46,0.1,2.04,0.0,959070.45,55000.0,55000.0,959070.45,,,,,,,,,,,,,,,,,,1.02,,,,0.78,0.78,7035095.0,122675486.31,,124.57,0.81,,1.0,100.0,0.0155,18.5
2015-06-04,110000.0,1940951.23,0.17,0.48,0.1,2.04,0.0,970475.61,55000.0,55000.0,970475.61,,,,,,,,,,,,,,,,,,1.02,,,,0.75,0.75,7231476.0,127599474.87,,128.86,0.78,,1.0,100.0,0.0151,18.72
2015-06-05,110000.0,1925398.74,0.17,0.49,0.1,2.06,0.0,962699.37,55000.0,55000.0,962699.37,,,,,,,,,,,,,,,,,,1.03,,,,0.78,0.78,7018881.0,122855860.05,,126.07,0.81,,1.0,100.0,0.0156,18.57
2015-06-08,55000.0,966328.28,0.09,0.26,0.05,1.03,0.0,966328.28,0.0,55000.0,0.0,,,,,,,,1.03,,55000.0,,,,,,,,0.0,,,,0.0,0.0,7222538.0,126897140.84,,128.18,0.0,,1.0,100.0,0.0076,18.64
2015-06-09,17200.0,302197.21,0.03,0.08,0.02,0.32,0.0,255128.24,2679.0,14521.0,47068.97,,,,,,,,,,,,,,,,2679.0,40479.0,0.05,0.76,,,0.04,0.04,7213891.0,126745216.47,,128.69,0.04,,1.0,100.0,0.0024,18.64
2015-06-10,5358.0,96562.1,0.01,0.03,0.0,0.1,0.0,48281.05,2679.0,2679.0,48281.05,,,,,,,,,,,,,,,,,11842.0,0.05,0.22,,,0.04,0.04,7214763.0,130024757.0,,129.66,0.04,,1.0,100.0,0.0007,19.12
2015-06-11,5358.0,95804.55,0.01,0.03,0.0,0.1,0.0,47902.27,2679.0,2679.0,47902.27,,,,,,,,,,,,,,,,,,0.05,,,,0.04,0.04,7229031.0,129259809.49,,132.37,0.04,,1.0,100.0,0.0007,18.97
2015-06-12,5358.0,94137.94,0.01,0.03,0.0,0.1,0.0,47068.97,2679.0,2679.0,47068.97,,,,,,,,,,,,,,,,,,0.05,,,,0.04,0.04,7228917.0,127009217.35,,130.76,0.04,,1.0,100.0,0.0007,18.64
