,CI2 FP Equity_DX_SI_QTY,CI2 FP Equity_DX_SHORT_INTEREST_VALUE,CI2 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CI2 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CI2 FP Equity_DX_SI_MV,CI2 FP Equity_DX_DSS,CI2 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CI2 FP Equity_DX_SUPPLY_SI_QTY,CI2 FP Equity_DX_BROKER_SI_QTY,CI2 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CI2 FP Equity_DX_BROKER_SI_MV_NEW_x,CI2 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CI2 FP Equity_DX_BROKER_SI_MV_INC_x,CI2 FP Equity_DX_BROKER_SI_QTY_ADD,CI2 FP Equity_DX_BROKER_SI_QTY_NEW,CI2 FP Equity_DX_SUPPLY_SI_MV_DEC,CI2 FP Equity_DX_BROKER_SI_QTY_INC,CI2 FP Equity_DX_SUPPLY_SI_QTY_DEC,CI2 FP Equity_DX_BROKER_SI_MV_NEW_y,CI2 FP Equity_DX_BROKER_SI_MV_INC_y,CI2 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CI2 FP Equity_DX_BROKER_SI_MV_ADD,CI2 FP Equity_DX_SUPPLY_SI_QTY_ADD,CI2 FP Equity_DX_BROKER_SI_QTY_DEC,CI2 FP Equity_DX_SUPPLY_SI_MV,CI2 FP Equity_DX_BROKER_SI_MV_DEC,CI2 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CI2 FP Equity_DX_UTILIZATION_QUANTITY,CI2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CI2 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CI2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CI2 FP Equity_DX_ACTIVE_UTILIZATION_MV,CI2 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CI2 FP Equity_DX_BROKER_SI_CON_RATIO,CI2 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CI2 FP Equity_DX_DEMAND_SUPPLY_RATIO,CI2 FP Equity_PX_LAST
2009-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.64
2009-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.55
2009-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.59
2009-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.9
2009-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.58
2009-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.33
2009-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.11
2009-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.1
2009-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.93
2009-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.08
2009-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.17
2009-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.96
2009-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.1
2009-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.38
2009-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.96
2009-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.16
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.95
2009-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.11
2009-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.77
2009-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.38
2009-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.57
2009-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.16
2009-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.51
2009-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.86
2009-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.52
2009-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.69
2009-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.43
2009-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.32
2009-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.64
2009-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.32
2009-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.46
2009-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.35
2009-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0
2009-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0
2009-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.97
2009-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.6
2009-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.89
2009-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.99
2009-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.67
2009-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.29
2009-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.42
2009-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.27
2009-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.17
2009-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.61
2009-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.47
2009-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.73
2009-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.25
2009-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.78
2009-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.23
2009-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.34
2009-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.72
2009-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.76
2009-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.76
2009-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.4
2009-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.9
2009-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.82
2009-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.08
2009-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.36
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.88
2009-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.18
2009-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.69
2009-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.51
2009-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.62
2009-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.79
2009-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.94
2009-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.97
2009-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.06
2009-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0
2009-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.86
2009-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.85
2009-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.2
2009-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.99
2009-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.87
2009-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.08
2009-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.96
2009-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.72
2009-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.46
2009-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.24
2009-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.13
2009-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.92
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.39
2009-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.86
2009-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.08
2009-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.72
2009-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.65
2009-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.93
2009-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.51
2009-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.11
2009-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.5
2009-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.98
2009-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.09
2009-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.29
2009-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.46
2009-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.1
2009-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.25
2009-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.03
2009-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.1
2009-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.21
2009-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.92
2009-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.22
2009-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.95
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.31
2009-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.41
2009-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.38
2009-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.95
2009-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.86
2009-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.77
2009-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.76
2009-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.1
2009-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.18
2009-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.95
2009-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.24
2009-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.5
2009-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.26
2009-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.14
2009-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.36
2009-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.65
2009-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.31
2009-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.3
2009-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.23
2009-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.28
2009-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.59
2009-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.98
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.82
2009-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.34
2009-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.35
2009-10-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,105700.0,0.1,0.0,,0.0,,0.0,302.0
2009-10-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,107380.0,0.11,0.0,,0.0,,0.0,306.8
2009-10-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,106498.0,0.11,0.0,,0.0,,0.0,304.28
2009-10-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,107754.5,0.11,0.0,,0.0,,0.0,307.87
2009-10-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,106487.5,0.11,0.0,,0.0,,0.0,304.25
2009-10-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,108178.0,0.11,0.0,,0.0,,0.0,309.08
2009-10-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,107947.0,0.11,0.0,,0.0,,0.0,308.42
2009-10-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,110267.5,0.11,0.0,,0.0,,0.0,315.05
2009-10-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,109231.5,0.11,0.0,,0.0,,0.0,312.09
2009-10-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,109287.5,0.11,0.0,,0.0,,0.0,312.25
2009-10-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,110334.0,0.11,0.0,,0.0,,0.0,315.24
2009-10-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,108867.5,0.11,0.0,,0.0,,0.0,311.05
2009-10-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,107873.5,0.11,0.0,,0.0,,0.0,308.21
2009-10-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,104912.5,0.11,0.0,,0.0,,0.0,299.75
2009-10-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,104412.0,0.11,0.0,,0.0,,0.0,298.32
2009-10-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,103460.0,0.1,0.0,,0.0,,0.0,295.6
2009-10-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,101871.0,0.1,0.0,,0.0,,0.0,291.06
2009-10-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,100758.0,0.1,0.0,,0.0,,0.0,287.88
2009-10-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,100789.5,0.1,0.0,,0.0,,0.0,287.97
2009-10-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,97335.0,0.1,0.0,,0.0,,0.0,278.1
2009-11-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,97566.0,0.1,0.0,,0.0,,0.0,278.76
2009-11-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,96341.0,0.1,0.0,,0.0,,0.0,275.26
2009-11-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,99711.5,0.1,0.0,,0.0,,0.0,284.89
2009-11-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,101136.0,0.1,0.0,,0.0,,0.0,288.96
2009-11-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,101955.0,0.1,0.0,,0.0,,0.0,291.3
2009-11-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,104643.0,0.1,0.0,,0.0,,0.0,298.98
2009-11-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,104170.5,0.1,0.0,,0.0,,0.0,297.63
2009-11-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,106312.5,0.1,0.0,,0.0,,0.0,303.75
2009-11-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,105826.0,0.11,0.0,,0.0,,0.0,302.36
2009-11-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,107145.5,0.11,0.0,,0.0,,0.0,306.13
2009-11-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,109161.5,0.11,0.0,,0.0,,0.0,311.89
2009-11-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,108990.0,0.11,0.0,,0.0,,0.0,311.4
2009-11-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,108122.0,0.11,0.0,,0.0,,0.0,308.92
2009-11-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,105213.5,0.11,0.0,,0.0,,0.0,300.61
2009-11-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,107009.0,0.11,0.0,,0.0,,0.0,305.74
2009-11-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,108986.5,0.11,0.0,,0.0,,0.0,311.39
2009-11-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,108398.5,0.11,0.0,,0.0,,0.0,309.71
2009-11-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,108360.0,0.11,0.0,,0.0,,0.0,309.6
2009-11-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,104443.5,0.11,0.0,,0.0,,0.0,298.41
2009-11-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,105658.0,0.1,0.0,,0.0,,0.0,301.88
2009-11-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,106323.0,0.11,0.0,,0.0,,0.0,303.78
2009-12-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,108804.5,0.11,0.0,,0.0,,0.0,310.87
2009-12-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,108997.0,0.11,0.0,,0.0,,0.0,311.42
2009-12-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,108801.0,0.11,0.0,,0.0,,0.0,310.86
2009-12-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,110334.0,0.11,0.0,,0.0,,0.0,315.24
2009-12-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,108808.0,0.11,0.0,,0.0,,0.0,310.88
2009-12-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,350.0,109259.5,0.11,0.0,,0.0,,0.0,312.17
