,MLWEA FP Equity_PX_LAST
2023-01-24,2.38
2023-01-25,2.38
2023-01-26,2.4
2023-01-27,2.4
2023-01-30,2.4
2023-01-31,2.4
2023-02-01,2.4
2023-02-02,2.4
2023-02-03,2.4
2023-02-06,2.4
2023-02-07,2.34
2023-02-08,2.34
2023-02-09,2.34
2023-02-10,2.34
2023-02-13,2.34
2023-02-14,2.34
2023-02-15,2.34
2023-02-16,2.34
2023-02-17,2.34
2023-02-20,2.34
2023-02-21,2.34
2023-02-22,2.34
2023-02-23,2.34
2023-02-24,2.34
2023-02-27,2.34
2023-02-28,2.34
2023-03-01,2.34
2023-03-02,2.34
2023-03-03,2.34
2023-03-06,2.34
2023-03-07,2.34
2023-03-08,2.34
2023-03-09,2.34
2023-03-10,2.34
2023-03-13,2.34
2023-03-14,2.34
2023-03-15,2.34
2023-03-16,1.72
2023-03-17,1.72
2023-03-20,1.72
2023-03-21,1.72
2023-03-22,1.72
2023-03-23,1.72
2023-03-24,1.89
2023-03-27,1.89
2023-03-28,1.89
2023-03-29,1.89
2023-03-30,1.89
2023-03-31,1.89
2023-04-03,1.89
2023-04-04,1.89
2023-04-05,1.89
2023-04-06,1.89
2023-04-11,1.89
2023-04-12,1.89
2023-04-13,1.89
2023-04-14,1.89
2023-04-17,1.89
2023-04-18,1.89
2023-04-19,1.89
2023-04-20,1.89
2023-04-21,2.4
2023-04-24,2.4
2023-04-25,2.4
2023-04-26,2.4
2023-04-27,2.4
2023-04-28,2.4
2023-05-02,2.4
2023-05-03,2.4
2023-05-04,2.4
2023-05-05,2.4
2023-05-08,2.4
2023-05-09,2.4
2023-05-10,2.4
2023-05-11,2.4
2023-05-12,2.4
2023-05-15,2.4
2023-05-16,2.4
2023-05-17,2.4
2023-05-18,2.4
2023-05-19,2.4
2023-05-22,2.4
2023-05-23,2.4
2023-05-24,2.4
2023-05-25,2.4
2023-05-26,2.4
2023-05-29,2.4
2023-05-30,2.4
2023-05-31,2.4
2023-06-01,2.4
2023-06-02,2.4
2023-06-05,2.4
2023-06-06,2.4
2023-06-07,2.4
2023-06-08,2.4
2023-06-09,2.4
2023-06-12,2.4
2023-06-13,2.4
2023-06-14,2.4
2023-06-15,2.4
2023-06-16,2.4
2023-06-19,2.4
2023-06-20,2.4
2023-06-21,2.4
2023-06-22,2.4
2023-06-23,2.4
2023-06-26,2.4
2023-06-27,2.4
2023-06-28,2.4
2023-06-29,2.4
2023-06-30,2.4
2023-07-03,1.34
2023-07-04,1.34
2023-07-05,1.34
2023-07-06,1.34
2023-07-07,2.04
2023-07-10,2.04
2023-07-11,2.04
2023-07-12,2.04
2023-07-13,2.04
2023-07-14,2.04
2023-07-17,2.04
2023-07-18,2.04
2023-07-19,2.04
2023-07-20,2.04
2023-07-21,2.04
2023-07-24,1.5
2023-07-25,1.5
2023-07-26,1.5
2023-07-27,1.5
2023-07-28,1.5
2023-07-31,1.5
2023-08-01,1.5
2023-08-02,1.5
2023-08-03,1.5
2023-08-04,1.5
2023-08-07,1.5
2023-08-08,1.5
2023-08-09,1.5
2023-08-10,1.5
2023-08-11,1.5
2023-08-14,1.5
2023-08-15,1.5
2023-08-16,1.5
2023-08-17,1.5
2023-08-18,1.5
2023-08-21,1.06
2023-08-22,1.49
2023-08-23,1.65
2023-08-24,1.65
2023-08-25,2.0
2023-08-28,2.0
2023-08-29,2.0
2023-08-30,2.0
2023-08-31,2.0
2023-09-01,2.0
2023-09-04,2.0
2023-09-05,2.0
2023-09-06,2.0
2023-09-07,2.0
2023-09-08,2.0
2023-09-11,2.0
2023-09-12,2.0
2023-09-13,2.0
2023-09-14,2.0
2023-09-15,2.0
2023-09-18,2.0
2023-09-19,2.0
2023-09-20,2.0
2023-09-21,2.0
2023-09-22,2.0
2023-09-25,2.0
2023-09-26,2.0
2023-09-27,2.0
2023-09-28,2.0
2023-09-29,2.0
2023-10-02,2.0
2023-10-03,2.0
2023-10-04,2.0
2023-10-05,2.0
2023-10-06,2.0
2023-10-09,2.0
2023-10-10,2.0
2023-10-11,2.0
2023-10-12,2.0
2023-10-13,2.0
2023-10-16,2.0
2023-10-17,2.0
2023-10-18,2.0
2023-10-19,2.0
2023-10-20,2.0
2023-10-23,2.0
2023-10-24,2.0
2023-10-25,2.0
2023-10-26,2.0
2023-10-27,2.0
2023-10-30,2.2
2023-10-31,2.2
2023-11-01,2.2
2023-11-02,2.2
2023-11-03,2.2
2023-11-06,2.2
2023-11-07,2.2
2023-11-08,2.2
2023-11-09,2.2
2023-11-10,2.2
2023-11-13,2.2
2023-11-14,2.2
2023-11-15,2.2
2023-11-16,2.2
2023-11-17,2.2
2023-11-20,2.42
2023-11-21,2.42
2023-11-22,2.42
2023-11-23,2.42
2023-11-24,2.42
2023-11-27,2.42
2023-11-28,2.42
2023-11-29,2.42
2023-11-30,2.42
2023-12-01,2.42
2023-12-04,2.42
2023-12-05,2.42
2023-12-06,2.42
2023-12-07,2.42
2023-12-08,2.42
2023-12-11,2.42
2023-12-12,2.42
2023-12-13,2.42
2023-12-14,2.42
2023-12-15,2.42
2023-12-18,2.42
2023-12-19,2.42
2023-12-20,2.42
2023-12-21,2.42
2023-12-22,2.42
2023-12-27,2.42
2023-12-28,2.42
2023-12-29,2.42
2024-01-02,2.42
2024-01-03,2.42
2024-01-04,2.42
2024-01-05,2.42
2024-01-08,2.42
2024-01-09,2.42
2024-01-10,2.42
2024-01-11,2.42
2024-01-12,2.42
2024-01-15,2.42
2024-01-16,2.42
2024-01-17,2.42
2024-01-18,2.42
2024-01-19,2.42
2024-01-22,2.42
2024-01-23,2.42
2024-01-24,2.42
2024-01-25,2.42
2024-01-26,2.42
2024-01-29,2.42
2024-01-30,2.42
2024-01-31,2.42
2024-02-01,2.42
2024-02-02,2.42
2024-02-05,2.42
2024-02-06,2.42
2024-02-07,2.42
2024-02-08,2.42
2024-02-09,2.42
2024-02-12,2.42
2024-02-13,2.42
2024-02-14,2.42
2024-02-15,2.42
2024-02-16,2.42
2024-02-19,2.42
2024-02-20,2.42
2024-02-21,2.42
2024-02-22,2.42
2024-02-23,2.42
2024-02-26,2.42
2024-02-27,2.42
2024-02-28,2.42
2024-02-29,2.42
2024-03-01,2.42
2024-03-04,2.42
2024-03-05,2.42
2024-03-06,1.97
2024-03-07,1.97
2024-03-08,1.97
2024-03-11,1.97
2024-03-12,1.97
2024-03-13,1.97
2024-03-14,1.97
2024-03-15,1.97
2024-03-18,1.97
2024-03-19,1.19
2024-03-20,1.19
2024-03-21,1.19
2024-03-22,1.19
2024-03-25,1.19
2024-03-26,1.19
2024-03-27,1.07
2024-03-28,1.07
2024-04-02,1.07
2024-04-03,1.07
2024-04-04,1.07
2024-04-05,1.07
2024-04-08,1.07
2024-04-09,1.07
2024-04-10,1.07
2024-04-11,1.4
2024-04-12,1.4
2024-04-15,1.4
2024-04-16,1.4
2024-04-17,1.16
2024-04-18,1.16
2024-04-19,1.54
2024-04-22,1.69
2024-04-23,1.85
2024-04-24,2.02
2024-04-25,2.02
2024-04-26,2.02
2024-04-29,2.02
2024-04-30,2.02
2024-05-02,2.02
2024-05-03,1.98
2024-05-06,1.98
2024-05-07,1.98
2024-05-08,1.98
2024-05-09,1.98
2024-05-10,1.98
2024-05-13,1.98
2024-05-14,1.98
2024-05-15,1.98
2024-05-16,1.98
2024-05-17,1.98
2024-05-20,1.98
2024-05-21,1.98
2024-05-22,1.98
2024-05-23,1.98
2024-05-24,1.98
2024-05-27,1.98
2024-05-28,1.98
2024-05-29,1.98
2024-05-30,1.98
2024-05-31,1.98
2024-06-03,1.98
2024-06-04,1.98
2024-06-05,1.98
2024-06-06,1.98
2024-06-07,1.52
2024-06-10,1.52
2024-06-11,1.52
2024-06-12,2.0
2024-06-13,2.0
2024-06-14,2.0
2024-06-17,2.0
2024-06-18,2.0
2024-06-19,2.0
2024-06-20,2.0
2024-06-21,0.88
2024-06-24,0.86
2024-06-25,0.86
2024-06-26,0.72
2024-06-27,0.71
2024-06-28,0.71
2024-07-01,0.71
2024-07-02,0.71
2024-07-03,0.71
2024-07-04,0.71
2024-07-05,0.71
2024-07-08,0.585
2024-07-09,0.58
2024-07-10,0.58
2024-07-11,0.58
2024-07-12,0.58
2024-07-15,0.478
2024-07-16,0.478
2024-07-17,0.478
2024-07-18,0.478
2024-07-19,0.478
2024-07-22,0.478
2024-07-23,0.48
2024-07-24,0.48
2024-07-25,0.48
2024-07-26,0.48
2024-07-29,0.57
2024-07-30,0.57
2024-07-31,0.57
2024-08-01,0.57
2024-08-02,0.48
2024-08-05,0.48
2024-08-06,0.452
2024-08-07,0.452
2024-08-08,0.452
2024-08-09,0.452
2024-08-12,0.452
2024-08-13,0.452
2024-08-14,0.452
2024-08-15,0.452
2024-08-16,0.452
2024-08-19,0.452
2024-08-20,0.452
2024-08-21,0.452
2024-08-22,0.452
2024-08-23,0.452
2024-08-26,0.452
2024-08-27,0.452
2024-08-28,0.452
2024-08-29,0.452
2024-08-30,0.46
2024-09-02,0.452
2024-09-03,0.452
2024-09-04,0.452
2024-09-05,0.452
2024-09-06,0.452
2024-09-09,0.452
2024-09-10,0.452
2024-09-11,0.452
2024-09-12,0.452
2024-09-13,0.452
2024-09-16,0.452
2024-09-17,0.452
2024-09-18,0.452
2024-09-19,0.452
2024-09-20,0.452
2024-09-23,0.452
2024-09-24,0.452
2024-09-25,0.452
2024-09-26,0.452
2024-09-27,0.452
2024-09-30,0.46
2024-10-01,0.46
2024-10-02,0.46
2024-10-03,0.46
2024-10-04,0.46
2024-10-07,0.46
2024-10-08,0.46
2024-10-09,0.46
2024-10-10,0.46
2024-10-11,0.46
2024-10-14,0.46
2024-10-15,0.46
2024-10-16,0.46
2024-10-17,0.46
2024-10-18,0.46
2024-10-21,0.46
2024-10-22,0.46
2024-10-23,0.46
2024-10-24,0.46
2024-10-25,0.46
2024-10-28,0.46
2024-10-29,0.46
2024-10-30,0.46
2024-10-31,0.46
2024-11-01,0.46
2024-11-04,0.46
2024-11-05,0.46
2024-11-06,0.46
2024-11-07,0.46
2024-11-08,0.46
2024-11-11,0.45
2024-11-12,0.45
2024-11-13,0.45
2024-11-14,0.45
2024-11-15,0.45
2024-11-18,0.45
2024-11-19,0.45
2024-11-20,0.45
2024-11-21,0.45
2024-11-22,0.45
2024-11-25,0.45
2024-11-26,0.45
2024-11-27,0.45
2024-11-28,0.45
2024-11-29,0.45
2024-12-02,0.45
2024-12-03,0.45
2024-12-04,0.45
2024-12-05,0.45
2024-12-06,0.45
2024-12-09,0.45
2024-12-10,0.45
2024-12-11,0.45
2024-12-12,0.45
2024-12-13,0.45
2024-12-16,0.42
2024-12-17,0.46
2024-12-18,0.46
2024-12-19,0.46
2024-12-20,0.382
2024-12-23,0.382
2024-12-24,0.382
2024-12-27,0.382
2024-12-30,0.382
2024-12-31,0.382
2025-01-02,0.382
2025-01-03,0.382
2025-01-06,0.382
2025-01-07,0.382
2025-01-08,0.382
2025-01-09,0.42
2025-01-10,0.42
2025-01-13,0.42
2025-01-14,0.42
2025-01-15,0.42
2025-01-16,0.42
2025-01-17,0.42
2025-01-20,0.42
2025-01-21,0.42
2025-01-22,0.42
2025-01-23,0.42
2025-01-24,0.42
2025-01-27,0.42
2025-01-28,0.42
2025-01-29,0.41
2025-01-30,0.41
2025-01-31,0.41
2025-02-03,0.41
2025-02-04,0.41
2025-02-05,0.41
2025-02-06,0.41
2025-02-07,0.41
2025-02-10,0.41
2025-02-11,0.41
2025-02-12,0.41
2025-02-13,0.38
2025-02-14,0.38
2025-02-17,0.38
2025-02-18,0.38
2025-02-19,0.38
2025-02-20,0.38
2025-02-21,0.38
2025-02-24,0.38
2025-02-25,0.38
2025-02-26,0.38
2025-02-27,0.38
2025-02-28,0.38
2025-03-03,0.38
2025-03-04,0.38
2025-03-05,0.38
2025-03-06,0.38
2025-03-07,0.462
2025-03-10,0.462
2025-03-11,0.462
2025-03-12,0.5
2025-03-13,0.5
2025-03-14,0.5
2025-03-17,0.5
2025-03-18,0.5
2025-03-19,0.5
2025-03-20,0.5
2025-03-21,0.5
2025-03-24,0.5
2025-03-25,0.5
2025-03-26,0.5
2025-03-27,0.5
2025-03-28,0.5
2025-03-31,0.5
2025-04-01,0.5
2025-04-02,0.5
2025-04-03,0.5
2025-04-04,0.6
2025-04-07,0.6
2025-04-08,0.6
2025-04-09,0.6
2025-04-10,0.6
2025-04-11,0.6
2025-04-14,0.6
2025-04-15,0.6
2025-04-16,0.6
2025-04-17,0.6
2025-04-22,0.6
2025-04-23,0.6
2025-04-24,0.6
2025-04-25,0.6
2025-04-28,0.8
2025-04-29,0.8
2025-04-30,0.8
2025-05-02,0.96
2025-05-05,0.96
2025-05-06,0.96
2025-05-07,0.585
2025-05-08,0.585
2025-05-09,0.585
2025-05-12,0.585
2025-05-13,0.585
2025-05-14,0.585
2025-05-15,0.585
2025-05-16,0.585
2025-05-19,0.585
2025-05-20,0.585
2025-05-21,0.585
2025-05-22,0.585
2025-05-23,0.585
2025-05-26,0.585
2025-05-27,0.585
2025-05-28,0.585
2025-05-29,0.585
2025-05-30,0.585
2025-06-02,0.585
2025-06-03,0.585
2025-06-04,0.585
2025-06-05,0.585
2025-06-06,0.585
2025-06-09,0.585
2025-06-10,0.585
2025-06-11,0.65
