,ALBON FP Equity_DX_SI_QTY,ALBON FP Equity_DX_SHORT_INTEREST_VALUE,ALBON FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBON FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBON FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBON FP Equity_DX_SI_MV,ALBON FP Equity_DX_DSS,ALBON FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBON FP Equity_DX_SUPPLY_SI_QTY,ALBON FP Equity_DX_BROKER_SI_QTY,ALBON FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBON FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBON FP Equity_DX_BROKER_SI_MV_INC_x,ALBON FP Equity_DX_BROKER_SI_QTY_ADD,ALBON FP Equity_DX_SUPPLY_SI_MV_DEC,ALBON FP Equity_DX_BROKER_SI_QTY_INC,ALBON FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBON FP Equity_DX_BROKER_SI_MV_INC_y,ALBON FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBON FP Equity_DX_BROKER_SI_MV_ADD,ALBON FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBON FP Equity_DX_BROKER_SI_QTY_DEC,ALBON FP Equity_DX_SUPPLY_SI_MV,ALBON FP Equity_DX_BROKER_SI_MV_DEC,ALBON FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBON FP Equity_DX_UTILIZATION_QUANTITY,ALBON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBON FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBON FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBON FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBON FP Equity_DX_BROKER_SI_CON_RATIO,ALBON FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBON FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBON FP Equity_PX_LAST
1989-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.2745
1989-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.2745
1989-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.5123
1989-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.2256
1989-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0368
1989-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.75
1989-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.9025
1989-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.9333
1989-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.9823
1989-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.4578
1989-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0313
1989-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0803
1989-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.2327
1989-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.7082
1989-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.8062
1989-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.2327
1989-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.2327
1989-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.7082
1989-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1989-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1989-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.8062
1989-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.1419
1989-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.2762
1989-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.6356
1989-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.2762
1989-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.1237
1989-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.6482
1989-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.4286
1989-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.8496
1989-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0874
1989-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.9531
1989-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.7517
1989-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.4286
1989-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.8496
1989-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.6245
1989-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.8623
1989-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.9476
1989-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.7462
1989-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0203
1990-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.3433
1990-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.4286
1990-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.4286
1990-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.2217
1990-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.6972
1990-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.4105
1990-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.3433
1990-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.4286
1990-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0566
1990-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.9041
1990-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.837
1990-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.8007
1990-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.7698
1990-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.2762
1990-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.5503
1990-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.4286
1990-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.9586
1990-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.3307
1990-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.3307
1990-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0929
1990-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.8062
1990-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.8062
1990-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.5684
1990-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.69
1990-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.69
1990-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.6229
1990-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.6229
1990-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.8607
1990-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.2327
1990-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1990-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1990-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.5558
1990-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.5558
1990-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0313
1990-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.2019
1990-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.5068
1990-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.9515
1990-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.5068
1990-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0858
1990-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0858
1990-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.3235
1990-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.3235
1990-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0858
1990-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.8172
1990-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.5613
1990-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.5613
1990-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.5613
1990-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.799
1990-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.5613
1990-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.1403
1990-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.5123
1990-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.4633
1990-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.2256
1990-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.75
1990-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.4088
1990-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.4941
1990-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.9878
1990-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.9878
1990-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.9878
1990-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.9025
1990-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7011
1990-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.1221
1990-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0858
1990-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.5613
1990-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.4578
1990-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.6103
1990-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.5613
1990-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.6103
1990-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.1347
1990-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.6592
1990-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1990-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1990-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0313
1990-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1990-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1990-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.6592
1990-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0313
1990-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1990-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0803
1990-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.2145
1990-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.7572
1990-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.7572
1990-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.946
1990-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0439
1990-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.1782
1990-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.5684
1990-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.7572
1990-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.7572
1990-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.7572
1990-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.6537
1990-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0439
1990-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.8062
1990-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.8062
1990-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.3307
1990-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.8062
1990-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.788
1990-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.8552
1990-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0929
1990-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.9405
1990-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.8062
1990-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.8062
1990-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.8062
1990-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.2817
1990-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.2817
1990-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.7572
1990-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.7572
1990-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.2817
1990-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.2817
1990-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.8552
1990-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.1237
1990-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.8496
1990-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0021
1990-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.5266
1990-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.7462
1990-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.8986
1990-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.5266
1990-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.9041
1990-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.1419
1990-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.3741
1990-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.4286
1990-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.8062
1990-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.5684
1990-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.8552
1990-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.3307
1990-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.6174
1990-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.6174
1990-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.2454
1990-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.4831
1990-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.3307
1990-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.2327
1990-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.7137
1990-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1990-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.5921
1990-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.8298
1990-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0313
1990-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1990-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.946
1990-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.8298
1990-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.1347
1990-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.1403
1990-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9388
1990-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9388
1990-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9388
1990-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6031
1990-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.7919
1990-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.2002
1990-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.7429
1990-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0225
1990-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.3511
1990-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.1496
1990-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.6306
1990-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.2531
1990-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0715
1990-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.6939
1990-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.6939
1990-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.2184
1990-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.2184
1990-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.4562
1990-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.6449
1990-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.5415
1990-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.596
1990-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.389
1990-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.2674
1990-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.7429
1990-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.6939
1990-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.017
1990-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.1694
1990-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.7302
1990-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.1204
1990-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.596
1990-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.8519
1991-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3572
1991-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5949
1991-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3082
1991-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7869
1991-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0704
1991-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5949
1991-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5949
1991-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1376
1991-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2047
1991-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8327
1991-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0033
1991-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5459
1991-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5949
1991-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8508
1991-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8661
1991-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8508
1991-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3082
1991-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8508
1991-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6984
1991-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0886
1991-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6984
1991-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5949
1991-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8327
1991-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5949
1991-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7655
1991-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8327
1991-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2229
