,EQUA FP Equity_DX_SI_QTY,EQUA FP Equity_DX_SHORT_INTEREST_VALUE,EQUA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EQUA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EQUA FP Equity_DX_SI_MV,EQUA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EQUA FP Equity_DX_SUPPLY_SI_QTY,EQUA FP Equity_DX_BROKER_SI_QTY,EQUA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EQUA FP Equity_DX_SUPPLY_SI_MV,EQUA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EQUA FP Equity_DX_UTILIZATION_QUANTITY,EQUA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EQUA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EQUA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EQUA FP Equity_DX_ACTIVE_UTILIZATION_MV,EQUA FP Equity_DX_BROKER_SI_CON_RATIO,EQUA FP Equity_DX_DEMAND_SUPPLY_RATIO,EQUA FP Equity_PX_LAST
2017-01-03,,,,,,,,,,,,,,,,,,,103.549
2017-01-04,,,,,,,,,,,,,,,,,,,103.324
2017-01-05,,,,,,,,,,,,,,,,,,,103.283
2017-01-06,,,,,,,,,,,,,,,,,,,103.275
2017-01-09,,,,,,,,,,,,,,,,,,,102.851
2017-01-10,,,,,,,,,,,,,,,,,,,102.573
2017-01-11,,,,,,,,,,,,,,,,,,,103.14
2017-01-12,,,,,,,,,,,,,,,,,,,102.465
2017-01-13,,,,,,,,,,,,,,,,,,,103.422
2017-01-16,,,,,,,,,,,,,,,,,,,102.756
2017-01-17,,,,,,,,,,,,,,,,,,,102.808
2017-01-18,,,,,,,,,,,,,,,,,,,103.055
2017-01-19,,,,,,,,,,,,,,,,,,,103.01
2017-01-20,,,,,,,,,,,,,,,,,,,102.887
2017-01-23,,,,,,,,,,,,,,,,,,,102.633
2017-01-24,,,,,,,,,,,,,,,,,,,102.256
2017-01-25,,,,,,,,,,,,,,,,,,,103.794
2017-01-26,,,,,,,,,,,,,,,,,,,104.437
2017-01-27,,,,,,,,,,,,,,,,,,,104.325
2017-01-30,,,,,,,,,,,,,,,,,,,103.251
2017-01-31,,,,,,,,,,,,,,,,,,,102.451
2017-02-01,,,,,,,,,,,,,,,,,,,103.374
2017-02-02,,,,,,,,,,,,,,,,,,,103.148
2017-02-03,,,,,,,,,,,,,,,,,,,103.558
2017-02-06,,,,,,,,,,,,,,,,,,,102.817
2017-02-07,,,,,,,,,,,,,,,,,,,103.475
2017-02-08,,,,,,,,,,,,,,,,,,,103.955
2017-02-09,,,,,,,,,,,,,,,,,,,104.525
2017-02-10,,,,,,,,,,,,,,,,,,,104.844
2017-02-13,,,,,,,,,,,,,,,,,,,105.466
2017-02-14,,,,,,,,,,,,,,,,,,,105.351
2017-02-15,,,,,,,,,,,,,,,,,,,105.242
2017-02-16,,,,,,,,,,,,,,,,,,,105.561
2017-02-17,,,,,,,,,,,,,,,,,,,105.529
2017-02-20,,,,,,,,,,,,,,,,,,,105.94
2017-02-21,,,,,,,,,,,,,,,,,,,106.733
2017-02-22,,,,,,,,,,,,,,,,,,,106.788
2017-02-23,,,,,,,,,,,,,,,,,,,106.976
2017-02-24,,,,,,,,,,,,,,,,,,,105.963
2017-02-27,,,,,,,,,,,,,,,,,,,105.739
2017-02-28,,,,,,,,,,,,,,,,,,,105.797
2017-03-01,,,,,,,,,,,,,,,,,,,106.843
2017-03-02,,,,,,,,,,,,,,,,,,,107.093
2017-03-03,,,,,,,,,,,,,,,,,,,106.897
2017-03-06,,,,,,,,,,,,,,,,,,,106.519
2017-03-07,,,,,,,,,,,,,,,,,,,106.325
2017-03-08,,,,,,,,,,,,,,,,,,,106.342
2017-03-09,,,,,,,,,,,,,,,,,,,106.4
2017-03-10,,,,,,,,,,,,,,,,,,,106.196
2017-03-13,,,,,,,,,,,,,,,,,,,106.793
2017-03-14,,,,,,,,,,,,,,,,,,,106.637
2017-03-15,,,,,,,,,,,,,,,,,,,106.914
2017-03-16,,,,,,,,,,,,,,,,,,,107.612
2017-03-17,,,,,,,,,,,,,,,,,,,107.941
2017-03-20,,,,,,,,,,,,,,,,,,,107.655
2017-03-21,,,,,,,,,,,,,,,,,,,107.574
2017-03-22,,,,,,,,,,,,,,,,,,,107.143
2017-03-23,,,,,,,,,,,,,,,,,,,108.278
2017-03-24,,,,,,,,,,,,,,,,,,,108.401
2017-03-27,,,,,,,,,,,,,,,,,,,107.936
2017-03-28,,,,,,,,,,,,,,,,,,,108.478
2017-03-29,,,,,,,,,,,,,,,,,,,108.656
2017-03-30,,,,,,,,,,,,,,,,,,,109.313
2017-03-31,,,,,,,,,,,,,,,,,,,109.938
2017-04-03,,,,,,,,,,,,,,,,,,,109.355
2017-04-04,,,,,,,,,,,,,,,,,,,109.669
2017-04-05,,,,,,,,,,,,,,,,,,,109.9
2017-04-06,,,,,,,,,,,,,,,,,,,109.882
2017-04-07,,,,,,,,,,,,,,,,,,,110.128
2017-04-10,,,,,,,,,,,,,,,,,,,110.251
2017-04-11,,,,,,,,,,,,,,,,,,,110.175
2017-04-12,,,,,,,,,,,,,,,,,,,110.849
2017-04-13,,,,,,,,,,,,,,,,,,,110.75
2017-04-18,,,,,,,,,,,,,,,,,,,109.542
2017-04-19,,,,,,,,,,,,,,,,,,,109.639
2017-04-20,,,,,,,,,,,,,,,,,,,109.711
2017-04-21,,,,,,,,,,,,,,,,,,,109.567
2017-04-24,,,,,,,,,,,,,,,,,,,110.825
2017-04-25,,,,,,,,,,,,,,,,,,,110.776
2017-04-26,,,,,,,,,,,,,,,,,,,111.381
2017-04-27,,,,,,,,,,,,,,,,,,,111.857
2017-04-28,,,,,,,,,,,,,,,,,,,111.621
2017-05-02,,,,,,,,,,,,,,,,,,,112.391
2017-05-03,,,,,,,,,,,,,,,,,,,112.292
2017-05-04,,,,,,,,,,,,,,,,,,,112.832
2017-05-05,,,,,,,,,,,,,,,,,,,113.486
2017-05-08,,,,,,,,,,,,,,,,,,,113.497
2017-05-09,,,,,,,,,,,,,,,,,,,114.057
2017-05-10,,,,,,,,,,,,,,,,,,,114.287
2017-05-11,,,,,,,,,,,,,,,,,,,113.165
2017-05-12,,,,,,,,,,,,,,,,,,,113.701
2017-05-15,,,,,,,,,,,,,,,,,,,113.38
2017-05-16,,,,,,,,,,,,,,,,,,,113.425
2017-05-17,,,,,,,,,,,,,,,,,,,112.004
2017-05-18,,,,,,,,,,,,,,,,,,,111.89
2017-05-19,,,,,,,,,,,,,,,,,,,112.5
2017-05-22,,,,,,,,,,,,,,,,,,,112.551
2017-05-23,,,,,,,,,,,,,,,,,,,113.128
2017-05-24,,,,,,,,,,,,,,,,,,,113.359
2017-05-25,,,,,,,,,,,,,,,,,,,112.785
2017-05-26,,,,,,,,,,,,,,,,,,,112.302
2017-05-29,,,,,,,,,,,,,,,,,,,112.272
2017-05-30,,,,,,,,,,,,,,,,,,,112.568
2017-05-31,,,,,,,,,,,,,,,,,,,112.173
2017-06-01,,,,,,,,,,,,,,,,,,,112.707
2017-06-02,,,,,,,,,,,,,,,,,,,112.651
2017-06-05,,,,,,,,,,,,,,,,,,,112.216
2017-06-06,,,,,,,,,,,,,,,,,,,111.554
2017-06-07,,,,,,,,,,,,,,,,,,,111.618
2017-06-08,,,,,,,,,,,,,,,,,,,111.68
2017-06-09,,,,,,,,,,,,,,,,,,,111.665
2017-06-12,,,,,,,,,,,,,,,,,,,110.631
2017-06-13,,,,,,,,,,,,,,,,,,,111.465
2017-06-14,,,,,,,,,,,,,,,,,,,111.566
2017-06-15,,,,,,,,,,,,,,,,,,,110.917
2017-06-16,,,,,,,,,,,,,,,,,,,111.865
2017-06-19,,,,,,,,,,,,,,,,,,,112.406
2017-06-20,,,,,,,,,,,,,,,,,,,111.781
2017-06-21,,,,,,,,,,,,,,,,,,,111.652
2017-06-22,,,,,,,,,,,,,,,,,,,111.446
2017-06-23,,,,,,,,,,,,,,,,,,,111.529
2017-06-26,,,,,,,,,,,,,,,,,,,111.545
2017-06-27,,,,,,,,,,,,,,,,,,,110.229
2017-06-28,,,,,,,,,,,,,,,,,,,110.086
2017-06-29,,,,,,,,,,,,,,,,,,,108.377
2017-06-30,,,,,,,,,,,,,,,,,,,108.579
2017-07-03,,,,,,,,,,,,,,,,,,,109.089
2017-07-04,,,,,,,,,,,,,,,,,,,108.826
2017-07-05,,,,,,,,,,,,,,,,,,,109.137
2017-07-06,,,,,,,,,,,,,,,,,,,108.183
2017-07-07,,,,,,,,,,,,,,,,,,,108.036
2017-07-10,,,,,,,,,,,,,,,,,,,108.72
2017-07-11,,,,,,,,,,,,,,,,,,,107.627
2017-07-12,,,,,,,,,,,,,,,,,,,109.451
2017-07-13,,,,,,,,,,,,,,,,,,,110.073
2017-07-14,,,,,,,,,,,,,,,,,,,110.336
2017-07-17,,,,,,,,,,,,,,,,,,,110.671
2017-07-18,,,,,,,,,,,,,,,,,,,109.678
2017-07-19,,,,,,,,,,,,,,,,,,,110.636
2017-07-20,,,,,,,,,,,,,,,,,,,110.412
2017-07-21,,,,,,,,,,,,,,,,,,,109.562
2017-07-24,,,,,,,,,,,,,,,,,,,109.161
2017-07-25,,,,,,,,,,,,,,,,,,,108.952
2017-07-26,,,,,,,,,,,,,,,,,,,110.066
2017-07-27,,,,,,,,,,,,,,,,,,,109.818
2017-07-28,,,,,,,,,,,,,,,,,,,109.055
2017-07-31,,,,,,,,,,,,,,,,,,,109.13
2017-08-01,,,,,,,,,,,,,,,,,,,110.018
2017-08-02,,,,,,,,,,,,,,,,,,,109.608
2017-08-03,,,,,,,,,,,,,,,,,,,109.475
2017-08-04,,,,,,,,,,,,,,,,,,,110.363
2017-08-07,,,,,,,,,,,,,,,,,,,110.023
2017-08-08,,,,,,,,,,,,,,,,,,,110.193
2017-08-09,,,,,,,,,,,,,,,,,,,109.949
2017-08-10,,,,,,,,,,,,,,,,,,,109.109
2017-08-11,,,,,,,,,,,,,,,,,,,107.918
2017-08-14,,,,,,,,,,,,,,,,,,,109.034
2017-08-15,,,,,,,,,,,,,,,,,,,108.92
2017-08-16,,,,,,,,,,,,,,,,,,,109.636
2017-08-17,,,,,,,,,,,,,,,,,,,109.372
2017-08-18,,,,,,,,,,,,,,,,,,,108.596
2017-08-21,,,,,,,,,,,,,,,,,,,108.237
2017-08-22,,,,,,,,,,,,,,,,,,,108.682
2017-08-23,,,,,,,,,,,,,,,,,,,107.915
2017-08-24,,,,,,,,,,,,,,,,,,,107.968
2017-08-25,,,,,,,,,,,,,,,,,,,107.867
2017-08-28,,,,,,,,,,,,,,,,,,,107.146
2017-08-29,,,,,,,,,,,,,,,,,,,105.974
2017-08-30,,,,,,,,,,,,,,,,,,,106.805
2017-08-31,,,,,,,,,,,,,,,,,,,108.081
2017-09-01,,,,,,,,,,,,,,,,,,,108.706
2017-09-04,,,,,,,,,,,,,,,,,,,108.156
2017-09-05,,,,,,,,,,,,,,,,,,,108.255
2017-09-06,,,,,,,,,,,,,,,,,,,108.348
2017-09-07,,,,,,,,,,,,,,,,,,,108.892
2017-09-08,,,,,,,,,,,,,,,,,,,108.685
2017-09-11,,,,,,,,,,,,,,,,,,,109.639
2017-09-12,,,,,,,,,,,,,,,,,,,109.925
2017-09-13,,,,,,,,,,,,,,,,,,,110.009
2017-09-14,,,,,,,,,,,,,,,,,,,110.281
2017-09-15,,,,,,,,,,,,,,,,,,,109.775
2017-09-18,,,,,,,,,,,,,,,,,,,110.16
2017-09-19,,,,,,,,,,,,,,,,,,,110.386
2017-09-20,,,,,,,,,,,,,,,,,,,110.278
2017-09-21,,,,,,,,,,,,,,,,,,,109.832
2017-09-22,,,,,,,,,,,,,,,,,,,109.936
2017-09-25,,,,,,,,,,,,,,,,,,,110.689
2017-09-26,,,,,,,,,,,,,,,,,,,110.385
2017-09-27,,,,,,,,,,,,,,,,,,,110.34
2017-09-28,,,,,,,,,,,,,,,,,,,110.9
2017-09-29,,,,,,,,,,,,,,,,,,,111.105
2017-10-02,,,,,,,,,,,,,,,,,,,111.65
2017-10-03,,,,,,,,,,,,,,,,,,,111.74
2017-10-04,,,,,,,,,,,,,,,,,,,111.303
2017-10-05,,,,,,,,,,,,,,,,,,,111.44
2017-10-06,,,,,,,,,,,,,,,,,,,110.99
2017-10-09,,,,,,,,,,,,,,,,,,,111.325
2017-10-10,,,,,,,,,,,,,,,,,,,111.55
2017-10-11,,,,,,,,,,,,,,,,,,,111.462
2017-10-12,,,,,,,,,,,,,,,,,,,111.689
2017-10-13,,,,,,,,,,,,,,,,,,,112.271
2017-10-16,,,,,,,,,,,,,,,,,,,112.103
2017-10-17,,,,,,,,,,,,,,,,,,,111.427
2017-10-18,,,,,,,,,,,,,,,,,,,111.645
2017-10-19,,,,,,,,,,,,,,,,,,,111.04
2017-10-20,,,,,,,,,,,,,,,,,,,111.295
2017-10-23,,,,,,,,,,,,,,,,,,,111.63
2017-10-24,,,,,,,,,,,,,,,,,,,111.01
2017-10-25,,,,,,,,,,,,,,,,,,,110.76
2017-10-26,,,,,,,,,,,,,,,,,,,111.664
2017-10-27,,,,,,,,,,,,,,,,,,,112.335
2017-10-30,,,,,,,,,,,,,,,,,,,113.147
2017-10-31,,,,,,,,,,,,,,,,,,,113.688
2017-11-01,,,,,,,,,,,,,,,,,,,113.845
2017-11-02,,,,,,,,,,,,,,,,,,,113.115
2017-11-03,,,,,,,,,,,,,,,,,,,113.485
2017-11-06,,,,,,,,,,,,,,,,,,,113.99
2017-11-07,,,,,,,,,,,,,,,,,,,113.675
2017-11-08,,,,,,,,,,,,,,,,,,,113.64
2017-11-09,,,,,,,,,,,,,,,,,,,111.146
2017-11-10,,,,,,,,,,,,,,,,,,,110.77
2017-11-13,,,,,,,,,,,,,,,,,,,109.954
2017-11-14,,,,,,,,,,,,,,,,,,,109.379
2017-11-15,,,,,,,,,,,,,,,,,,,108.581
2017-11-16,,,,,,,,,,,,,,,,,,,109.718
2017-11-17,,,,,,,,,,,,,,,,,,,109.722
2017-11-20,,,,,,,,,,,,,,,,,,,110.724
2017-11-21,,,,,,,,,,,,,,,,,,,111.079
2017-11-22,,,,,,,,,,,,,,,,,,,110.996
2017-11-23,,,,,,,,,,,,,,,,,,,110.661
2017-11-24,,,,,,,,,,,,,,,,,,,110.195
2017-11-27,,,,,,,,,,,,,,,,,,,109.56
2017-11-28,,,,,,,,,,,,,,,,,,,110.148
2017-11-29,,,,,,,,,,,,,,,,,,,110.037
2017-11-30,,,,,,,,,,,,,,,,,,,109.636
2017-12-01,,,,,,,,,,,,,,,,,,,109.508
2017-12-04,,,,,,,,,,,,,,,,,,,110.329
2017-12-05,,,,,,,,,,,,,,,,,,,110.197
2017-12-06,,,,,,,,,,,,,,,,,,,110.057
2017-12-07,,,,,,,,,,,,,,,,,,,110.091
2017-12-08,,,,,,,,,,,,,,,,,,,110.56
2017-12-11,,,,,,,,,,,,,,,,,,,110.371
2017-12-12,,,,,,,,,,,,,,,,,,,111.254
2017-12-13,,,,,,,,,,,,,,,,,,,111.132
2017-12-14,,,,,,,,,,,,,,,,,,,111.165
2017-12-15,,,,,,,,,,,,,,,,,,,110.872
2017-12-18,,,,,,,,,,,,,,,,,,,112.448
2017-12-19,,,,,,,,,,,,,,,,,,,111.972
2017-12-20,,,,,,,,,,,,,,,,,,,111.794
2017-12-21,,,,,,,,,,,,,,,,,,,112.356
2017-12-22,,,,,,,,,,,,,,,,,,,112.631
2017-12-27,,,,,,,,,,,,,,,,,,,112.998
2017-12-28,,,,,,,,,,,,,,,,,,,112.716
2017-12-29,,,,,,,,,,,,,,,,,,,112.681
2018-01-02,,,,,,,,,,,,,,,,,,,112.76
2018-01-03,,,,,,,,,,,,,,,,,,,113.235
2018-01-04,,,,,,,,,,,,,,,,,,,114.044
2018-01-05,,,,,,,,,,,,,,,,,,,115.391
2018-01-08,,,,,,,,,,,,,,,,,,,115.264
2018-01-09,,,,,,,,,,,,,,,,,,,115.733
2018-01-10,,,,,,,,,,,,,,,,,,,114.687
2018-01-11,,,,,,,,,,,,,,,,,,,114.535
2018-01-12,,,,,,,,,,,,,,,,,,,115.174
2018-01-15,,,,,,,,,,,,,,,,,,,115.438
2018-01-16,,,,,,,,,,,,,,,,,,,115.605
2018-01-17,,,,,,,,,,,,,,,,,,,115.398
2018-01-18,,,,,,,,,,,,,,,,,,,115.285
2018-01-19,,,,,,,,,,,,,,,,,,,115.799
2018-01-22,,,,,,,,,,,,,,,,,,,116.148
2018-01-23,,,,,,,,,,,,,,,,,,,116.544
2018-01-24,,,,,,,,,,,,,,,,,,,115.83
2018-01-25,,,,,,,,,,,,,,,,,,,115.19
2018-01-26,,,,,,,,,,,,,,,,,,,115.98
2018-01-29,,,,,,,,,,,,,,,,,,,115.3
2018-01-30,,,,,,,,,,,,,,,,,,,114.04
2018-01-31,,,,,,,,,,,,,,,,,,,114.0
2018-02-01,,,,,,,,,,,,,,,,,,,113.78
2018-02-02,,,,,,,,,,,,,,,,,,,111.96
2018-02-05,,,,,,,,,,,,,,,,,,,110.4
2018-02-06,,,,,,,,,,,,,,,,,,,107.64
2018-02-07,,,,,,,,,,,,,,,,,,,109.76
2018-02-08,,,,,,,,,,,,,,,,,,,107.76
2018-02-09,,,,,,,,,,,,,,,,,,,106.14
2018-02-12,,,,,,,,,,,,,,,,,,,107.6
2018-02-13,,,,,,,,,,,,,,,,,,,107.02
2018-02-14,,,,,,,,,,,,,,,,,,,108.22
2018-02-15,,,,,,,,,,,,,,,,,,,109.12
2018-02-16,,,,,,,,,,,,,,,,,,,110.36
2018-02-19,,,,,,,,,,,,,,,,,,,109.54
2018-02-20,,,,,,,,,,,,,,,,,,,110.2
2018-02-21,,,,,,,,,,,,,,,,,,,110.28
2018-02-22,,,,,,,,,,,,,,,,,,,110.58
2018-02-23,,,,,,,,,,,,,,,,,,,111.18
2018-02-26,,,,,,,,,,,,,,,,,,,111.78
2018-02-27,,,,,,,,,,,,,,,,,,,111.4
2018-02-28,,,,,,,,,,,,,,,,,,,110.38
2018-03-01,,,,,,,,,,,,,,,,,,,108.88
2018-03-02,,,,,,,,,,,,,,,,,,,106.9
2018-03-05,,,,,,,,,,,,,,,,,,,108.22
