,ALIKO FP Equity_DX_SI_QTY,ALIKO FP Equity_DX_SHORT_INTEREST_VALUE,ALIKO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALIKO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALIKO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALIKO FP Equity_DX_SI_MV,ALIKO FP Equity_DX_DSS,ALIKO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALIKO FP Equity_DX_SUPPLY_SI_QTY,ALIKO FP Equity_DX_BROKER_SI_QTY,ALIKO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALIKO FP Equity_DX_BROKER_SI_QTY_ADD,ALIKO FP Equity_DX_SUPPLY_SI_MV_DEC,ALIKO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALIKO FP Equity_DX_BROKER_SI_MV_ADD,ALIKO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALIKO FP Equity_DX_BROKER_SI_QTY_DEC,ALIKO FP Equity_DX_SUPPLY_SI_MV,ALIKO FP Equity_DX_BROKER_SI_MV_DEC,ALIKO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALIKO FP Equity_DX_UTILIZATION_QUANTITY,ALIKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALIKO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALIKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALIKO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALIKO FP Equity_DX_BROKER_SI_CON_RATIO,ALIKO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALIKO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALIKO FP Equity_PX_LAST
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2021-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2021-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2021-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2021-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2021-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2021-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2021-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
2021-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2021-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2021-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
2021-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
2021-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82
2021-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81
2021-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2021-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2021-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2021-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2021-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87
2021-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86
2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
2021-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
2021-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87
2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2022-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68
2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2022-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2022-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84
2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68
2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2022-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2022-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
2022-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66
2022-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2022-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2022-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64
2022-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
2022-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
2022-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
2022-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68
2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2022-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62
2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
2022-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
2022-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66
2022-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66
2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
2022-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67
2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2022-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2022-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
2022-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
2022-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
2022-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52
2022-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51
2022-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48
2022-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47
2022-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43
2022-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43
2022-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43
2022-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41
2022-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
2022-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34
2022-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
2022-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19
2022-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18
2022-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13
2022-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.995
2022-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01
2022-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03
2022-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2022-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04
2022-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2022-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06
2022-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97
2022-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.945
2022-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94
2022-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2022-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725
2022-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2022-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2022-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.855
2022-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87
2022-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.785
2022-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01
2022-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.875
2022-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2022-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2022-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.945
2022-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.825
2022-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.795
2022-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2022-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94
2022-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96
2022-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
2022-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.985
2022-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2022-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05
2022-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2022-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.995
2022-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2022-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.985
2022-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2022-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2022-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.985
2022-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.985
2022-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.985
2022-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.985
2022-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.985
2022-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.985
2022-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2022-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2022-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03
2022-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.895
2022-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2022-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.935
