,EVOE FP Equity_DX_SI_QTY,EVOE FP Equity_DX_SHORT_INTEREST_VALUE,EVOE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EVOE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EVOE FP Equity_DX_SI_MV,EVOE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EVOE FP Equity_DX_SUPPLY_SI_QTY,EVOE FP Equity_DX_BROKER_SI_QTY,EVOE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EVOE FP Equity_DX_SUPPLY_SI_MV,EVOE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EVOE FP Equity_DX_UTILIZATION_QUANTITY,EVOE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EVOE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EVOE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EVOE FP Equity_DX_ACTIVE_UTILIZATION_MV,EVOE FP Equity_DX_BROKER_SI_CON_RATIO,EVOE FP Equity_DX_DEMAND_SUPPLY_RATIO,EVOE FP Equity_PX_LAST
2016-07-08,,,,,,,,,,,,,,,,,,,98.549
2016-07-11,,,,,,,,,,,,,,,,,,,99.51
2016-07-12,,,,,,,,,,,,,,,,,,,100.015
2016-07-13,,,,,,,,,,,,,,,,,,,100.216
2016-07-14,,,,,,,,,,,,,,,,,,,100.838
2016-07-15,,,,,,,,,,,,,,,,,,,100.756
2016-07-18,,,,,,,,,,,,,,,,,,,100.974
2016-07-19,,,,,,,,,,,,,,,,,,,100.95
2016-07-20,,,,,,,,,,,,,,,,,,,101.384
2016-07-21,,,,,,,,,,,,,,,,,,,101.138
2016-07-22,,,,,,,,,,,,,,,,,,,101.148
2016-07-25,,,,,,,,,,,,,,,,,,,101.303
2016-07-26,,,,,,,,,,,,,,,,,,,101.323
2016-07-27,,,,,,,,,,,,,,,,,,,101.63
2016-07-28,,,,,,,,,,,,,,,,,,,100.741
2016-07-29,,,,,,,,,,,,,,,,,,,101.15
2016-08-01,,,,,,,,,,,,,,,,,,,100.493
2016-08-02,,,,,,,,,,,,,,,,,,,100.025
2016-08-03,,,,,,,,,,,,,,,,,,,99.923
2016-08-04,,,,,,,,,,,,,,,,,,,100.51
2016-08-05,,,,,,,,,,,,,,,,,,,101.254
2016-08-08,,,,,,,,,,,,,,,,,,,101.136
2016-08-09,,,,,,,,,,,,,,,,,,,102.048
2016-08-10,,,,,,,,,,,,,,,,,,,101.737
2016-08-11,,,,,,,,,,,,,,,,,,,102.576
2016-08-12,,,,,,,,,,,,,,,,,,,102.486
2016-08-15,,,,,,,,,,,,,,,,,,,102.629
2016-08-16,,,,,,,,,,,,,,,,,,,102.024
2016-08-17,,,,,,,,,,,,,,,,,,,101.489
2016-08-18,,,,,,,,,,,,,,,,,,,101.967
2016-08-19,,,,,,,,,,,,,,,,,,,101.241
2016-08-22,,,,,,,,,,,,,,,,,,,101.292
2016-08-23,,,,,,,,,,,,,,,,,,,102.318
2016-08-24,,,,,,,,,,,,,,,,,,,102.245
2016-08-25,,,,,,,,,,,,,,,,,,,101.787
2016-08-26,,,,,,,,,,,,,,,,,,,102.151
2016-08-29,,,,,,,,,,,,,,,,,,,101.866
2016-08-30,,,,,,,,,,,,,,,,,,,102.666
2016-08-31,,,,,,,,,,,,,,,,,,,101.941
2016-09-01,,,,,,,,,,,,,,,,,,,102.499
2016-09-02,,,,,,,,,,,,,,,,,,,104.612
2016-09-05,,,,,,,,,,,,,,,,,,,104.712
2016-09-06,,,,,,,,,,,,,,,,,,,104.325
2016-09-07,,,,,,,,,,,,,,,,,,,104.478
2016-09-08,,,,,,,,,,,,,,,,,,,104.025
2016-09-09,,,,,,,,,,,,,,,,,,,102.852
2016-09-12,,,,,,,,,,,,,,,,,,,101.979
2016-09-13,,,,,,,,,,,,,,,,,,,101.038
2016-09-14,,,,,,,,,,,,,,,,,,,101.101
2016-09-15,,,,,,,,,,,,,,,,,,,101.833
2016-09-16,,,,,,,,,,,,,,,,,,,101.158
2016-09-19,,,,,,,,,,,,,,,,,,,102.167
2016-09-20,,,,,,,,,,,,,,,,,,,102.268
2016-09-21,,,,,,,,,,,,,,,,,,,102.407
2016-09-22,,,,,,,,,,,,,,,,,,,103.847
2016-09-23,,,,,,,,,,,,,,,,,,,103.074
2016-09-26,,,,,,,,,,,,,,,,,,,101.785
2016-09-27,,,,,,,,,,,,,,,,,,,102.241
2016-09-28,,,,,,,,,,,,,,,,,,,102.694
2016-09-29,,,,,,,,,,,,,,,,,,,102.84
2016-09-30,,,,,,,,,,,,,,,,,,,102.766
2016-10-03,,,,,,,,,,,,,,,,,,,102.945
2016-10-04,,,,,,,,,,,,,,,,,,,103.911
2016-10-05,,,,,,,,,,,,,,,,,,,102.487
2016-10-06,,,,,,,,,,,,,,,,,,,101.707
2016-10-07,,,,,,,,,,,,,,,,,,,100.605
2016-10-10,,,,,,,,,,,,,,,,,,,101.041
2016-10-11,,,,,,,,,,,,,,,,,,,100.57
2016-10-12,,,,,,,,,,,,,,,,,,,100.301
2016-10-13,,,,,,,,,,,,,,,,,,,99.953
2016-10-14,,,,,,,,,,,,,,,,,,,100.925
2016-10-17,,,,,,,,,,,,,,,,,,,100.11
2016-10-18,,,,,,,,,,,,,,,,,,,101.501
2016-10-19,,,,,,,,,,,,,,,,,,,101.746
2016-10-20,,,,,,,,,,,,,,,,,,,101.544
2016-10-21,,,,,,,,,,,,,,,,,,,101.628
2016-10-24,,,,,,,,,,,,,,,,,,,101.208
2016-10-25,,,,,,,,,,,,,,,,,,,100.967
2016-10-26,,,,,,,,,,,,,,,,,,,100.179
2016-10-27,,,,,,,,,,,,,,,,,,,99.999
2016-10-28,,,,,,,,,,,,,,,,,,,99.712
2016-10-31,,,,,,,,,,,,,,,,,,,99.326
2016-11-01,,,,,,,,,,,,,,,,,,,98.26
2016-11-02,,,,,,,,,,,,,,,,,,,97.382
2016-11-03,,,,,,,,,,,,,,,,,,,96.993
2016-11-04,,,,,,,,,,,,,,,,,,,96.525
2016-11-07,,,,,,,,,,,,,,,,,,,97.56
2016-11-08,,,,,,,,,,,,,,,,,,,97.826
2016-11-09,,,,,,,,,,,,,,,,,,,98.856
2016-11-10,,,,,,,,,,,,,,,,,,,97.879
2016-11-11,,,,,,,,,,,,,,,,,,,97.401
2016-11-14,,,,,,,,,,,,,,,,,,,97.004
2016-11-15,,,,,,,,,,,,,,,,,,,97.257
2016-11-16,,,,,,,,,,,,,,,,,,,97.712
2016-11-17,,,,,,,,,,,,,,,,,,,98.503
2016-11-18,,,,,,,,,,,,,,,,,,,98.355
2016-11-21,,,,,,,,,,,,,,,,,,,98.636
2016-11-22,,,,,,,,,,,,,,,,,,,98.546
2016-11-23,,,,,,,,,,,,,,,,,,,98.721
2016-11-24,,,,,,,,,,,,,,,,,,,99.116
2016-11-25,,,,,,,,,,,,,,,,,,,99.734
2016-11-28,,,,,,,,,,,,,,,,,,,98.898
2016-11-29,,,,,,,,,,,,,,,,,,,99.071
2016-11-30,,,,,,,,,,,,,,,,,,,99.18
2016-12-01,,,,,,,,,,,,,,,,,,,98.248
2016-12-02,,,,,,,,,,,,,,,,,,,98.151
2016-12-05,,,,,,,,,,,,,,,,,,,98.1
2016-12-06,,,,,,,,,,,,,,,,,,,98.63
2016-12-07,,,,,,,,,,,,,,,,,,,98.714
2016-12-08,,,,,,,,,,,,,,,,,,,99.69
2016-12-09,,,,,,,,,,,,,,,,,,,101.104
2016-12-12,,,,,,,,,,,,,,,,,,,100.537
2016-12-13,,,,,,,,,,,,,,,,,,,101.635
2016-12-14,,,,,,,,,,,,,,,,,,,101.451
2016-12-15,,,,,,,,,,,,,,,,,,,102.116
2016-12-16,,,,,,,,,,,,,,,,,,,102.22
2016-12-19,,,,,,,,,,,,,,,,,,,102.504
2016-12-20,,,,,,,,,,,,,,,,,,,102.8
2016-12-21,,,,,,,,,,,,,,,,,,,102.553
2016-12-22,,,,,,,,,,,,,,,,,,,102.377
2016-12-23,,,,,,,,,,,,,,,,,,,102.72
2016-12-27,,,,,,,,,,,,,,,,,,,102.757
2016-12-28,,,,,,,,,,,,,,,,,,,102.86
2016-12-29,,,,,,,,,,,,,,,,,,,102.822
2016-12-30,,,,,,,,,,,,,,,,,,,102.947
2017-01-02,,,,,,,,,,,,,,,,,,,103.714
2017-01-03,,,,,,,,,,,,,,,,,,,103.808
2017-01-04,,,,,,,,,,,,,,,,,,,103.876
2017-01-05,,,,,,,,,,,,,,,,,,,103.964
2017-01-06,,,,,,,,,,,,,,,,,,,104.019
2017-01-09,,,,,,,,,,,,,,,,,,,103.477
2017-01-10,,,,,,,,,,,,,,,,,,,103.261
2017-01-11,,,,,,,,,,,,,,,,,,,103.502
2017-01-12,,,,,,,,,,,,,,,,,,,102.868
2017-01-13,,,,,,,,,,,,,,,,,,,103.61
2017-01-16,,,,,,,,,,,,,,,,,,,102.776
2017-01-17,,,,,,,,,,,,,,,,,,,102.385
2017-01-18,,,,,,,,,,,,,,,,,,,102.67
2017-01-19,,,,,,,,,,,,,,,,,,,102.622
2017-01-20,,,,,,,,,,,,,,,,,,,102.481
2017-01-23,,,,,,,,,,,,,,,,,,,101.983
2017-01-24,,,,,,,,,,,,,,,,,,,101.95
2017-01-25,,,,,,,,,,,,,,,,,,,103.234
2017-01-26,,,,,,,,,,,,,,,,,,,103.364
2017-01-27,,,,,,,,,,,,,,,,,,,103.142
2017-01-30,,,,,,,,,,,,,,,,,,,102.436
2017-01-31,,,,,,,,,,,,,,,,,,,101.804
2017-02-01,,,,,,,,,,,,,,,,,,,102.194
2017-02-02,,,,,,,,,,,,,,,,,,,102.31
2017-02-03,,,,,,,,,,,,,,,,,,,102.939
2017-02-06,,,,,,,,,,,,,,,,,,,102.482
2017-02-07,,,,,,,,,,,,,,,,,,,103.287
2017-02-08,,,,,,,,,,,,,,,,,,,103.605
2017-02-09,,,,,,,,,,,,,,,,,,,104.23
2017-02-10,,,,,,,,,,,,,,,,,,,104.135
2017-02-13,,,,,,,,,,,,,,,,,,,104.656
2017-02-14,,,,,,,,,,,,,,,,,,,104.255
2017-02-15,,,,,,,,,,,,,,,,,,,104.544
2017-02-16,,,,,,,,,,,,,,,,,,,104.42
2017-02-17,,,,,,,,,,,,,,,,,,,104.904
2017-02-20,,,,,,,,,,,,,,,,,,,105.256
2017-02-21,,,,,,,,,,,,,,,,,,,105.861
2017-02-22,,,,,,,,,,,,,,,,,,,105.929
2017-02-23,,,,,,,,,,,,,,,,,,,106.129
2017-02-24,,,,,,,,,,,,,,,,,,,105.723
2017-02-27,,,,,,,,,,,,,,,,,,,105.313
2017-02-28,,,,,,,,,,,,,,,,,,,105.714
2017-03-01,,,,,,,,,,,,,,,,,,,106.615
2017-03-02,,,,,,,,,,,,,,,,,,,106.904
2017-03-03,,,,,,,,,,,,,,,,,,,106.489
2017-03-06,,,,,,,,,,,,,,,,,,,106.127
2017-03-07,,,,,,,,,,,,,,,,,,,105.881
2017-03-08,,,,,,,,,,,,,,,,,,,105.683
2017-03-09,,,,,,,,,,,,,,,,,,,106.075
2017-03-10,,,,,,,,,,,,,,,,,,,105.986
2017-03-13,,,,,,,,,,,,,,,,,,,106.439
2017-03-14,,,,,,,,,,,,,,,,,,,106.216
2017-03-15,,,,,,,,,,,,,,,,,,,106.595
2017-03-16,,,,,,,,,,,,,,,,,,,107.215
2017-03-17,,,,,,,,,,,,,,,,,,,107.463
2017-03-20,,,,,,,,,,,,,,,,,,,107.224
2017-03-21,,,,,,,,,,,,,,,,,,,106.932
2017-03-22,,,,,,,,,,,,,,,,,,,106.653
2017-03-23,,,,,,,,,,,,,,,,,,,107.538
2017-03-24,,,,,,,,,,,,,,,,,,,107.415
2017-03-27,,,,,,,,,,,,,,,,,,,107.166
2017-03-28,,,,,,,,,,,,,,,,,,,107.53
2017-03-29,,,,,,,,,,,,,,,,,,,107.833
2017-03-30,,,,,,,,,,,,,,,,,,,108.747
2017-03-31,,,,,,,,,,,,,,,,,,,109.095
2017-04-03,,,,,,,,,,,,,,,,,,,108.534
2017-04-04,,,,,,,,,,,,,,,,,,,108.832
2017-04-05,,,,,,,,,,,,,,,,,,,108.872
2017-04-06,,,,,,,,,,,,,,,,,,,109.023
2017-04-07,,,,,,,,,,,,,,,,,,,109.332
2017-04-10,,,,,,,,,,,,,,,,,,,109.329
2017-04-11,,,,,,,,,,,,,,,,,,,109.774
2017-04-12,,,,,,,,,,,,,,,,,,,110.349
2017-04-13,,,,,,,,,,,,,,,,,,,110.134
2017-04-18,,,,,,,,,,,,,,,,,,,109.02
2017-04-19,,,,,,,,,,,,,,,,,,,108.774
2017-04-20,,,,,,,,,,,,,,,,,,,108.88
2017-04-21,,,,,,,,,,,,,,,,,,,109.005
2017-04-24,,,,,,,,,,,,,,,,,,,110.072
2017-04-25,,,,,,,,,,,,,,,,,,,110.097
2017-04-26,,,,,,,,,,,,,,,,,,,110.652
2017-04-27,,,,,,,,,,,,,,,,,,,110.635
2017-04-28,,,,,,,,,,,,,,,,,,,110.53
2017-05-02,,,,,,,,,,,,,,,,,,,111.594
2017-05-03,,,,,,,,,,,,,,,,,,,111.687
2017-05-04,,,,,,,,,,,,,,,,,,,112.347
2017-05-05,,,,,,,,,,,,,,,,,,,112.857
2017-05-08,,,,,,,,,,,,,,,,,,,113.096
2017-05-09,,,,,,,,,,,,,,,,,,,113.608
2017-05-10,,,,,,,,,,,,,,,,,,,113.751
2017-05-11,,,,,,,,,,,,,,,,,,,113.36
2017-05-12,,,,,,,,,,,,,,,,,,,114.209
2017-05-15,,,,,,,,,,,,,,,,,,,114.235
2017-05-16,,,,,,,,,,,,,,,,,,,114.468
2017-05-17,,,,,,,,,,,,,,,,,,,113.437
2017-05-18,,,,,,,,,,,,,,,,,,,113.328
2017-05-19,,,,,,,,,,,,,,,,,,,113.824
2017-05-22,,,,,,,,,,,,,,,,,,,114.305
2017-05-23,,,,,,,,,,,,,,,,,,,114.48
2017-05-24,,,,,,,,,,,,,,,,,,,114.616
2017-05-25,,,,,,,,,,,,,,,,,,,114.804
2017-05-26,,,,,,,,,,,,,,,,,,,114.468
2017-05-29,,,,,,,,,,,,,,,,,,,114.691
2017-05-30,,,,,,,,,,,,,,,,,,,114.615
2017-05-31,,,,,,,,,,,,,,,,,,,114.458
2017-06-01,,,,,,,,,,,,,,,,,,,115.291
2017-06-02,,,,,,,,,,,,,,,,,,,115.474
2017-06-05,,,,,,,,,,,,,,,,,,,115.146
2017-06-06,,,,,,,,,,,,,,,,,,,114.657
2017-06-07,,,,,,,,,,,,,,,,,,,114.726
2017-06-08,,,,,,,,,,,,,,,,,,,114.05
2017-06-09,,,,,,,,,,,,,,,,,,,114.76
2017-06-12,,,,,,,,,,,,,,,,,,,113.492
2017-06-13,,,,,,,,,,,,,,,,,,,114.129
2017-06-14,,,,,,,,,,,,,,,,,,,113.928
2017-06-15,,,,,,,,,,,,,,,,,,,113.592
2017-06-16,,,,,,,,,,,,,,,,,,,114.732
2017-06-19,,,,,,,,,,,,,,,,,,,115.53
2017-06-20,,,,,,,,,,,,,,,,,,,114.92
2017-06-21,,,,,,,,,,,,,,,,,,,114.478
2017-06-22,,,,,,,,,,,,,,,,,,,114.35
2017-06-23,,,,,,,,,,,,,,,,,,,114.104
2017-06-26,,,,,,,,,,,,,,,,,,,114.29
2017-06-27,,,,,,,,,,,,,,,,,,,113.146
2017-06-28,,,,,,,,,,,,,,,,,,,112.837
2017-06-29,,,,,,,,,,,,,,,,,,,111.17
2017-06-30,,,,,,,,,,,,,,,,,,,111.287
2017-07-03,,,,,,,,,,,,,,,,,,,111.924
2017-07-04,,,,,,,,,,,,,,,,,,,111.381
2017-07-05,,,,,,,,,,,,,,,,,,,111.457
2017-07-06,,,,,,,,,,,,,,,,,,,110.33
2017-07-07,,,,,,,,,,,,,,,,,,,110.225
2017-07-10,,,,,,,,,,,,,,,,,,,110.786
2017-07-11,,,,,,,,,,,,,,,,,,,109.68
2017-07-12,,,,,,,,,,,,,,,,,,,111.444
2017-07-13,,,,,,,,,,,,,,,,,,,111.601
2017-07-14,,,,,,,,,,,,,,,,,,,111.87
2017-07-17,,,,,,,,,,,,,,,,,,,112.028
2017-07-18,,,,,,,,,,,,,,,,,,,111.102
2017-07-19,,,,,,,,,,,,,,,,,,,112.048
2017-07-20,,,,,,,,,,,,,,,,,,,111.392
2017-07-21,,,,,,,,,,,,,,,,,,,110.365
2017-07-24,,,,,,,,,,,,,,,,,,,109.845
2017-07-25,,,,,,,,,,,,,,,,,,,109.918
2017-07-26,,,,,,,,,,,,,,,,,,,110.659
2017-07-27,,,,,,,,,,,,,,,,,,,110.735
2017-07-28,,,,,,,,,,,,,,,,,,,109.353
2017-07-31,,,,,,,,,,,,,,,,,,,109.515
2017-08-01,,,,,,,,,,,,,,,,,,,110.368
2017-08-02,,,,,,,,,,,,,,,,,,,110.002
2017-08-03,,,,,,,,,,,,,,,,,,,110.044
2017-08-04,,,,,,,,,,,,,,,,,,,110.913
2017-08-07,,,,,,,,,,,,,,,,,,,110.542
2017-08-08,,,,,,,,,,,,,,,,,,,110.435
2017-08-09,,,,,,,,,,,,,,,,,,,110.238
2017-08-10,,,,,,,,,,,,,,,,,,,109.131
2017-08-11,,,,,,,,,,,,,,,,,,,108.152
2017-08-14,,,,,,,,,,,,,,,,,,,109.055
2017-08-15,,,,,,,,,,,,,,,,,,,109.166
2017-08-16,,,,,,,,,,,,,,,,,,,109.85
2017-08-17,,,,,,,,,,,,,,,,,,,109.588
2017-08-18,,,,,,,,,,,,,,,,,,,108.819
2017-08-21,,,,,,,,,,,,,,,,,,,108.605
2017-08-22,,,,,,,,,,,,,,,,,,,109.681
2017-08-23,,,,,,,,,,,,,,,,,,,109.11
2017-08-24,,,,,,,,,,,,,,,,,,,109.307
2017-08-25,,,,,,,,,,,,,,,,,,,108.925
2017-08-28,,,,,,,,,,,,,,,,,,,108.215
2017-08-29,,,,,,,,,,,,,,,,,,,107.384
2017-08-30,,,,,,,,,,,,,,,,,,,108.25
2017-08-31,,,,,,,,,,,,,,,,,,,108.975
2017-09-01,,,,,,,,,,,,,,,,,,,109.51
2017-09-04,,,,,,,,,,,,,,,,,,,108.866
2017-09-05,,,,,,,,,,,,,,,,,,,108.9
2017-09-06,,,,,,,,,,,,,,,,,,,108.745
2017-09-07,,,,,,,,,,,,,,,,,,,109.21
2017-09-08,,,,,,,,,,,,,,,,,,,109.601
2017-09-11,,,,,,,,,,,,,,,,,,,110.66
2017-09-12,,,,,,,,,,,,,,,,,,,110.79
2017-09-13,,,,,,,,,,,,,,,,,,,110.7
2017-09-14,,,,,,,,,,,,,,,,,,,110.88
2017-09-15,,,,,,,,,,,,,,,,,,,110.495
2017-09-18,,,,,,,,,,,,,,,,,,,110.731
2017-09-19,,,,,,,,,,,,,,,,,,,110.883
2017-09-20,,,,,,,,,,,,,,,,,,,110.895
2017-09-21,,,,,,,,,,,,,,,,,,,110.735
2017-09-22,,,,,,,,,,,,,,,,,,,110.86
2017-09-25,,,,,,,,,,,,,,,,,,,111.491
2017-09-26,,,,,,,,,,,,,,,,,,,111.535
2017-09-27,,,,,,,,,,,,,,,,,,,111.29
2017-09-28,,,,,,,,,,,,,,,,,,,111.61
2017-09-29,,,,,,,,,,,,,,,,,,,112.12
2017-10-02,,,,,,,,,,,,,,,,,,,112.715
2017-10-03,,,,,,,,,,,,,,,,,,,113.001
2017-10-04,,,,,,,,,,,,,,,,,,,112.811
2017-10-05,,,,,,,,,,,,,,,,,,,112.993
2017-10-06,,,,,,,,,,,,,,,,,,,112.401
2017-10-09,,,,,,,,,,,,,,,,,,,112.89
2017-10-10,,,,,,,,,,,,,,,,,,,112.931
2017-10-11,,,,,,,,,,,,,,,,,,,112.921
2017-10-12,,,,,,,,,,,,,,,,,,,113.31
2017-10-13,,,,,,,,,,,,,,,,,,,113.701
2017-10-16,,,,,,,,,,,,,,,,,,,113.303
2017-10-17,,,,,,,,,,,,,,,,,,,113.021
2017-10-18,,,,,,,,,,,,,,,,,,,113.261
2017-10-19,,,,,,,,,,,,,,,,,,,112.661
2017-10-20,,,,,,,,,,,,,,,,,,,112.781
2017-10-23,,,,,,,,,,,,,,,,,,,113.116
2017-10-24,,,,,,,,,,,,,,,,,,,112.491
2017-10-25,,,,,,,,,,,,,,,,,,,112.041
2017-10-26,,,,,,,,,,,,,,,,,,,113.531
2017-10-27,,,,,,,,,,,,,,,,,,,114.581
2017-10-30,,,,,,,,,,,,,,,,,,,114.716
2017-10-31,,,,,,,,,,,,,,,,,,,115.415
2017-11-01,,,,,,,,,,,,,,,,,,,115.375
2017-11-02,,,,,,,,,,,,,,,,,,,114.595
2017-11-03,,,,,,,,,,,,,,,,,,,115.586
2017-11-06,,,,,,,,,,,,,,,,,,,115.88
2017-11-07,,,,,,,,,,,,,,,,,,,115.601
2017-11-08,,,,,,,,,,,,,,,,,,,115.755
2017-11-09,,,,,,,,,,,,,,,,,,,114.766
2017-11-10,,,,,,,,,,,,,,,,,,,114.38
2017-11-13,,,,,,,,,,,,,,,,,,,113.52
2017-11-14,,,,,,,,,,,,,,,,,,,113.05
2017-11-15,,,,,,,,,,,,,,,,,,,112.58
2017-11-16,,,,,,,,,,,,,,,,,,,113.22
2017-11-17,,,,,,,,,,,,,,,,,,,112.905
2017-11-20,,,,,,,,,,,,,,,,,,,113.7
2017-11-21,,,,,,,,,,,,,,,,,,,113.98
2017-11-22,,,,,,,,,,,,,,,,,,,113.59
2017-11-23,,,,,,,,,,,,,,,,,,,113.676
2017-11-24,,,,,,,,,,,,,,,,,,,113.502
2017-11-27,,,,,,,,,,,,,,,,,,,113.256
2017-11-28,,,,,,,,,,,,,,,,,,,113.864
2017-11-29,,,,,,,,,,,,,,,,,,,113.72
2017-11-30,,,,,,,,,,,,,,,,,,,113.543
2017-12-01,,,,,,,,,,,,,,,,,,,112.929
2017-12-04,,,,,,,,,,,,,,,,,,,114.013
2017-12-05,,,,,,,,,,,,,,,,,,,114.027
2017-12-06,,,,,,,,,,,,,,,,,,,114.14
2017-12-07,,,,,,,,,,,,,,,,,,,114.023
2017-12-08,,,,,,,,,,,,,,,,,,,114.545
2017-12-11,,,,,,,,,,,,,,,,,,,114.089
2017-12-12,,,,,,,,,,,,,,,,,,,115.166
2017-12-13,,,,,,,,,,,,,,,,,,,114.694
2017-12-14,,,,,,,,,,,,,,,,,,,114.555
2017-12-15,,,,,,,,,,,,,,,,,,,114.186
2017-12-18,,,,,,,,,,,,,,,,,,,115.382
2017-12-19,,,,,,,,,,,,,,,,,,,114.636
2017-12-20,,,,,,,,,,,,,,,,,,,113.898
2017-12-21,,,,,,,,,,,,,,,,,,,114.297
2017-12-22,,,,,,,,,,,,,,,,,,,114.472
2017-12-27,,,,,,,,,,,,,,,,,,,114.551
2017-12-28,,,,,,,,,,,,,,,,,,,114.556
2017-12-29,,,,,,,,,,,,,,,,,,,114.441
2018-01-02,,,,,,,,,,,,,,,,,,,113.969
2018-01-03,,,,,,,,,,,,,,,,,,,114.37
2018-01-04,,,,,,,,,,,,,,,,,,,114.95
2018-01-05,,,,,,,,,,,,,,,,,,,116.22
2018-01-08,,,,,,,,,,,,,,,,,,,116.396
2018-01-09,,,,,,,,,,,,,,,,,,,116.388
2018-01-10,,,,,,,,,,,,,,,,,,,115.244
2018-01-11,,,,,,,,,,,,,,,,,,,114.609
2018-01-12,,,,,,,,,,,,,,,,,,,114.847
2018-01-15,,,,,,,,,,,,,,,,,,,114.546
2018-01-16,,,,,,,,,,,,,,,,,,,114.641
2018-01-17,,,,,,,,,,,,,,,,,,,114.636
2018-01-18,,,,,,,,,,,,,,,,,,,114.926
2018-01-19,,,,,,,,,,,,,,,,,,,115.168
2018-01-22,,,,,,,,,,,,,,,,,,,115.232
2018-01-23,,,,,,,,,,,,,,,,,,,115.458
2018-01-24,,,,,,,,,,,,,,,,,,,114.946
2018-01-25,,,,,,,,,,,,,,,,,,,114.126
2018-01-26,,,,,,,,,,,,,,,,,,,114.9
2018-01-29,,,,,,,,,,,,,,,,,,,114.26
2018-01-30,,,,,,,,,,,,,,,,,,,113.38
2018-01-31,,,,,,,,,,,,,,,,,,,113.48
2018-02-01,,,,,,,,,,,,,,,,,,,113.02
2018-02-02,,,,,,,,,,,,,,,,,,,111.82
2018-02-05,,,,,,,,,,,,,,,,,,,109.9
2018-02-06,,,,,,,,,,,,,,,,,,,106.98
2018-02-07,,,,,,,,,,,,,,,,,,,109.24
2018-02-08,,,,,,,,,,,,,,,,,,,108.14
2018-02-09,,,,,,,,,,,,,,,,,,,106.82
2018-02-12,,,,,,,,,,,,,,,,,,,108.08
2018-02-13,,,,,,,,,,,,,,,,,,,107.24
2018-02-14,,,,,,,,,,,,,,,,,,,108.0
2018-02-15,,,,,,,,,,,,,,,,,,,108.82
2018-02-16,,,,,,,,,,,,,,,,,,,109.9
2018-02-19,,,,,,,,,,,,,,,,,,,109.02
2018-02-20,,,,,,,,,,,,,,,,,,,109.62
2018-02-21,,,,,,,,,,,,,,,,,,,109.78
2018-02-22,,,,,,,,,,,,,,,,,,,109.66
2018-02-23,,,,,,,,,,,,,,,,,,,110.54
2018-02-26,,,,,,,,,,,,,,,,,,,110.84
2018-02-27,,,,,,,,,,,,,,,,,,,110.52
2018-02-28,,,,,,,,,,,,,,,,,,,109.66
2018-03-01,,,,,,,,,,,,,,,,,,,108.26
2018-03-02,,,,,,,,,,,,,,,,,,,106.6
