,PTPXE FP Equity_DX_SI_QTY,PTPXE FP Equity_DX_SHORT_INTEREST_VALUE,PTPXE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PTPXE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PTPXE FP Equity_DX_SI_MV,PTPXE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PTPXE FP Equity_DX_SUPPLY_SI_QTY,PTPXE FP Equity_DX_BROKER_SI_QTY,PTPXE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PTPXE FP Equity_DX_BROKER_SI_QTY_ADD,PTPXE FP Equity_DX_BROKER_SI_MV_ADD,PTPXE FP Equity_DX_SUPPLY_SI_QTY_ADD,PTPXE FP Equity_DX_SUPPLY_SI_MV,PTPXE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PTPXE FP Equity_DX_UTILIZATION_QUANTITY,PTPXE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PTPXE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PTPXE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PTPXE FP Equity_DX_ACTIVE_UTILIZATION_MV,PTPXE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PTPXE FP Equity_DX_BROKER_SI_CON_RATIO,PTPXE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PTPXE FP Equity_DX_DEMAND_SUPPLY_RATIO,PTPXE FP Equity_PX_LAST
2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,19.367
2019-06-18,,,,,,,,,,,,,,,,,,,,,,,,19.513
2019-06-19,,,,,,,,,,,,,,,,,,,,,,,,19.576
2019-06-20,,,,,,,,,,,,,,,,,,,,,,,,19.66
2019-06-21,,,,,,,,,,,,,,,,,,,,,,,,19.535
2019-06-24,,,,,,,,,,,,,,,,,,,,,,,,19.34
2019-06-25,,,,,,,,,,,,,,,,,,,,,,,,19.356
2019-06-26,,,,,,,,,,,,,,,,,,,,,,,,19.26
2019-06-27,,,,,,,,,,,,,,,,,,,,,,,,19.361
2019-06-28,,,,,,,,,,,,,,,,,,,,,,,,19.445
2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,19.819
2019-07-02,,,,,,,,,,,,,,,,,,,,,,,,19.904
2019-07-03,,,,,,,,,,,,,,,,,,,,,,,,20.032
2019-07-04,,,,,,,,,,,,,,,,,,,,,,,,20.06
2019-07-05,,,,,,,,,,,,,,,,,,,,,,,,19.996
2019-07-08,,,,,,,,,,,,,,,,,,,,,,,,19.946
2019-07-09,,,,,,,,,,,,,,,,,,,,,,,,19.74
2019-07-10,,,,,,,,,,,,,,,,,,,,,,,,19.779
2019-07-11,,,,,,,,,,,,,,,,,,,,,,,,19.807
2019-07-12,,,,,,,,,,,,,,,,,,,,,,,,19.791
2019-07-15,,,,,,,,,,,,,,,,,,,,,,,,19.856
2019-07-16,,,,,,,,,,,,,,,,,,,,,,,,19.791
2019-07-17,,,,,,,,,,,,,,,,,,,,,,,,19.734
2019-07-18,,,,,,,,,,,,,,,,,,,,,,,,19.481
2019-07-19,,,,,,,,,,,,,,,,,,,,,,,,19.766
2019-07-22,,,,,,,,,,,,,,,,,,,,,,,,19.71
2019-07-23,,,,,,,,,,,,,,,,,,,,,,,,20.01
2019-07-24,,,,,,,,,,,,,,,,,,,,,,,,20.017
2019-07-25,,,,,,,,,,,,,,,,,,,,,,,,19.879
2019-07-26,,,,,,,,,,,,,,,,,,,,,,,,19.947
2019-07-29,,,,,,,,,,,,,,,,,,,,,,,,19.878
2019-07-30,,,,,,,,,,,,,,,,,,,,,,,,19.755
2019-07-31,,,,,,,,,,,,,,,,,,,,,,,,19.909
2019-08-01,,,,,,,,,,,,,,,,,,,,,,,,20.085
2019-08-02,,,,,,,,,,,,,,,,,,,,,,,,19.554
2019-08-05,,,,,,,,,,,,,,,,,,,,,,,,19.114
2019-08-06,,,,,,,,,,,,,,,,,,,,,,,,19.093
2019-08-07,,,,,,,,,,,,,,,,,,,,,,,,19.229
2019-08-08,,,,,,,,,,,,,,,,,,,,,,,,19.452
2019-08-09,,,,,,,,,,,,,,,,,,,,,,,,19.262
2019-08-12,,,,,,,,,,,,,,,,,,,,,,,,19.177
2019-08-13,,,,,,,,,,,,,,,,,,,,,,,,19.356
2019-08-14,,,,,,,,,,,,,,,,,,,,,,,,19.058
2019-08-15,,,,,,,,,,,,,,,,,,,,,,,,19.216
2019-08-16,,,,,,,,,,,,,,,,,,,,,,,,19.443
2019-08-19,,,,,,,,,,,,,,,,,,,,,,,,19.495
2019-08-20,,,,,,,,,,,,,,,,,,,,,,,,19.443
2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,19.507
2019-08-22,,,,,,,,,,,,,,,,,,,,,,,,19.416
2019-08-23,,,,,,,,,,,,,,,,,,,,,,,,19.23
2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,19.475
2019-08-27,,,,,,,,,,,,,,,,,,,,,,,,19.512
2019-08-28,,,,,,,,,,,,,,,,,,,,,,,,19.485
2019-08-29,,,,,,,,,,,,,,,,,,,,,,,,19.623
2019-08-30,,,,,,,,,,,,,,,,,,,,,,,,19.791
2019-09-02,,,,,,,,,,,,,,,,,,,,,,,,19.81
2019-09-03,,,,,,,,,,,,,,,,,,,,,,,,19.852
2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,19.847
2019-09-05,,,,,,,,,,,,,,,,,,,,,,,,19.993
2019-09-06,,,,,,,,,,,,,,,,,,,,,,,,20.002
2019-09-09,,,,,,,,,,,,,,,,,,,,,,,,20.14
2019-09-10,,,,,,,,,,,,,,,,,,,,,,,,20.156
2019-09-11,,,,,,,,,,,,,,,,,,,,,,,,20.443
2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,20.5
2019-09-13,,,,,,,,,,,,,,,,,,,,,,,,20.738
2019-09-16,,,,,,,,,,,,,,,,,,,,,,,,20.761
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,20.671
2019-09-18,,,,,,,,,,,,,,,,,,,,,,,,20.618
2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,20.92
2019-09-20,,,,,,,,,,,,,,,,,,,,,,,,20.961
2019-09-23,,,,,,,,,,,,,,,,,,,,,,,,20.874
2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,21.015
2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,21.055
2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,21.174
2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,20.939
2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,20.943
2019-10-01,,,,,,,,,,,,,,,,,,,,,,,,20.916
2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,20.607
2019-10-03,,,,,,,,,,,,,,,,,,,,,,,,20.532
2019-10-04,,,,,,,,,,,,,,,,,,,,,,,,20.797
2019-10-07,,,,,,,,,,,,,,,,,,,,,,,,20.849
2019-10-08,,,,,,,,,,,,,,,,,,,,,,,,20.733
2019-10-09,,,,,,,,,,,,,,,,,,,,,,,,20.828
2019-10-10,,,,,,,,,,,,,,,,,,,,,,,,20.794
2019-10-11,,,,,,,,,,,,,,,,,,,,,,,,21.01
2019-10-14,,,,,,,,,,,,,,,,,,,,,,,,20.894
2019-10-15,,,,,,,,,,,,,,,,,,,,,,,,21.14
2019-10-16,,,,,,,,,,,,,,,,,,,,,,,,21.027
2019-10-17,,,,,,,,,,,,,,,,,,,,,,,,20.847
2019-10-18,,,,,,,,,,,,,,,,,,,,,,,,20.782
2019-10-21,,,,,,,,,,,,,,,,,,,,,,,,20.968
2019-10-22,,,,,,,,,,,,,,,,,,,,,,,,21.013
2019-10-23,,,,,,,,,,,,,,,,,,,,,,,,21.151
2019-10-24,,,,,,,,,,,,,,,,,,,,,,,,21.165
2019-10-25,,,,,,,,,,,,,,,,,,,,,,,,21.196
2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,21.207
2019-10-29,,,,,,,,,,,,,,,,,,,,,,,,21.297
2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,21.26
2019-10-31,,,,,,,,,,,,,,,,,,,,,,,,21.21
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,21.432
2019-11-04,,,,,,,,,,,,,,,,,,,,,,,,21.619
2019-11-05,,,,,,,,,,,,,,,,,,,,,,,,21.832
2019-11-06,,,,,,,,,,,,,,,,,,,,,,,,21.793
2019-11-07,,,,,,,,,,,,,,,,,,,,,,,,22.002
2019-11-08,,,,,,,,,,,,,,,,,,,,,,,,21.951
2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,21.87
2019-11-12,,,,,,,,,,,,,,,,,,,,,,,,22.045
2019-11-13,,,,,,,,,,,,,,,,,,,,,,,,21.931
2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,21.778
2019-11-15,,,,,,,,,,,,,,,,,,,,,,,,21.901
2019-11-18,,,,,,,,,,,,,,,,,,,,,,,,21.844
2019-11-19,,,,,,,,,,,,,,,,,,,,,,,,21.789
2019-11-20,,,,,,,,,,,,,,,,,,,,,,,,21.787
2019-11-21,,,,,,,,,,,,,,,,,,,,,,,,21.741
2019-11-22,,,,,,,,,,,,,,,,,,,,,,,,21.832
2019-11-25,,,,,,,,,,,,,,,,,,,,,,,,22.022
2019-11-26,,,,,,,,,,,,,,,,,,,,,,,,21.974
2019-11-27,,,,,,,,,,,,,,,,,,,,,,,,22.067
2019-11-28,,,,,,,,,,,,,,,,,,,,,,,,21.966
2019-11-29,,,,,,,,,,,,,,,,,,,,,,,,21.826
2019-12-02,,,,,,,,,,,,,,,,,,,,,,,,21.522
2019-12-03,,,,,,,,,,,,,,,,,,,,,,,,21.603
2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,21.974
2019-12-05,,,,,,,,,,,,,,,,,,,,,,,,21.907
2019-12-06,,,,,,,,,,,,,,,,,,,,,,,,22.258
2019-12-09,,,,,,,,,,,,,,,,,,,,,,,,22.147
2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,22.116
2019-12-11,,,,,,,,,,,,,,,,,,,,,,,,22.078
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,22.05
2019-12-13,,,,,,,,,,,,,,,,,,,,,,,,22.046
2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,22.174
2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,22.113
2019-12-18,,,,,,,,,,,,,,,,,,,,,,,,22.071
2019-12-19,,,,,,,,,,,,,,,,,,,,,,,,22.073
2019-12-20,,,,,,,,,,,,,,,,,,,,,,,,22.192
2019-12-23,,,,,,,,,,,,,,,,,,,,,,,,22.084
2019-12-24,,,,,,,,,,,,,,,,,,,,,,,,22.044
2019-12-27,,,,,,,,,,,,,,,,,,,,,,,,21.916
2019-12-30,,,,,,,,,,,,,,,,,,,,,,,,21.668
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,21.547
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,21.916
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,21.826
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,21.768
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,21.991
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,21.969
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,22.129
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,21.986
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,21.934
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,21.967
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,21.873
2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,21.899
2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,21.977
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,22.107
2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,21.995
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,22.056
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,22.067
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,22.138
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,21.724
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,21.884
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,21.895
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,21.598
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,21.307
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,21.497
2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,21.897
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,22.138
2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,22.295
2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,22.223
2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,22.188
2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,22.333
2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,22.247
2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,22.195
2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,22.012
2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,21.905
2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,21.667
2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,21.739
2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,21.356
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,21.248
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,20.548
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,20.469
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,20.639
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,19.829
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,19.234
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,19.277
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,19.314
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,19.5
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,19.254
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,18.711
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,17.757
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,17.841
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,17.935
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,15.901
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,16.396
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,15.882
2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,16.711
2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,16.56
2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,17.334
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,17.681
2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,16.966
2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,18.209
2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,18.002
2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,18.557
2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,18.697
2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,18.769
2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,18.521
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,17.803
2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,17.777
2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,17.588
2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,18.416
2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,18.982
2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,18.668
2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,18.864
2020-04-14,,,,,,,,,,,,,,,,,,,,,,,,19.017
2020-04-15,,,,,,,,,,,,,,,,,,,,,,,,18.858
2020-04-16,,,,,,,,,,,,,,,,,,,,,,,,18.88
2020-04-17,,,,,,,,,,,,,,,,,,,,,,,,18.916
2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,19.002
2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,18.742
2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,18.997
2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,19.287
2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,19.204
2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,19.471
2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,19.832
2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,20.211
2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,19.376
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,18.841
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,19.428
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,19.358
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,19.514
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,19.715
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,19.962
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,19.885
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,19.845
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,19.654
2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,19.53
2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,19.946
2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,19.798
2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,19.983
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,19.704
2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,19.827
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,20.247
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,20.346
2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,20.536
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,20.806
2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,20.299
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,20.52
2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,20.67
2020-06-03,,,,,,,,,,,,,,,,,,,,,,,,20.694
2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,20.339
2020-06-05,,,,,,,,,,,,,,,,,,,,,,,,20.713
2020-06-08,,,,,,,,,,,,,,,,,,,,,,,,20.757
2020-06-09,,,,,,,,,,,,,,,,,,,,,,,,20.629
2020-06-10,,,,,,,,,,,,,,,,,,,,,,,,20.675
2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,20.066
2020-06-12,,,,,,,,,,,,,,,,,,,,,,,,20.235
2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,19.977
2020-06-16,,,,,,,,,,,,,,,,,,,,,,,,20.568
2020-06-17,,,,,,,,,,,,,,,,,,,,,,,,20.76
2020-06-18,,,,,,,,,,,,,,,,,,,,,,,,20.696
2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,20.785
2020-06-22,,,,,,,,,,,,,,,,,,,,,,,,20.513
2020-06-23,,,,,,,,,,,,,,,,,,,,,,,,20.674
2020-06-24,,,,,,,,,,,,,,,,,,,,,,,,20.212
2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,20.38
2020-06-26,,,,,,,,,,,,,,,,,,,,,,,,20.348
2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,20.339
2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,20.213
2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,19.961
2020-07-02,,,,,,,,,,,,,,,,,,,,,,,,20.237
2020-07-03,,,,,,,,,,,,,,,,,,,,,,,,20.03
2020-07-06,,,,,,,,,,,,,,,,,,,,,,,,20.307
2020-07-07,,,,,,,,,,,,,,,,,,,,,,,,20.291
2020-07-08,,,,,,,,,,,,,,,,,,,,,,,,19.967
2020-07-09,,,,,,,,,,,,,,,,,,,,,,,,19.92
2020-07-10,,,,,,,,,,,,,,,,,,,,,,,,20.132
2020-07-13,,,,,,,,,,,,,,,,,,,,,,,,20.299
2020-07-14,,,,,,,,,,,,,,,,,,,,,,,,20.079
2020-07-15,,,,,,,,,,,,,,,,,,,,,,,,20.472
2020-07-16,,,,,,,,,,,,,,,,,,,,,,,,20.168
2020-07-17,,,,,,,,,,,,,,,,,,,,,,,,20.122
2020-07-20,,,,,,,,,,,,,,,,,,,,,,,,20.171
2020-07-21,,,,,,,,,,,,,,,,,,,,,,,,20.181
2020-07-22,,,,,,,,,,,,,,,,,,,,,,,,19.902
2020-07-23,,,,,,,,,,,,,,,,,,,,,,,,19.92
2020-07-24,,,,,,,,,,,,,,,,,,,,,,,,19.713
2020-07-27,,,,,,,,,,,,,,,,,,,,,,,,19.881
2020-07-28,,,,,,,,,,,,,,,,,,,,,,,,19.882
2020-07-29,,,,,,,,,,,,,,,,,,,,,,,,19.662
2020-07-30,,,,,,,,,,,,,,,,,,,,,,,,19.301
2020-07-31,,,,,,,,,,,,,,,,,,,,,,,,18.863
2020-08-03,,,,,,,,,,,,,,,,,,,,,,,,19.319
2020-08-04,,,,,,,,,,,,,,,,,,,,,,,,19.462
2020-08-05,,,,,,,,,,,,,,,,,,,,,,,,19.466
2020-08-06,,,,,,,,,,,,,,,,,,,,,,,,19.356
2020-08-07,,,,,,,,,,,,,,,,,,,,,,,,19.455
2020-08-10,,,,,,,,,,,,,,,,,,,,,,,,19.563
2020-08-11,,,,,,,,,,,,,,,,,,,,,,,,19.874
2020-08-12,,,,,,,,,,,,,,,,,,,,,,,,20.203
2020-08-13,,,,,,,,,,,,,,,,,,,,,,,,20.122
2020-08-14,,,,,,,,,,,,,,,,,,,,,,,,20.076
2020-08-17,,,,,,,,,,,,,,,,,,,,,,,,20.065
2020-08-18,,,,,,,,,,,,,,,,,,,,,,,,20.059
2020-08-19,,,,,,,,,,,,,,,,,,,,,,,,20.114
2020-08-20,,,,,,,,,,,,,,,,,,,,,,,,19.969
2020-08-21,,,,,,,,,,,,,,,,,,,,,,,,19.995
2020-08-24,,,,,,,,,,,,,,,,,,,,,,,,20.203
2020-08-25,,,,,,,,,,,,,,,,,,,,,,,,20.189
2020-08-26,,,,,,,,,,,,,,,,,,,,,,,,20.232
2020-08-27,,,,,,,,,,,,,,,,,,,,,,,,20.124
2020-08-28,,,,,,,,,,,,,,,,,,,,,,,,19.98
2020-08-31,,,,,,,,,,,,,,,,,,,,,,,,19.894
2020-09-01,,,,,,,,,,,,,,,,,,,,,,,,19.941
2020-09-02,,,,,,,,,,,,,,,,,,,,,,,,20.259
2020-09-03,,,,,,,,,,,,,,,,,,,,,,,,20.036
2020-09-04,,,,,,,,,,,,,,,,,,,,,,,,19.997
2020-09-07,,,,,,,,,,,,,,,,,,,,,,,,20.132
2020-09-08,,,,,,,,,,,,,,,,,,,,,,,,20.047
2020-09-09,,,,,,,,,,,,,,,,,,,,,,,,20.074
2020-09-10,,,,,,,,,,,,,,,,,,,,,,,,20.109
2020-09-11,,,,,,,,,,,,,,,,,,,,,,,,20.375
2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,20.535
2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,20.566
2020-09-16,,,,,,,,,,,,,,,,,,,,,,,,20.734
2020-09-17,,,,,,,,,,,,,,,,,,,,,,,,20.719
2020-09-18,,,,,,,,,,,,,,,,,,,,,,,,20.71
2020-09-21,,,,,,,,,,,,,,,,,,,,,,,,20.432
2020-09-22,,,,,,,,,,,,,,,,,,,,,,,,20.494
2020-09-23,,,,,,,,,,,,,,,,,,,,,,,,20.863
2020-09-24,,,,,,,,,,,,,,,,,,,,,,,,20.753
2020-09-25,,,,,,,,,,,,,,,,,,,,,,,,20.768
2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,21.102
2020-09-29,,,,,,,,,,,,,,,,,,,,,,,,21.033
2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,20.857
2020-10-01,,,,,,,,,,,,,,,,,,,,,,,,20.831
2020-10-02,,,,,,,,,,,,,,,,,,,,,,,,20.764
2020-10-05,,,,,,,,,,,,,,,,,,,,,,,,20.794
2020-10-06,,,,,,,,,,,,,,,,,,,,,,,,20.866
2020-10-07,,,,,,,,,,,,,,,,,,,,,,,,20.882
2020-10-08,,,,,,,,,,,,,,,,,,,,,,,,20.94
2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,20.818
2020-10-12,,,,,,,,,,,,,,,,,,,,,,,,20.895
2020-10-13,,,,,,,,,,,,,,,,,,,,,,,,20.926
2020-10-14,,,,,,,,,,,,,,,,,,,,,,,,20.989
2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,20.782
2020-10-16,,,,,,,,,,,,,,,,,,,,,,,,20.787
2020-10-19,,,,,,,,,,,,,,,,,,,,,,,,21.0
