,CDA FP Equity_DX_SI_QTY,CDA FP Equity_DX_SHORT_INTEREST_VALUE,CDA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CDA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CDA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CDA FP Equity_DX_SI_MV,CDA FP Equity_DX_DSS,CDA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CDA FP Equity_DX_SUPPLY_SI_QTY,CDA FP Equity_DX_BROKER_SI_QTY,CDA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CDA FP Equity_DX_BROKER_SI_MV_NEW_x,CDA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CDA FP Equity_DX_SUPPLY_SI_QTY_INC_x,CDA FP Equity_DX_BROKER_SI_MV_INC_x,CDA FP Equity_DX_SUPPLY_SI_MV_NEW,CDA FP Equity_DX_BROKER_SI_QTY_ADD,CDA FP Equity_DX_BROKER_SI_QTY_NEW,CDA FP Equity_DX_SUPPLY_SI_MV_DEC,CDA FP Equity_DX_BROKER_SI_QTY_INC,CDA FP Equity_DX_SUPPLY_SI_QTY_DEC,CDA FP Equity_DX_BROKER_SI_MV_NEW_y,CDA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CDA FP Equity_DX_BROKER_SI_MV_INC_y,CDA FP Equity_DX_SUPPLY_SI_QTY_INC_y,CDA FP Equity_DX_BROKER_SI_MV_ADD,CDA FP Equity_DX_SUPPLY_SI_QTY_ADD,CDA FP Equity_DX_BROKER_SI_QTY_DEC,CDA FP Equity_DX_SUPPLY_SI_MV,CDA FP Equity_DX_BROKER_SI_MV_DEC,CDA FP Equity_DX_SUPPLY_SI_MV_RMV,CDA FP Equity_DX_BROKER_SI_MV_RMV,CDA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CDA FP Equity_DX_UTILIZATION_QUANTITY,CDA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CDA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CDA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CDA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CDA FP Equity_DX_ACTIVE_UTILIZATION_MV,CDA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CDA FP Equity_DX_BROKER_SI_CON_RATIO,CDA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CDA FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-07-07,18266.0,843575.28,0.33,5.91,0.29,1.22,0.0,608874.22,8939.0,13184.0,412828.18,,,31.0,0.13,,,,,2000.0,,,,0.13,31.0,,,33.0,0.59,0.0,,,77.86,44.02,2542.0,117396.71,,0.0,180.62,26.83,0.272,35.72,0.8995
2006-07-10,18292.0,842826.55,0.33,5.92,0.29,1.22,0.0,608713.19,8934.0,13211.0,411645.11,,,,0.0,,,,0.0,26.0,4.0,,,0.0,,,,,0.59,,,,78.02,44.04,2517.0,115973.89,,0.0,180.42,26.83,0.2718,35.69,0.9016
2006-07-11,17474.0,798928.51,0.32,5.68,0.27,1.15,0.0,559030.5,9594.0,12227.0,438647.14,,,659.0,0.0,,,,,16.0,,,,0.0,659.0,,,1000.0,0.63,0.08,,,83.46,38.55,1901.0,86915.59,,0.0,193.85,28.37,0.2631,31.62,0.7021
2006-07-12,19991.0,914008.23,0.36,6.58,0.31,1.31,0.0,674018.78,9627.0,14742.0,440155.93,,,34.0,0.16,,,,,2515.0,,,,0.16,34.0,,,,0.63,,,,83.58,38.22,1891.0,86458.38,,0.0,193.91,30.26,0.2674,30.67,0.7935
2006-07-13,19969.0,915130.58,0.36,7.18,0.31,1.31,0.0,674673.36,9611.0,14722.0,440448.7,,,,,,,,0.0,,17.0,,,,,,,21.0,0.62,0.0,,,83.38,38.37,1916.0,87805.61,,0.0,193.91,30.19,0.2678,30.9,0.7972
2006-07-14,21986.0,965387.64,0.4,8.15,0.35,1.44,0.0,647045.95,11646.0,14736.0,511366.53,,,35.0,0.0,,,,,14.0,,,,0.0,35.0,,2000.0,,0.75,,,,86.34,46.56,1843.0,80924.65,,0.0,167.9,27.63,0.2308,28.12,0.8791
2006-07-17,21885.0,954733.05,0.4,8.12,0.34,1.42,0.0,638757.2,11517.0,14642.0,502429.09,,,,,,,,0.01,,129.0,,,,,,,94.0,0.73,0.01,,,85.93,46.21,1886.0,82276.74,,0.0,167.33,28.14,0.2324,28.46,0.878
2006-07-18,14715.0,660760.97,0.27,5.36,0.23,0.95,0.0,335611.79,11479.0,7474.0,515451.93,,,,,,,,0.0,,37.0,,,,,,,7168.0,0.72,0.47,,,84.97,45.86,2031.0,91199.83,,0.0,166.53,32.92,0.3226,43.03,0.5878
2006-07-19,17459.0,793901.05,0.32,6.44,0.27,1.13,0.0,464454.17,11566.0,10214.0,525932.73,,,87.0,,,2740.0,,,,,,,,87.0,0.18,,,0.74,,,,85.34,45.84,1987.0,90353.48,,0.0,166.99,28.17,0.2517,35.53,0.692
2006-07-20,17470.0,798125.0,0.32,6.5,0.27,1.14,0.0,467042.46,11598.0,10223.0,529859.97,,,32.0,0.0,,,,,9.0,,,,0.0,32.0,,,,0.75,,,,85.73,46.29,1930.0,88172.94,,0.0,167.01,28.32,0.2507,35.2,0.6973
2006-07-21,17475.0,800215.84,0.32,6.67,0.28,1.14,0.0,468406.74,11598.0,10229.0,531096.04,,,1.0,0.0,,,,0.0,6.0,1.0,,,0.0,1.0,,,,0.75,,,,85.74,46.3,1928.0,88287.05,,0.0,166.9,28.41,0.2505,35.1,0.6976
2006-07-24,17468.0,806721.4,0.32,6.52,0.27,1.15,0.0,471988.36,11619.0,10220.0,536598.12,,,21.0,,,,,,,,,,,21.0,,,9.0,0.76,0.0,,,85.92,46.39,1905.0,87978.26,,0.0,166.94,28.55,0.2502,34.95,0.6974
2006-07-25,17401.0,851844.78,0.32,6.47,0.27,1.16,0.0,499867.08,11546.0,10211.0,565220.38,,,,,,,,0.0,,73.0,,,,,,,9.0,0.77,0.0,,,84.48,45.83,2122.0,103879.93,,0.0,165.06,28.46,0.2478,34.49,0.6907
2006-07-26,17461.0,838654.04,0.32,6.57,0.27,1.21,0.0,493221.37,11583.0,10269.0,556332.96,,,37.0,0.01,,,,,58.0,,,,0.01,37.0,,,,0.79,,,,85.39,45.89,1981.0,95147.68,,0.0,166.42,28.66,0.2499,34.76,0.6918
2006-07-27,17425.0,834448.85,0.32,6.28,0.27,1.2,0.0,490038.17,11567.0,10233.0,553920.79,,,,,,,,0.0,,16.0,,,,,,,36.0,0.78,0.0,,,84.58,44.73,2109.0,100995.85,,0.0,166.53,28.36,0.2505,35.14,0.6738
2006-07-28,17419.0,830448.63,0.32,6.34,0.27,1.19,0.0,487666.29,11539.0,10229.0,550120.37,,,,,,,,0.0,,28.0,,,,,,,4.0,0.78,0.0,,,84.49,44.65,2118.0,100975.38,,0.0,166.07,28.45,0.2509,35.15,0.6741
2006-07-31,16391.0,798907.69,0.24,5.28,0.21,1.13,0.0,448511.29,11513.0,9202.0,561150.89,,,,,,,,0.0,,26.0,,,,,,,1027.0,0.78,0.07,,,84.04,44.48,2187.0,106595.76,,0.0,165.72,30.04,0.2737,37.26,0.6332
2006-08-01,8662.0,421575.91,0.13,2.77,0.11,0.6,0.0,314989.53,6536.0,6472.0,318104.38,,,23.0,,,,,0.34,,5000.0,,,,23.0,,,2730.0,0.45,0.19,,,75.71,25.32,2097.0,102060.11,,0.0,332.65,22.95,0.5491,70.15,0.3355
2006-08-02,3168.0,152159.44,0.08,1.04,0.04,0.22,0.0,46685.28,3177.0,972.0,152591.71,,,34.0,,,,,0.24,,3393.0,,,,34.0,,,5500.0,0.22,0.39,,,36.27,12.18,5581.0,268056.14,,0.0,159.05,19.24,0.4974,66.51,0.1214
2006-08-03,3164.0,153540.95,0.08,1.03,0.04,0.22,0.0,47168.71,3155.0,972.0,153104.2,,,,,,,,0.0,,22.0,,,,,,,,0.22,,,,36.02,12.16,5605.0,271996.53,,0.0,157.7,18.93,0.5004,66.82,0.122
2006-08-04,3166.0,151838.44,0.08,1.05,0.04,0.22,0.0,46616.22,3169.0,972.0,151982.31,,,14.0,,,,,,,,,,,14.0,,,,0.21,,,,35.8,12.17,5684.0,272599.39,,0.0,158.71,19.19,0.4966,66.43,0.1216
2006-08-07,3165.0,152689.98,0.08,1.05,0.04,0.22,0.0,46892.47,3158.0,972.0,152352.27,,,,,,,,0.0,,11.0,,,,,,,,0.21,,,,35.7,12.13,5687.0,274359.52,,0.0,157.92,18.93,0.4991,66.69,0.1216
2006-08-08,3164.0,153990.55,0.08,1.06,0.04,0.22,0.0,47306.83,3156.0,972.0,153601.2,,,,,,,,0.0,,2.0,,,,,,,,0.22,,,,35.69,12.13,5687.0,276783.91,,0.0,157.76,18.92,0.5,66.78,0.1216
2006-08-09,3165.0,154039.22,0.08,1.06,0.04,0.22,0.0,47306.83,3163.0,972.0,153941.88,,,7.0,,,,,,,,,,,7.0,,,,0.22,,,,35.85,12.09,5659.0,275421.16,,0.0,158.11,19.07,0.5003,66.79,0.121
2006-08-10,3599.0,173243.99,0.09,1.54,0.05,0.24,0.0,67487.66,3611.0,1402.0,173821.63,,,448.0,0.03,,,,,430.0,,,,0.03,448.0,,,,0.24,,,,40.85,13.53,5229.0,251706.82,,0.0,180.96,29.46,0.4378,58.07,0.1348
2006-08-11,3595.0,174839.43,0.09,1.54,0.05,0.25,0.0,68184.95,3584.0,1402.0,174304.46,,,,,,,,0.0,,27.0,,,,,,,,0.25,,,,68.53,13.44,1646.0,80051.66,,0.0,178.86,28.96,0.4411,58.61,0.1348
2006-08-14,3596.0,174888.06,0.09,1.55,0.05,0.25,0.0,68184.95,3594.0,1402.0,174790.8,,,10.0,,,,,,,,,,,10.0,,,,0.25,,,,68.61,13.47,1644.0,79954.39,,0.0,179.61,29.19,0.4401,58.41,0.1348
2006-08-15,3595.0,174967.14,0.09,1.6,0.05,0.25,0.0,68234.75,3021.0,1402.0,147030.8,,,,,,,,0.04,,573.0,,,,,,,,0.21,,,,57.66,11.28,2218.0,107949.13,,0.0,151.0,29.23,0.44,58.39,0.1343
2006-08-16,3023.0,147342.93,0.07,1.43,0.04,0.21,0.0,40454.72,3020.0,830.0,147196.71,,,,,,,,0.0,,0.0,,,,,,,572.0,0.21,0.04,,,57.72,11.22,2212.0,107814.28,,0.0,150.94,15.04,0.5342,70.15,0.1123
2006-08-17,3322.0,162034.39,0.08,1.64,0.04,0.23,0.0,55019.5,3321.0,1128.0,161985.62,,,301.0,0.02,,,,,298.0,,,,0.02,301.0,,,,0.23,,,,63.58,12.37,1902.0,92772.25,,0.0,165.89,23.06,0.4734,63.6,0.1238
2006-08-18,3324.0,159415.97,0.08,2.05,0.04,0.23,0.0,54097.84,3339.0,1128.0,160135.36,,,18.0,,,,,,,,,,,18.0,,,,0.23,,,,63.43,12.42,1925.0,92321.22,,0.0,167.25,23.38,0.4694,63.13,0.1237
2006-08-21,3317.0,163558.07,0.08,2.05,0.04,0.23,0.0,55620.59,2869.0,1128.0,141467.62,,,,,,,,0.03,,470.0,,,,,,,,0.2,,,,55.39,10.68,2311.0,113953.18,,0.0,143.13,22.81,0.4765,63.94,0.1235
2006-08-22,2894.0,142803.16,0.07,1.81,0.04,0.2,0.0,34442.5,2897.0,698.0,142951.19,,,28.0,,,,,,,,,,,28.0,,,430.0,0.2,0.03,,,10.77,10.77,24004.0,1184466.83,,1.68,10.72,14.44,0.5757,73.67,0.1076
2006-08-23,2892.0,142807.21,0.07,1.81,0.04,0.2,0.0,34467.3,2891.0,698.0,142757.83,,,,,,,,0.0,,6.0,,,,,,,,0.2,,,,10.68,10.68,24183.0,1194158.62,,1.65,10.88,14.7,0.5732,73.45,0.1068
2006-08-24,2894.0,141055.39,0.07,1.82,0.04,0.2,0.0,34020.96,2900.0,698.0,141347.83,,,8.0,,,,,,,,,,,8.0,,,,0.2,,,,10.72,10.72,24141.0,1176647.59,,1.64,10.85,14.8,0.5706,73.24,0.107
2006-08-25,2892.0,140752.43,0.07,1.03,0.04,0.2,0.0,33971.37,2892.0,698.0,140752.43,,,,,,,,0.0,,8.0,,,,,,,,0.2,,,,10.7,10.7,24135.0,1174640.34,,1.62,10.87,14.88,0.5709,73.26,0.107
2006-08-28,2892.0,139211.34,0.07,0.96,0.04,0.2,0.0,33599.42,2895.0,698.0,139355.75,,,3.0,,,,,,,,,,,3.0,,,,0.2,,,,10.71,10.71,24141.0,1162068.13,,1.61,10.87,15.0,0.5687,73.08,0.107
2006-08-29,2891.0,139574.02,0.07,0.97,0.04,0.2,0.0,33698.6,2590.0,698.0,125042.1,,,,,,,,0.02,,305.0,,,,,,,,0.18,,,,9.53,9.53,24588.0,1187079.22,,1.63,9.7,15.03,0.5682,73.03,0.1064
2006-08-30,2593.0,126108.11,0.06,0.75,0.03,0.18,0.0,19453.62,2591.0,400.0,126010.84,,,1.0,,,,,,,,,,,1.0,,,298.0,0.18,0.02,,,71.08,9.48,1054.0,51260.29,,0.0,129.47,16.31,0.71,82.66,0.0949
2006-08-31,2595.0,125744.43,0.06,0.75,0.03,0.18,0.0,19382.57,2598.0,400.0,125889.8,,,8.0,,,,,,,,,,,8.0,,,,0.18,,,,70.95,9.49,1064.0,51557.64,,0.0,129.89,16.4,0.7087,82.57,0.0948
2006-09-01,2602.0,125806.32,0.06,0.75,0.03,0.18,0.0,19339.94,2603.0,400.0,125854.67,,,4.0,,,,,,,,,,,4.0,,,,0.18,,,,8.28,8.28,28823.0,1393587.84,,1.96,8.26,16.38,0.7042,82.3,0.0828
2006-09-04,2602.0,125159.26,0.06,0.77,0.03,0.18,0.0,19240.47,2603.0,400.0,125207.36,,,,,,,,0.0,,0.0,,,,,,,,0.18,,,,8.27,8.27,28881.0,1389210.1,,1.96,8.25,16.4,0.704,82.28,0.0826
2006-09-05,2604.0,123497.82,0.06,0.77,0.03,0.17,0.0,19302.46,2611.0,407.0,123829.8,,,9.0,,,7.0,,,,,,,,9.0,0.0,,,0.17,,,,8.29,8.29,28884.0,1369858.29,,1.96,8.18,16.56,0.7016,82.1,0.0827
2006-09-06,2599.0,125014.96,0.06,0.79,0.03,0.18,0.0,19577.18,2595.0,407.0,124822.55,,,,,,,,0.0,,16.0,,,,,,,,0.18,,,,8.21,8.21,29012.0,1395511.35,,1.94,8.28,16.28,0.7059,82.42,0.0822
2006-09-07,2604.0,124330.39,0.06,0.82,0.03,0.17,0.0,19432.59,2609.0,407.0,124569.12,,,14.0,,,,,,,,,,,14.0,,,,0.18,,,,8.29,8.29,28877.0,1378759.07,,1.96,8.22,16.37,0.7042,82.3,0.0827
2006-09-08,2601.0,125203.56,0.06,0.89,0.03,0.18,0.0,19591.64,2600.0,407.0,125155.43,,,,,,,,0.0,,9.0,,,,,,,,0.18,,,,8.26,8.26,28863.0,1389369.64,,1.95,8.29,16.25,0.7061,82.43,0.0827
2006-09-11,604.0,28924.37,0.01,0.24,0.01,0.04,0.0,19490.43,610.0,407.0,29211.7,,,9.0,,,,,0.14,,2000.0,,,,9.0,,,,0.04,,,,1.94,1.94,30891.0,1479309.0,,2.09,1.91,5.86,0.8591,92.49,0.0192
2006-09-12,602.0,28978.29,0.01,0.24,0.01,0.04,0.0,19591.64,605.0,407.0,29122.7,,,,,,,,0.0,,5.0,,,,,,,,0.04,,,,1.92,1.92,30877.0,1486316.96,,2.08,1.91,5.82,0.8602,92.55,0.0191
2006-09-13,601.0,28887.46,0.01,0.24,0.01,0.04,0.0,19562.72,601.0,407.0,28887.46,,,,,,,,0.0,,4.0,,,,,,,,0.04,,,,1.9,1.9,31024.0,1491188.78,,2.1,1.9,5.78,0.861,92.6,0.019
2006-09-14,600.0,28775.45,0.01,0.24,0.01,0.04,0.0,19519.34,663.0,407.0,31796.87,,,62.0,,,,,,,,,,,62.0,,,,0.05,,,,2.06,2.06,31491.0,1510279.27,,2.12,2.08,5.75,0.8617,92.64,0.0187
2006-09-15,666.0,31609.51,0.02,0.27,0.01,0.05,0.0,22449.39,665.0,473.0,31562.05,,,2.0,0.0,,,,,66.0,,,,0.0,2.0,,,,0.05,,,,2.07,2.07,31484.0,1494284.88,,2.13,2.08,14.56,0.6707,80.44,0.0207
2006-09-18,664.0,31844.83,0.02,0.26,0.01,0.04,0.0,22684.64,656.0,473.0,31461.15,,,,,,,,0.0,,9.0,,,,,,,,0.04,,,,2.04,2.04,31484.0,1509943.55,,2.1,2.07,14.48,0.6727,80.58,0.0207
2006-09-19,666.0,31917.08,0.02,0.27,0.01,0.05,0.0,22667.84,664.0,473.0,31821.24,,,8.0,,,,,,,,,,,8.0,,,,0.05,,,,2.06,2.06,31486.0,1508920.92,,2.13,2.08,14.56,0.6708,80.44,0.0207
2006-09-20,667.0,31988.7,0.02,0.26,0.01,0.05,0.0,22684.64,666.0,473.0,31940.74,,,2.0,,,,,,,,,,,2.0,,,,0.05,,,,2.05,2.05,31785.0,1524379.24,,2.15,2.05,14.64,0.6695,80.35,0.0206
