,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_y,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity
2015-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8423810.0,146368742.98,,154.33,0.0,,0.0,,0.0
2015-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8429050.0,146698714.11,,154.89,0.0,,0.0,,0.0
2015-08-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8430133.0,142376570.63,,154.42,0.0,,0.0,,0.0
2015-08-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8425553.0,143612750.24,,150.86,0.0,,0.0,,0.0
2015-08-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8294660.0,141146577.81,,149.64,0.0,,0.0,,0.0
2015-08-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8529017.0,145215113.24,,153.7,0.0,,0.0,,0.0
2015-08-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8562888.0,147329006.61,,154.64,0.0,,0.0,,0.0
2015-08-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8564485.0,147073261.6,,155.67,0.0,,0.0,,0.0
2015-08-20,2000.0,33825.25,0.0,0.03,0.0,0.04,0.0,33825.25,0.0,2000.0,0.0,,,,,,2000.0,,,,,,,,,0.04,,,0.0,,,,0.0,0.0,8574068.0,145010017.73,,155.07,0.0,,1.0,100.0,0.0002
2015-08-21,2000.0,33371.73,0.0,0.03,0.0,0.04,0.0,33371.73,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8573852.0,143062145.19,,153.06,0.0,,1.0,100.0,0.0002
2015-08-24,2000.0,32275.72,0.0,0.03,0.0,0.04,0.0,32275.72,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8589536.0,138616721.12,,150.35,0.0,,1.0,100.0,0.0002
2015-08-25,2000.0,32408.0,0.0,0.03,0.0,0.04,0.0,32408.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8621854.0,139708503.24,,147.4,0.0,,1.0,100.0,0.0002
2015-08-26,2653.0,42613.21,0.0,0.03,0.0,0.05,0.0,42613.21,653.0,2653.0,10488.66,,,,,,653.0,,,,,,,,,0.01,653.0,,0.01,,,,0.01,0.01,8628669.0,138596027.36,,148.08,0.01,23.82,0.6371,76.18,0.0003
2015-08-27,2653.0,42613.21,0.0,0.03,0.0,0.05,0.0,42613.21,653.0,2653.0,10488.66,,,,,,,,,,,,,,,,,,0.01,,,,0.01,0.01,8390452.0,134769721.14,,142.97,0.01,23.76,0.6377,76.24,0.0003
2015-08-28,4529.0,73387.91,0.01,0.06,0.0,0.08,0.0,73387.91,1529.0,4529.0,24775.91,,,,0.03,,,,,1876.0,,,,0.03,,,876.0,,0.03,,,,0.02,0.02,8370976.0,135643276.68,,142.52,0.02,45.14,0.5047,54.86,0.0005
2015-08-31,10391.0,167050.33,0.01,0.13,0.01,0.18,0.0,72810.22,7391.0,4529.0,118821.0,,,5862.0,,,,,,,,,,,5862.0,,,,0.13,,,,0.09,0.09,8362938.0,134446308.31,,143.31,0.09,24.46,0.4084,55.55,0.0012
2015-09-01,98167.0,1535974.14,0.11,1.43,0.07,1.66,0.0,70863.19,95167.0,4529.0,1489034.51,,,16631.0,,,,,,,,,,,16631.0,,71145.0,,1.61,,,,1.1,1.1,8539124.0,133607766.42,,144.5,1.1,2.62,0.9075,95.2,0.0114
2015-09-02,107167.0,1700588.09,0.12,1.37,0.07,1.79,0.0,214686.02,95167.0,13529.0,1510165.13,,,,0.07,,5000.0,,,4000.0,,,,0.07,,0.08,,,1.58,,,,1.1,1.1,8555014.0,135755922.08,,142.0,1.1,6.23,0.7653,87.11,0.0124
2015-09-03,107167.0,1733496.16,0.12,1.4,0.07,1.82,0.0,218840.4,95167.0,13529.0,1539388.33,,,,,,,,,,,,,,,,,,1.61,,,,1.1,1.1,8550267.0,138306148.75,,144.19,1.11,6.22,0.7665,87.19,0.0124
2015-09-04,107167.0,1701094.37,0.12,1.4,0.07,1.83,0.0,214749.93,95167.0,13529.0,1510614.72,,,,,,,,,,,,,,,,,,1.62,,,,1.09,1.09,8654103.0,137369207.48,,147.64,1.09,6.14,0.7682,87.29,0.0122
2015-09-07,108167.0,1722077.69,0.13,1.51,0.07,1.82,0.0,231309.61,95167.0,14529.0,1515110.6,,,,,,1000.0,,,,,,,,,0.02,,,1.59,,,,1.07,1.07,8828235.0,140550320.91,,148.24,1.06,6.21,0.7503,86.25,0.0121
2015-09-08,115512.0,1855385.15,0.13,1.66,0.08,1.95,0.0,329742.38,101512.0,20529.0,1630513.34,,,,0.1,,,,,6000.0,,,,0.1,,,6345.0,,1.71,,,,1.14,1.14,8823093.0,141718918.51,,148.72,1.13,5.82,0.6796,81.88,0.0129
2015-09-09,88995.0,1442074.78,0.1,1.34,0.06,1.52,0.0,338080.21,74995.0,20864.0,1215218.81,,,335.0,0.01,,,,1.2,335.0,71145.0,,,0.01,335.0,,44293.0,,1.27,,,,0.84,0.84,8849473.0,143396841.02,,150.54,0.84,7.91,0.5964,76.18,0.01
2015-09-10,45357.0,727893.64,0.05,0.71,0.03,0.78,0.0,366923.74,29357.0,22864.0,471124.05,,,,0.04,,,,0.77,2000.0,45638.0,,,0.04,,,,,0.5,,,,0.33,0.33,8895745.0,142759798.91,,151.99,0.33,17.65,0.3139,48.84,0.0051
2015-09-11,47357.0,754396.74,0.05,0.76,0.03,0.8,0.0,396083.38,31357.0,24864.0,499516.83,,,2000.0,0.03,,,,,2000.0,,,,0.03,2000.0,,,,0.53,,,,0.35,0.35,8903788.0,141837292.43,,150.78,0.35,18.78,0.3039,47.09,0.0053
2015-09-14,26864.0,421344.0,0.03,0.45,0.02,0.45,0.0,421344.0,10864.0,26864.0,170394.63,,,2000.0,0.03,,,,0.38,2000.0,22493.0,,,0.03,2000.0,,,,0.18,,,,0.12,0.12,8928675.0,140040339.29,,150.14,0.12,29.92,0.3054,40.18,0.003
2015-09-15,27864.0,437028.34,0.03,0.47,0.02,0.47,0.0,437028.34,10864.0,27864.0,170394.63,,,,0.02,,,,,1000.0,,,,0.02,,,,,0.18,,,,0.12,0.12,8928707.0,140040841.19,,148.27,0.12,28.55,0.3132,42.5,0.0031
2015-09-16,31820.0,485546.42,0.04,0.52,0.02,0.53,0.0,485546.42,14820.0,31820.0,226140.73,,,3956.0,0.07,,,,,3956.0,,,,0.07,3956.0,,,,0.25,,,,0.17,0.17,8932621.0,136304277.67,,147.7,0.17,28.17,0.3341,46.41,0.0036
2015-09-17,38731.0,581853.81,0.04,0.62,0.03,0.62,0.0,581853.81,23731.0,38731.0,356509.59,,,8911.0,0.13,,,,,8911.0,,,,0.13,8911.0,,,2000.0,0.38,0.04,,,0.26,0.26,8947956.0,134424681.25,,143.84,0.26,31.48,0.4056,53.2,0.0043
2015-09-18,36731.0,522308.75,0.04,0.59,0.02,0.57,0.0,522308.75,23731.0,36731.0,337450.9,,,,,,,,,,,,,,,,,2000.0,0.38,0.03,,,0.26,0.26,9199968.0,130822025.16,,145.33,0.26,28.49,0.4162,55.68,0.004
2015-09-21,36731.0,524044.0,0.04,0.56,0.02,0.56,0.0,524044.0,23731.0,36731.0,338572.0,,,,,,,,,,,,,,,,,,0.36,,,,0.26,0.26,9247468.0,131934335.97,,139.63,0.26,27.25,0.4212,56.66,0.004
2015-09-22,36731.0,516408.92,0.04,0.56,0.02,0.56,0.0,516408.92,23731.0,36731.0,333639.16,,1210.0,,,0.02,,,0.02,,1211.0,,1210.0,,,,1.0,,0.36,,,,0.25,0.25,9511934.0,133730297.44,,143.52,0.25,27.68,0.4188,56.24,0.0039
2015-09-23,36731.0,513632.53,0.04,0.56,0.02,0.55,0.0,513632.53,23731.0,36731.0,331845.4,,,,,,,,,,,,,,,,,,0.35,,,,0.24,0.24,9719191.0,135909521.5,,144.39,0.24,27.42,0.4193,56.38,0.0038
2015-09-24,36731.0,511897.28,0.04,0.57,0.02,0.55,0.0,511897.28,23731.0,36731.0,330724.3,,,,,,,,,,,,,,,,,,0.35,,,,0.24,0.24,9721859.0,135487549.98,,143.67,0.24,27.25,0.4208,56.61,0.0038
2015-09-25,36731.0,520573.51,0.04,0.5,0.02,0.55,0.0,520573.51,23731.0,36731.0,336329.8,,,,,,,,,,,,,,,,,,0.35,,,,0.24,0.24,9686651.0,137284960.48,,143.18,0.24,27.12,0.4206,56.63,0.0038
2015-09-28,31775.0,445830.8,0.04,0.4,0.02,0.47,0.0,445830.8,23731.0,31775.0,332966.5,,,1.0,,,,,0.0,,1.0,,,,1.0,,,4956.0,0.35,0.08,,,0.24,0.24,10047856.0,140980130.16,,150.36,0.23,18.85,0.4885,65.44,0.0032
2015-09-29,31775.0,450334.14,0.04,0.35,0.02,0.48,0.0,450334.14,22775.0,31775.0,322780.8,,,,,,,,0.01,,956.0,,,,,,,,0.34,,,,0.22,0.22,10322877.0,146301932.53,,153.38,0.22,18.86,0.4911,65.7,0.0031
2015-09-30,31775.0,446281.13,0.04,0.35,0.02,0.48,0.0,446281.13,22775.0,31775.0,319875.77,,,,,,,,,,,,,,,,,,0.34,,,,0.16,0.16,14144634.0,198661943.13,,211.49,0.16,18.72,0.4892,65.53,0.0022
2015-10-01,31775.0,468047.28,0.04,0.33,0.02,0.49,0.0,468047.28,22775.0,31775.0,335476.85,,,,,,,,,,,,,,,,,,0.34,,,,0.16,0.16,14141324.0,208302383.36,,210.87,0.16,18.34,0.4985,66.47,0.0022
2015-10-02,31775.0,461292.27,0.04,0.33,0.02,0.49,0.0,461292.27,22775.0,31775.0,330635.13,,,,,,,,,,,,,,,,,,0.35,,,,0.16,0.16,14155285.0,205498773.2,,217.53,0.16,18.78,0.4882,65.42,0.0022
2015-10-05,31775.0,470599.17,0.04,0.33,0.02,0.5,0.0,470599.17,22775.0,31775.0,337305.94,,,,,,,,,,,,,,,,,,0.35,,,,0.16,0.16,14182124.0,210042354.98,,216.71,0.16,18.76,0.4924,65.84,0.0022
2015-10-06,31775.0,465345.27,0.04,0.35,0.02,0.5,0.0,465345.27,22775.0,31775.0,333540.16,,,,,,,,,,,,,,,,,,0.36,,,,0.16,0.16,14188607.0,207792328.13,,218.74,0.16,18.77,0.4896,65.56,0.0022
2015-10-07,32775.0,483396.67,0.04,0.38,0.02,0.52,0.0,483396.67,22775.0,32775.0,335907.22,,,,0.02,,,,,1000.0,,,,0.02,,,,,0.36,,,,0.16,0.16,14181541.0,209162767.31,,217.48,0.16,18.17,0.502,66.81,0.0023
2015-10-08,36775.0,554206.25,0.04,0.42,0.02,0.59,0.0,554206.25,26775.0,36775.0,403504.35,,,4000.0,0.07,,,,,4000.0,,,,0.07,4000.0,,,,0.42,,,,0.19,0.19,14183180.0,213743222.7,,218.78,0.19,16.28,0.5416,70.55,0.0026
2015-10-09,47775.0,744805.18,0.06,0.57,0.03,0.79,0.0,744805.18,26775.0,47775.0,417418.29,,,,0.2,,,,,11000.0,,,,0.2,,,,,0.42,,,,0.19,0.19,14329645.0,223397046.34,,227.96,0.19,12.25,0.6289,77.71,0.0033
2015-10-12,43775.0,670451.27,0.05,0.52,0.03,0.71,0.0,670451.27,26775.0,43775.0,410081.85,,,,0.01,,,,,1000.0,,,,0.01,,,,5000.0,0.44,0.08,,,0.18,0.18,14501212.0,222098368.22,,231.9,0.19,11.24,0.7605,86.45,0.003
2015-10-13,46280.0,699634.77,0.05,0.55,0.03,0.75,0.0,699634.77,27280.0,46280.0,412403.55,,,505.0,0.03,,,,,2505.0,,,,0.03,505.0,,,,0.44,,,,0.19,0.19,14556701.0,220059942.59,,230.1,0.19,11.98,0.7523,85.88,0.0032
2015-10-14,47023.0,711089.17,0.05,0.66,0.03,0.75,0.0,711089.17,28023.0,47023.0,423768.19,,,743.0,0.01,,,,,743.0,,,,0.01,743.0,,,,0.45,,,,0.21,0.21,13563567.0,205110383.51,,212.33,0.21,13.23,0.7344,84.64,0.0035
2015-10-15,50016.0,753514.36,0.06,0.66,0.03,0.81,0.0,753514.36,31016.0,50016.0,467270.5,,,993.0,0.05,,,,,2993.0,,,,0.05,993.0,,2000.0,,0.5,,,,0.23,0.23,13579769.0,204585550.54,,212.94,0.23,14.63,0.7173,83.4,0.0037
2015-10-16,54221.0,826086.07,0.06,0.71,0.04,0.88,0.0,826086.07,35221.0,54221.0,536610.86,,,4205.0,0.07,,,,,4205.0,,,,0.07,4205.0,,,,0.56,,,,0.26,0.26,13600095.0,207204754.51,,213.02,0.26,15.56,0.7069,82.61,0.004
