,ALINT FP Equity_DX_SI_QTY,ALINT FP Equity_DX_SHORT_INTEREST_VALUE,ALINT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALINT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALINT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALINT FP Equity_DX_SI_MV,ALINT FP Equity_DX_DSS,ALINT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALINT FP Equity_DX_SUPPLY_SI_QTY,ALINT FP Equity_DX_BROKER_SI_QTY,ALINT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALINT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALINT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALINT FP Equity_DX_BROKER_SI_MV_INC_x,ALINT FP Equity_DX_SUPPLY_SI_MV_NEW,ALINT FP Equity_DX_BROKER_SI_QTY_ADD,ALINT FP Equity_DX_SUPPLY_SI_MV_DEC,ALINT FP Equity_DX_BROKER_SI_QTY_INC,ALINT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALINT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALINT FP Equity_DX_BROKER_SI_MV_INC_y,ALINT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALINT FP Equity_DX_BROKER_SI_MV_ADD,ALINT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALINT FP Equity_DX_BROKER_SI_QTY_DEC,ALINT FP Equity_DX_SUPPLY_SI_MV,ALINT FP Equity_DX_BROKER_SI_MV_DEC,ALINT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALINT FP Equity_DX_UTILIZATION_QUANTITY,ALINT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALINT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALINT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALINT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALINT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALINT FP Equity_DX_BROKER_SI_CON_RATIO,ALINT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALINT FP Equity_DX_DEMAND_SUPPLY_RATIO
2013-08-22,300.0,1152.0,0.01,18.75,0.01,0.0,0.0,1152.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-08-23,300.0,1152.0,0.01,18.75,0.01,0.0,0.0,1152.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-08-26,300.0,1152.0,0.01,18.75,0.01,0.0,0.0,1152.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-08-27,300.0,1152.0,0.01,18.75,0.01,0.0,0.0,1152.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-08-28,300.0,1149.0,0.01,18.75,0.01,0.0,0.0,1149.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-08-29,300.0,1149.0,0.01,18.75,0.01,0.0,0.0,1149.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-08-30,300.0,1149.0,0.01,18.75,0.01,0.0,0.0,1149.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-09-02,300.0,1149.0,0.01,18.75,0.01,0.0,0.0,1149.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-09-03,300.0,1149.0,0.01,18.75,0.01,0.0,0.0,1149.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-09-04,300.0,1149.0,0.01,18.75,0.01,0.0,0.0,1149.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-09-05,300.0,1149.0,0.01,18.75,0.01,0.0,0.0,1149.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-09-06,300.0,1149.0,0.01,29.03,0.01,0.0,0.0,1149.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-09-09,300.0,1140.0,0.01,0.56,0.01,0.0,0.0,1140.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-09-10,300.0,1140.0,0.01,0.53,0.01,0.0,0.0,1140.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2013-09-11,300.0,1140.0,0.01,0.53,0.01,0.0,0.0,1140.0,0.0,300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2017-11-01,50000.0,134000.0,0.76,2.52,0.76,0.13,1.0,134000.0,0.0,50000.0,0.0,,,,,50000.0,,,,,,,0.13,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2017-11-02,50000.0,142000.0,0.76,2.58,0.76,0.14,1.0,142000.0,0.0,50000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2017-11-03,50000.0,138500.0,0.76,2.3,0.76,0.14,1.0,138500.0,0.0,50000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2017-11-06,100000.0,303000.0,1.53,4.42,1.53,0.29,1.0,303000.0,0.0,100000.0,0.0,,,,,50000.0,,,,,,,0.13,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,46.94,0.5019,53.06,0.0
2017-11-07,100000.0,310000.0,1.53,3.25,1.53,0.29,1.0,310000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,47.19,0.5016,52.81,0.0
2017-11-08,100000.0,297000.0,1.53,2.94,1.53,0.29,1.0,297000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.26,0.5006,51.74,0.0
2017-11-09,100000.0,284000.0,1.53,2.87,1.53,0.3,1.0,284000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,47.81,0.501,52.19,0.0
2017-11-10,100000.0,290000.0,1.53,2.82,1.53,0.29,1.0,290000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.4,0.5001,50.6,0.0
2017-11-13,100000.0,283000.0,1.53,2.66,1.53,0.28,1.0,283000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.91,0.5,50.09,0.0
2017-11-14,100000.0,284000.0,1.53,2.61,1.53,0.29,1.0,284000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.48,0.5001,50.52,0.0
2017-11-15,100000.0,284000.0,1.53,2.62,1.53,0.28,1.0,284000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.91,0.5,50.09,0.0
2017-11-16,100000.0,280000.0,1.53,2.61,1.53,0.28,1.0,280000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.91,0.5,50.09,0.0
2017-11-17,100000.0,270000.0,1.53,2.5,1.53,0.28,1.0,270000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.65,0.5,50.35,0.0
2017-11-20,100000.0,266000.0,1.53,2.48,1.53,0.27,1.0,266000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.72,0.5003,51.28,0.0
2017-11-21,100000.0,268000.0,1.53,2.62,1.53,0.27,1.0,268000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.81,0.5,50.19,0.0
2017-11-22,100000.0,280000.0,1.53,2.62,1.53,0.27,1.0,280000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.72,0.5003,51.28,0.0
2017-11-23,100000.0,284000.0,1.53,2.66,1.53,0.27,1.0,284000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.72,0.5003,51.28,0.0
2017-11-24,100000.0,287000.0,1.53,2.8,1.53,0.28,1.0,287000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.29,0.5006,51.71,0.0
2017-11-27,100000.0,286000.0,1.53,2.83,1.53,0.28,1.0,286000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.38,0.5005,51.62,0.0
2017-11-28,100000.0,279000.0,1.53,2.83,1.53,0.28,1.0,279000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.56,0.5,50.44,0.0
2017-11-29,100000.0,262000.0,1.53,2.82,1.53,0.27,1.0,262000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,47.72,0.501,52.28,0.0
2017-11-30,100000.0,263000.0,1.53,2.79,1.53,0.27,1.0,263000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.52,0.5004,51.48,0.0
2017-12-01,100000.0,262000.0,1.53,2.79,1.53,0.27,1.0,262000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.52,0.5004,51.48,0.0
2017-12-04,100000.0,258000.0,1.53,2.74,1.53,0.26,1.0,258000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.52,0.5,50.48,0.0
2017-12-05,100000.0,257000.0,1.53,2.72,1.53,0.26,1.0,257000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.52,0.5,50.48,0.0
2017-12-06,100000.0,250000.0,1.53,2.69,1.53,0.26,1.0,250000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.52,0.5,50.48,0.0
2017-12-07,100000.0,250000.0,1.53,2.67,1.53,0.25,1.0,250000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.31,0.5001,50.69,0.0
2017-12-08,100000.0,246000.0,1.53,2.65,1.53,0.25,1.0,246000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.6,0.5,50.4,0.0
2017-12-11,100000.0,246000.0,1.53,2.6,1.53,0.25,1.0,246000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.6,0.5,50.4,0.0
2017-12-12,100000.0,244000.0,1.53,2.58,1.53,0.25,1.0,244000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.8,0.5,50.2,0.0
2017-12-13,100000.0,240000.0,1.53,2.61,1.53,0.24,1.0,240000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.38,0.5001,50.62,0.0
2017-12-14,100000.0,253000.0,1.53,2.55,1.53,0.24,1.0,253000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.38,0.5001,50.62,0.0
2017-12-15,100000.0,250000.0,1.53,2.67,1.53,0.25,1.0,250000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.98,0.5002,51.02,0.0
2017-12-18,100000.0,251000.0,1.53,2.76,1.53,0.25,1.0,251000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.88,0.5003,51.12,0.0
2017-12-19,100000.0,254000.0,1.53,3.54,1.53,0.25,1.0,254000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0.5,50.1,0.0
2017-12-20,100000.0,250000.0,1.53,3.93,1.53,0.25,1.0,250000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0
2017-12-21,100000.0,245000.0,1.53,4.15,1.53,0.25,1.0,245000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.4,0.5001,50.6,0.0
2017-12-22,100000.0,244000.0,1.53,4.31,1.53,0.25,1.0,244000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.5002,51.0,0.0
2017-12-25,100000.0,244000.0,1.53,4.73,1.53,0.25,1.0,244000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.5002,51.0,0.0
2017-12-26,100000.0,244000.0,1.53,4.73,1.53,0.25,1.0,244000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.39,0.5001,50.61,0.0
2017-12-27,100000.0,248000.0,1.53,4.73,1.53,0.25,1.0,248000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.59,0.5,50.41,0.0
2017-12-28,100000.0,255000.0,1.53,4.8,1.53,0.25,1.0,255000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.9,0.5002,51.1,0.0
2017-12-29,100000.0,254000.0,1.53,4.76,1.53,0.25,1.0,254000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.5002,51.0,0.0
2018-01-01,100000.0,254000.0,1.53,4.78,1.53,0.25,1.0,254000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.38,0.5001,50.62,0.0
2018-01-02,100000.0,252000.0,1.53,4.78,1.53,0.25,1.0,252000.0,55000.0,100000.0,138600.0,55000.0,,,0.14,,,,,55000.0,,,,,,0.14,,13.92,7.63,340257.0,857447.64,0.87,13.92,49.6,0.5,50.4,0.1388
2018-01-03,100000.0,262000.0,1.53,5.18,1.53,0.26,1.0,262000.0,55000.0,100000.0,144100.0,,,,,,,,,,,,,,,0.14,,13.92,7.63,340257.0,891473.34,0.86,13.92,49.32,0.5001,50.68,0.1388
2018-01-04,100000.0,263000.0,1.53,5.37,1.53,0.26,1.0,263000.0,55000.0,100000.0,144650.0,,,,,,,,,,,,,,,0.14,,13.92,7.63,340257.0,894875.91,0.89,13.92,49.13,0.5002,50.87,0.1388
2018-01-05,100000.0,267000.0,1.53,5.47,1.53,0.26,1.0,267000.0,55000.0,100000.0,146850.0,,,,,,,,,,,,,,,0.14,,13.92,7.63,340257.0,908486.19,0.89,13.92,48.55,0.5004,51.45,0.1388
2018-01-08,100000.0,270000.0,1.53,5.53,1.53,0.27,1.0,270000.0,55000.0,100000.0,148500.0,,,,,,,,,,,,,,,0.15,,13.92,13.92,340257.0,918693.9,0.91,13.92,49.34,0.5001,50.66,0.253
2018-01-09,100000.0,272000.0,1.53,5.48,1.53,0.27,1.0,272000.0,55000.0,100000.0,149600.0,,,,,,,,,,,,,,,0.15,,13.92,7.63,340257.0,925499.04,0.92,13.92,49.54,0.5,50.46,0.1388
2018-01-10,100000.0,276000.0,1.53,5.83,1.53,0.27,1.0,276000.0,55000.0,100000.0,151800.0,,,,,,,,,,,,,,,0.15,,13.92,7.63,340257.0,939109.32,0.93,13.92,49.45,0.5001,50.55,0.1388
2018-01-11,100000.0,267000.0,1.53,4.84,1.53,0.27,1.0,267000.0,55000.0,100000.0,146850.0,,,,,,,,,,,,,,,0.15,,13.92,7.63,340257.0,908486.19,0.94,13.92,49.72,0.5,50.28,0.1388
2018-01-12,100000.0,260000.0,1.53,4.69,1.53,0.27,1.0,260000.0,55000.0,100000.0,143000.0,,,,,,,,,,,,,,,0.15,,13.92,7.63,340257.0,884668.2,0.91,13.92,48.87,0.5003,51.13,0.1388
2018-01-15,100000.0,257000.0,1.53,4.66,1.53,0.26,1.0,257000.0,55000.0,100000.0,141350.0,,,,,,,,,,,,,,,0.14,,100.0,7.63,0.0,0.0,0.0,100.0,48.64,0.5004,51.36,0.1388
2018-01-16,100000.0,256000.0,1.53,4.82,1.53,0.27,1.0,256000.0,55000.0,100000.0,140800.0,,,,,,,,,,,,,,,0.14,,100.0,7.63,0.0,0.0,0.0,100.0,48.12,0.5007,51.88,0.1388
2018-01-17,100000.0,256000.0,1.53,4.84,1.53,0.26,1.0,256000.0,55000.0,100000.0,140800.0,,,,,,,,,,,,,,,0.14,,100.0,7.63,0.0,0.0,0.0,100.0,49.9,0.5,50.1,0.1388
2018-01-18,100000.0,258000.0,1.53,4.96,1.53,0.26,1.0,258000.0,55000.0,100000.0,141900.0,,,,,,,,,,,,,,,0.14,,100.0,7.63,0.0,0.0,0.0,100.0,49.91,0.5,50.09,0.1388
2018-01-19,100000.0,272000.0,1.53,5.06,1.53,0.26,1.0,272000.0,55000.0,100000.0,149600.0,,,,,,,,,,,,,,,0.14,,100.0,7.63,0.0,0.0,0.0,100.0,49.81,0.5,50.19,0.1388
2018-01-22,100000.0,272000.0,1.53,4.62,1.53,0.26,1.0,272000.0,55000.0,100000.0,149600.0,,,,,,,,,,,,,,,0.15,,100.0,7.63,0.0,0.0,0.0,100.0,48.48,0.5005,51.52,0.1388
2018-01-23,100000.0,267000.0,1.53,4.44,1.53,0.26,1.0,267000.0,55000.0,100000.0,146850.0,,,,,,,,,,,,,,,0.15,,100.0,7.63,0.0,0.0,0.0,100.0,49.14,0.5001,50.86,0.1388
2018-01-24,100000.0,270000.0,1.53,4.65,1.53,0.27,1.0,270000.0,55000.0,100000.0,148500.0,,,,,,,,,,,,,,,0.15,,100.0,7.63,0.0,0.0,0.0,100.0,49.82,0.5,50.18,0.1388
2018-01-25,100000.0,265000.0,1.53,4.83,1.53,0.27,1.0,265000.0,55000.0,100000.0,145750.0,,,,,,,,,,,,,,,0.15,,100.0,7.63,0.0,0.0,0.0,100.0,49.35,0.5001,50.65,0.1388
2018-01-26,100000.0,265000.0,1.53,4.93,1.53,0.27,1.0,265000.0,55000.0,100000.0,145750.0,,,,,,,,,,,,,,,0.15,,100.0,7.63,0.0,0.0,0.0,100.0,49.81,0.5,50.19,0.1388
2018-01-29,100000.0,270000.0,1.53,4.83,1.53,0.27,1.0,270000.0,55000.0,100000.0,148500.0,,,,,,,,,,,,,,,0.15,,100.0,7.63,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.1388
2018-01-30,100000.0,261000.0,1.53,5.03,1.53,0.27,1.0,261000.0,55000.0,100000.0,143550.0,,,,,,,,,,,,,,,0.15,,100.0,7.63,0.0,0.0,0.0,100.0,49.53,0.5,50.47,0.1388
2018-01-31,100000.0,261000.0,1.53,5.2,1.53,0.26,1.0,261000.0,55000.0,100000.0,143550.0,,,,,,,,,,,,,,,0.14,,100.0,7.63,0.0,0.0,0.0,100.0,49.62,0.5,50.38,0.1388
2018-02-01,100000.0,261000.0,1.53,5.25,1.53,0.27,1.0,261000.0,55000.0,100000.0,143550.0,,,,,,,,,,,,,,,0.14,,100.0,7.63,0.0,0.0,0.0,100.0,49.15,0.5001,50.85,0.1388
2018-02-02,100000.0,259000.0,1.53,5.25,1.53,0.26,1.0,259000.0,55000.0,100000.0,142450.0,,,,,,,,,,,,,,,0.14,,100.0,7.63,0.0,0.0,0.0,100.0,49.81,0.5,50.19,0.1388
2018-02-05,100000.0,251000.0,1.53,5.27,1.53,0.26,1.0,251000.0,55000.0,100000.0,138050.0,,,,,,,,,,,,,,,0.14,,100.0,7.63,0.0,0.0,0.0,100.0,49.02,0.5002,50.98,0.1388
2018-02-06,100000.0,239000.0,1.53,5.11,1.53,0.25,1.0,239000.0,55000.0,100000.0,131450.0,,,,,,,,,,,,,,,0.14,,100.0,7.63,0.0,0.0,0.0,100.0,47.8,0.501,52.2,0.1388
2018-02-07,100000.0,245000.0,1.53,4.91,1.53,0.25,1.0,245000.0,55000.0,100000.0,134750.0,,,,,,,,,,,,,,,0.13,,100.0,7.63,0.0,0.0,0.0,100.0,47.99,0.5008,52.01,0.1388
2018-02-08,100000.0,241000.0,1.53,4.94,1.53,0.25,1.0,241000.0,55000.0,100000.0,132550.0,,,,,,,,,,,,,,,0.13,,100.0,7.63,0.0,0.0,0.0,100.0,48.98,0.5002,51.02,0.1388
2018-02-09,100000.0,242000.0,1.53,5.09,1.53,0.25,1.0,242000.0,55000.0,100000.0,133100.0,,,,,,,,,,,,,,,0.13,,100.0,7.63,0.0,0.0,0.0,100.0,49.22,0.5001,50.78,0.1388
