,PIG FP Equity_DX_SI_QTY,PIG FP Equity_DX_SHORT_INTEREST_VALUE,PIG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PIG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PIG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PIG FP Equity_DX_SI_MV,PIG FP Equity_DX_DSS,PIG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PIG FP Equity_DX_SUPPLY_SI_QTY,PIG FP Equity_DX_BROKER_SI_QTY,PIG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PIG FP Equity_DX_BROKER_SI_MV_NEW_x,PIG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PIG FP Equity_DX_SUPPLY_SI_QTY_INC_x,PIG FP Equity_DX_BROKER_SI_MV_INC_x,PIG FP Equity_DX_SUPPLY_SI_MV_NEW,PIG FP Equity_DX_BROKER_SI_QTY_ADD,PIG FP Equity_DX_BROKER_SI_QTY_NEW,PIG FP Equity_DX_SUPPLY_SI_MV_DEC,PIG FP Equity_DX_BROKER_SI_QTY_INC,PIG FP Equity_DX_SUPPLY_SI_QTY_DEC,PIG FP Equity_DX_BROKER_SI_MV_NEW_y,PIG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PIG FP Equity_DX_BROKER_SI_MV_INC_y,PIG FP Equity_DX_SUPPLY_SI_QTY_INC_y,PIG FP Equity_DX_BROKER_SI_MV_ADD,PIG FP Equity_DX_SUPPLY_SI_QTY_ADD,PIG FP Equity_DX_BROKER_SI_QTY_DEC,PIG FP Equity_DX_SUPPLY_SI_MV,PIG FP Equity_DX_BROKER_SI_MV_DEC,PIG FP Equity_DX_SUPPLY_SI_MV_RMV,PIG FP Equity_DX_BROKER_SI_MV_RMV,PIG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PIG FP Equity_DX_UTILIZATION_QUANTITY,PIG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PIG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PIG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PIG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PIG FP Equity_DX_ACTIVE_UTILIZATION_MV,PIG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PIG FP Equity_DX_BROKER_SI_CON_RATIO,PIG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PIG FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-09-12,445486.0,10736625.91,2.6,2.24,1.29,12.17,1.0,6644288.37,243385.0,275686.0,5865804.31,,,44243.0,0.19,,,,0.12,6705.0,5317.0,,,0.19,44243.0,,1407.0,,6.58,,,,8.59,8.59,2588922.0,62395422.13,,69.61,8.64,15.94,0.1508,22.07,0.1573
2007-09-13,434227.0,10288091.9,2.53,2.17,1.26,11.88,1.0,6265039.43,237385.0,264427.0,5624336.34,,,5600.0,0.0,,,,0.31,59.0,11600.0,,,0.0,5600.0,,,11317.0,6.41,0.3,,,8.02,8.02,2723341.0,64523814.69,,73.29,8.04,16.32,0.1578,22.71,0.1467
2007-09-14,443603.0,10541715.98,2.59,2.2,1.29,12.1,1.0,7543906.06,245385.0,317453.0,5831292.79,,,8000.0,0.3,,43650.0,,,10000.0,,,,0.3,8000.0,1.22,,624.0,6.56,0.02,,,8.31,8.31,2706947.0,64327487.5,,72.05,8.35,16.43,0.1567,21.9,0.1503
2007-09-17,448714.0,10496001.22,2.62,2.22,1.3,12.26,1.0,7545189.45,245385.0,322564.0,5739872.74,,,,0.11,,,,,5111.0,,,,0.11,,,,,6.55,,,,8.25,8.25,2729615.0,63849227.71,,72.7,8.27,17.07,0.1571,21.66,0.1508
2007-09-18,448470.0,10430621.99,2.62,2.23,1.3,12.1,1.0,7496595.27,245385.0,322320.0,5707222.73,,,,,,,,,,,,,,,,,244.0,6.47,0.02,,,8.19,8.19,2750052.0,63961363.9,,72.27,8.22,17.06,0.157,21.52,0.1497
2007-09-19,448143.0,10681405.59,2.62,2.23,1.3,12.09,1.0,7636078.92,252003.0,320375.0,6006444.94,,,6618.0,,,,,,,,,,,6618.0,,,1945.0,6.66,0.08,,,8.52,8.52,2705634.0,64488286.42,,71.16,8.55,17.64,0.1567,21.43,0.1515
2007-09-20,446751.0,11107920.27,2.61,2.28,1.3,12.23,1.0,7971353.95,248919.0,320601.0,6189068.2,,,,0.1,,,,0.08,1818.0,3084.0,,,0.1,,,,1592.0,6.8,0.05,,,8.37,8.37,2726178.0,67783100.35,,73.86,8.43,17.4,0.1576,21.71,0.1502
2007-09-21,453891.0,11241159.45,2.65,2.36,1.32,12.82,1.0,8116902.16,251110.0,327741.0,6219042.79,,,2191.0,0.32,,,,,8163.0,,,,0.32,2191.0,,,1022.0,7.02,0.0,,,8.38,8.38,2746378.0,68017372.04,,76.41,8.42,16.65,0.1568,21.25,0.1514
2007-09-24,441725.0,10892834.32,2.58,2.4,1.28,12.52,1.0,7782005.07,238323.0,315575.0,5876988.97,,,,0.0,,,,0.36,620.0,12787.0,,,0.0,,,,12787.0,6.64,0.38,,,7.93,7.93,2767455.0,68244787.61,,76.71,7.97,17.65,0.1604,21.76,0.147
2007-09-25,411582.0,10003478.86,2.4,2.28,1.2,11.58,1.0,6937409.75,208104.0,285432.0,5057956.77,,,,0.0,,,,0.87,76.0,30219.0,,,0.0,,,,30219.0,5.74,0.86,,,6.78,6.78,2860430.0,69522600.7,,78.56,6.81,18.09,0.1626,23.38,0.1341
2007-09-26,400181.0,9566638.37,2.34,2.24,1.16,11.19,1.0,6550924.4,195447.0,274031.0,4672312.7,,,,0.03,,,,0.35,1256.0,12657.0,,,0.03,,,,12657.0,5.32,0.37,,,6.32,6.32,2896925.0,69253247.56,,78.42,6.36,18.87,0.169,24.31,0.1294
2007-09-27,568816.0,13703947.7,3.32,3.2,1.65,15.64,1.0,6328164.34,371638.0,262666.0,8953524.01,,,,,,,,0.11,,3809.0,,,,,,180000.0,11365.0,10.04,0.34,,,11.87,11.87,2760344.0,66502365.97,,74.11,11.93,17.02,0.1821,31.54,0.1816
2007-09-28,618046.0,14500754.47,3.61,3.67,1.8,16.76,1.0,7317760.84,337473.0,311895.0,7917878.47,,,,1.84,,,,0.93,68658.0,34165.0,,,1.84,,,,19429.0,8.96,0.57,,,10.86,10.86,2770097.0,64992729.45,,74.28,10.77,23.52,0.1907,28.54,0.1989
2007-10-01,520590.0,12269630.91,3.04,3.17,1.51,14.11,1.0,5054072.6,337473.0,214440.0,7953800.79,,,,,,,,,,,,,,,,,97456.0,9.01,2.65,,,11.11,11.11,2700936.0,63657557.45,,71.44,11.2,18.74,0.2086,34.27,0.1713
2007-10-02,1080411.0,26058074.87,6.3,6.57,3.14,29.46,1.0,5167690.06,889159.0,214261.0,21445331.26,,,,,,,,0.21,,8314.0,,,,,,560000.0,179.0,24.13,0.0,,,29.26,29.26,2149919.0,51853183.9,,57.02,29.73,8.97,0.4902,68.51,0.3555
2007-10-03,1394090.0,33611228.56,8.13,8.35,4.05,38.17,1.0,5187825.83,1201924.0,215175.0,28978145.08,,,250000.0,0.03,,,,,914.0,,,,0.03,250000.0,,62765.0,,32.76,,,,38.65,38.65,1907768.0,45995901.48,,51.65,38.81,18.78,0.3574,55.52,0.4483
2007-10-04,1491064.0,35552461.27,8.7,9.03,4.33,40.41,1.0,5140722.47,1285192.0,215601.0,30643714.02,,,548.0,0.0,,,,0.36,426.0,13280.0,,,0.0,548.0,,96000.0,,34.63,,,,42.19,42.19,1761342.0,41996884.93,,47.92,41.95,17.43,0.3837,58.39,0.4894
2007-10-05,1490663.0,35701573.61,8.7,9.23,4.33,40.32,1.0,5167767.59,1284619.0,215772.0,30766792.89,,,,0.0,,,,0.02,171.0,573.0,,,0.0,,,,,34.57,,,,40.56,40.56,1882290.0,45081091.43,,51.02,40.39,17.48,0.3843,58.44,0.4707
2007-10-08,1495687.0,36246454.91,8.73,9.3,4.35,40.71,1.0,4741160.87,1309775.0,195641.0,31741066.46,,,,,,,,0.0,,59.0,,,,,,25215.0,20131.0,35.48,0.54,,,41.88,41.88,1817322.0,44040952.37,,49.61,41.7,19.13,0.3877,58.29,0.4783
2007-10-09,1594528.0,39108522.45,9.3,9.8,4.63,44.03,1.0,4770788.06,1409743.0,194514.0,34576354.74,,,100000.0,,,3066.0,,0.0,,32.0,,,,100000.0,0.08,,4193.0,38.8,0.1,,,45.04,45.04,1719919.0,42183950.88,,47.18,45.12,17.99,0.416,61.16,0.5095
2007-10-10,1597113.0,38491905.06,9.32,10.16,4.64,43.88,1.0,4725854.52,1410239.0,196086.0,33988068.28,,,1012.0,0.04,,,,0.01,1572.0,516.0,,,0.04,1012.0,,,,38.56,,,,44.81,44.81,1737015.0,41863673.06,,48.15,44.47,17.85,0.4134,60.95,0.5075
2007-10-11,1715975.0,41782789.21,10.01,11.2,4.99,47.24,1.0,4751790.15,1530037.0,195151.0,37255329.16,,,100000.0,,,,,0.03,,1202.0,,,,100000.0,,21000.0,935.0,41.98,0.02,,,48.46,48.46,1627134.0,39619573.09,,43.96,48.85,16.67,0.4295,62.71,0.5435
2007-10-12,1575051.0,38854357.55,9.19,10.61,4.58,43.86,1.0,4743679.75,1424768.0,192296.0,35147081.14,,,58.0,0.01,,1000.0,,3.37,45.0,132734.0,,,0.01,58.0,0.03,32800.0,3900.0,39.53,0.11,0.15,,45.56,45.56,1702177.0,41990382.39,5393.0,46.54,45.93,18.14,0.4338,62.76,0.5037
2007-10-15,1612969.0,39918512.23,9.41,10.94,4.69,45.14,1.0,4367980.92,1445688.0,176495.0,35778563.7,,20393.0,527.0,,0.57,,,,,,,20393.0,,527.0,,,15801.0,40.32,0.43,,,45.65,45.65,1721034.0,42592955.47,,47.39,45.97,17.76,0.4168,61.45,0.5094
2007-10-16,1610648.0,39575328.59,9.4,10.78,4.68,44.83,1.0,4267599.98,1446177.0,173684.0,35534101.79,,,490.0,0.0,,,,,255.0,,,,0.0,490.0,,,3066.0,40.09,0.08,,,45.47,45.47,1734247.0,42612287.03,,48.22,45.4,17.76,0.4171,61.46,0.5064
2007-10-17,1612244.0,40200896.46,9.41,10.68,4.68,45.29,1.0,4393577.25,1445254.0,176203.0,36037043.04,,,,0.08,,,,0.01,3000.0,923.0,,,0.08,,,,481.0,40.48,0.01,,,45.3,45.3,1745206.0,43516270.31,,47.84,45.84,17.79,0.4183,61.57,0.5053
2007-10-18,1615185.0,38970439.13,9.42,10.75,4.69,44.34,1.0,4309323.24,1445792.0,178606.0,34883402.91,,,2150.0,0.05,,,,0.05,2403.0,1612.0,,,0.05,2150.0,,,,39.47,,,,45.58,45.58,1726437.0,41654676.1,,48.34,44.95,17.67,0.4134,61.17,0.5092
2007-10-19,1630427.0,38730763.13,9.51,10.37,4.74,43.9,1.0,4229241.88,1461604.0,178036.0,34720375.89,,9000.0,1121.0,,0.24,,,0.42,,13055.0,,9000.0,,1121.0,,18747.0,570.0,39.12,0.03,,,45.78,45.78,1730792.0,41114931.84,,47.15,45.35,18.48,0.4083,60.52,0.5107
2007-10-22,1637004.0,37681764.03,9.55,10.73,4.76,43.98,1.0,4306253.18,1468641.0,187076.0,33806260.46,,,20000.0,,,9500.0,,0.59,,22463.0,,,,20000.0,0.26,9500.0,460.0,39.25,0.01,,,46.01,46.01,1723475.0,39672217.21,,45.74,46.18,18.55,0.4051,60.25,0.5128
2007-10-23,1619348.0,37404623.87,9.45,10.93,4.7,42.05,1.0,4550002.6,1441079.0,196982.0,33286864.81,,,4525.0,,,10000.0,,1.0,,33699.0,,,,4525.0,0.27,1612.0,94.0,37.18,0.03,,,43.01,43.01,1909287.0,44101800.28,,49.71,42.79,18.56,0.3923,59.15,0.4833
2007-10-24,1622407.0,37489673.82,9.47,10.78,4.71,42.16,1.0,4655617.86,1439643.0,201477.0,33266465.5,,,176.0,0.12,,,,0.04,4495.0,1612.0,,,0.12,176.0,,,,37.17,,,,42.95,42.95,1912042.0,44182397.46,,49.84,42.72,18.52,0.3904,58.99,0.4841
2007-10-25,1598953.0,37302296.47,9.33,10.61,4.65,41.42,1.0,4996904.96,1403475.0,214191.0,32741950.85,,,211.0,0.33,,,,0.95,12714.0,36379.0,,,0.33,211.0,,,,36.11,,,,41.88,41.88,1947690.0,45438052.16,,50.77,41.56,18.8,0.3753,57.51,0.4771
2007-10-26,1655192.0,38511531.7,9.66,11.11,4.81,43.54,1.0,4767337.44,1459796.0,204896.0,33965231.79,,,10325.0,,,,,1.24,,49127.0,,,,10325.0,,98835.0,9295.0,38.19,0.23,0.1,,44.51,44.51,1819844.0,42342507.64,3713.0,47.39,44.62,18.19,0.3832,58.44,0.5047
2007-10-29,1650199.0,38058686.04,9.63,11.3,4.79,43.36,1.0,4596727.29,1454882.0,199311.0,33554072.73,,,36118.0,,,,,1.09,,41752.0,,,,36118.0,,720.0,5585.0,38.01,0.15,,,47.47,47.47,1610278.0,37137984.47,,42.12,47.43,18.58,0.371,57.23,0.5384
2007-10-30,1670237.0,38520824.21,9.75,11.4,4.85,43.61,1.0,4271053.41,1489041.0,185190.0,34341884.78,,,34663.0,,,,,0.97,,36604.0,,,,34663.0,,36100.0,14122.0,38.67,0.38,,,48.15,48.15,1603257.0,36976058.52,,41.71,48.11,18.47,0.3681,56.98,0.5401
2007-10-31,1685949.0,39197248.01,9.84,11.49,4.9,44.0,1.0,4305480.63,1504756.0,185187.0,34984625.35,,,13081.0,,,,,0.0,,5.0,,,,13081.0,,2639.0,3.0,39.06,0.0,,,48.85,48.85,1575739.0,36634935.21,,41.03,48.77,18.25,0.3616,56.43,0.5473
2007-11-01,1672751.0,39216838.9,9.76,12.05,4.86,44.18,1.0,4339978.61,1491628.0,185117.0,34970497.68,,,,,,,,0.32,,13129.0,,,,,,,70.0,39.21,0.0,,,47.07,47.07,1677174.0,39320533.99,,44.07,47.08,18.47,0.3586,56.09,0.5279
2007-11-02,1632567.0,38115447.35,9.52,12.44,4.74,42.96,1.0,3492865.98,1486955.0,149607.0,34715852.41,,,720.0,0.01,,3900.0,,0.14,389.0,5393.0,,,0.01,720.0,0.1,,39800.0,39.09,1.22,,,48.21,48.21,1597529.0,37297417.19,,42.08,48.16,18.97,0.3763,57.62,0.5293
2007-11-05,1676587.0,39083691.63,9.78,12.99,4.87,44.16,1.0,4520605.04,1486659.0,193922.0,34656192.56,,,6050.0,1.31,,,,0.17,49709.0,6346.0,,,1.31,6050.0,,,5393.0,39.13,0.14,,,47.49,47.49,1643839.0,38320287.92,,43.21,47.52,18.45,0.359,55.99,0.5356
2007-11-06,1702285.0,39652549.58,9.93,13.37,4.94,44.58,1.0,4523290.95,1512094.0,194185.0,35222293.74,,,25435.0,0.0,,,,,263.0,,,,0.0,25435.0,,,,39.55,,,,48.53,48.53,1603386.0,37348824.0,,42.06,48.46,18.11,0.3491,55.11,0.5464
2007-11-07,1701403.0,40326243.75,9.93,13.62,4.94,44.7,1.0,4586598.48,1507891.0,193513.0,35739668.97,,,,,,8000.0,,0.11,,4203.0,,,,,0.21,,8673.0,39.57,0.22,,,47.91,47.91,1639767.0,38865362.13,,43.2,47.81,18.04,0.3494,55.17,0.5405
2007-11-08,1717604.0,39430423.14,10.02,13.93,4.99,45.59,1.0,4802506.92,1508405.0,209199.0,34627916.22,,,514.0,0.43,,,,,15686.0,,,,0.43,514.0,,,,40.01,,,,46.88,46.88,1709203.0,39237564.37,,45.26,46.92,18.09,0.3433,54.59,0.5338
2007-11-09,1716128.0,38041712.24,10.01,13.83,4.98,44.41,1.0,4618642.06,1507773.0,208355.0,33423070.19,,,,,,,,0.05,,632.0,,,,,,,844.0,38.96,0.07,,,47.27,47.27,1681748.0,37279604.72,,43.25,47.39,18.01,0.3436,54.64,0.5381
2007-11-12,1737356.0,37757134.38,10.14,14.07,5.05,43.69,2.0,4786740.97,1517099.0,220257.0,32970393.41,,,10000.0,0.33,,,,0.06,12800.0,674.0,,,0.33,10000.0,,,898.0,38.06,0.07,,,46.46,46.46,1748200.0,37992801.89,,43.67,46.57,17.81,0.3336,53.75,0.5321
2007-11-13,1746527.0,36484662.92,10.21,14.06,5.07,43.22,2.0,4800129.23,1526564.0,229783.0,31889671.88,,,9820.0,,,10000.0,,0.03,,355.0,,,,9820.0,0.24,,474.0,37.64,0.04,,,46.82,46.81,1734272.0,36228657.97,,41.41,47.62,17.84,0.3314,53.56,0.5356
2007-11-14,1732906.0,36984074.15,10.13,13.89,5.03,41.14,2.0,4697616.36,1522617.0,220109.0,32496038.47,,,,0.26,,,,0.13,10000.0,3947.0,,,0.26,,,,19674.0,35.98,0.59,,,46.94,46.94,1721017.0,36730336.41,,40.93,46.78,17.59,0.3333,53.83,0.5342
2007-11-15,1748761.0,36034939.05,10.22,13.73,5.08,42.08,2.0,4866308.89,1522421.0,236160.0,31370980.91,,,614.0,0.41,,,,0.02,16051.0,810.0,,,0.41,614.0,,,,36.5,,,,46.13,46.13,1778135.0,36640219.19,,42.49,46.21,17.71,0.3287,53.34,0.5298
2007-11-16,1875363.0,37379418.3,10.96,14.06,5.45,43.52,2.0,4721651.44,1648293.0,236890.0,32853497.44,,,119718.0,,,1000.0,,0.05,,199.0,,,,119718.0,0.02,6353.0,270.0,37.99,0.07,,,49.79,49.79,1661944.0,33125586.87,,38.68,49.55,16.36,0.342,55.0,0.5665
2007-11-19,1926618.0,35991347.2,11.26,14.14,5.6,43.0,2.0,4425553.04,1699538.0,236900.0,31749242.58,,,22670.0,0.0,,,,0.22,10.0,9507.0,,,0.0,22670.0,,38082.0,,37.58,,,,52.58,52.58,1532634.0,28631291.94,,34.36,52.24,16.0,0.324,53.09,0.5961
2007-11-20,1932693.0,37202037.85,11.3,13.8,5.61,41.13,2.0,4522045.64,1707587.0,234926.0,32869015.52,,,,,,,,0.09,,1458.0,,,,,,9507.0,1974.0,35.95,0.12,,,51.67,51.67,1597228.0,30744736.24,,34.13,51.3,15.5,0.3216,52.93,0.5848
2007-11-21,2154046.0,40431025.75,12.59,14.72,6.26,46.73,2.0,4577467.69,1919992.0,243874.0,36037877.55,,,2405.0,0.18,,,,,8949.0,,,,0.18,2405.0,,210000.0,,41.33,,,,57.95,57.95,1393419.0,26154204.44,,29.95,57.98,17.22,0.293,48.63,0.6501
2007-11-22,2211634.0,42061248.69,12.93,14.16,6.42,47.97,2.0,4907241.41,1963425.0,258029.0,37340765.79,,,,0.3,,,,0.03,14200.0,1567.0,,,0.3,,,45000.0,45.0,42.27,0.0,,,59.28,59.28,1348806.0,25651832.36,,28.86,59.42,18.94,0.2845,47.19,0.6677
2007-11-23,2392876.0,46442077.01,13.98,14.88,6.95,51.93,2.0,4995140.12,2145326.0,257369.0,41637508.72,,13185.0,58164.0,,0.29,,,0.12,,8342.0,,13185.0,,58164.0,,118894.0,660.0,46.26,0.02,,,64.63,64.63,1174298.0,22791334.84,,25.28,64.66,25.55,0.2754,43.4,0.7208
2007-11-26,2369472.0,46555332.67,13.85,14.39,6.88,52.06,2.0,4783614.5,2135826.0,243466.0,41964661.31,,,500.0,,,,,0.19,,10000.0,,,,500.0,,,13903.0,46.62,0.27,,,64.22,64.22,1189970.0,23380503.85,,26.03,64.17,25.8,0.2805,43.83,0.7125
2007-11-27,2347100.0,46782000.44,13.72,14.18,6.82,52.55,2.0,6467639.96,2109995.0,324488.0,42056063.66,,,37843.0,0.51,,60000.0,,2.09,21022.0,101111.0,,,0.51,37843.0,1.38,37437.0,,46.95,,,,63.43,63.43,1216396.0,24244999.45,,27.08,63.41,26.04,0.2488,39.74,0.7056
2007-11-28,2348309.0,47597656.42,13.72,14.22,6.82,53.14,2.0,6563781.46,2111857.0,323835.0,42805032.85,,,250.0,0.03,,,,,347.0,,,,0.03,250.0,,1612.0,1000.0,47.47,0.02,,,63.47,63.47,1215639.0,24639673.68,,27.4,63.4,26.14,0.2479,39.57,0.7057
2007-11-29,2245966.0,44487297.42,13.13,13.43,6.52,51.31,2.0,6184224.1,2021644.0,312214.0,40044006.86,,,1586.0,0.07,,,,1.62,1179.0,91799.0,,,0.07,1586.0,,,12800.0,45.91,0.33,,,60.97,60.97,1294396.0,25638936.58,,29.33,61.01,26.92,0.2403,37.74,0.6773
2007-11-30,2228932.0,44604639.88,13.03,13.99,6.47,51.0,2.0,5905362.21,2021727.0,295096.0,40458122.89,,,,,,,,0.03,,1529.0,,,,,,1612.0,17118.0,46.04,0.44,,,61.01,61.01,1292149.0,25858052.56,,29.26,61.14,27.14,0.2441,38.08,0.6726
2007-12-03,2283061.0,46052382.01,13.34,14.13,6.63,51.86,2.0,5955363.97,2075739.0,295239.0,41870421.06,,,55624.0,0.02,,26.0,,0.04,1458.0,1612.0,,,0.02,55624.0,0.0,,1341.0,46.94,0.04,,,62.16,62.16,1263485.0,25486175.74,,28.56,62.17,26.85,0.2396,37.0,0.6837
2007-12-04,2249793.0,44882406.97,13.15,13.96,6.53,51.0,2.0,5906689.17,2041630.0,296081.0,40729644.26,,,,0.02,,,,0.77,842.0,34110.0,,,0.02,,,,,46.08,,,,61.17,61.17,1295938.0,25853408.17,,29.33,61.1,25.57,0.2389,37.64,0.6741
2007-12-05,2205946.0,43635892.47,12.89,13.6,6.41,50.06,2.0,6523250.87,1955468.0,329773.0,38681178.67,,,,1.03,,,,2.5,45819.0,113490.0,,,1.03,,,27329.0,12127.0,44.2,0.27,,,59.58,59.58,1326786.0,26245198.76,,29.88,59.66,26.06,0.2132,31.56,0.6721
2007-12-06,2262441.0,42947230.06,13.22,13.71,6.57,50.59,2.0,6797741.46,1998154.0,358102.0,37930350.24,,,7466.0,0.57,,593.0,,,27736.0,,,,0.57,7466.0,0.01,35219.0,,44.45,,,,59.51,59.51,1359354.0,25804203.94,,30.12,59.61,26.57,0.2109,31.01,0.6738
2007-12-07,2224160.0,42930805.77,13.0,13.13,6.46,47.95,2.0,6138933.82,1999903.0,318046.0,38602190.15,,,2368.0,0.15,,,,0.08,10000.0,619.0,,,0.15,2368.0,,,50056.0,42.82,1.15,,,53.28,53.28,1753703.0,33850030.06,,37.68,53.19,27.65,0.2165,31.14,0.5925
2007-12-10,2182362.0,42065944.07,12.75,12.43,6.34,47.77,2.0,5632836.7,1983921.0,292229.0,38240910.46,,,3728.0,0.01,,,,0.44,49.0,23007.0,,,0.01,3728.0,,7025.0,25865.0,43.18,0.58,0.08,,52.55,52.55,1791088.0,34523973.4,3728.0,38.97,52.56,27.37,0.2207,31.87,0.5781
2007-12-11,2119661.0,40556519.47,12.39,11.76,6.16,46.32,2.0,4399019.7,1933182.0,229912.0,36988524.78,,,922.0,0.0,,,,1.13,9.0,51661.0,,,0.0,922.0,,,62326.0,42.04,1.41,,,51.76,51.76,1801769.0,34474135.03,,39.1,51.81,28.13,0.2335,32.95,0.5675
2007-12-12,2074689.0,39604031.21,12.12,11.35,6.03,44.92,2.0,4179395.66,1899182.0,218941.0,36253753.31,,,,0.0,,,,0.75,62.0,34000.0,,,0.0,,,,11034.0,40.93,0.26,,,52.38,52.38,1726443.0,32956314.15,,37.34,52.3,27.16,0.2344,33.64,0.5722
2007-12-13,2060429.0,39167328.25,12.04,11.13,5.98,44.6,2.0,3890844.05,1884508.0,204681.0,35823191.88,,,40000.0,,,,,1.43,,66674.0,,,,40000.0,,12000.0,14259.0,40.6,0.31,,,58.34,58.34,1345686.0,25580558.84,,28.88,58.43,27.33,0.2377,33.92,0.6379
2007-12-14,2030013.0,37832844.4,11.86,10.95,5.9,43.76,2.0,3347253.45,1863610.0,179605.0,34731633.33,,,,0.0,,,,0.48,185.0,20898.0,,,0.0,,,,25261.0,40.0,0.55,,,57.65,57.65,1368741.0,25508883.58,,29.16,57.84,27.5,0.2448,34.57,0.628
2007-12-17,1962765.0,35151895.36,11.47,10.46,5.7,41.72,2.0,3152873.92,1799921.0,176046.0,32235461.02,,,,,,,,1.48,,69029.0,,,,,,5340.0,3559.0,38.04,0.09,,,51.66,51.66,1684329.0,30165280.49,,35.11,52.0,24.3,0.2439,36.18,0.5633
2007-12-18,1786197.0,31957984.12,10.44,9.38,5.19,36.26,2.0,3126527.37,1624651.0,174748.0,29067662.11,,,923.0,,,,,3.64,,176193.0,,,,923.0,,,1298.0,32.74,0.03,,,51.46,51.46,1532631.0,27421273.89,,30.97,51.39,24.17,0.2497,39.32,0.5657
2007-12-19,1766197.0,31051809.68,10.32,9.18,5.13,35.75,2.0,2720650.89,1614651.0,154748.0,28387453.7,,,,,,,,0.2,,10000.0,,,,,,,20000.0,32.47,0.43,,,51.24,51.24,1536239.0,27008878.99,,30.74,51.37,24.54,0.2565,39.94,0.5605
2007-12-20,1762971.0,31088922.57,10.3,9.19,5.12,35.26,2.0,2583791.19,1621425.0,146520.0,28592844.85,,,6535.0,0.03,,,,,1772.0,,,,0.03,6535.0,,239.0,10000.0,32.27,0.26,,,51.28,51.28,1540498.0,27165746.37,,30.62,51.32,24.67,0.2594,40.11,0.5576
2007-12-21,1762218.0,31357012.89,10.3,9.27,5.12,35.23,2.0,2607185.68,1620672.0,146520.0,28838334.86,,,3509.0,,,,,0.23,,9602.0,,,,3509.0,,5340.0,,32.23,,,,51.1,51.1,1550993.0,27598462.55,,30.95,51.01,24.7,0.2559,39.59,0.5556
2007-12-24,1762218.0,32044803.8,10.3,9.45,5.12,35.29,2.0,2664372.2,1620672.0,146520.0,29470880.59,,,,,,,,,,,,,,,,,,32.28,,,,51.1,51.1,1550923.0,28202539.78,,31.08,50.95,24.54,0.2543,39.32,0.5556
2007-12-25,1762218.0,32044803.8,10.3,9.62,5.12,35.52,2.0,2664372.2,1620672.0,146520.0,29470880.59,,,,,,,,,,,,,,,,,,32.51,,,,53.4,53.4,1414128.0,25715010.46,,28.7,53.11,24.54,0.254,39.29,0.5807
2007-12-26,1772711.0,32235612.27,10.36,9.68,5.15,35.62,2.0,2764258.88,1625672.0,152013.0,29561802.39,,,5000.0,,,5493.0,,,,,,,,5000.0,0.11,,,32.49,,,,48.55,48.55,1722828.0,31328521.92,,35.05,48.1,24.41,0.2513,39.1,0.5294
2007-12-27,1772711.0,32031191.31,10.36,9.68,5.15,36.27,2.0,2746729.44,1625672.0,152013.0,29374337.3,,,,,,,,,,,,,,,,,,33.09,,,,48.02,48.02,1759575.0,31793836.36,,35.94,47.94,24.54,0.2528,39.35,0.5237
2007-12-28,1772711.0,32377134.47,10.36,9.89,5.15,36.08,2.0,2776394.65,1625672.0,152013.0,29691585.91,,,,,,,,,,,,,,,,,,32.93,,,,51.21,51.21,1548577.0,28283508.01,,31.63,51.01,24.53,0.2528,39.33,0.5585
2007-12-31,1727711.0,31386665.1,10.1,9.84,5.02,35.75,2.0,1944064.25,1625672.0,107013.0,29532961.6,,,,,,,,,,,,,,,,,45000.0,33.51,0.93,,,51.22,51.22,1548473.0,28130516.89,,31.75,51.35,25.35,0.2676,40.69,0.5443
2008-01-01,1727711.0,31386665.1,10.1,10.33,5.02,35.76,2.0,1944064.25,1630345.0,107013.0,29617854.21,,,4673.0,,,,,,,,,,,4673.0,,,,33.62,,,,48.51,48.51,1730297.0,31433643.97,,35.5,48.64,25.34,0.2673,40.66,0.5141
2008-01-02,1747384.0,30922555.49,10.21,10.45,5.08,35.54,2.0,1976449.67,1645345.0,111686.0,29116823.82,,,15000.0,0.1,,,,,4673.0,,,,0.1,15000.0,,,,33.31,,,,48.37,48.37,1756245.0,31079364.05,,35.6,48.34,25.0,0.2675,41.01,0.5137
2008-01-03,1742044.0,29591843.48,10.18,10.44,5.06,34.57,2.0,1897193.54,1640005.0,111686.0,27858522.09,,,,,,,,0.11,,5340.0,,,,,,,,32.37,,,,48.87,48.87,1716109.0,29151289.47,,33.67,49.01,25.12,0.2691,41.2,0.5191
