,EMSR FP Equity_DX_SI_QTY,EMSR FP Equity_DX_SHORT_INTEREST_VALUE,EMSR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EMSR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EMSR FP Equity_DX_SI_MV,EMSR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EMSR FP Equity_DX_SUPPLY_SI_QTY,EMSR FP Equity_DX_BROKER_SI_QTY,EMSR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EMSR FP Equity_DX_SUPPLY_SI_QTY_INC_x,EMSR FP Equity_DX_BROKER_SI_MV_INC_x,EMSR FP Equity_DX_BROKER_SI_QTY_ADD,EMSR FP Equity_DX_SUPPLY_SI_MV_DEC,EMSR FP Equity_DX_BROKER_SI_QTY_INC,EMSR FP Equity_DX_SUPPLY_SI_QTY_DEC,EMSR FP Equity_DX_BROKER_SI_MV_INC_y,EMSR FP Equity_DX_SUPPLY_SI_QTY_INC_y,EMSR FP Equity_DX_BROKER_SI_MV_ADD,EMSR FP Equity_DX_SUPPLY_SI_QTY_ADD,EMSR FP Equity_DX_BROKER_SI_QTY_DEC,EMSR FP Equity_DX_SUPPLY_SI_MV,EMSR FP Equity_DX_BROKER_SI_MV_DEC,EMSR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EMSR FP Equity_DX_UTILIZATION_QUANTITY,EMSR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EMSR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EMSR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EMSR FP Equity_DX_ACTIVE_UTILIZATION_MV,EMSR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EMSR FP Equity_DX_BROKER_SI_CON_RATIO,EMSR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EMSR FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-03-09,4000.0,617800.0,0.5,0.22,0.39,617800.0,4000.0,4000.0,617800.0,,,,,,,,,,,,0.61,,100.0,66.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.6667
2021-03-10,4000.0,618920.0,0.5,0.22,0.39,618920.0,4000.0,4000.0,618920.0,,,,,,,,,,,,0.62,,100.0,66.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.6667
2021-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.62,,4000.0,,,,,4000.0,0.0,0.39,0.0,0.0,6000.0,955620.0,0.93,0.0,,0.0,,0.0
2021-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,942720.0,0.96,0.0,,0.0,,0.0
2021-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,939780.0,0.94,0.0,,0.0,,0.0
2021-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,946860.0,0.94,0.0,,0.0,,0.0
2021-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,934260.0,0.95,0.0,,0.0,,0.0
2021-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,944640.0,0.93,0.0,,0.0,,0.0
2021-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,942840.0,0.94,0.0,,0.0,,0.0
2021-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,944280.0,0.94,0.0,,0.0,,0.0
2021-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,927180.0,0.94,0.0,,0.0,,0.0
2021-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,916500.0,0.93,0.0,,0.0,,0.0
2021-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,915180.0,0.92,0.0,,0.0,,0.0
2021-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,924240.0,0.92,0.0,,0.0,,0.0
2021-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,925920.0,0.92,0.0,,0.0,,0.0
2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,931800.0,0.93,0.0,,0.0,,0.0
2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,934320.0,0.93,0.0,,0.0,,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,945540.0,0.93,0.0,,0.0,,0.0
2021-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,945540.0,0.95,0.0,,0.0,,0.0
2021-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,945540.0,0.95,0.0,,0.0,,0.0
2021-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,951960.0,0.95,0.0,,0.0,,0.0
2021-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,941040.0,0.94,0.0,,0.0,,0.0
2021-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,944520.0,0.94,0.0,,0.0,,0.0
2021-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,937080.0,0.94,0.0,,0.0,,0.0
2021-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,929040.0,0.94,0.0,,0.0,,0.0
2021-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,937260.0,0.93,0.0,,0.0,,0.0
2021-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,949380.0,0.94,0.0,,0.0,,0.0
2021-04-15,1200.0,191304.0,0.3,0.07,0.19,191304.0,1200.0,1200.0,191304.0,,,1200.0,,,,,,0.19,1200.0,,0.19,,20.0,20.0,4800.0,765216.0,0.76,20.0,,1.0,100.0,0.2
2021-04-16,3500.0,559370.0,0.79,0.19,0.54,559370.0,3500.0,3500.0,559370.0,2300.0,0.35,,,2300.0,,0.35,2300.0,,,,0.56,,100.0,58.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.5833
2021-04-19,5500.0,875985.0,1.24,0.3,0.85,875985.0,5500.0,5500.0,875985.0,2000.0,0.31,,,2000.0,,0.31,2000.0,,,,0.88,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.9167
2021-04-20,5500.0,868340.0,1.22,0.3,0.85,868340.0,5500.0,5500.0,868340.0,,,,,,,,,,,,0.88,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.9167
2021-04-21,5500.0,872245.0,1.23,0.3,0.85,872245.0,5500.0,5500.0,872245.0,,,,,,,,,,,,0.87,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.9167
2021-04-22,5500.0,876040.0,1.21,0.3,0.85,876040.0,5500.0,5500.0,876040.0,,,,,,,,,,,,0.87,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.9167
2021-04-23,5500.0,881430.0,1.21,0.29,0.85,881430.0,5500.0,5500.0,881430.0,,,,,,,,,,,,0.88,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.9167
2021-04-26,5500.0,885610.0,1.18,0.29,0.85,885610.0,5500.0,5500.0,885610.0,,,,,,,,,,,,0.88,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.9167
2021-04-27,5500.0,886105.0,1.24,0.29,0.85,886105.0,5500.0,5500.0,886105.0,,,,,,,,,,,,0.89,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.9167
2021-04-28,5500.0,891275.0,1.22,0.29,0.85,891275.0,5500.0,5500.0,891275.0,,,,,,,,,,,,0.89,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.9167
2021-04-29,5500.0,887480.0,1.39,0.29,0.86,693848.0,5500.0,4300.0,887480.0,,,,,,,,,,,1200.0,0.89,0.19,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.9167
2021-04-30,5800.0,920518.0,1.36,0.31,0.91,682453.0,5800.0,4300.0,920518.0,300.0,,,,,,,300.0,,,,0.94,,100.0,96.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.9667
2021-05-03,3500.0,557795.0,0.76,0.19,0.54,557795.0,1500.0,3500.0,239055.0,,,,0.7,,4300.0,,,,,800.0,0.24,0.12,25.0,25.0,4500.0,717165.0,0.71,25.0,,1.0,100.0,0.5833
2021-05-04,5000.0,782650.0,1.06,0.27,0.78,547855.0,3500.0,3500.0,547855.0,2000.0,,,,,,,2000.0,,,,0.56,,100.0,58.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.8333
2021-05-05,7000.0,1109220.0,1.46,0.37,1.08,871530.0,5500.0,5500.0,871530.0,2000.0,0.31,,,2000.0,,0.31,2000.0,,,,0.86,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,1.1667
2021-05-06,7000.0,1122310.0,1.48,0.37,1.09,881815.0,5500.0,5500.0,881815.0,,,,,,,,,,,,0.87,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,1.1667
2021-05-07,7000.0,1140860.0,1.38,0.37,1.1,896390.0,5500.0,5500.0,896390.0,,,,,,,,,,,,0.88,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,1.1667
2021-05-10,7000.0,1130220.0,1.38,0.37,1.09,888030.0,5500.0,5500.0,888030.0,,,,,,,,,,,,0.9,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,1.1667
2021-05-11,7000.0,1118810.0,1.27,0.36,1.09,879065.0,5500.0,5500.0,879065.0,,,,,,,,,,,,0.89,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,1.1667
2021-05-12,7000.0,1090460.0,1.03,0.36,1.08,856790.0,5500.0,5500.0,856790.0,,,,,,,,,,,,0.88,,100.0,91.67,0.0,0.0,0.0,100.0,,1.0,100.0,1.1667
2021-05-13,2000.0,311060.0,0.28,0.1,0.31,311060.0,2000.0,2000.0,311060.0,,,,0.57,,3500.0,,,,,3500.0,0.31,0.53,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2021-05-14,2000.0,314720.0,0.27,0.1,0.31,314720.0,2000.0,2000.0,314720.0,,,,,,,,,,,,0.31,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2021-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.31,,2000.0,,,,,2000.0,0.0,0.31,0.0,0.0,6000.0,943740.0,0.94,0.0,,0.0,,0.0
2021-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6000.0,960840.0,0.94,0.0,,0.0,,0.0
2021-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4786.0,791173.66,0.77,0.0,,0.0,,0.0
2021-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4786.0,794523.86,0.79,0.0,,0.0,,0.0
2021-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4786.0,789067.82,0.79,0.0,,0.0,,0.0
2021-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4786.0,797874.06,0.79,0.0,,0.0,,0.0
2021-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4786.0,801176.4,0.8,0.0,,0.0,,0.0
2021-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4786.0,804383.02,0.8,0.0,,0.0,,0.0
2021-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4786.0,803186.52,0.8,0.0,,0.0,,0.0
2021-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4786.0,805053.06,0.8,0.0,,0.0,,0.0
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,7416.0,1244478.96,1.25,0.0,,0.0,,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,7416.0,1239955.2,1.24,0.0,,0.0,,0.0
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,7416.0,1237582.08,1.24,0.0,,0.0,,0.0
2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,7416.0,1237062.96,1.24,0.0,,0.0,,0.0
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,7416.0,1223788.32,1.24,0.0,,0.0,,0.0
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,7416.0,1219932.0,1.22,0.0,,0.0,,0.0
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,7416.0,1201911.12,1.22,0.0,,0.0,,0.0
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1414951.6,1.4,0.0,,0.0,,0.0
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1416587.88,1.42,0.0,,0.0,,0.0
2021-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1420893.88,1.42,0.0,,0.0,,0.0
2021-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1413143.08,1.42,0.0,,0.0,,0.0
2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1419429.84,1.41,0.0,,0.0,,0.0
2021-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1414521.0,1.42,0.0,,0.0,,0.0
2021-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1389029.48,1.41,0.0,,0.0,,0.0
2021-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1390579.64,1.39,0.0,,0.0,,0.0
2021-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1397383.12,1.39,0.0,,0.0,,0.0
2021-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1402464.2,1.4,0.0,,0.0,,0.0
2021-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1386101.4,1.4,0.0,,0.0,,0.0
2021-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1365432.6,1.39,0.0,,0.0,,0.0
2021-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1330554.0,1.37,0.0,,0.0,,0.0
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1365777.08,1.33,0.0,,0.0,,0.0
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1389632.32,1.37,0.0,,0.0,,0.0
2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,8612.0,1374216.84,1.39,0.0,,0.0,,0.0
