,MLAIG FP Equity_DX_SI_QTY,MLAIG FP Equity_DX_SHORT_INTEREST_VALUE,MLAIG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLAIG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLAIG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLAIG FP Equity_DX_SI_MV,MLAIG FP Equity_DX_DSS,MLAIG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLAIG FP Equity_DX_SUPPLY_SI_QTY,MLAIG FP Equity_DX_BROKER_SI_QTY,MLAIG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLAIG FP Equity_DX_BROKER_SI_QTY_ADD,MLAIG FP Equity_DX_SUPPLY_SI_MV_DEC,MLAIG FP Equity_DX_SUPPLY_SI_QTY_DEC,MLAIG FP Equity_DX_BROKER_SI_MV_ADD,MLAIG FP Equity_DX_SUPPLY_SI_QTY_ADD,MLAIG FP Equity_DX_BROKER_SI_QTY_DEC,MLAIG FP Equity_DX_SUPPLY_SI_MV,MLAIG FP Equity_DX_BROKER_SI_MV_DEC,MLAIG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLAIG FP Equity_DX_UTILIZATION_QUANTITY,MLAIG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLAIG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLAIG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLAIG FP Equity_DX_ACTIVE_UTILIZATION_MV,MLAIG FP Equity_DX_BROKER_SI_CON_RATIO,MLAIG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MLAIG FP Equity_DX_DEMAND_SUPPLY_RATIO
2025-07-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-07-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-07-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-07-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-08-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-08-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-08-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
2025-08-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1900.0,5700.0,0.01,0.0,0.0,,0.0
