,ALMLB FP Equity_DX_SI_QTY,ALMLB FP Equity_DX_SHORT_INTEREST_VALUE,ALMLB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMLB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMLB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMLB FP Equity_DX_SI_MV,ALMLB FP Equity_DX_DSS,ALMLB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMLB FP Equity_DX_SUPPLY_SI_QTY,ALMLB FP Equity_DX_BROKER_SI_QTY,ALMLB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMLB FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMLB FP Equity_DX_BROKER_SI_MV_INC_x,ALMLB FP Equity_DX_BROKER_SI_QTY_ADD,ALMLB FP Equity_DX_SUPPLY_SI_MV_DEC,ALMLB FP Equity_DX_BROKER_SI_QTY_INC,ALMLB FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMLB FP Equity_DX_BROKER_SI_MV_INC_y,ALMLB FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMLB FP Equity_DX_BROKER_SI_MV_ADD,ALMLB FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMLB FP Equity_DX_BROKER_SI_QTY_DEC,ALMLB FP Equity_DX_SUPPLY_SI_MV,ALMLB FP Equity_DX_BROKER_SI_MV_DEC,ALMLB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMLB FP Equity_DX_UTILIZATION_QUANTITY,ALMLB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMLB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMLB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMLB FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMLB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMLB FP Equity_DX_BROKER_SI_CON_RATIO,ALMLB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMLB FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-04-13,2200.0,14212.0,0.07,0.11,0.04,0.01,0.0,7106.0,1100.0,1100.0,7106.0,,,,,,,,,,,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-14,2200.0,14300.0,0.07,0.13,0.04,0.01,0.0,7150.0,1100.0,1100.0,7150.0,,,,,,,,,,,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-15,2200.0,14344.0,0.07,0.13,0.04,0.01,0.0,7172.0,1100.0,1100.0,7172.0,,,,,,,,,,,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-16,2200.0,14476.0,0.07,0.14,0.04,0.01,0.0,7238.0,1100.0,1100.0,7238.0,,,,,,,,,,,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-19,4095.0,26699.4,0.14,0.31,0.08,0.03,0.0,19527.4,4095.0,2995.0,26699.4,,,2995.0,,,,,,0.02,2995.0,1100.0,0.03,0.01,100.0,78.83,0.0,0.0,0.0,100.0,27.07,0.6052,72.93,0.7883
2021-04-20,2995.0,19227.9,0.1,0.26,0.06,0.02,0.0,19227.9,2995.0,2995.0,19227.9,,,,0.01,,1100.0,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-21,2995.0,19287.8,0.1,0.28,0.06,0.02,0.0,19287.8,2995.0,2995.0,19287.8,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-22,2995.0,19227.9,0.1,0.29,0.06,0.02,0.0,19227.9,2995.0,2995.0,19227.9,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-23,2995.0,19347.7,0.1,0.32,0.06,0.02,0.0,19347.7,2995.0,2995.0,19347.7,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-26,2995.0,19227.9,0.1,0.33,0.06,0.02,0.0,19227.9,2995.0,2995.0,19227.9,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-27,2995.0,19767.0,0.1,0.34,0.06,0.02,0.0,19767.0,2995.0,2995.0,19767.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-28,2995.0,20905.1,0.1,0.33,0.06,0.02,0.0,20905.1,2995.0,2995.0,20905.1,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-29,2995.0,21384.3,0.1,0.33,0.06,0.02,0.0,21384.3,2995.0,2995.0,21384.3,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-04-30,2995.0,20965.0,0.1,0.31,0.06,0.02,0.0,20965.0,2995.0,2995.0,20965.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-05-03,2995.0,19707.1,0.1,0.32,0.06,0.02,0.0,19707.1,2995.0,2995.0,19707.1,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-05-04,2995.0,19826.9,0.1,0.3,0.06,0.02,0.0,19826.9,2995.0,2995.0,19826.9,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-05-05,2995.0,19647.2,0.1,0.29,0.06,0.02,0.0,19647.2,2995.0,2995.0,19647.2,,,,,,,,,,,,0.02,,100.0,93.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.9374
2021-05-06,2995.0,21144.7,0.1,0.29,0.06,0.02,0.0,21144.7,2995.0,2995.0,21144.7,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-05-07,2995.0,21024.9,0.1,0.28,0.06,0.02,0.0,21024.9,2995.0,2995.0,21024.9,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-05-10,2995.0,20845.2,0.1,0.28,0.06,0.02,0.0,20845.2,2995.0,2995.0,20845.2,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-05-11,2995.0,20366.0,0.1,0.28,0.06,0.02,0.0,20366.0,2995.0,2995.0,20366.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-05-12,6595.0,45373.6,0.22,0.6,0.13,0.05,0.0,32989.6,4795.0,4795.0,32989.6,,,1800.0,,,,,,0.01,1800.0,,0.03,,100.0,72.71,0.0,0.0,0.0,100.0,45.71,0.5037,54.29,1.0
2021-05-13,6595.0,45373.6,0.22,0.59,0.13,0.05,0.0,32989.6,4795.0,4795.0,32989.6,,,,,,,,,,,,0.03,,100.0,72.71,0.0,0.0,0.0,100.0,45.39,0.5042,54.61,1.0
2021-05-14,6595.0,45373.6,0.22,0.61,0.13,0.05,0.0,32989.6,4795.0,4795.0,32989.6,,,,,,,,,,,,0.03,,100.0,72.71,0.0,0.0,0.0,100.0,45.39,0.5042,54.61,1.0
2021-05-17,6595.0,46165.0,0.22,0.63,0.13,0.05,0.0,33565.0,4795.0,4795.0,33565.0,,,,,,,,,,,,0.03,,100.0,72.71,0.0,0.0,0.0,100.0,45.83,0.5035,54.17,1.0
2021-05-18,6595.0,46692.6,0.22,0.62,0.13,0.05,0.0,33948.6,4795.0,4795.0,33948.6,,,,,,,,,,,,0.03,,100.0,72.71,0.0,0.0,0.0,100.0,45.68,0.5037,54.32,1.0
2021-05-19,6595.0,47879.7,0.22,0.64,0.13,0.05,0.0,34811.7,4795.0,4795.0,34811.7,,,,,,,,,,,,0.03,,100.0,72.71,0.0,0.0,0.0,100.0,46.12,0.503,53.88,1.0
2021-05-20,6595.0,50253.9,0.22,0.65,0.13,0.05,0.0,36537.9,4795.0,4795.0,36537.9,,,,,,,,,,,,0.03,,100.0,72.71,0.0,0.0,0.0,100.0,46.58,0.5023,53.42,1.0
2021-05-21,6595.0,49726.3,0.22,0.63,0.13,0.05,0.0,36154.3,4795.0,4795.0,36154.3,,,,,,,,,,,,0.04,,100.0,72.71,0.0,0.0,0.0,100.0,45.17,0.5047,54.83,1.0
2021-05-24,6595.0,50122.0,0.22,0.63,0.13,0.05,0.0,36442.0,4795.0,4795.0,36442.0,,,,,,,,,,,,0.04,,100.0,72.71,0.0,0.0,0.0,100.0,45.61,0.5039,54.39,1.0
2021-05-25,6595.0,51836.7,0.22,0.65,0.13,0.05,0.0,37688.7,4795.0,4795.0,37688.7,,,,,,,,,,,,0.04,,100.0,72.71,0.0,0.0,0.0,100.0,46.23,0.5028,53.77,1.0
2021-05-26,6595.0,52760.0,0.22,0.64,0.13,0.05,0.0,38360.0,4795.0,4795.0,38360.0,,,,,,,,,,,,0.04,,100.0,72.71,0.0,0.0,0.0,100.0,45.9,0.5034,54.1,1.0
2021-05-27,7795.0,59397.9,0.26,0.7,0.16,0.06,0.0,41109.9,5395.0,5395.0,41109.9,600.0,0.01,,,600.0,,0.01,600.0,,,,0.04,,100.0,69.21,0.0,0.0,0.0,100.0,37.28,0.5324,62.72,1.0
2021-05-28,7795.0,61268.7,0.26,0.57,0.16,0.06,0.0,42404.7,5395.0,5395.0,42404.7,,,,,,,,,,,,0.04,,100.0,69.21,0.0,0.0,0.0,100.0,39.14,0.5236,60.86,1.0
2021-05-31,4195.0,30875.2,0.14,0.3,0.08,0.03,0.0,26459.2,3595.0,3595.0,26459.2,,,,0.01,,1800.0,,,,,1800.0,0.03,0.01,100.0,85.7,0.0,0.0,0.0,100.0,30.04,0.5797,69.96,1.0
2021-06-01,4195.0,31462.5,0.14,0.3,0.08,0.03,0.0,26962.5,3595.0,3595.0,26962.5,,,,,,,,,,,,0.03,,100.0,85.7,0.0,0.0,0.0,100.0,28.17,0.5953,71.83,1.0
2021-06-02,4195.0,32049.8,0.14,0.29,0.08,0.03,0.0,27465.8,3595.0,3595.0,27465.8,,,,,,,,,,,,0.03,,100.0,85.7,0.0,0.0,0.0,100.0,28.24,0.5947,71.76,1.0
2021-06-03,3595.0,26746.8,0.12,0.25,0.07,0.03,0.0,22282.8,3595.0,2995.0,26746.8,,,,,,,,,,,600.0,0.03,0.0,100.0,85.7,0.0,0.0,0.0,100.0,17.05,0.7172,82.95,0.857
2021-06-04,2995.0,22522.4,0.1,0.21,0.06,0.02,0.0,22522.4,2995.0,2995.0,22522.4,,,,0.0,,600.0,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-07,2995.0,22402.6,0.1,0.21,0.06,0.02,0.0,22402.6,2995.0,2995.0,22402.6,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-08,2995.0,22642.2,0.1,0.21,0.06,0.02,0.0,22642.2,2995.0,2995.0,22642.2,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-09,2995.0,22582.3,0.1,0.21,0.06,0.02,0.0,22582.3,2995.0,2995.0,22582.3,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-10,2995.0,22642.2,0.1,0.22,0.06,0.02,0.0,22642.2,2995.0,2995.0,22642.2,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-11,2995.0,22402.6,0.1,0.24,0.06,0.02,0.0,22402.6,2995.0,2995.0,22402.6,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-14,2995.0,22342.7,0.1,0.24,0.06,0.02,0.0,22342.7,2995.0,2995.0,22342.7,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-15,2995.0,23361.0,0.1,0.26,0.06,0.02,0.0,23361.0,2995.0,2995.0,23361.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-16,2995.0,23480.8,0.1,0.25,0.06,0.02,0.0,23480.8,2995.0,2995.0,23480.8,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-17,2995.0,23361.0,0.1,0.25,0.06,0.02,0.0,23361.0,2995.0,2995.0,23361.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-18,2995.0,22821.9,0.1,0.26,0.06,0.02,0.0,22821.9,2995.0,2995.0,22821.9,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-21,2995.0,22462.5,0.1,0.26,0.06,0.02,0.0,22462.5,2995.0,2995.0,22462.5,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-22,2995.0,22762.0,0.1,0.26,0.06,0.02,0.0,22762.0,2995.0,2995.0,22762.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-23,2995.0,23181.3,0.1,0.27,0.06,0.02,0.0,23181.3,2995.0,2995.0,23181.3,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-06-24,4395.0,34368.9,0.15,0.41,0.09,0.03,0.0,28894.9,3695.0,3695.0,28894.9,,,700.0,,,,,,0.01,700.0,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,31.65,0.5674,68.35,1.0
2021-06-25,4395.0,35247.9,0.15,0.41,0.09,0.04,0.0,29633.9,3695.0,3695.0,29633.9,,,,,,,,,,,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,31.29,0.57,68.71,1.0
2021-06-28,4395.0,37093.8,0.15,0.4,0.09,0.04,0.0,31185.8,3695.0,3695.0,31185.8,,,,,,,,,,,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,30.76,0.574,69.24,1.0
2021-06-29,4395.0,39467.1,0.15,0.4,0.09,0.04,0.0,33181.1,3695.0,3695.0,33181.1,,,,,,,,,,,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,30.51,0.5759,69.49,1.0
2021-06-30,4395.0,38763.9,0.15,0.4,0.09,0.04,0.0,32589.9,3695.0,3695.0,32589.9,,,,,,,,,,,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,32.24,0.5631,67.76,1.0
2021-07-01,4395.0,41049.3,0.15,0.39,0.09,0.04,0.0,34511.3,3695.0,3695.0,34511.3,,,,,,,,,,,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,30.59,0.5754,69.41,1.0
2021-07-02,4395.0,40697.7,0.15,0.41,0.09,0.04,0.0,34215.7,3695.0,3695.0,34215.7,,,,,,,,,,,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,32.09,0.5642,67.91,1.0
2021-07-05,4395.0,38060.7,0.15,0.39,0.09,0.04,0.0,31998.7,3695.0,3695.0,31998.7,,,,,,,,,,,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,33.33,0.5556,66.67,1.0
2021-07-06,4395.0,38763.9,0.15,0.38,0.09,0.04,0.0,32589.9,3695.0,3695.0,32589.9,,,,,,,,,,,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,31.45,0.5688,68.55,1.0
2021-07-07,4395.0,38851.8,0.15,0.38,0.09,0.04,0.0,32663.8,3695.0,3695.0,32663.8,,,,,,,,,,,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,31.8,0.5663,68.2,1.0
2021-07-08,4395.0,35160.0,0.15,0.41,0.09,0.04,0.0,29560.0,3695.0,3695.0,29560.0,,,,,,,,,,,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,34.05,0.5509,65.95,1.0
2021-07-09,4395.0,34105.2,0.15,0.39,0.09,0.03,0.0,28673.2,3695.0,3695.0,28673.2,,,,,,,,,,,,0.03,,100.0,84.07,0.0,0.0,0.0,100.0,32.56,0.5608,67.44,1.0
2021-07-12,2995.0,20665.5,0.1,0.27,0.06,0.02,0.0,20665.5,2995.0,2995.0,20665.5,,,,0.01,,700.0,,,,,700.0,0.02,0.01,100.0,85.69,0.0,0.0,0.0,100.0,21.33,1.0,100.0,0.8569
2021-07-13,2995.0,19707.1,0.1,0.24,0.06,0.02,0.0,19707.1,2995.0,2995.0,19707.1,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-07-14,2995.0,18569.0,0.1,0.22,0.06,0.02,0.0,18569.0,2995.0,2995.0,18569.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-07-15,2995.0,18628.9,0.1,0.2,0.06,0.02,0.0,18628.9,2995.0,2995.0,18628.9,,,,,,,,,,,,0.02,,100.0,93.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.9374
2021-07-16,2995.0,18389.3,0.1,0.19,0.06,0.02,0.0,18389.3,2995.0,2995.0,18389.3,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-07-19,2995.0,17850.2,0.1,0.19,0.06,0.02,0.0,17850.2,2995.0,2995.0,17850.2,,,,,,,,,,,,0.02,,100.0,96.77,0.0,0.0,0.0,100.0,,1.0,100.0,0.9677
