,ALDNE FP Equity_DX_SI_QTY,ALDNE FP Equity_DX_SHORT_INTEREST_VALUE,ALDNE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALDNE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALDNE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALDNE FP Equity_DX_SI_MV,ALDNE FP Equity_DX_DSS,ALDNE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALDNE FP Equity_DX_SUPPLY_SI_QTY,ALDNE FP Equity_DX_BROKER_SI_QTY,ALDNE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALDNE FP Equity_DX_BROKER_SI_MV_NEW_x,ALDNE FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALDNE FP Equity_DX_BROKER_SI_MV_INC_x,ALDNE FP Equity_DX_BROKER_SI_QTY_ADD,ALDNE FP Equity_DX_BROKER_SI_QTY_NEW,ALDNE FP Equity_DX_SUPPLY_SI_MV_DEC,ALDNE FP Equity_DX_BROKER_SI_QTY_INC,ALDNE FP Equity_DX_SUPPLY_SI_QTY_DEC,ALDNE FP Equity_DX_BROKER_SI_MV_NEW_y,ALDNE FP Equity_DX_BROKER_SI_MV_INC_y,ALDNE FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALDNE FP Equity_DX_BROKER_SI_MV_ADD,ALDNE FP Equity_DX_SUPPLY_SI_QTY_ADD,ALDNE FP Equity_DX_BROKER_SI_QTY_DEC,ALDNE FP Equity_DX_SUPPLY_SI_MV,ALDNE FP Equity_DX_BROKER_SI_MV_DEC,ALDNE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALDNE FP Equity_DX_UTILIZATION_QUANTITY,ALDNE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALDNE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALDNE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALDNE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALDNE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALDNE FP Equity_DX_BROKER_SI_CON_RATIO,ALDNE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALDNE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALDNE FP Equity_PX_LAST
2018-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6
2018-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7
2018-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6
2018-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6
2018-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3
2018-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.55
2018-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.17
2018-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.78
2018-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.11
2018-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.385
2018-07-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,23144.0,535089.28,0.52,0.0,,0.0,,0.0,23.12
2018-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,12379.0,287007.12,0.29,0.0,,0.0,,0.0,23.185
2018-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1.0,23.18,0.0,0.0,,0.0,,0.0,23.18
2018-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1.0,23.13,0.0,0.0,,0.0,,0.0,23.13
2018-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1.0,23.48,0.0,0.0,,0.0,,0.0,23.48
2018-07-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,7113.0,169645.05,0.17,0.0,,0.0,,0.0,23.85
2018-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.79
2018-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.25
2018-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.22
2018-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.18
2018-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3
2018-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5
2018-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.48
2018-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5
2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.485
2018-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.485
2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.47
2018-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9
2018-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.54
2018-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.89
2018-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.125
2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.59
2018-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.62
2018-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.36
2018-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.605
2018-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.195
2018-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.445
2018-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3
2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.06
2018-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5
2018-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0
2018-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.31
2018-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6
2018-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3
2018-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.985
2018-08-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,101232.0,0.1,0.0,,0.0,,0.0,31.635
2018-08-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,100864.0,0.1,0.0,,0.0,,0.0,31.52
2018-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,96000.0,0.1,0.0,,0.0,,0.0,30.0
2018-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,92320.0,0.09,0.0,,0.0,,0.0,28.85
2018-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,92640.0,0.09,0.0,,0.0,,0.0,28.95
2018-09-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,89920.0,0.09,0.0,,0.0,,0.0,28.1
2018-09-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,85440.0,0.09,0.0,,0.0,,0.0,26.7
2018-09-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,89904.0,0.09,0.0,,0.0,,0.0,28.095
2018-09-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,88640.0,0.09,0.0,,0.0,,0.0,27.7
2018-09-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,87360.0,0.09,0.0,,0.0,,0.0,27.3
2018-09-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,85760.0,0.09,0.0,,0.0,,0.0,26.8
2018-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,84800.0,0.08,0.0,,0.0,,0.0,26.5
2018-09-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,92320.0,0.09,0.0,,0.0,,0.0,28.85
2018-09-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,92752.0,0.09,0.0,,0.0,,0.0,28.985
2018-09-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,93440.0,0.09,0.0,,0.0,,0.0,29.2
2018-09-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,95488.0,0.1,0.0,,0.0,,0.0,29.84
2018-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,95296.0,0.1,0.0,,0.0,,0.0,29.78
2018-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,95312.0,0.1,0.0,,0.0,,0.0,29.785
2018-09-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,94624.0,0.09,0.0,,0.0,,0.0,29.57
2018-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,93088.0,0.09,0.0,,0.0,,0.0,29.09
2018-09-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,93120.0,0.09,0.0,,0.0,,0.0,29.1
2018-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,97664.0,0.1,0.0,,0.0,,0.0,30.52
2018-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,100800.0,0.1,0.0,,0.0,,0.0,31.5
2018-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,101920.0,0.1,0.0,,0.0,,0.0,31.85
2018-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,100800.0,0.1,0.0,,0.0,,0.0,31.5
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,98240.0,0.1,0.0,,0.0,,0.0,30.7
2018-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,100960.0,0.1,0.0,,0.0,,0.0,31.55
2018-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,99520.0,0.1,0.0,,0.0,,0.0,31.1
2018-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,99504.0,0.1,0.0,,0.0,,0.0,31.095
2018-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,94400.0,0.09,0.0,,0.0,,0.0,29.5
2018-10-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,89584.0,0.09,0.0,,0.0,,0.0,27.995
2018-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,90240.0,0.09,0.0,,0.0,,0.0,28.2
2018-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,89600.0,0.09,0.0,,0.0,,0.0,28.0
2018-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,84800.0,0.08,0.0,,0.0,,0.0,26.5
2018-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,86864.0,0.09,0.0,,0.0,,0.0,27.145
2018-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,89920.0,0.09,0.0,,0.0,,0.0,28.1
2018-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,93120.0,0.09,0.0,,0.0,,0.0,29.1
2018-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,95312.0,0.1,0.0,,0.0,,0.0,29.785
2018-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,96128.0,0.1,0.0,,0.0,,0.0,30.04
2018-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,95424.0,0.1,0.0,,0.0,,0.0,29.82
2018-10-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,94064.0,0.09,0.0,,0.0,,0.0,29.395
2018-10-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,90880.0,0.09,0.0,,0.0,,0.0,28.4
2018-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,89280.0,0.09,0.0,,0.0,,0.0,27.9
2018-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,85504.0,0.09,0.0,,0.0,,0.0,26.72
2018-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,85856.0,0.09,0.0,,0.0,,0.0,26.83
2018-10-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,91104.0,0.09,0.0,,0.0,,0.0,28.47
2018-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,90368.0,0.09,0.0,,0.0,,0.0,28.24
2018-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,67456.0,0.07,0.0,,0.0,,0.0,21.08
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,70240.0,0.07,0.0,,0.0,,0.0,21.95
2018-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,70240.0,0.07,0.0,,0.0,,0.0,21.95
2018-11-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,68160.0,0.07,0.0,,0.0,,0.0,21.3
2018-11-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,68736.0,0.07,0.0,,0.0,,0.0,21.48
2018-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,67840.0,0.07,0.0,,0.0,,0.0,21.2
2018-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,3200.0,68000.0,0.07,0.0,,0.0,,0.0,21.25
2018-11-09,700.0,14280.0,0.01,0.12,0.01,0.01,0.0,14280.0,0.0,700.0,0.0,,,,700.0,,,,,,,,0.01,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.2188,20.4
2018-11-12,700.0,13195.0,0.01,0.12,0.01,0.01,0.0,13195.0,0.0,700.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.2188,18.85
2018-11-13,700.0,11895.8,0.01,0.12,0.01,0.01,0.0,11895.8,0.0,700.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.2188,16.994
2018-11-14,700.0,11165.0,0.01,0.12,0.01,0.01,0.0,11165.0,0.0,700.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.2188,15.95
2018-11-15,700.0,12775.0,0.01,0.11,0.01,0.01,0.0,12775.0,0.0,700.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.2188,18.25
2018-11-16,700.0,12355.0,0.01,0.11,0.01,0.01,0.0,12355.0,0.0,700.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.2188,17.65
2018-11-19,500.0,8660.0,0.01,0.08,0.01,0.01,0.0,8660.0,0.0,500.0,0.0,,,,,,,,,,,,,,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.1563,17.32
2018-11-20,500.0,8594.0,0.01,0.08,0.01,0.01,0.0,8594.0,0.0,500.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.1563,17.188
2018-11-21,2500.0,42500.0,0.05,0.4,0.05,0.04,0.0,42500.0,0.0,2500.0,0.0,,,,2000.0,,,,,,,,0.03,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.18,0.6779,79.82,0.7813,17.0
2018-11-22,2500.0,42550.0,0.05,0.42,0.05,0.04,0.0,42550.0,0.0,2500.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,19.98,0.6802,80.02,0.7813,17.02
2018-11-23,2500.0,42825.0,0.05,0.42,0.05,0.04,0.0,42825.0,0.0,2500.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.6812,80.1,0.7813,17.13
2018-11-26,2500.0,43250.0,0.05,0.43,0.05,0.04,0.0,43250.0,0.0,2500.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,19.84,0.6819,80.16,0.7813,17.3
2018-11-27,2500.0,41625.0,0.05,0.43,0.05,0.04,0.0,41625.0,0.0,2500.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.62,0.6726,79.38,0.7813,16.65
2018-11-28,2500.0,41325.0,0.05,0.42,0.05,0.04,0.0,41325.0,0.0,2500.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.12,0.6786,79.88,0.7813,16.53
2018-11-29,2000.0,32900.0,0.04,0.33,0.04,0.03,0.0,32900.0,0.0,2000.0,0.0,,,,,,,,,,,,,,500.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,20.12,1.0,100.0,0.625,16.45
2018-11-30,2000.0,32600.0,0.04,0.33,0.04,0.03,0.0,32600.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.625,16.3
2018-12-03,2000.0,33188.0,0.04,0.33,0.04,0.03,0.0,33188.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.625,16.594
2018-12-04,2000.0,33200.0,0.04,0.33,0.04,0.03,0.0,33200.0,0.0,2000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.625,16.6
