,AF FP Equity_DX_SI_QTY,AF FP Equity_DX_SHORT_INTEREST_VALUE,AF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AF FP Equity_DX_SI_MV,AF FP Equity_DX_DSS,AF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AF FP Equity_DX_SUPPLY_SI_QTY,AF FP Equity_DX_BROKER_SI_QTY,AF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AF FP Equity_DX_BROKER_SI_MV_NEW_x,AF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AF FP Equity_DX_SUPPLY_SI_QTY_INC_x,AF FP Equity_DX_BROKER_SI_MV_INC_x,AF FP Equity_DX_SUPPLY_SI_MV_NEW,AF FP Equity_DX_BROKER_SI_QTY_ADD,AF FP Equity_DX_BROKER_SI_QTY_NEW,AF FP Equity_DX_SUPPLY_SI_MV_DEC,AF FP Equity_DX_BROKER_SI_QTY_INC,AF FP Equity_DX_SUPPLY_SI_QTY_DEC,AF FP Equity_DX_BROKER_SI_MV_NEW_y,AF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AF FP Equity_DX_BROKER_SI_MV_INC_y,AF FP Equity_DX_SUPPLY_SI_QTY_INC_y,AF FP Equity_DX_BROKER_SI_MV_ADD,AF FP Equity_DX_SUPPLY_SI_QTY_ADD,AF FP Equity_DX_BROKER_SI_QTY_DEC,AF FP Equity_DX_SUPPLY_SI_MV,AF FP Equity_DX_BROKER_SI_MV_DEC,AF FP Equity_DX_SUPPLY_SI_MV_RMV,AF FP Equity_DX_BROKER_SI_MV_RMV,AF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AF FP Equity_DX_UTILIZATION_QUANTITY,AF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AF FP Equity_DX_ACTIVE_UTILIZATION_MV,AF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AF FP Equity_DX_BROKER_SI_CON_RATIO,AF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AF FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,14056518.0,258251121.68,5.22,8.61,5.22,275.78,2.0,66754572.97,11253488.0,3633428.0,206752902.73,,,16702.0,2.31,,15000.0,,7.07,117916.0,352023.0,,,2.31,16702.0,0.3,199898.0,89331.0,221.33,1.69,,,36.79,36.79,19335998.0,355247520.93,,380.33,36.79,14.92,0.2885,49.94,0.4595
2006-03-22,14274189.0,258806557.09,5.3,9.35,5.3,276.03,2.0,60540949.25,11742765.0,3339069.0,212909089.29,,394674.0,160279.0,2.49,7.63,,,7.13,133437.0,337990.0,,394674.0,2.49,160279.0,,272314.0,427796.0,227.35,8.8,,,37.56,37.56,19525100.0,354011279.23,,378.51,37.52,11.12,0.2694,48.3,0.4565
2006-03-29,14476631.0,261402425.96,5.37,10.07,5.37,280.79,2.0,66801515.41,11631518.0,3699510.0,210028633.24,,,343968.0,8.07,,,,1.46,407949.0,75406.0,,,8.07,343968.0,,14864.0,47508.0,226.14,1.12,7.63,,36.71,36.71,20053784.0,362108268.65,394674.0,389.57,36.73,14.01,0.2755,48.68,0.4569
2006-04-05,14685406.0,271167918.42,5.45,11.94,5.45,292.11,2.0,66767266.49,11918033.0,3615857.0,220068018.56,,,173512.0,1.5,,42000.0,,0.14,30188.0,99816.0,,,1.5,173512.0,0.95,212819.0,73841.0,237.7,1.23,,1.69,38.41,38.41,19111688.0,352899787.2,,380.6,38.44,14.35,0.2708,48.08,0.4733
2006-04-12,16238147.0,282060054.98,6.03,13.31,6.03,310.29,2.0,74676191.32,12909218.0,4299095.0,224235852.7,1.65,,349846.0,9.71,,,82000.0,4.11,601238.0,182472.0,1.65,,9.71,349846.0,,823812.0,,246.51,,,,42.08,42.08,17766834.0,308613672.16,,338.31,42.15,16.97,0.2384,43.1,0.5293
2006-04-19,16082304.0,275025444.72,5.97,12.45,5.97,297.03,2.0,67167495.92,13108615.0,3927666.0,224172025.98,,410114.0,,0.0,7.57,,,25.67,14585.0,1178954.0,,410114.0,0.0,,,968238.0,386014.0,241.59,8.73,,,41.45,41.45,18512912.0,316591568.96,,341.33,41.44,14.58,0.1952,36.52,0.5086
2006-04-26,15683995.0,268504976.17,5.82,10.92,5.82,289.44,2.0,67604606.42,12686517.0,3948941.0,217189111.88,,,189365.0,1.0,,,,4.7,56275.0,254404.0,,,1.0,189365.0,,53055.0,35000.0,234.0,0.71,7.57,,41.43,41.43,17931692.0,306984829.64,410114.0,330.74,41.44,15.34,0.2034,37.57,0.5122
2006-05-03,15973253.0,267824804.29,5.93,11.18,5.93,294.62,2.0,68865782.81,12826646.0,4107202.0,215065394.3,,95292.0,85777.0,2.9,1.72,,,1.46,158261.0,79901.0,,95292.0,2.9,85777.0,,68057.0,,236.73,,0.54,,38.24,38.24,20712754.0,347292394.75,29097.0,380.66,38.34,15.1,0.1993,36.98,0.4763
2006-05-10,15435077.0,264673244.01,5.73,10.67,5.73,288.18,2.0,74153202.3,12069106.0,4324428.0,206955199.34,,,15858.0,4.58,,,,13.41,218090.0,773397.0,,,4.58,15858.0,,,865.0,225.5,0.0,,,36.9,36.9,20642616.0,353969607.13,,383.39,37.03,16.13,0.1856,34.63,0.4719
2006-05-17,15996416.0,256041912.43,5.94,10.58,5.94,286.51,2.0,73428369.02,12374491.0,4587494.0,198068638.69,,268850.0,68375.0,2.27,4.65,14296.0,,0.87,248770.0,31840.0,,268850.0,2.27,68375.0,0.26,,,221.32,,,,33.25,33.25,24841248.0,397614105.88,,439.56,33.49,16.88,0.187,34.95,0.4298
2006-05-24,15451784.0,240012220.76,5.74,9.42,5.74,264.9,2.0,71311296.16,11627361.0,4590961.0,180607542.48,,441773.0,111913.0,1.59,7.57,,,29.42,225174.0,1642099.0,,441773.0,1.59,111913.0,,341283.0,221707.0,199.21,4.65,,,33.67,33.67,22906724.0,355809639.69,,388.83,33.88,16.24,0.1804,33.62,0.4474
2006-05-31,15981305.0,248978708.2,5.93,10.13,5.93,268.75,2.0,65056968.05,12567845.0,4175840.0,195799142.37,,,9438.0,0.0,,,,5.54,28473.0,301361.0,,,0.0,9438.0,,1674180.0,443594.0,210.79,7.59,7.57,,33.87,33.87,24534556.0,382232994.06,441773.0,412.18,33.84,17.67,0.193,36.0,0.4307
2006-06-07,15538288.0,235732898.91,5.77,10.06,5.77,251.71,2.0,54251135.46,12780102.0,3575953.0,193888187.22,,,201293.0,0.72,,164300.0,,1.98,45000.0,45155.0,,,0.72,201293.0,2.69,56119.0,809187.0,206.18,14.9,,,34.84,34.84,23902990.0,362634617.49,,386.91,34.76,12.38,0.1892,37.18,0.4236
2006-06-14,17286322.0,260969302.4,6.42,11.07,6.42,279.81,2.0,55338395.94,14434337.0,3665555.0,217913264.46,,,512147.0,3.39,,,,3.02,210280.0,179384.0,,,3.39,512147.0,,1321472.0,120677.0,232.87,2.09,,,60.83,40.27,9294595.0,140319263.59,,0.0,129.19,15.36,0.172,33.32,0.4823
2006-06-21,19039632.0,306695599.02,7.07,12.19,7.07,325.86,2.0,66238605.82,15417408.0,4112086.0,248347824.26,,442528.0,249842.0,5.1,7.57,662730.0,,4.67,271769.0,392777.0,,442528.0,5.1,249842.0,11.34,683479.0,487969.0,263.73,6.49,,,62.8,42.11,9132616.0,147110676.02,,0.0,135.84,17.18,0.1561,30.61,0.5201
2006-06-28,18955782.0,305169030.36,7.04,11.85,7.04,327.64,2.0,72602021.92,15595951.0,4509724.0,251079129.54,,,595482.0,3.82,,401117.0,,7.14,212323.0,421640.0,,,3.82,595482.0,7.19,447228.0,215802.0,269.15,3.33,7.57,,58.63,42.95,11006749.0,177197591.73,442528.0,0.0,109.1,15.97,0.1525,30.87,0.522
2006-07-03,19214750.0,327345736.12,7.13,12.05,7.13,349.93,2.0,86947276.33,15927560.0,5103687.0,271344610.4,,410735.0,445627.0,12.26,7.48,,,7.27,620718.0,601382.0,,410735.0,12.26,445627.0,,77956.0,26755.0,291.28,0.0,0.02,,60.31,44.62,10481514.0,178564848.15,1328.0,0.0,112.48,16.28,0.1464,29.91,0.5383
2006-07-04,19803744.0,339585035.31,7.35,12.63,7.35,362.6,2.0,89261862.31,16410389.0,5205527.0,281397423.04,,,211888.0,2.07,,,,0.0,101840.0,18425.0,,,2.07,211888.0,,289367.0,,302.03,,,,61.4,45.96,10316195.0,176897128.31,,0.0,113.66,15.86,0.141,29.24,0.5547
2006-07-05,20862828.0,352906062.79,7.74,13.72,7.74,382.39,2.0,88050966.19,17656982.0,5205329.0,298677437.13,,94085.0,110892.0,1.97,1.71,,,1.76,105000.0,96826.0,,94085.0,1.97,110892.0,,1138443.0,105198.0,324.85,1.93,,,65.33,47.05,9372102.0,158534193.78,,0.0,122.18,15.01,0.1304,27.56,0.5559
2006-07-06,24094956.0,413839394.04,8.94,16.2,8.94,440.52,2.0,119951056.44,18754170.0,6983906.0,322109504.93,,,883864.0,34.32,,,,8.13,1812577.0,435684.0,,,34.32,883864.0,,1151784.0,34000.0,342.83,0.66,9.21,,71.84,51.74,7351286.0,126260937.92,502777.0,0.0,129.8,13.67,0.1212,24.86,0.6647
2006-07-07,26069850.0,447758897.2,9.68,17.77,9.68,481.75,2.0,148727073.58,19054674.0,8659331.0,327270767.45,,,304048.0,32.05,,,,0.0,1687285.0,13502.0,,,32.05,304048.0,,9958.0,11860.0,352.03,0.14,,,73.6,52.34,6835810.0,117407455.24,,0.0,135.5,14.18,0.1119,22.87,0.7161
2006-07-10,26430624.0,462784271.0,9.81,17.85,9.81,491.73,2.0,159695622.4,18953478.0,9120567.0,331863958.23,,,16064.0,10.4,,,,1.83,544657.0,125261.0,,,10.4,16064.0,,8000.0,83421.0,352.55,1.29,,,73.13,51.58,6964570.0,121945416.43,,0.0,134.01,13.83,0.1115,22.44,0.7193
2006-07-11,31095400.0,536671293.06,11.54,20.55,11.54,584.75,3.0,206834425.26,20572824.0,11984243.0,355063580.4,,,1622146.0,60.16,,,,6.41,3086944.0,417202.0,,,60.16,1622146.0,,414402.0,223268.0,386.61,4.07,,,70.76,56.43,8502230.0,146738834.94,,0.0,117.94,13.31,0.1009,18.89,0.8529
2006-07-12,35313332.0,613400061.31,13.11,22.9,13.11,660.56,3.0,251645925.56,23537336.0,14487211.0,408848514.93,,119073.0,1833296.0,48.48,2.23,,,0.62,2625873.0,14904.0,,119073.0,48.48,1833296.0,,1027046.0,122905.0,439.25,2.33,,,83.41,67.59,4680936.0,81308850.42,,0.0,141.53,13.33,0.0974,16.62,1.0141
2006-07-13,37598320.0,629018530.58,13.96,24.33,13.96,703.27,3.0,266983420.01,24325970.0,15958398.0,406972596.23,,,812937.0,38.55,,,,2.18,2014136.0,100000.0,,,38.55,812937.0,,194771.0,542950.0,451.55,9.19,2.23,,83.67,68.5,4748794.0,79447151.47,119073.0,0.0,141.13,12.27,0.0953,15.56,1.0587
2006-07-14,40743928.0,675217397.09,15.12,25.79,15.12,743.52,4.0,309056815.96,24786668.0,18649088.0,410770150.82,,,572823.0,46.62,,,,3.62,2690691.0,112125.0,,,46.62,572823.0,,,,447.84,,,,84.72,69.07,4469658.0,74072162.13,,0.0,143.71,14.18,0.1003,17.01,1.1354
2006-07-17,40670656.0,652114998.13,15.1,26.04,15.1,732.95,4.0,296864703.99,24843956.0,18514652.0,398349028.86,,,327626.0,0.0,,,,6.07,96398.0,270338.0,,,0.0,327626.0,,,230836.0,442.27,4.7,,,85.2,69.39,4314324.0,69176051.33,,0.0,145.19,13.88,0.1007,17.22,1.136
2006-07-18,35805644.0,598791147.37,13.29,22.44,13.29,636.17,3.0,228657594.78,24772374.0,13672935.0,414277655.51,,,107481.0,5.45,,,,4.06,326406.0,179272.0,,,5.45,107481.0,,209.0,5168122.0,434.59,93.41,,,83.62,68.19,4854246.0,81179367.47,,0.0,144.75,13.12,0.0966,15.74,0.9857
2006-07-19,38494812.0,660120724.51,14.29,23.66,14.29,692.2,3.0,281994627.47,24484846.0,16444462.0,419873573.64,,165556.0,23383.0,57.94,3.0,,,11.95,3196027.0,728764.0,,165556.0,57.94,23383.0,,252296.0,424500.0,436.77,7.77,,,83.09,67.8,4983604.0,85460354.58,,0.0,140.45,12.35,0.0955,14.65,1.0659
2006-07-20,37216940.0,652616254.67,13.82,22.81,13.82,686.46,3.0,289559497.02,23125530.0,16512795.0,405516863.45,,,18145.0,1.69,,,,18.79,80000.0,1176423.0,,,1.69,18145.0,,,11667.0,424.14,0.0,3.64,,79.46,64.78,5977664.0,104821102.74,201037.0,0.0,133.36,12.78,0.1001,15.16,1.0425
2006-07-21,37094996.0,638918528.96,13.78,22.75,13.77,689.89,3.0,282647546.19,23111670.0,16410245.0,398071863.88,,,37216.0,5.25,,,,0.95,239985.0,89474.0,,,5.25,37216.0,,38399.0,342535.0,427.34,6.03,,,78.92,64.22,6172482.0,106313884.48,,0.0,133.23,13.0,0.1017,15.33,1.0308
2006-07-24,35636840.0,627264075.86,13.23,22.09,13.23,661.01,3.0,270365337.28,23137438.0,15360303.0,407255067.08,,,82273.0,0.31,,,,4.54,17548.0,292536.0,,,0.31,82273.0,,236030.0,1067491.0,426.37,20.61,,,79.08,64.25,6120684.0,107733603.57,,0.0,133.46,12.85,0.1,15.1,0.9896
2006-07-25,33493654.0,603456848.64,12.44,20.84,12.43,632.42,3.0,261937696.68,21896866.0,14538323.0,394516936.0,,,113005.0,9.68,,,,22.57,436726.0,1353577.0,,,9.68,113005.0,,,1258706.0,411.99,23.54,,,75.17,60.92,7234844.0,130350548.22,,0.0,126.25,13.63,0.1003,16.17,0.9318
2006-07-26,32164574.0,580725654.67,11.95,19.62,11.94,614.31,3.0,261066116.43,20237948.0,14459634.0,365392546.51,,280882.0,163565.0,18.35,5.34,,,41.76,884191.0,2318602.0,,280882.0,18.35,163565.0,,215238.0,962880.0,385.95,17.95,,,71.29,55.43,8148518.0,147120041.14,,0.0,122.35,14.18,0.1055,17.08,0.8809
2006-07-27,29773594.0,542055321.04,11.06,17.35,11.05,572.53,3.0,239575843.43,19410400.0,13159236.0,353383961.76,,,149427.0,1.31,,,,19.09,70000.0,1063579.0,,,1.31,149427.0,,252159.0,1370397.0,372.55,25.17,3.14,,69.52,53.33,8511786.0,154964795.07,165556.0,0.0,121.3,15.0,0.11,18.48,0.8181
2006-07-28,27620058.0,505195562.81,10.26,16.17,10.25,534.73,3.0,221594532.57,18319620.0,12115019.0,335082233.95,,,20730.0,0.31,,,,20.48,20000.0,1117022.0,,,0.31,20730.0,,5513.0,1064217.0,354.08,19.27,,,67.93,50.48,8650188.0,158219674.81,,0.0,121.25,15.65,0.1184,19.98,0.761
2006-07-31,27014478.0,493098583.12,10.03,16.02,10.03,525.33,3.0,207504200.95,18385054.0,11368148.0,335584647.53,,,625351.0,,,,,12.85,,702162.0,,,,625351.0,,142245.0,746871.0,356.46,13.62,,,67.67,50.6,8783000.0,160317177.16,,0.0,120.33,15.19,0.1151,20.02,0.7435
2006-08-01,26339604.0,477795358.67,9.78,15.19,9.78,510.27,2.0,199160507.15,17563814.0,10979196.0,318604213.25,,,13934.0,0.0,,,,16.51,6182.0,835174.0,,,0.0,13934.0,,,395134.0,339.13,7.55,,,66.6,48.91,8809912.0,159810111.95,,0.0,119.85,15.48,0.1156,20.27,0.7335
2006-08-02,25190990.0,467188387.6,9.36,14.86,9.35,486.57,2.0,186701598.95,16973952.0,10067027.0,314796411.98,,113159.0,125750.0,,2.23,,,17.11,,881238.0,,113159.0,,125750.0,,52467.0,912169.0,327.91,19.75,,,63.14,46.32,9909422.0,183778679.85,,0.0,111.26,13.88,0.1194,21.03,0.6874
2006-08-03,24488478.0,451384797.06,9.09,14.28,9.09,476.42,2.0,183228605.4,16643915.0,9940498.0,306789592.82,,,107158.0,0.97,,,,10.76,34237.0,580056.0,,,0.97,107158.0,,256020.0,160767.0,323.2,2.19,2.23,,64.31,46.66,9236045.0,170243748.83,113159.0,0.0,114.09,14.12,0.1186,20.06,0.6865
2006-08-04,18749948.0,349327256.72,6.96,11.15,6.96,366.05,2.0,150016780.07,12746893.0,8052068.0,237485307.34,,,23507.0,0.05,,,,74.9,1426.0,3920529.0,,,0.05,23507.0,,,1889855.0,249.29,36.57,,,49.43,35.29,13042357.0,242990049.47,,10.23,96.06,18.23,0.1302,18.69,0.5191
2006-08-07,17956938.0,329974545.68,6.67,10.42,6.67,350.85,2.0,131985680.03,12877872.0,7182550.0,236642236.14,,,235828.0,7.57,,,,2.58,385482.0,129996.0,,,7.57,235828.0,,25147.0,1255000.0,251.89,25.14,,,51.21,35.82,12271508.0,225499763.78,,5.64,97.81,19.93,0.13,20.73,0.4995
2006-08-08,15971120.0,296650478.51,5.93,9.3,5.93,311.36,2.0,110180706.15,12136641.0,5931928.0,225428170.36,,,90045.0,0.43,,,,16.48,19115.0,831276.0,,,0.43,90045.0,,,1269737.0,236.94,24.46,,,49.28,33.66,12491769.0,232024382.21,,8.53,96.52,22.2,0.1375,22.45,0.443
2006-08-09,15375261.0,286744381.64,5.71,8.91,5.71,300.34,2.0,118605981.46,10461145.0,6359664.0,195097472.12,,,325240.0,18.38,,,,39.0,934736.0,2000736.0,,,18.38,325240.0,,,507000.0,204.62,9.8,,,42.87,28.27,13940665.0,259989561.48,,35.15,85.34,21.33,0.1519,26.37,0.4156
2006-08-10,14404907.0,260486102.42,5.35,8.36,5.35,281.86,2.0,105488022.76,10008157.0,5833498.0,180979010.09,,,26633.0,,,,,7.41,,384704.0,,,,26633.0,,,526166.0,195.8,10.13,1.85,,50.07,29.15,9981189.0,180491343.69,94917.0,0.0,110.6,21.16,0.1543,27.7,0.4196
2006-08-11,14117263.0,256617671.46,5.24,7.85,5.24,273.48,2.0,100266365.53,9845030.0,5515936.0,178958816.17,,,107081.0,0.14,,,,10.15,4973.0,482807.0,,,0.14,107081.0,,212600.0,322535.0,191.21,6.76,,,28.77,28.77,24372010.0,443024151.01,,476.44,28.64,21.57,0.1576,27.99,0.4126
2006-08-14,14529467.0,268912552.34,5.4,8.18,5.39,280.9,2.0,103095452.63,10207126.0,5570294.0,188914314.93,,,10573.0,0.15,,43500.0,,9.6,10858.0,498478.0,,,0.15,10573.0,0.87,850000.0,,197.6,,,,29.39,29.39,24522134.0,453857642.72,,478.3,29.23,20.99,0.1419,23.34,0.4184
2006-08-15,14604624.0,273061763.81,5.42,8.17,5.42,284.5,2.0,100451884.87,10620664.0,5372638.0,198573906.78,,,837378.0,5.38,,,,10.7,278824.0,567962.0,,,5.38,837378.0,,144122.0,476480.0,207.9,9.05,,,30.31,30.31,24421080.0,456599442.69,,481.56,30.15,13.67,0.1232,23.91,0.4168
2006-08-16,11733492.0,221596347.47,4.36,6.39,4.36,230.69,1.0,81113194.8,8760013.0,4294931.0,165439826.83,,,68789.0,0.29,,,,39.14,1140.0,2005648.0,,,0.29,68789.0,,76208.0,1078847.0,173.23,20.48,,,24.99,24.99,26292940.0,496563126.16,,523.37,24.87,16.52,0.1303,24.84,0.3347
2006-08-17,11668035.0,221021220.28,4.33,6.26,4.33,231.63,1.0,80436764.57,8782149.0,4246375.0,166355456.48,,,102290.0,0.69,,,,1.53,20761.0,80155.0,,,0.69,102290.0,,,69317.0,175.56,1.2,,,25.28,25.28,25951404.0,491583285.45,,519.12,25.27,16.73,0.1299,24.34,0.3359
2006-08-18,11017629.0,209221126.08,4.09,5.72,4.09,219.13,1.0,87648715.48,7762464.0,4615600.0,147406620.72,,,34892.0,8.78,,,,21.1,428995.0,1054576.0,,,8.78,34892.0,,,59771.0,155.54,1.21,,,22.24,22.24,27141648.0,515410907.21,,544.0,22.23,17.89,0.1183,18.18,0.3157
2006-08-21,10994246.0,208258002.91,4.08,5.72,4.08,218.59,1.0,82995909.09,8051261.0,4381476.0,152510643.91,,,288797.0,1.37,,,,,68000.0,,,,1.37,288797.0,,,302124.0,161.23,6.1,,,22.27,22.27,28101308.0,532307743.81,,562.94,22.26,17.5,0.1138,18.03,0.3041
2006-08-22,11386843.0,215694753.66,4.23,5.98,4.23,227.05,1.0,92249013.9,7884170.0,4869961.0,149345530.27,,,3275.0,11.66,,,,3.34,580662.0,170366.0,,,11.66,3275.0,,,92177.0,158.32,1.68,,,21.7,21.7,28456550.0,539036899.18,,570.45,21.72,17.18,0.1252,22.58,0.3133
2006-08-23,12043064.0,229489847.16,4.47,6.37,4.47,240.47,1.0,99312666.12,8067990.0,5211685.0,153741754.75,,21733.0,52928.0,13.15,0.43,,,0.55,641723.0,29140.0,,21733.0,13.15,52928.0,,138298.0,300000.0,162.14,6.13,,,21.54,21.54,29385542.0,559964104.0,,584.98,21.7,16.16,0.119,22.39,0.3215
2006-08-24,12030921.0,228690419.12,4.47,6.38,4.47,240.33,1.0,98749403.31,8073655.0,5194998.0,153468512.16,,,6486.0,0.5,,,,0.01,24157.0,821.0,,,0.5,6486.0,,,40844.0,162.38,0.79,,,21.69,21.69,29150708.0,554112825.64,,579.44,21.89,16.14,0.1198,22.4,0.3232
2006-08-25,12072002.0,230611256.45,4.48,6.44,4.48,241.38,1.0,100068591.81,8056233.0,5238375.0,153898087.03,,,30.0,5.2,,,,0.83,258377.0,42754.0,,,5.2,30.0,,25302.0,215000.0,162.15,4.24,,,21.62,21.62,29205712.0,557916237.91,,582.04,21.79,16.78,0.1178,20.3,0.324
