,ALWEC FP Equity_DX_SI_QTY,ALWEC FP Equity_DX_SHORT_INTEREST_VALUE,ALWEC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALWEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALWEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALWEC FP Equity_DX_SI_MV,ALWEC FP Equity_DX_DSS,ALWEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALWEC FP Equity_DX_SUPPLY_SI_QTY,ALWEC FP Equity_DX_BROKER_SI_QTY,ALWEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALWEC FP Equity_DX_BROKER_SI_QTY_ADD,ALWEC FP Equity_DX_SUPPLY_SI_MV_DEC,ALWEC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALWEC FP Equity_DX_BROKER_SI_MV_ADD,ALWEC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALWEC FP Equity_DX_BROKER_SI_QTY_DEC,ALWEC FP Equity_DX_SUPPLY_SI_MV,ALWEC FP Equity_DX_BROKER_SI_MV_DEC,ALWEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALWEC FP Equity_DX_UTILIZATION_QUANTITY,ALWEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALWEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALWEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALWEC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALWEC FP Equity_DX_BROKER_SI_CON_RATIO,ALWEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALWEC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALWEC FP Equity_PX_LAST
2005-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44
2005-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2005-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2005-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2005-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
2005-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2005-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
2005-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
2005-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14
2005-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2005-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2005-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2005-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2005-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2005-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2005-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2005-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05
2005-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2005-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
2005-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2005-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2005-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2005-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2005-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2005-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2005-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84
2005-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2005-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2005-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2005-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2005-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2005-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2005-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2005-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2005-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2005-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2005-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2006-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2006-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2006-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2006-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2006-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2006-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88
2006-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86
2006-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
2006-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2006-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49
2006-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
2006-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2006-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2006-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2006-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2006-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2006-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2006-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2006-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2006-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
2006-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
2006-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2006-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23
2006-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23
2006-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15
2006-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07
2006-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05
2006-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05
2006-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97
2006-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27
2006-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31
2006-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
2006-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
2006-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2006-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23
2006-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28
2006-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
2006-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
2006-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13
2006-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11
2006-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09
2006-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2006-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06
2006-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15
2006-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21
2006-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
2006-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09
2006-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2006-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07
2006-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03
2006-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07
2006-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11
2006-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2006-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05
2006-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03
2006-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01
2006-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
2006-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01
2006-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05
2006-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04
2006-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12
2006-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12
2006-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2006-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09
2006-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05
2006-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05
2006-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
2006-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23
2006-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
2006-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22
2006-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
2006-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
2006-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11
2006-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12
2006-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14
2006-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11
2006-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11
2006-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13
2006-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15
2006-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14
2006-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11
2006-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97
2006-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2006-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2006-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2006-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97
2006-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76
2006-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2006-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96
2006-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88
2006-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88
2006-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04
2006-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2006-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81
2006-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81
2006-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78
2006-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79
2006-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79
2006-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69
2006-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2006-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2006-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2006-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2006-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77
2006-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79
2006-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2006-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96
2006-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2006-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81
2006-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2006-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2006-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72
2006-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69
2006-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2006-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2006-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2006-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2006-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2006-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2006-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73
2006-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2006-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2006-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2006-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2006-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2006-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2006-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69
2006-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2006-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2006-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2006-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92
2006-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2006-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78
2006-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74
2006-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74
2006-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2006-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2006-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74
2006-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72
2006-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2006-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72
2006-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2006-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68
2006-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2006-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68
2006-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2006-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2006-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2006-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2006-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2006-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81
2006-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2006-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2006-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2006-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2006-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2006-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2006-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2006-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81
2006-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2006-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14
2006-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
2006-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22
2006-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17
2006-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14
2006-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04
2006-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2006-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2006-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05
2006-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07
2006-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01
2006-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2006-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97
2006-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98
2006-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97
2006-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92
2006-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92
2006-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91
2006-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93
2006-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95
2006-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96
2006-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99
2006-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96
2006-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95
2006-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12
2006-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
2006-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23
2006-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22
2006-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
2006-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15
2006-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19
2006-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18
2006-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11
2006-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03
2006-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09
2006-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11
2006-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16
2006-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08
2006-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06
2006-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04
2006-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
2006-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
2006-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
2006-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
2006-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97
2006-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96
2006-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97
2006-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2006-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01
