,CRLA FP Equity_DX_SI_QTY,CRLA FP Equity_DX_SHORT_INTEREST_VALUE,CRLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CRLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CRLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CRLA FP Equity_DX_SI_MV,CRLA FP Equity_DX_DSS,CRLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CRLA FP Equity_DX_SUPPLY_SI_QTY,CRLA FP Equity_DX_BROKER_SI_QTY,CRLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CRLA FP Equity_DX_SUPPLY_SI_QTY_INC_x,CRLA FP Equity_DX_BROKER_SI_MV_INC_x,CRLA FP Equity_DX_BROKER_SI_QTY_ADD,CRLA FP Equity_DX_SUPPLY_SI_MV_DEC,CRLA FP Equity_DX_BROKER_SI_QTY_INC,CRLA FP Equity_DX_SUPPLY_SI_QTY_DEC,CRLA FP Equity_DX_BROKER_SI_MV_INC_y,CRLA FP Equity_DX_SUPPLY_SI_QTY_INC_y,CRLA FP Equity_DX_BROKER_SI_MV_ADD,CRLA FP Equity_DX_SUPPLY_SI_QTY_ADD,CRLA FP Equity_DX_BROKER_SI_QTY_DEC,CRLA FP Equity_DX_SUPPLY_SI_MV,CRLA FP Equity_DX_BROKER_SI_MV_DEC,CRLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CRLA FP Equity_DX_UTILIZATION_QUANTITY,CRLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CRLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CRLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CRLA FP Equity_DX_ACTIVE_UTILIZATION_MV,CRLA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CRLA FP Equity_DX_BROKER_SI_CON_RATIO,CRLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CRLA FP Equity_DX_DEMAND_SUPPLY_RATIO,CRLA FP Equity_PX_LAST
2007-05-30,6000.0,232950.13,0.24,15.78,0.47,0.46,0.0,232950.13,1240.0,6000.0,48143.03,,,,0.35,,4760.0,,,,,,0.09,,100.0,2.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.1327,72.5
2007-05-31,6000.0,232950.13,0.24,15.31,0.47,0.46,0.0,232950.13,6000.0,6000.0,232950.13,,,,,,,,,,4760.0,,0.44,,100.0,13.28,0.0,0.0,0.0,100.0,,1.0,100.0,0.1328,72.5
2007-06-01,6000.0,232950.13,0.24,14.96,0.47,0.46,0.0,232950.13,6000.0,6000.0,232950.13,,,,,,,,,,,,0.43,,100.0,13.26,0.0,0.0,0.0,100.0,,1.0,100.0,0.1326,72.5
2007-06-04,6000.0,232950.13,0.24,11.97,0.47,0.45,0.0,232950.13,6000.0,6000.0,232950.13,,,,,,,,,,,,0.43,,100.0,14.58,0.0,0.0,0.0,100.0,,1.0,100.0,0.1458,72.5
2007-06-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.43,,6000.0,,,,,6000.0,0.0,0.45,0.0,0.0,37065.0,1439049.42,2.68,0.0,,0.0,,0.0,72.5
2007-06-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,38843.0,1508080.31,2.81,0.0,,0.0,,0.0,72.5
2007-06-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,24587.0,941424.03,1.77,0.0,,0.0,,0.0,71.5
2007-06-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,24587.0,915090.49,1.72,0.0,,0.0,,0.0,69.5
2007-06-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,24587.0,857946.71,1.62,0.0,,0.0,,0.0,65.16
2007-06-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,24587.0,869006.8,1.62,0.0,,0.0,,0.0,66.0
2007-06-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,27029.0,948079.98,1.77,0.0,,0.0,,0.0,65.5
2007-06-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,27029.0,949527.43,1.77,0.0,,0.0,,0.0,65.6
2007-06-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,27029.0,962554.48,1.79,0.0,,0.0,,0.0,66.5
2007-06-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,27029.0,969791.74,1.8,0.0,,0.0,,0.0,67.0
2007-06-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,27029.0,968344.29,1.81,0.0,,0.0,,0.0,66.9
2007-06-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1092029.29,2.04,0.0,,0.0,,0.0,66.8
2007-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1092029.29,2.04,0.0,,0.0,,0.0,66.8
2007-06-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1096933.61,2.04,0.0,,0.0,,0.0,67.1
2007-06-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1103472.71,2.05,0.0,,0.0,,0.0,67.5
2007-06-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1088269.31,2.04,0.0,,0.0,,0.0,66.57
2007-06-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1096933.61,2.04,0.0,,0.0,,0.0,67.1
2007-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1095298.84,2.05,0.0,,0.0,,0.0,67.0
2007-06-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1111646.58,2.06,0.0,,0.0,,0.0,68.0
2007-07-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1113444.84,2.07,0.0,,0.0,,0.0,68.11
2007-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1127830.85,2.1,0.0,,0.0,,0.0,68.99
2007-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1118185.68,2.09,0.0,,0.0,,0.0,68.4
2007-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1114916.13,2.08,0.0,,0.0,,0.0,68.2
2007-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1127830.85,2.1,0.0,,0.0,,0.0,68.99
2007-07-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1127994.33,2.11,0.0,,0.0,,0.0,69.0
2007-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1128157.8,2.1,0.0,,0.0,,0.0,69.01
2007-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1128157.8,2.11,0.0,,0.0,,0.0,69.01
2007-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1127994.33,2.1,0.0,,0.0,,0.0,69.0
2007-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1110175.29,2.08,0.0,,0.0,,0.0,67.91
2007-07-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1126359.55,2.1,0.0,,0.0,,0.0,68.9
2007-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1126523.03,2.1,0.0,,0.0,,0.0,68.91
2007-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1126523.03,2.1,0.0,,0.0,,0.0,68.91
2007-07-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1111646.58,2.09,0.0,,0.0,,0.0,68.0
2007-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1118185.68,2.09,0.0,,0.0,,0.0,68.4
2007-07-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1119820.46,2.09,0.0,,0.0,,0.0,68.5
2007-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,30527.0,1127994.33,2.1,0.0,,0.0,,0.0,69.0
2007-07-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32979.0,1192106.22,2.24,0.0,,0.0,,0.0,67.5
2007-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32979.0,1192282.83,2.22,0.0,,0.0,,0.0,67.51
2007-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32979.0,1216654.78,2.27,0.0,,0.0,,0.0,68.89
2007-07-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32979.0,1194048.91,2.24,0.0,,0.0,,0.0,67.61
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32979.0,1218420.86,2.26,0.0,,0.0,,0.0,68.99
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32979.0,1215065.3,2.28,0.0,,0.0,,0.0,68.8
2007-08-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32979.0,1201113.24,2.25,0.0,,0.0,,0.0,68.01
2007-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32979.0,1192106.22,2.23,0.0,,0.0,,0.0,67.5
2007-08-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32979.0,1192106.22,2.23,0.0,,0.0,,0.0,67.5
2007-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32979.0,1192106.22,2.23,0.0,,0.0,,0.0,67.5
2007-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1194679.43,2.23,0.0,,0.0,,0.0,67.05
2007-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1193788.55,2.24,0.0,,0.0,,0.0,67.0
2007-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1202697.42,2.24,0.0,,0.0,,0.0,67.5
2007-08-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1202697.42,2.25,0.0,,0.0,,0.0,67.5
2007-08-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1211606.29,2.27,0.0,,0.0,,0.0,68.0
2007-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1202697.42,2.26,0.0,,0.0,,0.0,67.5
2007-08-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1188443.23,2.23,0.0,,0.0,,0.0,66.7
2007-08-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1188443.23,2.22,0.0,,0.0,,0.0,66.7
2007-08-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1188443.23,2.23,0.0,,0.0,,0.0,66.7
2007-08-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1184879.68,2.22,0.0,,0.0,,0.0,66.5
2007-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1184879.68,2.22,0.0,,0.0,,0.0,66.5
2007-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1183097.9,2.22,0.0,,0.0,,0.0,66.4
2007-08-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1188443.23,2.21,0.0,,0.0,,0.0,66.7
2007-08-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1168843.71,2.22,0.0,,0.0,,0.0,65.6
2007-08-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1166171.05,2.2,0.0,,0.0,,0.0,65.45
2007-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1164567.45,2.19,0.0,,0.0,,0.0,65.36
2007-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1172407.26,2.19,0.0,,0.0,,0.0,65.8
2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1172407.26,2.19,0.0,,0.0,,0.0,65.8
2007-09-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1167061.94,2.18,0.0,,0.0,,0.0,65.5
2007-09-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1175970.81,2.19,0.0,,0.0,,0.0,66.0
2007-09-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1168843.71,2.18,0.0,,0.0,,0.0,65.6
2007-09-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1143898.88,2.15,0.0,,0.0,,0.0,64.2
2007-09-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1140335.33,2.13,0.0,,0.0,,0.0,64.0
2007-09-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1117172.27,2.09,0.0,,0.0,,0.0,62.7
2007-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1110223.35,2.07,0.0,,0.0,,0.0,62.31
2007-09-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1117172.27,2.08,0.0,,0.0,,0.0,62.7
2007-09-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1104699.85,2.07,0.0,,0.0,,0.0,62.0
2007-09-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1104699.85,2.06,0.0,,0.0,,0.0,62.0
2007-09-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1095790.98,2.05,0.0,,0.0,,0.0,61.5
2007-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1099532.71,2.05,0.0,,0.0,,0.0,61.71
2007-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1104699.85,2.06,0.0,,0.0,,0.0,62.0
2007-09-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1113608.72,2.07,0.0,,0.0,,0.0,62.5
2007-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1104699.85,2.07,0.0,,0.0,,0.0,62.0
2007-09-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1096681.87,2.05,0.0,,0.0,,0.0,61.55
2007-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1096681.87,2.04,0.0,,0.0,,0.0,61.55
2007-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1091158.37,2.04,0.0,,0.0,,0.0,61.24
2007-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1090623.84,2.03,0.0,,0.0,,0.0,61.21
2007-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1095790.98,2.04,0.0,,0.0,,0.0,61.5
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1104699.85,2.04,0.0,,0.0,,0.0,62.0
2007-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1113608.72,2.06,0.0,,0.0,,0.0,62.5
2007-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1113608.72,2.08,0.0,,0.0,,0.0,62.5
2007-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1117172.27,2.08,0.0,,0.0,,0.0,62.7
2007-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1122517.59,2.08,0.0,,0.0,,0.0,63.0
2007-10-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1122517.59,2.1,0.0,,0.0,,0.0,63.0
2007-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1122517.59,2.09,0.0,,0.0,,0.0,63.0
2007-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1118954.04,2.09,0.0,,0.0,,0.0,62.8
2007-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1119310.4,2.09,0.0,,0.0,,0.0,62.82
2007-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1122517.59,2.1,0.0,,0.0,,0.0,63.0
2007-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1118954.04,2.09,0.0,,0.0,,0.0,62.8
2007-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1122517.59,2.1,0.0,,0.0,,0.0,63.0
2007-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1122517.59,2.09,0.0,,0.0,,0.0,63.0
2007-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,33272.0,1122517.59,2.09,0.0,,0.0,,0.0,63.0
