,ACE29 FP Equity_PX_LAST
2025-02-21,10.4315
2025-02-24,10.4432
2025-02-25,10.4421
2025-02-26,10.4578
2025-02-27,10.4657
2025-02-28,10.4747
2025-03-03,10.4516
2025-03-04,10.4579
2025-03-05,10.3694
2025-03-06,10.3349
2025-03-07,10.3682
2025-03-10,10.3774
2025-03-11,10.3528
2025-03-12,10.3512
2025-03-13,10.3388
2025-03-14,10.3509
2025-03-17,10.3737
2025-03-18,10.3648
2025-03-19,10.3704
2025-03-20,10.3853
2025-03-21,10.3901
2025-03-24,10.3936
2025-03-25,10.3978
2025-03-26,10.3992
2025-03-27,10.4028
2025-03-28,10.4172
2025-03-31,10.415
2025-04-01,10.4312
2025-04-02,10.417
2025-04-03,10.4313
2025-04-04,10.4302
2025-04-07,10.4048
2025-04-08,10.3975
2025-04-09,10.3862
2025-04-10,10.4059
2025-04-11,10.4139
2025-04-14,10.4323
2025-04-15,10.4492
2025-04-16,10.4647
2025-04-17,10.4937
2025-04-22,10.5051
2025-04-23,10.5016
2025-04-24,10.5304
2025-04-25,10.5061
2025-04-28,10.497
2025-04-29,10.4983
2025-04-30,10.5095
2025-05-02,10.4891
2025-05-05,10.4999
2025-05-06,10.5019
2025-05-07,10.5176
2025-05-08,10.5147
2025-05-09,10.5118
2025-05-12,10.4772
2025-05-13,10.4867
2025-05-14,10.4825
2025-05-15,10.4994
2025-05-16,10.5121
2025-05-19,10.5173
2025-05-20,10.523
2025-05-21,10.5157
2025-05-22,10.5112
2025-05-23,10.5337
2025-05-26,10.5368
2025-05-27,10.5506
2025-05-28,10.5401
2025-05-29,10.5595
2025-05-30,10.5602
2025-06-02,10.5629
2025-06-03,10.5805
2025-06-04,10.5653
2025-06-05,10.5326
2025-06-06,10.5489
2025-06-09,10.5554
2025-06-10,10.5656
2025-06-11,10.5673
2025-06-12,10.5809
2025-06-13,10.5606
2025-06-16,10.5701
2025-06-17,10.57
2025-06-18,10.568
2025-06-19,10.5598
2025-06-20,10.5684
2025-06-23,10.5725
2025-06-24,10.5824
2025-06-25,10.5736
2025-06-26,10.5839
2025-06-27,10.5741
2025-06-30,10.5804
2025-07-01,10.5973
2025-07-02,10.5962
2025-07-03,10.6149
2025-07-04,10.6254
2025-07-07,10.6108
2025-07-08,10.6012
2025-07-09,10.612
2025-07-10,10.5916
2025-07-11,10.5889
2025-07-14,10.5959
2025-07-15,10.602
2025-07-16,10.6065
2025-07-17,10.6189
2025-07-18,10.6101
2025-07-21,10.6375
2025-07-22,10.6457
2025-07-23,10.6535
2025-07-24,10.6217
2025-07-25,10.6146
2025-07-28,10.6255
2025-07-29,10.6281
2025-07-30,10.6205
2025-07-31,10.6156
2025-08-01,10.6186
2025-08-04,10.6352
2025-08-05,10.6374
2025-08-06,10.6362
2025-08-07,10.6384
2025-08-08,10.6241
2025-08-11,10.6161
2025-08-12,10.6143
2025-08-13,10.6426
2025-08-14,10.6384
2025-08-15,10.6219
2025-08-18,10.6254
2025-08-19,10.6233
2025-08-20,10.6359
2025-08-21,10.6123
2025-08-22,10.6279
2025-08-25,10.6144
2025-08-26,10.6236
2025-08-27,10.6352
2025-08-28,10.6308
2025-08-29,10.6235
