,CSH FP Equity_DX_SI_QTY,CSH FP Equity_DX_SHORT_INTEREST_VALUE,CSH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CSH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CSH FP Equity_DX_SI_MV,CSH FP Equity_DX_DSS,CSH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CSH FP Equity_DX_SUPPLY_SI_QTY,CSH FP Equity_DX_BROKER_SI_QTY,CSH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CSH FP Equity_DX_BROKER_SI_MV_NEW_x,CSH FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CSH FP Equity_DX_SUPPLY_SI_QTY_INC_x,CSH FP Equity_DX_BROKER_SI_MV_INC_x,CSH FP Equity_DX_SUPPLY_SI_MV_NEW,CSH FP Equity_DX_BROKER_SI_QTY_ADD,CSH FP Equity_DX_BROKER_SI_QTY_NEW,CSH FP Equity_DX_SUPPLY_SI_MV_DEC,CSH FP Equity_DX_BROKER_SI_QTY_INC,CSH FP Equity_DX_SUPPLY_SI_QTY_DEC,CSH FP Equity_DX_BROKER_SI_MV_NEW_y,CSH FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CSH FP Equity_DX_BROKER_SI_MV_INC_y,CSH FP Equity_DX_SUPPLY_SI_QTY_INC_y,CSH FP Equity_DX_BROKER_SI_MV_ADD,CSH FP Equity_DX_SUPPLY_SI_QTY_ADD,CSH FP Equity_DX_BROKER_SI_QTY_DEC,CSH FP Equity_DX_SUPPLY_SI_MV,CSH FP Equity_DX_BROKER_SI_MV_DEC,CSH FP Equity_DX_SUPPLY_SI_MV_RMV,CSH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CSH FP Equity_DX_UTILIZATION_QUANTITY,CSH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CSH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CSH FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CSH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CSH FP Equity_DX_ACTIVE_UTILIZATION_MV,CSH FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CSH FP Equity_DX_BROKER_SI_CON_RATIO,CSH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CSH FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-12-26,1000.0,101120.0,0.05,0.01,0.1,,101120.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-12-27,1000.0,101140.0,0.05,0.01,0.1,,101140.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-12-28,1000.0,101150.0,0.05,0.01,0.1,,101150.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-12-31,1000.0,101150.0,0.05,0.01,0.1,,101150.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-01,1000.0,101150.0,0.06,0.01,0.1,,101150.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-02,1000.0,101180.0,0.06,0.01,0.1,,101180.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-03,1000.0,101200.0,0.07,0.01,0.1,,101200.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-04,1000.0,101210.0,0.07,0.01,0.1,,101210.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-07,1000.0,101220.0,0.07,0.01,0.1,,101220.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-08,1000.0,101230.0,0.07,0.01,0.1,,101230.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-09,1000.0,101270.0,0.07,0.01,0.1,,101270.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-10,1000.0,101280.0,0.06,0.01,0.1,,101280.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-11,1000.0,101290.0,0.08,0.01,0.1,,101290.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-14,1000.0,101290.0,0.08,0.01,0.1,,101290.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-15,1000.0,101310.0,0.08,0.01,0.1,,101310.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-16,1000.0,101340.0,0.1,0.01,0.1,,101340.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-17,1000.0,101350.0,0.09,0.01,0.1,,101350.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-18,1000.0,101360.0,0.08,0.01,0.1,,101360.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-21,1000.0,101380.0,0.07,0.01,0.1,,101380.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-22,1000.0,101390.0,0.07,0.01,0.1,,101390.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-23,1000.0,101420.0,0.07,0.01,0.1,,101420.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-24,1000.0,101430.0,0.07,0.01,0.1,,101430.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-25,1000.0,101440.0,0.06,0.01,0.1,,101440.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-28,1000.0,101450.0,0.06,0.01,0.1,,101450.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-01-29,1000.0,101460.0,0.07,0.01,0.1,,101460.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-02-01,1000.0,101520.0,0.06,0.01,0.1,,101520.0,0.0,1000.0,0.0,,,,,,1000.0,,,,,,,,,0.1,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-02-04,1000.0,101530.0,0.05,0.01,0.1,,101530.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-02-05,1000.0,101530.0,0.05,0.01,0.1,,101530.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-02-06,1000.0,101560.0,0.05,0.01,0.1,,101560.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-02-07,1000.0,101570.0,0.05,0.01,0.1,,101570.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-02-08,1000.0,101600.0,0.05,0.01,0.1,,101600.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-02-11,1000.0,101610.0,0.04,0.01,0.1,,101610.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-02-12,1000.0,101620.0,0.04,0.01,0.1,,101620.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-02-13,1000.0,101640.0,0.03,0.01,0.1,,101640.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-02-14,1000.0,101660.0,0.03,0.01,0.1,,101660.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2008-02-15,1000.0,101660.0,0.02,0.01,0.1,0.0,101660.0,1000.0,1000.0,101660.0,,,,,,,,,,,,,,,,1000.0,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-02-18,1000.0,101680.0,0.02,0.01,0.1,0.0,101680.0,1000.0,1000.0,101680.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-02-19,1000.0,101690.0,0.02,0.01,0.1,0.0,101690.0,1000.0,1000.0,101690.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-02-20,1000.0,101730.0,0.02,0.01,0.1,0.0,101730.0,1000.0,1000.0,101730.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-02-21,1000.0,101730.0,0.02,0.01,0.1,0.0,101730.0,1000.0,1000.0,101730.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-02-22,1000.0,101740.0,0.02,0.01,0.1,0.0,101740.0,1000.0,1000.0,101740.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-02-25,1000.0,101760.0,0.02,0.01,0.1,0.0,101760.0,1000.0,1000.0,101760.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-02-26,1000.0,101760.0,0.02,0.01,0.1,0.0,101760.0,1000.0,1000.0,101760.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-02-27,1000.0,101790.0,0.02,0.01,0.1,0.0,101790.0,1000.0,1000.0,101790.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-02-28,1000.0,101810.0,0.02,0.01,0.1,0.0,101810.0,1000.0,1000.0,101810.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-02-29,1000.0,101830.0,0.02,0.01,0.1,0.0,101830.0,1000.0,1000.0,101830.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-03-03,1000.0,101830.0,0.02,0.01,0.1,0.0,101830.0,1000.0,1000.0,101830.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-03-04,1000.0,101840.0,0.02,0.01,0.1,0.0,101840.0,1000.0,1000.0,101840.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-03-05,1000.0,101880.0,0.02,0.01,0.1,0.0,101880.0,1000.0,1000.0,101880.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-03-06,1000.0,101890.0,0.02,0.01,0.1,0.0,101890.0,1000.0,1000.0,101890.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-03-07,1000.0,101900.0,0.02,0.01,0.1,0.0,101900.0,1000.0,1000.0,101900.0,,,,,,,,,,,,,,,,,,0.1,,,100.0,14.43,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-03-10,1000.0,101910.0,0.02,0.01,0.1,0.0,101910.0,3000.0,1000.0,305730.0,,,2000.0,,,,,,,,,,,2000.0,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1443
2008-03-11,3000.0,305730.0,0.07,0.02,0.31,0.0,305730.0,3000.0,3000.0,305730.0,,,,0.2,,,,,2000.0,,,,0.2,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-12,3000.0,305850.0,0.07,0.02,0.31,0.0,305850.0,3000.0,3000.0,305850.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-13,3000.0,305910.0,0.07,0.02,0.31,0.0,305910.0,3000.0,3000.0,305910.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-14,3000.0,305940.0,0.06,0.02,0.31,0.0,305940.0,3000.0,3000.0,305940.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-17,3000.0,305970.0,0.07,0.02,0.31,0.0,305970.0,3000.0,3000.0,305970.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-18,3000.0,306120.0,0.07,0.02,0.31,0.0,306120.0,3000.0,3000.0,306120.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-19,3000.0,306150.0,0.07,0.02,0.31,0.0,306150.0,3000.0,3000.0,306150.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-20,3000.0,306210.0,0.07,0.02,0.31,0.0,306210.0,3000.0,3000.0,306210.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-21,3000.0,306210.0,0.06,0.02,0.31,0.0,306210.0,3000.0,3000.0,306210.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-24,3000.0,306210.0,0.06,0.02,0.31,0.0,306210.0,3000.0,3000.0,306210.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-25,3000.0,306210.0,0.06,0.02,0.31,0.0,306210.0,3000.0,3000.0,306210.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-26,3000.0,306330.0,0.07,0.02,0.31,0.0,306330.0,3000.0,3000.0,306330.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-27,3000.0,306360.0,0.07,0.02,0.31,0.0,306360.0,3000.0,3000.0,306360.0,,,,,,,,,,,,,,,,,,0.31,,,100.0,43.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.4329
2008-03-28,3000.0,306420.0,0.07,0.02,0.31,0.0,306420.0,0.0,3000.0,0.0,,,,,,,,0.31,,3000.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.4329
2008-03-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3000.0,0.0,0.31,,0.0,0.0,6930.0,707830.2,,0.71,0.0,,0.0,,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6930.0,707968.8,,0.71,0.0,,0.0,,0.0
2008-04-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6930.0,708107.4,,0.71,0.0,,0.0,,0.0
2008-04-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6930.0,708315.3,,0.71,0.0,,0.0,,0.0
2008-04-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6930.0,708315.3,,0.71,0.0,,0.0,,0.0
2008-04-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6930.0,708384.6,,0.71,0.0,,0.0,,0.0
2008-04-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6930.0,708523.2,,0.71,0.0,,0.0,,0.0
2008-04-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6930.0,708731.1,,0.71,0.0,,0.0,,0.0
2008-04-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6930.0,708800.4,,0.71,0.0,,0.0,,0.0
2008-04-11,200.0,20458.0,0.0,0.0,0.02,0.0,20458.0,0.0,200.0,0.0,,,,,,200.0,,,,,,,,,0.02,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
2008-04-14,200.0,20460.0,0.0,0.0,0.02,0.0,20460.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
2008-04-15,200.0,20462.0,0.0,0.0,0.02,0.0,20462.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
2008-04-16,200.0,20468.0,0.0,0.0,0.02,0.0,20468.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
2008-04-17,200.0,20470.0,0.0,0.0,0.02,0.0,20470.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
2008-04-18,200.0,20472.0,0.0,0.0,0.02,0.0,20472.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
2008-04-21,200.0,20474.0,0.0,0.0,0.02,0.0,20474.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
2008-04-22,200.0,20478.0,0.0,0.0,0.02,0.0,20478.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
2008-04-23,200.0,20482.0,0.0,0.0,0.02,0.0,20482.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
2008-04-24,200.0,20486.0,0.0,0.0,0.02,0.0,20486.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
2008-04-25,200.0,20488.0,0.0,0.0,0.02,0.0,20488.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
2008-04-28,200.0,20490.0,0.0,0.0,0.02,0.0,20490.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0289
