,AFLT FP Equity_DX_SI_QTY,AFLT FP Equity_DX_SHORT_INTEREST_VALUE,AFLT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AFLT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AFLT FP Equity_DX_SI_MV,AFLT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AFLT FP Equity_DX_SUPPLY_SI_QTY,AFLT FP Equity_DX_BROKER_SI_QTY,AFLT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AFLT FP Equity_DX_BROKER_SI_MV_NEW_x,AFLT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AFLT FP Equity_DX_SUPPLY_SI_QTY_INC_x,AFLT FP Equity_DX_BROKER_SI_MV_INC_x,AFLT FP Equity_DX_SUPPLY_SI_MV_NEW,AFLT FP Equity_DX_BROKER_SI_QTY_ADD,AFLT FP Equity_DX_BROKER_SI_QTY_NEW,AFLT FP Equity_DX_SUPPLY_SI_MV_DEC,AFLT FP Equity_DX_BROKER_SI_QTY_INC,AFLT FP Equity_DX_SUPPLY_SI_QTY_DEC,AFLT FP Equity_DX_BROKER_SI_MV_NEW_y,AFLT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AFLT FP Equity_DX_BROKER_SI_MV_INC_y,AFLT FP Equity_DX_SUPPLY_SI_QTY_INC_y,AFLT FP Equity_DX_BROKER_SI_MV_ADD,AFLT FP Equity_DX_SUPPLY_SI_QTY_ADD,AFLT FP Equity_DX_BROKER_SI_QTY_DEC,AFLT FP Equity_DX_SUPPLY_SI_MV,AFLT FP Equity_DX_BROKER_SI_MV_DEC,AFLT FP Equity_DX_SUPPLY_SI_MV_RMV,AFLT FP Equity_DX_BROKER_SI_MV_RMV,AFLT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AFLT FP Equity_DX_UTILIZATION_QUANTITY,AFLT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AFLT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AFLT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AFLT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AFLT FP Equity_DX_ACTIVE_UTILIZATION_MV,AFLT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AFLT FP Equity_DX_BROKER_SI_CON_RATIO,AFLT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AFLT FP Equity_DX_DEMAND_SUPPLY_RATIO
2015-12-28,2200.0,219890.0,0.04,0.66,0.22,109945.0,1100.0,1100.0,109945.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518440.15,,2.52,4.18,,1.0,100.0,0.0837
2015-12-29,2200.0,219890.0,0.03,0.66,0.22,109945.0,1100.0,1100.0,109945.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518440.15,,2.52,4.18,,1.0,100.0,0.0837
2015-12-30,2200.0,219868.0,0.03,0.24,0.22,109934.0,1100.0,1100.0,109934.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518188.18,,2.52,4.18,,1.0,100.0,0.0837
2015-12-31,2200.0,219868.0,0.02,0.24,0.22,109934.0,1100.0,1100.0,109934.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518188.18,,2.52,4.18,,1.0,100.0,0.0837
2016-01-01,2200.0,219868.0,0.02,0.24,0.22,109934.0,1100.0,1100.0,109934.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518188.18,,2.52,4.18,,1.0,100.0,0.0837
2016-01-04,2200.0,219956.0,0.02,0.24,0.22,109978.0,1100.0,1100.0,109978.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2519196.06,,2.52,4.18,,1.0,100.0,0.0837
2016-01-05,2200.0,219868.0,0.02,0.24,0.22,109934.0,1100.0,1100.0,109934.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518188.18,,2.52,4.18,,1.0,100.0,0.0837
2016-01-06,2200.0,219912.0,0.02,0.24,0.22,109956.0,1100.0,1100.0,109956.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518692.12,,2.52,4.18,,1.0,100.0,0.0837
2016-01-07,2200.0,219890.0,0.02,0.24,0.22,109945.0,1100.0,1100.0,109945.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518440.15,,2.52,4.18,,1.0,100.0,0.0837
2016-01-08,2200.0,219890.0,0.02,0.23,0.22,109945.0,1100.0,1100.0,109945.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518440.15,,2.52,4.18,,1.0,100.0,0.0837
2016-01-11,2200.0,219890.0,0.03,0.23,0.22,109945.0,1100.0,1100.0,109945.0,,,,,,,,,,,,,,,,,,0.11,,,,4.18,4.18,25197.0,2518440.15,,2.52,4.18,,1.0,100.0,0.0837
2016-01-12,2200.0,219868.0,0.03,0.23,0.22,109934.0,1100.0,1100.0,109934.0,,,,,,,,,,,,,,,,,,0.11,,,,4.22,4.22,24967.0,2495201.98,,2.5,4.22,,1.0,100.0,0.0844
2016-01-13,2200.0,219912.0,0.03,0.23,0.22,109956.0,1100.0,1100.0,109956.0,,,,,,,,,,,,,,,,,,0.11,,,,4.22,4.22,24967.0,2495701.32,,2.5,4.22,,1.0,100.0,0.0844
2016-01-14,2200.0,219868.0,0.04,0.23,0.22,109934.0,1100.0,1100.0,109934.0,,,,,,,,,,,,,,,,,,0.11,,,,4.22,4.22,24967.0,2495201.98,,2.5,4.22,,1.0,100.0,0.0844
2016-01-15,2200.0,219868.0,0.04,0.23,0.22,109934.0,1100.0,1100.0,109934.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0854
2016-01-18,2200.0,219846.0,0.04,0.23,0.22,109923.0,1100.0,1100.0,109923.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0854
2016-01-19,2200.0,219846.0,0.04,0.23,0.22,109923.0,1100.0,1100.0,109923.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0854
2016-01-20,2200.0,219846.0,0.04,0.23,0.22,109923.0,1100.0,1100.0,109923.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0855
2016-01-21,2200.0,219846.0,0.04,0.23,0.22,109923.0,1100.0,1100.0,109923.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0855
2016-01-22,2200.0,219824.0,0.04,0.23,0.22,109912.0,1100.0,1100.0,109912.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0855
2016-01-25,2200.0,219846.0,0.04,0.26,0.22,109923.0,1100.0,1100.0,109923.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0855
2016-01-26,2200.0,219824.0,0.04,0.58,0.22,109912.0,1100.0,1100.0,109912.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0855
2016-01-27,2200.0,219846.0,0.03,0.58,0.22,109923.0,1100.0,1100.0,109923.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0855
2016-01-28,2200.0,219824.0,0.03,0.26,0.22,109912.0,1100.0,1100.0,109912.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0855
2016-01-29,2200.0,219802.0,0.03,0.2,0.22,109901.0,1100.0,1100.0,109901.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0854
2016-02-01,2200.0,219736.0,0.02,0.2,0.22,109868.0,1100.0,1100.0,109868.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0854
2016-02-02,2200.0,219758.0,0.02,0.2,0.22,109879.0,1100.0,1100.0,109879.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0854
2016-02-03,2200.0,219780.0,0.02,0.2,0.22,109890.0,1100.0,1100.0,109890.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0854
2016-02-04,2200.0,219758.0,0.02,0.2,0.22,109879.0,1100.0,1100.0,109879.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0854
2016-02-05,2200.0,219736.0,0.02,0.2,0.22,109868.0,1100.0,1100.0,109868.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0857
2016-02-08,2200.0,219714.0,0.03,0.2,0.22,109857.0,1100.0,1100.0,109857.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0857
2016-02-09,2200.0,219648.0,0.03,0.2,0.22,109824.0,1100.0,1100.0,109824.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,4.29,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0857
2016-02-10,20200.0,2016364.0,0.32,1.85,2.01,1008182.0,10100.0,10100.0,1008182.0,,,9000.0,0.9,,,,,9000.0,,,,0.9,9000.0,,,,1.01,,,,39.35,39.35,15564.0,1553598.48,,1.55,39.35,,1.0,100.0,0.7871
2016-02-11,20200.0,2015758.0,0.32,1.85,2.02,1007879.0,10100.0,10100.0,1007879.0,,,,,,,,,,,,,,,,,,1.01,,,,39.3,39.3,15598.0,1556524.42,,1.56,39.3,,1.0,100.0,0.7861
2016-02-12,20200.0,2013940.0,0.45,1.85,2.0,1006970.0,10100.0,10100.0,1006970.0,,,,,,,,,,,,,,,,,,1.01,,,,35.93,35.93,18013.0,1795896.1,,1.8,35.93,,1.0,100.0,0.7185
2016-02-15,20200.0,2014546.0,0.45,1.85,2.0,1007273.0,10100.0,10100.0,1007273.0,,,,,,,,,,,,,,,,,,1.01,,,,35.93,35.93,18013.0,1796436.49,,1.8,35.93,,1.0,100.0,0.7185
2016-02-16,20200.0,2014142.0,0.44,1.85,2.01,1007071.0,10100.0,10100.0,1007071.0,,,,,,,,,,,,,,,,,,1.01,,,,35.87,35.87,18055.0,1800264.05,,1.8,35.87,,1.0,100.0,0.7175
2016-02-17,20200.0,2014142.0,0.44,1.85,2.01,1007071.0,10100.0,10100.0,1007071.0,,,,,,,,,,,,,,,,,,1.01,,,,35.87,35.87,18055.0,1800264.05,,1.8,35.87,,1.0,100.0,0.7175
2016-02-18,20200.0,2013738.0,0.44,1.85,2.01,1006869.0,10100.0,10100.0,1006869.0,,,,,,,,,,,,,,,,,,1.01,,,,35.94,35.94,18005.0,1794918.45,,1.79,35.94,,1.0,100.0,0.7187
2016-02-19,10100.0,1006970.0,0.22,0.93,1.01,1006970.0,0.0,10100.0,0.0,,,,,,,,1.01,,10100.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.3451
2016-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,10100.0,0.0,1.01,,,0.0,0.0,29264.0,2918498.72,,2.92,0.0,,0.0,,0.0
2016-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,29264.0,2918206.08,,2.92,0.0,,0.0,,0.0
2016-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,29264.0,2917328.16,,2.92,0.0,,0.0,,0.0
2016-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,29264.0,2917328.16,,2.92,0.0,,0.0,,0.0
2016-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30108.0,3001165.44,,3.0,0.0,,0.0,,0.0
2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30108.0,3001165.44,,3.0,0.0,,0.0,,0.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30101.0,2999865.66,,3.0,0.0,,0.0,,0.0
2016-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30101.0,3001069.7,,3.0,0.0,,0.0,,0.0
2016-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30101.0,2999865.66,,3.0,0.0,,0.0,,0.0
2016-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30055.0,2995581.85,,3.0,0.0,,0.0,,0.0
2016-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30055.0,2996483.5,,3.0,0.0,,0.0,,0.0
2016-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30055.0,2996483.5,,3.0,0.0,,0.0,,0.0
2016-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30055.0,2996784.05,,3.0,0.0,,0.0,,0.0
2016-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30055.0,2998286.8,,3.0,0.0,,0.0,,0.0
2016-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30101.0,3001671.72,,3.0,0.0,,0.0,,0.0
2016-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30101.0,3003176.77,,3.0,0.0,,0.0,,0.0
2016-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30101.0,3003778.79,,3.0,0.0,,0.0,,0.0
2016-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30101.0,3004681.82,,3.0,0.0,,0.0,,0.0
2016-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30131.0,3008279.04,,3.01,0.0,,0.0,,0.0
2016-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30043.0,3000093.98,,3.0,0.0,,0.0,,0.0
2016-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30043.0,3000093.98,,3.0,0.0,,0.0,,0.0
2016-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3003491.48,,3.0,0.0,,0.0,,0.0
2016-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3003792.19,,3.0,0.0,,0.0,,0.0
2016-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3004995.03,,3.0,0.0,,0.0,,0.0
2016-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3004995.03,,3.01,0.0,,0.0,,0.0
2016-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3004995.03,,3.01,0.0,,0.0,,0.0
2016-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3006498.58,,3.01,0.0,,0.0,,0.0
2016-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3007100.0,,3.01,0.0,,0.0,,0.0
2016-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3008302.84,,3.01,0.0,,0.0,,0.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3008302.84,,3.01,0.0,,0.0,,0.0
2016-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3008904.26,,3.01,0.0,,0.0,,0.0
2016-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3009204.97,,3.01,0.0,,0.0,,0.0
2016-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30071.0,3010107.1,,3.01,0.0,,0.0,,0.0
2016-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,29999.0,3003499.88,,3.0,0.0,,0.0,,0.0
2016-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,29999.0,3003799.87,,3.0,0.0,,0.0,,0.0
2016-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,29999.0,3004699.84,,3.0,0.0,,0.0,,0.0
2016-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,29999.0,3004699.84,,3.0,0.0,,0.0,,0.0
2016-04-13,2400.0,240408.0,0.03,0.17,0.24,120204.0,1200.0,1200.0,120204.0,,,,,,1200.0,,,,,,,,,0.12,1200.0,,0.12,,,,4.01,4.01,28739.0,2878785.63,,2.88,4.01,,1.0,100.0,0.0802
2016-04-14,2400.0,240456.0,0.03,0.17,0.24,120228.0,1200.0,1200.0,120228.0,,,,,,,,,,,,,,,,,,0.12,,,,4.01,4.01,28739.0,2879360.41,,2.88,4.01,,1.0,100.0,0.0802
2016-04-15,2400.0,240600.0,0.03,0.17,0.24,120300.0,1200.0,1200.0,120300.0,,,,,,,,,,,,,,,,,,0.12,,,,4.01,4.01,28713.0,2878478.25,,2.88,4.01,,1.0,100.0,0.0802
2016-04-18,2400.0,240672.0,0.03,0.17,0.24,120336.0,1200.0,1200.0,120336.0,,,,,,,,,,,,,,,,,,0.12,,,,4.01,4.01,28713.0,2879339.64,,2.88,4.01,,1.0,100.0,0.0802
2016-04-19,2400.0,240696.0,0.03,0.17,0.24,120348.0,1200.0,1200.0,120348.0,,,,,,,,,,,,,,,,,,0.12,,,,4.01,4.01,28713.0,2879626.77,,2.88,4.01,,1.0,100.0,0.0802
2016-04-20,2400.0,240744.0,0.03,0.17,0.24,120372.0,1200.0,1200.0,120372.0,,,,,,,,,,,,,,,,,,0.12,,,,4.01,4.01,28713.0,2880201.03,,2.88,4.01,,1.0,100.0,0.0802
2016-04-21,2400.0,240816.0,0.03,0.17,0.24,120408.0,1200.0,1200.0,120408.0,,,,,,,,,,,,,,,,,,0.12,,,,4.02,4.02,28675.0,2877249.5,,2.88,4.02,,1.0,100.0,0.0803
2016-04-22,2400.0,240768.0,0.03,0.17,0.24,120384.0,1200.0,1200.0,120384.0,,,,,,,,,,,,,,,,,,0.12,,,,4.01,4.01,28703.0,2879484.96,,2.88,4.01,,1.0,100.0,0.0803
2016-04-25,2400.0,240792.0,0.03,0.17,0.24,120396.0,1200.0,1200.0,120396.0,,,,,,,,,,,,,,,,,,0.12,,,,4.01,4.01,28703.0,2879771.99,,2.88,4.01,,1.0,100.0,0.0803
2016-04-26,1200.0,120396.0,0.02,0.22,0.12,120396.0,0.0,1200.0,0.0,,,,,,,,0.12,,1200.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0401
2016-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1200.0,0.0,0.12,,,0.0,0.0,29903.0,3001065.08,,3.0,0.0,,0.0,,0.0
2016-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,29704.0,2982281.6,,2.98,0.0,,0.0,,0.0
2016-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,29674.0,2979863.08,,2.98,0.0,,0.0,,0.0
2016-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,29674.0,2979863.08,,2.98,0.0,,0.0,,0.0
2016-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,29674.0,2980159.82,,2.98,0.0,,0.0,,0.0
