,ALHGR FP Equity_DX_SI_QTY,ALHGR FP Equity_DX_SHORT_INTEREST_VALUE,ALHGR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHGR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHGR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHGR FP Equity_DX_SI_MV,ALHGR FP Equity_DX_DSS,ALHGR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHGR FP Equity_DX_SUPPLY_SI_QTY,ALHGR FP Equity_DX_BROKER_SI_QTY,ALHGR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHGR FP Equity_DX_BROKER_SI_MV_NEW_x,ALHGR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHGR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHGR FP Equity_DX_BROKER_SI_MV_INC_x,ALHGR FP Equity_DX_SUPPLY_SI_MV_NEW,ALHGR FP Equity_DX_BROKER_SI_QTY_ADD,ALHGR FP Equity_DX_BROKER_SI_QTY_NEW,ALHGR FP Equity_DX_SUPPLY_SI_MV_DEC,ALHGR FP Equity_DX_BROKER_SI_QTY_INC,ALHGR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHGR FP Equity_DX_BROKER_SI_MV_NEW_y,ALHGR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHGR FP Equity_DX_BROKER_SI_MV_INC_y,ALHGR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHGR FP Equity_DX_BROKER_SI_MV_ADD,ALHGR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHGR FP Equity_DX_BROKER_SI_QTY_DEC,ALHGR FP Equity_DX_SUPPLY_SI_MV,ALHGR FP Equity_DX_BROKER_SI_MV_DEC,ALHGR FP Equity_DX_SUPPLY_SI_MV_RMV,ALHGR FP Equity_DX_BROKER_SI_MV_RMV,ALHGR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHGR FP Equity_DX_UTILIZATION_QUANTITY,ALHGR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHGR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHGR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHGR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHGR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHGR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHGR FP Equity_DX_BROKER_SI_CON_RATIO,ALHGR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHGR FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHGR FP Equity_PX_LAST
2019-12-18,7322.0,142779.0,0.18,1.6,0.05,0.14,0.0,0.0,7322.0,0.0,142779.0,,,,,,,,0.1,,5000.0,,,,,,,5000.0,0.14,0.1,,,3.46,3.46,204492.0,3987594.0,,4.0,3.45,,1.0,100.0,0.0346,19.5
2019-12-19,9322.0,181779.0,0.23,1.74,0.07,0.18,0.0,0.0,9322.0,0.0,181779.0,,,,,,,,,,,,,,,,2000.0,,0.18,,,,4.4,4.4,202492.0,3948594.0,,3.95,4.4,,1.0,100.0,0.044,19.5
2019-12-20,9322.0,181779.0,0.23,1.72,0.07,0.18,0.0,0.0,9322.0,0.0,181779.0,,,,,,,,,,,,,,,,,,0.18,,,,4.4,4.4,202492.0,3948594.0,,3.95,4.4,,1.0,100.0,0.044,19.5
2019-12-23,9322.0,179355.28,0.23,1.69,0.07,0.18,0.0,0.0,9322.0,0.0,179355.28,,,,,,,,,,,,,,,,,,0.18,,,,4.56,4.56,195187.0,3755397.88,,3.78,4.59,,1.0,100.0,0.0456,19.24
2019-12-24,9322.0,180846.8,0.23,1.69,0.07,0.18,0.0,0.0,9322.0,0.0,180846.8,,,,,,,,,,,,,,,,,,0.18,,,,4.56,4.56,195187.0,3786627.8,,3.77,4.55,,1.0,100.0,0.0456,19.4
2019-12-25,9322.0,180846.8,0.23,1.7,0.07,0.18,0.0,0.0,9322.0,0.0,180846.8,,,,,,,,,,,,,,,,,,0.18,,,,4.56,4.56,195187.0,3786627.8,,3.79,4.55,,1.0,100.0,0.0456,
2019-12-26,7322.0,142046.8,0.18,1.33,0.05,0.14,0.0,0.0,7322.0,0.0,142046.8,,,,,,,,0.04,,2000.0,,,,,,,,0.14,,,,3.63,3.63,194145.0,3766413.0,,3.77,3.64,,1.0,100.0,0.0363,
2019-12-27,7322.0,142046.8,0.18,1.33,0.05,0.14,0.0,0.0,7322.0,0.0,142046.8,,,,,,,,,,,,,,,,,,0.14,,,,3.63,3.63,194145.0,3766413.0,,3.76,3.64,,1.0,100.0,0.0363,19.4
2019-12-30,12322.0,241511.2,0.3,2.28,0.09,0.24,0.0,0.0,12322.0,0.0,241511.2,,,,,,,,,,,,,,,,5000.0,,0.24,,,,6.12,6.12,189145.0,3707242.0,,3.68,6.12,40.83,0.5168,59.17,0.0612,19.6
2019-12-31,17322.0,330850.2,0.42,3.27,0.13,0.34,0.0,95500.0,12322.0,5000.0,235350.2,,,,,,5000.0,,,,,,,,,0.1,,,0.24,,,,6.12,6.12,189145.0,3612669.5,,3.66,6.09,41.7,0.5138,58.3,0.086,19.1
2020-01-01,17322.0,330850.2,0.42,3.27,0.13,0.34,0.0,95500.0,12322.0,5000.0,235350.2,,,,,,,,,,,,,,,,,,0.24,,,,6.1,6.1,189513.0,3619698.3,,3.65,6.07,41.33,0.515,58.67,0.0858,
2020-01-02,11322.0,216476.64,0.27,2.14,0.08,0.22,0.0,76480.0,9322.0,4000.0,178236.64,,,,,,2000.0,,0.06,,3000.0,,,,,0.04,,3000.0,0.18,0.06,,,4.62,4.62,192513.0,3680848.56,,3.69,4.6,18.51,0.4739,63.94,0.0561,19.12
2020-01-03,11322.0,216476.64,0.27,2.16,0.08,0.22,0.0,76480.0,9322.0,4000.0,178236.64,,,,,,,,,,,,,,,,,,0.18,,,,4.62,4.62,192513.0,3680848.56,,3.68,4.61,18.46,0.4747,64.03,0.0561,19.12
2020-01-06,11322.0,218514.6,0.27,2.2,0.08,0.22,0.0,38600.0,9322.0,2000.0,179914.6,,,,,,,,,,,,,,,,,2000.0,0.18,0.04,,,4.62,4.62,192513.0,3715500.9,,3.69,4.61,17.8,0.4797,64.57,0.0561,19.3
2020-01-07,11322.0,220779.0,0.27,2.21,0.08,0.22,0.0,39000.0,9322.0,2000.0,181779.0,,,,,,,,,,,,,,,,,,0.18,,,,4.62,4.62,192513.0,3754003.5,,3.73,4.6,17.8,0.4797,64.57,0.0561,19.5
2020-01-08,11322.0,218514.6,0.27,2.21,0.08,0.22,0.0,38600.0,9322.0,2000.0,179914.6,,,,,,,,,,,,,,,,,,0.18,,,,4.62,4.62,192513.0,3715500.9,,3.74,4.62,17.69,0.4816,64.77,0.0561,19.3
2020-01-09,11322.0,220779.0,0.27,2.27,0.08,0.22,0.0,39000.0,9322.0,2000.0,181779.0,,,,,,,,,,,,,,,,,,0.18,,,,4.61,4.61,192936.0,3762252.0,,3.74,4.6,17.81,0.4796,64.56,0.056,19.5
2020-01-10,4000.0,79200.0,0.1,0.81,0.03,0.08,0.0,39600.0,2000.0,2000.0,39600.0,,,,,,,,0.14,,7322.0,,,,,,,,0.04,,,,0.99,0.99,200258.0,3965108.4,,3.93,1.0,49.63,0.5,50.37,0.0198,19.8
2020-01-13,4000.0,79600.0,0.1,0.92,0.03,0.08,0.0,79600.0,2000.0,4000.0,39800.0,,,,,,2000.0,,,,,,,,,0.04,,,0.04,,,,0.99,0.99,200258.0,3985134.2,,3.97,0.99,48.78,0.5003,51.22,0.0198,19.9
2020-01-14,4000.0,80400.0,0.1,0.91,0.03,0.08,0.0,80400.0,2000.0,4000.0,40200.0,,,,,,,,,,,,,,,,,,0.04,,,,0.99,0.99,200258.0,4025185.8,,4.0,0.99,48.72,0.5003,51.28,0.0198,20.1
2020-01-15,3602.0,76002.2,0.09,0.81,0.03,0.07,0.0,76002.2,1602.0,3602.0,33802.2,,,,,,,,0.01,,398.0,,,,,,,398.0,0.03,0.01,,,0.79,0.79,200656.0,4233841.6,,4.12,0.81,45.67,0.5038,54.33,0.0178,21.1
2020-01-16,3602.0,79244.0,0.09,1.02,0.03,0.08,0.0,79244.0,1602.0,3602.0,35244.0,,,,,,,,,,,,,,,,,,0.04,,,,0.79,0.79,200756.0,4416632.0,,4.32,0.81,45.74,0.5036,54.26,0.0178,22.0
2020-01-17,3602.0,79244.0,0.09,0.75,0.03,0.08,0.0,79244.0,1602.0,3602.0,35244.0,,,,,,,,,,,,,,,,,,0.04,,,,0.79,0.79,200782.0,4417204.0,,4.42,0.79,45.83,0.5035,54.17,0.0178,22.0
2020-01-20,3602.0,79063.9,0.09,0.74,0.03,0.08,0.0,79063.9,1602.0,3602.0,35163.9,,,,,,,,,,,,,,,,,,0.04,,,,0.77,0.77,205686.0,4514807.7,,4.52,0.77,45.83,0.5035,54.17,0.0174,21.95
2020-01-21,3602.0,77443.0,0.09,0.72,0.03,0.08,0.0,77443.0,1602.0,3602.0,34443.0,,,,,,,,,,,,,,,,,,0.03,,,,0.77,0.77,205686.0,4422249.0,,4.48,0.76,45.7,0.5037,54.3,0.0174,21.5
2020-01-22,3602.0,77443.0,0.09,0.72,0.03,0.08,0.0,77443.0,1602.0,3602.0,34443.0,,,,,,,,,,,,,,,,,,0.03,,,,0.77,0.77,205686.0,4422249.0,,4.42,0.77,45.73,0.5036,54.27,0.0174,21.5
2020-01-23,3602.0,77443.0,0.09,0.72,0.03,0.08,0.0,77443.0,1602.0,3602.0,34443.0,,,,,,,,,,,,,,,,,,0.03,,,,0.77,0.77,205686.0,4422249.0,,4.42,0.77,45.77,0.5036,54.23,0.0174,21.5
2020-01-24,3602.0,76722.6,0.09,0.69,0.03,0.08,0.0,76722.6,1602.0,3602.0,34122.6,,,,,,,,,,,,,,,,,,0.03,,,,0.77,0.77,205686.0,4381111.8,,4.41,0.77,45.72,0.5037,54.28,0.0174,21.3
2020-01-27,8231.0,176966.5,0.2,1.59,0.06,0.18,0.0,176966.5,1602.0,8231.0,34443.0,,,,0.1,,,,,4629.0,,,,0.1,,,,,0.03,,,,0.77,0.77,205686.0,4422249.0,,4.4,0.78,20.15,0.6782,79.85,0.0397,21.5
2020-01-28,6629.0,141197.7,0.16,1.23,0.05,0.14,0.0,141197.7,0.0,6629.0,0.0,,,,,,,,0.03,,1602.0,,,,,,,1602.0,0.0,0.04,,,0.0,0.0,207288.0,4415234.4,,4.43,0.0,,1.0,100.0,0.032,21.3
2020-01-29,1933.0,42332.7,0.05,0.35,0.01,0.04,0.0,42332.7,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,4696.0,0.0,0.1,,,0.0,0.0,207288.0,4539607.2,,4.46,0.0,,1.0,100.0,0.0093,21.9
2020-01-30,1933.0,41946.1,0.05,0.34,0.01,0.04,0.0,41946.1,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,207288.0,4498149.6,,4.52,0.0,,1.0,100.0,0.0093,21.7
2020-01-31,1933.0,42332.7,0.05,0.34,0.01,0.04,0.0,42332.7,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,207288.0,4539607.2,,4.51,0.0,,1.0,100.0,0.0093,21.9
2020-02-03,1933.0,41559.5,0.05,0.36,0.01,0.04,0.0,41559.5,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,212288.0,4564192.0,,4.61,0.0,,1.0,100.0,0.0091,21.5
2020-02-04,1933.0,41752.8,0.05,0.43,0.01,0.04,0.0,41752.8,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,212288.0,4585420.8,,4.57,0.0,,1.0,100.0,0.0091,21.6
2020-02-05,1933.0,41559.5,0.05,0.44,0.01,0.04,0.0,41559.5,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,212288.0,4564192.0,,4.58,0.0,,1.0,100.0,0.0091,21.5
2020-02-06,1933.0,41946.1,0.05,0.46,0.01,0.04,0.0,41946.1,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,212490.0,4611033.0,,4.59,0.0,,1.0,100.0,0.0091,21.7
2020-02-07,1933.0,41752.8,0.05,0.46,0.01,0.04,0.0,41752.8,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,213226.0,4605681.6,,4.62,0.0,,1.0,100.0,0.0091,21.6
2020-02-10,1933.0,41366.2,0.05,0.46,0.01,0.04,0.0,41366.2,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,213226.0,4563036.4,,4.6,0.0,,1.0,100.0,0.0091,21.4
2020-02-11,1933.0,42042.75,0.05,0.46,0.01,0.04,0.0,42042.75,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,213226.0,4637665.5,,4.61,0.0,,1.0,100.0,0.0091,21.75
2020-02-12,1933.0,41559.5,0.05,0.46,0.01,0.04,0.0,41559.5,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,213226.0,4584359.0,,4.62,0.0,,1.0,100.0,0.0091,21.5
2020-02-13,1933.0,42236.05,0.05,0.45,0.01,0.04,0.0,42236.05,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,213226.0,4658988.1,,4.64,0.0,,1.0,100.0,0.0091,21.85
2020-02-14,1933.0,42236.05,0.05,0.45,0.01,0.04,0.0,42236.05,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,213226.0,4658988.1,,4.67,0.0,,1.0,100.0,0.0091,21.85
2020-02-17,1933.0,42526.0,0.05,0.44,0.01,0.04,0.0,42526.0,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,213226.0,4690972.0,,4.67,0.0,,1.0,100.0,0.0091,22.0
2020-02-18,1933.0,42622.65,0.05,0.42,0.01,0.04,0.0,42622.65,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,213226.0,4701633.3,,4.7,0.0,,1.0,100.0,0.0091,22.05
2020-02-19,1933.0,43492.5,0.05,0.39,0.01,0.04,0.0,43492.5,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,213226.0,4797585.0,,4.73,0.0,,1.0,100.0,0.0091,22.5
2020-02-20,1933.0,44265.7,0.05,0.39,0.01,0.04,0.0,44265.7,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,218226.0,4997375.4,,4.92,0.0,,1.0,100.0,0.0089,22.9
2020-02-21,1933.0,46971.9,0.05,0.37,0.01,0.04,0.0,46971.9,0.0,1933.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,218226.0,5302891.8,,5.09,0.0,,1.0,100.0,0.0089,24.3
