,ERO FP Equity_DX_SI_QTY,ERO FP Equity_DX_SHORT_INTEREST_VALUE,ERO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ERO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ERO FP Equity_DX_SI_MV,ERO FP Equity_DX_DSS,ERO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ERO FP Equity_DX_SUPPLY_SI_QTY,ERO FP Equity_DX_BROKER_SI_QTY,ERO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ERO FP Equity_DX_BROKER_SI_MV_NEW_x,ERO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ERO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ERO FP Equity_DX_BROKER_SI_MV_INC_x,ERO FP Equity_DX_SUPPLY_SI_MV_NEW,ERO FP Equity_DX_BROKER_SI_QTY_ADD,ERO FP Equity_DX_BROKER_SI_QTY_NEW,ERO FP Equity_DX_SUPPLY_SI_MV_DEC,ERO FP Equity_DX_BROKER_SI_QTY_INC,ERO FP Equity_DX_SUPPLY_SI_QTY_DEC,ERO FP Equity_DX_BROKER_SI_MV_NEW_y,ERO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ERO FP Equity_DX_BROKER_SI_MV_INC_y,ERO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ERO FP Equity_DX_BROKER_SI_MV_ADD,ERO FP Equity_DX_SUPPLY_SI_QTY_ADD,ERO FP Equity_DX_BROKER_SI_QTY_DEC,ERO FP Equity_DX_SUPPLY_SI_MV,ERO FP Equity_DX_BROKER_SI_MV_DEC,ERO FP Equity_DX_SUPPLY_SI_MV_RMV,ERO FP Equity_DX_BROKER_SI_MV_RMV,ERO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ERO FP Equity_DX_UTILIZATION_QUANTITY,ERO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ERO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ERO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ERO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ERO FP Equity_DX_ACTIVE_UTILIZATION_MV,ERO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ERO FP Equity_DX_BROKER_SI_CON_RATIO,ERO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ERO FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,111090.0,13776270.9,2.19,,13.74,,30382.45,110845.0,245.0,13745888.45,,,,,,,,3.57,,32367.0,,,,,,,,13.71,,,,15.91,15.91,585798.0,72644809.98,,72.43,15.91,1.21,0.9761,98.79,0.1595
2006-03-22,112467.0,14069621.7,2.25,,14.05,,30649.5,112222.0,245.0,14038972.2,,,1377.0,,,,,,,,,,,1377.0,,,,14.02,,,,17.19,17.19,540626.0,67632312.6,,67.53,17.19,1.21,0.9762,98.79,0.1723
2006-03-29,112015.0,13901061.5,2.53,,13.9,,30404.5,111770.0,245.0,13870657.0,,,0.0,,,,,0.18,,453.0,,,,0.0,,,,13.87,,,,54.12,18.44,94743.0,11757606.3,,0.0,555.76,1.2,0.9762,98.8,0.1848
2006-04-05,89556.0,11203455.6,2.25,,11.17,,30649.5,89311.0,245.0,11172806.1,,,,,,,,2.5,,22459.0,,,,,,,,11.14,,,,46.79,15.14,101549.0,12703779.9,,0.0,444.1,1.21,0.9761,98.79,0.1518
2006-04-12,91245.0,11349053.1,2.34,,11.33,,30473.1,91000.0,245.0,11318580.0,,,1689.0,,,,,,,,,,,1689.0,,,,11.3,,,,14.85,14.85,521893.0,64913051.34,,64.82,14.85,1.21,0.9762,98.79,0.1489
2006-04-19,89664.0,11252832.0,2.61,,11.14,,30747.5,89419.0,245.0,11222084.5,,,,,,,,0.0,,1581.0,,,,,,,,11.11,,,,15.28,15.28,495916.0,62237458.0,,61.6,15.28,1.26,0.9751,98.74,0.1532
2006-04-26,90146.0,11435921.56,3.05,,11.36,,31080.7,89901.0,245.0,11404840.86,,,673.0,,,,,0.02,,191.0,,,,673.0,,,,11.33,,,,52.49,15.66,81368.0,10322344.48,,0.0,447.05,1.21,0.9761,98.79,0.157
2006-05-03,51099.0,6426721.23,1.49,,6.47,,30813.65,50854.0,245.0,6395907.58,,,1.0,,,,,4.79,,39048.0,,,,1.0,,,,6.44,,,,11.17,11.17,404400.0,50861388.0,,51.21,11.17,1.2,0.9764,98.8,0.1122
2006-05-10,42925.0,5494829.25,1.39,,5.5,,2078882.4,26685.0,16240.0,3415946.85,,,7.0,,,15995.0,,2.96,,24176.0,,,,7.0,2.05,,,3.42,,,,34.26,6.01,51198.0,6553855.98,,0.0,10875.54,1.49,0.9419,97.03,0.0967
2006-05-17,43836.0,5271717.36,1.31,,5.35,,1982726.62,27348.0,16487.0,3288870.48,,,663.0,0.0,,,,,247.0,,,,0.0,663.0,,,,3.34,,,,40.27,5.27,40572.0,4879188.72,,0.0,10988.93,1.49,0.9427,97.07,0.0845
2006-05-24,43657.0,5134499.77,1.3,,5.12,,1952326.0,27057.0,16600.0,3182173.77,,,39.0,0.0,,,,0.15,113.0,330.0,,,0.0,39.0,,,,3.17,,,,38.04,5.25,44068.0,5182837.48,,0.0,11083.0,1.46,0.9431,97.09,0.0847
2006-05-31,43038.0,5139167.58,1.25,,5.16,,1933128.49,26849.0,16189.0,3206039.09,,,,,,,,0.0,,208.0,,,,,,,412.0,3.22,0.0,,,44.39,6.13,33635.0,4016355.35,,0.0,10891.87,1.5,0.9417,97.02,0.0982
2006-06-07,43094.0,5088108.58,1.19,,5.14,,1895849.99,27037.0,16057.0,3192258.59,,,209.0,,,,,0.01,,21.0,,,,209.0,,,131.0,3.23,0.03,,,44.91,5.93,33171.0,3916499.97,,0.0,10907.32,1.52,0.9412,96.99,0.0945
2006-06-14,42963.0,4880596.8,1.27,,4.92,,1813624.0,26998.0,15965.0,3066972.8,,,,,,,,0.18,,39.0,,,,,,,92.0,3.09,0.11,,,44.69,5.06,33410.0,3795376.0,,0.0,10905.04,1.53,0.9409,96.98,0.0805
2006-06-21,28809.0,3374974.35,0.69,,3.36,,1830585.9,13182.0,15626.0,1544271.3,,,93.0,,,,,1.57,,13908.0,,,,93.0,,,339.0,1.54,0.0,,,21.85,2.51,47135.0,5521865.25,,0.0,5398.75,1.55,0.9397,96.91,0.0549
2006-06-28,490.0,57232.0,0.01,,0.06,,28616.0,245.0,245.0,28616.0,,,,,,,,1.53,,12937.0,,,,,,,15381.0,0.03,1.81,,,0.41,0.05,59823.0,6987326.4,,0.0,100.0,49.79,0.5,50.21,0.001
2006-07-03,490.0,59422.3,0.01,,0.06,,29711.15,245.0,245.0,29711.15,,,,,,,,,,,,,,,,,,0.03,,,,0.42,0.05,57884.0,7019592.68,,0.0,100.0,49.83,0.5,50.17,0.001
2006-07-04,490.0,59613.4,0.01,,0.06,,29806.7,245.0,245.0,29806.7,,,,,,,,,,,,,,,,,,0.03,,,,0.42,0.05,58251.0,7086816.66,,0.0,100.0,49.92,0.5,50.08,0.0009
2006-07-05,490.0,58937.2,0.01,,0.06,,29468.6,245.0,245.0,29468.6,,,,,,,,,,,,,,,,,,0.03,,,,0.38,0.05,64302.0,7734244.56,,0.0,100.0,49.72,0.5,50.28,0.0009
2006-07-06,490.0,59486.0,0.01,,0.06,,29743.0,245.0,245.0,29743.0,,,,,,,,,,,,,,,,,,0.03,,,,0.38,0.05,63966.0,7765472.4,,0.0,100.0,49.77,0.5,50.23,0.0009
2006-07-07,490.0,59407.6,0.01,,0.06,,29703.8,245.0,245.0,29703.8,,,,,,,,,,,,,,,,,,0.03,,,,0.38,0.05,64061.0,7766755.64,,0.0,100.0,50.0,0.5,50.0,0.0009
2006-07-10,490.0,59564.4,0.01,,0.06,,29782.2,245.0,245.0,29782.2,,,,,,,,,,,,,,,,,,0.03,,,,0.38,0.05,63993.0,7778989.08,,0.0,100.0,49.93,0.5,50.07,0.0009
2006-07-11,490.0,59069.5,0.01,,0.06,,29534.75,245.0,245.0,29534.75,,,,,,,,,,,,,,,,,,0.03,,,,0.36,0.05,67082.0,8086735.1,,0.0,100.0,49.79,0.5,50.21,0.0009
2006-07-12,5533.0,666781.83,0.15,,0.67,,637256.88,245.0,5288.0,29524.95,,,,,,5043.0,,,,,,,,,0.61,,,0.03,,,,0.37,0.05,66681.0,8035727.31,,0.0,100.0,4.43,0.8346,91.14,0.0105
2006-07-13,5527.0,656386.52,0.16,,0.66,,627290.32,245.0,5282.0,29096.2,,,,,,,,,,,,,,,,,6.0,0.03,0.01,,,0.36,0.05,67582.0,8026038.32,,0.0,100.0,4.47,0.8345,91.13,0.0105
2006-07-14,5510.0,651777.9,0.16,,0.65,,622796.85,245.0,5265.0,28981.05,,,,,,,,,,,,,,,,,17.0,0.03,0.01,,,0.36,0.04,67879.0,8029406.91,,0.0,100.0,4.45,0.834,91.11,0.01
2006-07-17,5517.0,645544.17,0.16,,0.65,,616876.72,245.0,5272.0,28667.45,,,,0.0,,,,,7.0,,,,0.0,,,,,0.03,,,,0.36,0.04,68058.0,7963466.58,,0.0,100.0,4.46,0.8342,91.12,0.01
2006-07-18,490.0,57344.7,0.01,,0.06,,28672.35,245.0,245.0,28672.35,,,,,,,,,,,,,,,,,5027.0,0.03,0.59,,,0.36,0.04,68200.0,7981446.0,,0.0,100.0,50.0,0.5,50.0,0.0009
2006-07-19,490.0,58412.9,0.01,,0.06,,29206.45,245.0,245.0,29206.45,,,,,,,,,,,,,,,,,,0.03,,,,0.37,0.04,65795.0,7843421.95,,0.0,100.0,49.59,0.5,50.41,0.0009
2006-07-20,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.03,,245.0,,,,,,,245.0,0.0,0.03,,,0.0,0.0,566283.0,67636841.52,,67.55,0.0,,0.0,,0.0
2006-07-21,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,559773.0,66271525.47,,66.35,0.0,,0.0,,0.0
2006-07-24,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,572398.0,68659140.1,,68.16,0.0,,0.0,,0.0
2006-07-25,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,568919.0,68605942.21,,68.49,0.0,,0.0,,0.0
2006-07-26,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,556516.0,67277219.24,,67.38,0.0,,0.0,,0.0
2006-07-27,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,556636.0,68148945.48,,67.35,0.0,,0.0,,0.0
2006-07-28,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,556080.0,68425644.0,,68.33,0.0,,0.0,,0.0
2006-07-31,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,576680.0,70735568.8,,70.91,0.0,,0.0,,0.0
2006-08-01,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,577083.0,70329105.21,,70.71,0.0,,0.0,,0.0
2006-08-02,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,590337.0,72434349.9,,71.99,0.0,,0.0,,0.0
2006-08-03,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,532258.0,64978056.64,,65.21,0.0,,0.0,,0.0
2006-08-04,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,532019.0,65741587.83,,65.45,0.0,,0.0,,0.0
2006-08-07,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,539866.0,66025611.8,,66.4,0.0,,0.0,,0.0
2006-08-08,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,597075.0,72878974.5,,72.99,0.0,,0.0,,0.0
2006-08-09,3001.0,367922.6,0.12,,0.37,,0.0,3001.0,0.0,367922.6,,,,,,,,,,,,,,,,3001.0,,0.37,,,,5.18,0.51,54961.0,6738218.6,,0.0,0.0,,0.0,,0.0051
2006-08-10,5685.0,693740.55,0.24,,0.7,,0.0,5685.0,0.0,693740.55,,,,,,,,0.0,,16.0,,,,,,2700.0,,0.7,,,,0.96,0.96,585250.0,71418057.5,,71.76,0.96,,1.0,100.0,0.0096
2006-08-11,8406.0,1027213.2,0.34,,1.03,,329940.0,5706.0,2700.0,697273.2,,,21.0,,,2700.0,,,,,,,,21.0,0.33,,,0.7,,,,0.97,0.97,585474.0,71544922.8,,71.52,0.96,50.0,0.5,50.0,0.0142
2006-08-14,8399.0,1029717.4,0.41,,1.03,,331020.0,5699.0,2700.0,698697.4,,,,,,,,0.0,,7.0,,,,,,,,0.7,,,,0.96,0.96,585585.0,71792721.0,,71.57,0.96,49.92,0.5,50.08,0.0142
2006-08-15,8373.0,1036409.94,0.41,,1.03,,334206.0,5673.0,2700.0,702203.94,,,,,,,,0.0,,26.0,,,,,,,,0.7,,,,0.96,0.96,585333.0,72452518.74,,71.91,0.96,49.76,0.5,50.24,0.0142
2006-08-16,8391.0,1044847.32,0.42,,1.04,,336204.0,5691.0,2700.0,708643.32,,,18.0,,,,,,,,,,,18.0,,,,0.7,,,,0.96,0.96,586231.0,72997484.12,,72.54,0.96,49.85,0.5,50.15,0.0142
2006-08-17,8360.0,1047591.6,0.41,,1.04,,338337.0,5660.0,2700.0,709254.6,,,,,,,,0.0,,31.0,,,,,,,,0.71,,,,0.91,0.91,616919.0,77306119.89,,76.93,0.91,49.84,0.5,50.16,0.0134
2006-08-18,13371.0,1669904.19,0.65,,1.67,,963776.13,5655.0,7717.0,706252.95,,,,,,5017.0,,0.0,,5.0,,,,,0.63,,,0.71,,,,0.91,0.91,616883.0,77042517.87,,77.25,0.91,25.92,0.3663,48.16,0.0215
2006-08-21,8364.0,1041736.2,0.4,,1.04,,336285.0,5664.0,2700.0,705451.2,,,9.0,,,,,,,,,,,9.0,,,5017.0,0.71,0.62,,,0.92,0.92,609489.0,75911854.95,,75.9,0.92,49.93,0.5,50.07,0.0136
2006-08-22,5676.0,710294.64,0.28,,0.71,,337878.0,2976.0,2700.0,372416.64,,,1.0,,,,,0.34,,2688.0,,,,1.0,,,,0.37,,,,0.48,0.48,616165.0,77106888.1,,77.03,0.48,0.44,0.9912,99.56,0.0092
2006-08-23,3037.0,376891.7,0.16,,0.38,,1489.2,3025.0,12.0,375402.5,,,49.0,,,,,,,,,,,49.0,,,2688.0,0.38,0.34,,,0.49,0.49,616727.0,76535820.7,,77.17,0.49,49.79,0.5,50.21,0.0049
2006-08-24,3037.0,378653.16,0.14,,0.38,,1496.16,3025.0,12.0,377157.0,,,0.0,,,,,,,,,,,0.0,,,,0.38,,,,0.49,0.49,616997.0,76927185.96,,76.63,0.49,49.89,0.5,50.11,0.0049
2006-08-25,8002.0,1001530.32,0.34,,1.0,,624923.88,3009.0,4993.0,376606.44,,,,,,4981.0,,0.0,,16.0,,,,,0.62,,,0.38,,,,0.49,0.49,616567.0,77169525.72,,77.12,0.49,0.24,0.9904,99.52,0.0129
2006-08-28,8013.0,1005391.11,0.33,,1.0,,627977.35,3008.0,5005.0,377413.76,,,,0.0,,,,0.0,13.0,1.0,,,0.0,,,,,0.38,,,,0.49,0.49,616433.0,77343848.51,,76.97,0.49,0.24,0.9905,99.52,0.0129
2006-08-29,8009.0,1006330.85,0.35,,1.01,,629255.2,3001.0,5008.0,377075.65,,,,0.0,,,,0.0,3.0,8.0,,,0.0,,,,,0.38,,,,0.47,0.47,632077.0,79420475.05,,79.72,0.47,0.24,0.9905,99.52,0.0126
2006-08-30,9139.0,1158002.69,0.39,,1.15,,632282.9,4149.0,4990.0,525719.79,,,,,,,,0.0,,2.0,,,,,,1150.0,18.0,0.52,0.0,,,0.65,0.65,632378.0,80128616.38,,79.5,0.65,0.24,0.9904,99.52,0.0144
2006-08-31,9193.0,1159972.74,0.39,,1.16,,633802.14,4170.0,5023.0,526170.6,,,22.0,0.0,,,,0.0,33.0,1.0,,,0.0,22.0,,,,0.53,,,,0.66,0.66,632040.0,79750807.2,,79.86,0.66,0.24,0.9905,99.52,0.0145
2006-09-01,4152.0,526971.84,0.13,,0.53,,1523.04,4140.0,12.0,525448.8,,,,,,,,0.0,,30.0,,,,,,,5011.0,0.53,0.63,,,0.7,0.7,591269.0,75043861.48,,74.86,0.7,50.0,0.5,50.0,0.007
2006-09-04,4145.0,527699.95,0.12,,0.53,,1527.72,4133.0,12.0,526172.23,,,3.0,,,,,0.0,,11.0,,,,3.0,,,,0.53,,,,0.67,0.67,610502.0,77723009.62,,77.38,0.67,49.92,0.5,50.08,0.0067
2006-09-05,44144.0,5598783.52,1.31,,5.62,,5074721.96,4132.0,40012.0,524061.56,,,10.0,,,40000.0,,0.0,,11.0,,,,10.0,5.09,,,0.53,,,,0.67,0.67,610430.0,77420836.9,,77.44,0.68,0.03,0.9988,99.94,0.0718
2006-09-06,44177.0,5536703.41,1.3,,5.64,,5014703.96,4165.0,40012.0,521999.45,,,39.0,,,,,0.0,,7.0,,,,39.0,,,,0.53,,,,0.72,0.72,576843.0,72295733.19,,73.32,0.72,0.03,0.9988,99.94,0.076
2006-09-07,4258.0,528588.12,0.13,,0.53,,1489.68,4246.0,12.0,527098.44,,,81.0,,,,,,,,,,,81.0,,,40000.0,0.53,5.12,,,0.73,0.73,577974.0,71749692.36,,72.25,0.73,49.77,0.5,50.23,0.0073
2006-09-08,9211.0,1149901.24,0.28,,1.15,,622202.56,4227.0,4984.0,527698.68,,,,,,4972.0,,0.0,,19.0,,,,,0.62,,,0.53,,,,0.73,0.73,577596.0,72107084.64,,72.08,0.73,0.24,0.9904,99.52,0.0158
2006-09-11,9249.0,1149743.19,0.31,,1.15,,624284.82,4227.0,5022.0,525458.37,,,1.0,0.0,,,,0.0,38.0,0.0,,,0.0,1.0,,,,0.53,,,,0.73,0.73,577672.0,71810406.32,,71.96,0.73,0.24,0.9905,99.52,0.0159
2006-09-12,9225.0,1156999.5,0.3,,1.15,,625845.8,4235.0,4990.0,531153.7,,,11.0,,,,,0.0,,4.0,,,,11.0,,,32.0,0.53,0.0,,,0.73,0.73,577608.0,72443595.36,,71.88,0.73,0.24,0.9904,99.52,0.0159
2006-09-13,9172.0,1154938.24,0.32,,1.15,,629851.84,4170.0,5002.0,525086.4,,,1.0,0.01,,,,0.01,12.0,66.0,,,0.01,1.0,,,,0.52,,,,0.72,0.72,576672.0,72614538.24,,72.33,0.72,0.24,0.9905,99.52,0.0158
2006-09-14,11170.0,1410100.8,0.38,,1.41,,631831.2,6164.0,5005.0,778143.36,,,1995.0,0.0,,,,0.0,3.0,1.0,,,0.0,1995.0,,,,0.78,,,,1.06,1.06,576994.0,72839722.56,,72.64,1.06,28.47,0.5879,71.19,0.0192
2006-09-15,11190.0,1414416.0,0.34,,1.42,,886316.8,6178.0,7012.0,780899.2,,,14.0,0.0,,2000.0,,,6.0,,,,0.0,14.0,0.25,,,0.78,,,,1.05,1.05,580355.0,73356872.0,,73.55,1.05,28.47,0.5878,71.18,0.0191
2006-09-18,11166.0,1411940.7,0.32,,1.41,,886667.4,6154.0,7012.0,778173.3,,,,0.0,,,,0.0,0.0,24.0,,,0.0,,,,,0.78,,,,1.01,1.01,603473.0,76309160.85,,76.36,1.01,28.47,0.5878,71.18,0.0183
2006-09-19,15016.0,1891115.04,0.42,,1.9,,883091.28,10004.0,7012.0,1259903.76,,,3849.0,0.0,,,,,0.0,,,,0.0,3849.0,,,,1.27,,,,1.64,1.64,600082.0,75574327.08,,75.86,1.64,28.47,0.5878,71.19,0.0246
2006-09-20,20845.0,2658988.2,0.56,,2.64,,1259527.44,12956.0,9874.0,1652667.36,,,2963.0,0.37,,,,0.0,2900.0,11.0,,,0.37,2963.0,,,38.0,1.64,0.0,,,2.13,2.13,596662.0,76110204.72,,75.18,2.14,29.61,0.3799,50.19,0.0342
2006-09-21,20861.0,2668539.12,0.56,,2.67,,1266919.68,12954.0,9904.0,1657075.68,,,25.0,0.01,,,,0.0,29.0,27.0,,,0.01,25.0,,,,1.66,,,,2.12,2.12,596814.0,76344446.88,,76.11,2.13,29.4,0.3804,50.34,0.0342
2006-09-22,21029.0,2658065.6,0.54,,2.67,,1257427.2,13096.0,9948.0,1655334.4,,,142.0,0.0,,,,,44.0,,,,0.0,142.0,,,,1.66,,,,2.14,2.14,598621.0,75665694.4,,75.7,2.15,29.1,0.3812,50.56,0.0344
2006-09-25,26038.0,3274278.5,0.66,,3.28,,1248320.25,18117.0,9927.0,2278212.75,,,5021.0,,,,,,,,,,,5021.0,,,20.0,2.28,0.01,,,2.96,2.96,593851.0,74676763.25,,75.05,2.95,29.24,0.3808,50.46,0.0425
2006-09-26,30740.0,3932568.2,0.77,,3.91,,1894771.23,17909.0,14811.0,2291098.37,,,,0.62,,,,0.02,4883.0,208.0,,,0.62,,,,,2.28,,,,2.91,2.91,596715.0,76337749.95,,75.27,2.93,19.78,0.5029,66.78,0.05
2006-09-27,30867.0,3973200.24,0.65,,3.96,,1914838.72,17984.0,14876.0,2314900.48,,,76.0,0.02,,,,,65.0,,,,0.02,76.0,,,,2.31,,,,2.99,2.99,583102.0,75056889.44,,74.63,3.0,19.61,0.5043,66.93,0.0514
2006-09-28,70794.0,9126054.54,1.51,,8.97,,5452506.27,30529.0,42297.0,3935493.39,,,12545.0,1.56,,15000.0,,,12421.0,,,,1.56,12545.0,1.89,,,3.87,,,,5.21,5.21,555158.0,71565417.78,,71.37,5.14,35.26,0.4115,52.91,0.1209
2006-09-29,70864.0,9149959.68,1.45,,8.97,,5465004.0,30573.0,42325.0,3947585.76,,,45.0,0.0,,,,0.0,28.0,1.0,,,0.0,45.0,,,,3.87,,,,5.2,5.2,557218.0,71947988.16,,71.76,5.12,35.23,0.4116,52.94,0.1206
2006-10-02,67815.0,8716940.1,1.32,,8.58,,5446111.26,27484.0,42369.0,3532793.36,,,9.0,0.02,,,,0.38,44.0,3098.0,,,0.02,9.0,,,,3.48,,,,4.67,4.67,560527.0,72050140.58,,72.19,4.6,35.21,0.4121,53.0,0.1153
