,AKE FP Equity_DX_SI_QTY,AKE FP Equity_DX_SHORT_INTEREST_VALUE,AKE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AKE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AKE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AKE FP Equity_DX_SI_MV,AKE FP Equity_DX_DSS,AKE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AKE FP Equity_DX_SUPPLY_SI_QTY,AKE FP Equity_DX_BROKER_SI_QTY,AKE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AKE FP Equity_DX_BROKER_SI_MV_NEW_x,AKE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AKE FP Equity_DX_SUPPLY_SI_QTY_INC_x,AKE FP Equity_DX_BROKER_SI_MV_INC_x,AKE FP Equity_DX_SUPPLY_SI_MV_NEW,AKE FP Equity_DX_BROKER_SI_QTY_ADD,AKE FP Equity_DX_BROKER_SI_QTY_NEW,AKE FP Equity_DX_SUPPLY_SI_MV_DEC,AKE FP Equity_DX_BROKER_SI_QTY_INC,AKE FP Equity_DX_SUPPLY_SI_QTY_DEC,AKE FP Equity_DX_BROKER_SI_MV_NEW_y,AKE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AKE FP Equity_DX_BROKER_SI_MV_INC_y,AKE FP Equity_DX_SUPPLY_SI_QTY_INC_y,AKE FP Equity_DX_BROKER_SI_MV_ADD,AKE FP Equity_DX_SUPPLY_SI_QTY_ADD,AKE FP Equity_DX_BROKER_SI_QTY_DEC,AKE FP Equity_DX_SUPPLY_SI_MV,AKE FP Equity_DX_BROKER_SI_MV_DEC,AKE FP Equity_DX_SUPPLY_SI_MV_RMV,AKE FP Equity_DX_BROKER_SI_MV_RMV,AKE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AKE FP Equity_DX_UTILIZATION_QUANTITY,AKE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AKE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AKE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AKE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AKE FP Equity_DX_ACTIVE_UTILIZATION_MV,AKE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AKE FP Equity_DX_BROKER_SI_CON_RATIO,AKE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AKE FP Equity_DX_DEMAND_SUPPLY_RATIO,AKE FP Equity_PX_LAST
2009-07-06,1685266.0,22664178.0,3.08,6.09,2.79,28.41,1.0,16697056.82,515481.0,1241562.0,6932408.97,,,,,,,,4.76,,281218.0,,,,,,,36200.0,8.27,0.7,,,76.6,6.52,157462.0,2117616.33,,2.53,76.58,19.09,0.1591,29.68,0.2133,16.11
2009-07-07,1995861.0,26724564.01,3.65,7.04,3.3,33.5,1.0,17726944.25,765368.0,1323895.0,10248271.85,,,,1.34,,,,0.35,82333.0,22578.0,,,1.34,,,272465.0,,12.34,,,,92.46,9.76,62395.0,835468.59,,1.01,92.46,25.36,0.1788,29.54,0.2545,16.04
2009-07-08,2062694.0,26861816.41,3.77,7.27,3.41,34.46,1.0,18083640.46,767470.0,1388626.0,9994520.88,,,5067.0,0.99,,,,0.07,64731.0,2965.0,,,0.99,5067.0,,,,12.3,,,,92.48,9.83,62395.0,812550.5,,0.97,92.66,24.77,0.1814,30.59,0.2641,15.6
2009-07-09,1995817.0,26324114.88,3.65,7.13,3.3,32.96,1.0,17433398.21,767470.0,1321749.0,10122655.76,,,,0.14,,2500.0,,,9623.0,,,,0.14,,0.04,,79000.0,12.23,1.42,,,92.48,9.82,62395.0,822967.81,,0.98,92.57,26.07,0.186,29.94,0.2555,15.8
2009-07-10,1993106.0,25739297.12,3.64,7.21,3.3,32.68,1.0,16340924.1,821159.0,1265349.0,10604581.74,,,3893.0,0.0,,,,0.65,10000.0,39202.0,,,0.0,3893.0,,88998.0,66400.0,12.98,1.12,,,68.61,10.64,375626.0,4850895.65,,5.92,68.68,26.24,0.1773,27.86,0.2582,15.47
2009-07-13,1888156.0,24896223.62,3.45,6.89,3.12,30.49,1.0,16731846.74,723709.0,1268961.0,9542443.05,,,594.0,0.0,,,,1.68,11112.0,102123.0,,,0.0,594.0,,4079.0,7500.0,11.2,0.12,,,93.15,9.27,53214.0,701651.58,,0.82,93.17,27.74,0.1965,29.58,0.2418,15.795
2009-07-14,1442868.0,19759630.06,2.64,5.26,2.39,23.65,1.0,11220949.72,728017.0,819365.0,9969967.17,,,9640.0,,,,,0.0,,5332.0,,,,9640.0,,,449596.0,11.51,7.26,,,93.19,9.02,53214.0,728749.24,,0.84,93.21,14.63,0.2063,38.69,0.1787,16.405
2009-07-15,1472817.0,21220985.7,2.69,5.3,2.44,24.82,1.0,11805766.06,757966.0,819365.0,10921102.65,,,36495.0,,,,,0.09,,7426.0,,,,36495.0,,880.0,,12.42,,,,94.4,9.86,44976.0,648033.7,,0.73,94.46,15.85,0.2014,37.53,0.1917,17.26
2009-07-16,946311.0,13844200.74,1.73,3.36,1.57,16.19,1.0,11008301.19,298360.0,752465.0,4364903.01,,,,,,,,7.49,,459606.0,,,,,,,66900.0,5.15,1.48,,,3.99,3.99,7186869.0,105141393.41,,124.34,3.98,22.47,0.1506,25.08,0.1264,17.525
2009-07-17,969750.0,13964482.97,1.77,3.43,1.6,17.05,1.0,10950357.86,311496.0,760437.0,4485569.05,,,6909.0,0.15,,,,0.04,7982.0,2331.0,,,0.15,6909.0,,8558.0,10.0,5.45,0.0,,,4.16,4.16,7169676.0,103243947.8,,125.24,4.17,23.63,0.1498,24.14,0.1296,17.25
2009-07-20,925453.0,13894431.52,1.69,3.34,1.53,16.08,1.0,10961559.17,297530.0,730106.0,4467012.6,,,562.0,0.02,,,,0.87,2000.0,49387.0,,,0.02,562.0,,34859.0,32331.0,5.2,0.62,,,3.89,3.89,7341765.0,110226722.52,,127.75,3.91,21.91,0.1511,24.69,0.1211,17.985
2009-07-21,981797.0,14998532.32,1.79,3.58,1.62,17.72,1.0,11287934.81,343957.0,738903.0,5254497.81,,,23149.0,0.34,,,,0.14,9917.0,8222.0,,,0.34,23149.0,,31500.0,1120.0,6.21,0.0,,,4.51,4.51,7275504.0,111145055.36,,130.65,4.53,20.72,0.1443,24.4,0.1289,18.3
2009-07-22,962836.0,14869625.18,1.76,3.48,1.59,17.67,1.0,11221205.31,337305.0,726594.0,5209193.38,,,,0.01,,,,0.6,78.0,33466.0,,,0.01,,,26814.0,12387.0,6.18,0.22,,,4.48,4.48,7185108.0,110963718.46,,131.77,4.48,20.88,0.1484,24.62,0.128,18.5
2009-07-23,1071197.0,16789016.9,1.96,3.9,1.77,19.88,1.0,12442668.05,384955.0,793885.0,6033452.3,,,12553.0,1.34,,,,0.09,67291.0,5802.0,,,1.34,12553.0,,40899.0,,7.15,,,,5.11,5.11,7152619.0,112103974.61,,132.78,5.11,19.46,0.1365,22.92,0.1421,18.775
2009-07-24,1050114.0,16340236.18,1.92,3.82,1.74,19.74,1.0,12499935.08,403864.0,803315.0,6284301.65,,,48085.0,0.4,,,,0.61,15130.0,33017.0,,,0.4,48085.0,,3841.0,5700.0,7.57,0.1,,,5.35,5.35,7149941.0,111256229.89,,133.71,5.36,20.36,0.1433,23.5,0.139,18.64
2009-07-27,1067219.0,16748941.69,1.95,3.88,1.77,19.93,1.0,12667511.34,412374.0,807156.0,6471800.15,,,3497.0,0.08,,,,0.84,3841.0,45334.0,,,0.08,3497.0,,50347.0,,7.68,,,,5.34,5.34,7303002.0,114613359.29,,136.3,5.34,20.04,0.1416,23.11,0.1383,18.8
2009-07-28,1031588.0,15569715.63,1.89,3.79,1.71,19.43,1.0,11354674.72,431583.0,752316.0,6513864.63,,,,,,,,0.21,,12529.0,,,,,,31738.0,54840.0,8.11,0.96,,,5.6,5.6,7276800.0,109828445.77,,135.91,5.63,19.33,0.1316,21.16,0.1338,18.08
2009-07-29,1025177.0,15823834.73,1.87,3.77,1.7,18.78,1.0,11612164.58,423329.0,752316.0,6534177.15,,,,,,,,0.18,,8254.0,,,,,,,,7.68,,,,5.46,5.46,7324475.0,113054898.68,,133.14,5.45,19.29,0.1331,21.98,0.1323,18.49
2009-07-30,1048729.0,16660116.68,1.92,4.0,1.73,19.41,1.0,12329654.6,423064.0,776133.0,6720797.85,,,,0.5,,,,0.0,28210.0,265.0,,,0.5,,,,4393.0,7.83,0.09,,,5.56,5.56,7181764.0,114089556.23,,133.27,5.55,20.32,0.137,22.27,0.1379,19.03
2009-07-31,1023608.0,17192444.09,1.87,3.92,1.69,19.44,1.0,13069464.19,395943.0,778133.0,6650229.28,,,,0.14,,,,0.58,2000.0,31500.0,,,0.14,,,4379.0,,7.53,,,,4.95,4.95,7607903.0,127781774.85,,145.75,4.91,20.9,0.143,22.74,0.1279,20.12
2009-08-03,1058854.0,18416434.78,1.94,4.06,1.75,21.23,1.0,13533910.85,431189.0,778133.0,7499583.6,,,5540.0,,,,,0.2,,11794.0,,,,5540.0,,41500.0,,8.67,,,,5.45,5.45,7474150.0,129996388.55,,151.14,5.42,20.19,0.1352,22.11,0.1339,20.835
2009-08-04,1016972.0,18227076.37,1.86,3.89,1.68,21.15,1.0,13910545.68,391307.0,776133.0,7013351.96,,,385.0,,,,,0.76,,40267.0,,,,385.0,,,2000.0,8.16,0.0,,,5.21,5.21,7123231.0,127668879.19,,148.82,5.2,20.83,0.1451,23.18,0.1353,21.47
2009-08-05,822033.0,14606255.05,1.5,3.09,1.36,17.59,1.0,10602471.68,378158.0,596702.0,6719282.8,,,5208.0,0.22,,,,0.35,9800.0,19027.0,,,0.22,5208.0,,670.0,189231.0,8.12,3.74,,,4.96,4.96,7248668.0,128797619.52,,155.35,4.97,17.06,0.1256,19.31,0.1078,21.285
2009-08-06,754021.0,13470173.44,1.38,2.94,1.25,16.01,1.0,10659755.41,307187.0,596702.0,5487728.02,,,,,,,,1.73,,80605.0,,,,,,9634.0,,6.55,,,,4.0,4.0,7368851.0,131640499.45,,156.74,4.01,18.42,0.1357,20.83,0.0982,21.4
2009-08-07,788897.0,14040529.23,1.44,3.1,1.3,16.87,1.0,10881531.62,327363.0,611402.0,5826298.96,,,10103.0,0.33,,,,0.09,14700.0,4240.0,,,0.33,10103.0,,14313.0,,7.02,,,,4.38,4.38,7149605.0,127246317.26,,153.03,4.39,19.08,0.1315,20.17,0.1055,21.32
2009-08-10,789478.0,14258469.29,1.44,3.13,1.31,16.82,1.0,11091230.96,329496.0,614111.0,5950905.03,,,4261.0,0.04,,,,0.05,2709.0,2128.0,,,0.04,4261.0,,,,7.04,,,,4.3,4.3,7341767.0,132596930.29,,156.97,4.3,19.22,0.1321,20.11,0.1029,21.635
2009-08-11,727200.0,12511455.48,1.33,2.89,1.2,15.67,1.0,8797882.76,385978.0,511357.0,6640740.6,,,9618.0,,,20000.0,,0.15,,7727.0,,,,9618.0,0.41,54591.0,122754.0,8.32,2.55,,,5.0,5.0,7330649.0,126123609.2,,157.32,5.02,15.23,0.1093,18.64,0.0942,20.61
2009-08-12,695596.0,12539674.32,1.27,2.78,1.15,14.34,1.0,8877639.32,346460.0,492457.0,6245716.72,,,,0.53,,,,0.95,28726.0,39518.0,,,0.53,,,,47626.0,7.19,1.13,,,4.49,4.49,7369781.0,132856792.69,,153.1,4.49,14.32,0.1064,19.45,0.0901,21.595
2009-08-13,714892.0,13347050.77,1.32,2.84,1.18,15.24,1.0,9446322.67,375770.0,505962.0,7015634.91,,,23520.0,1.05,,,,0.0,51353.0,1.0,,,1.05,23520.0,,5791.0,37848.0,8.15,0.7,,,4.84,4.84,7392329.0,138014959.6,,157.63,4.92,17.32,0.1128,19.16,0.092,22.365
2009-08-14,714531.0,13414871.09,1.32,2.77,1.18,15.68,1.0,9358330.0,431579.0,498463.0,8102624.87,,,59997.0,,,3983.0,,0.0,,4188.0,,,,59997.0,0.09,,11482.0,9.67,0.2,,,5.51,5.51,7401122.0,138951420.7,,162.23,5.63,16.54,0.1125,19.29,0.0912,22.49
2009-08-17,806542.0,14310805.2,1.48,3.15,1.33,17.98,1.0,10342491.6,489341.0,582892.0,8682577.88,,,34465.0,1.49,,32000.0,,0.1,57129.0,4483.0,,,1.49,34465.0,0.68,27780.0,4700.0,10.95,0.1,,,6.22,6.22,7373155.0,130824910.43,,164.45,6.24,16.8,0.1088,16.81,0.1026,21.255
2009-08-18,834241.0,15000757.9,1.54,3.24,1.38,17.79,1.0,10769176.91,500819.0,598909.0,9005388.82,,,18317.0,0.36,,,,0.69,20000.0,28333.0,,,0.36,18317.0,,21494.0,3983.0,10.66,0.1,,,6.35,6.35,7380901.0,132718373.93,,157.17,6.35,16.03,0.1074,16.22,0.1058,21.54
2009-08-19,856861.0,16172863.15,1.58,3.34,1.42,18.5,1.0,11751802.53,559245.0,622627.0,10555495.99,,,59988.0,0.95,,,,0.15,41221.0,7800.0,,,0.95,59988.0,,6238.0,17503.0,12.15,0.35,,,7.02,7.02,7405640.0,139778099.66,,160.67,7.03,15.51,0.1075,15.58,0.1076,22.61
2009-08-20,932262.0,18304221.92,1.72,3.5,1.54,21.2,1.0,12210687.93,619695.0,621909.0,12167217.8,,,73359.0,0.35,,,,0.46,7103.0,22109.0,,,0.35,73359.0,,9200.0,7821.0,14.17,0.03,,,7.66,7.66,7474891.0,146763531.84,,168.83,7.74,14.45,0.1143,18.06,0.1152,23.52
2009-08-21,937556.0,18635136.82,1.73,3.51,1.55,21.94,1.0,12348245.79,646965.0,621255.0,12859265.26,,,10756.0,,,,,1.13,,51144.0,,,,10756.0,,67658.0,654.0,15.26,0.01,,,8.02,8.02,7422392.0,147529630.75,,172.83,8.11,15.35,0.1206,17.67,0.1162,23.81
2009-08-24,919490.0,18778815.86,1.69,3.43,1.52,21.85,1.0,12167150.75,654399.0,595755.0,13364841.73,,,1753.0,0.01,,,,0.82,200.0,34882.0,,,0.01,1753.0,,40563.0,25700.0,15.71,0.58,,,8.08,8.08,7443132.0,152011664.36,,175.6,8.21,15.53,0.1119,15.79,0.1136,24.465
2009-08-25,891170.0,18352941.51,1.64,3.32,1.47,21.6,1.0,11685875.16,622751.0,567435.0,12825064.44,,,,0.08,,,,0.64,3328.0,31648.0,,,0.08,,,,31648.0,15.21,0.68,,,7.64,7.64,7533351.0,155143407.31,,182.7,7.68,14.78,0.1085,16.18,0.1093,24.67
2009-08-26,881725.0,17264124.73,1.62,3.35,1.46,21.43,1.0,11560448.34,671817.0,590423.0,13154138.17,,,98167.0,0.6,,,,1.26,22988.0,53855.0,,,0.6,98167.0,,4754.0,,16.59,,,,8.15,8.15,7574007.0,148298620.92,,185.49,8.21,14.54,0.1072,15.83,0.1069,23.455
2009-08-27,903468.0,17282581.33,1.66,3.48,1.49,20.99,1.0,11465462.04,688968.0,599371.0,13179377.13,,,4596.0,0.1,,,,0.06,10756.0,2294.0,,,0.1,4596.0,,14849.0,1808.0,16.08,0.04,,,8.34,8.34,7573425.0,144873236.83,,177.76,8.3,15.37,0.108,15.53,0.1093,22.915
2009-08-28,848223.0,16576293.63,1.56,3.31,1.4,19.46,1.0,11533500.5,653312.0,590179.0,12767269.39,,,13030.0,,,,,1.11,,48686.0,,,,13030.0,,,9192.0,15.07,0.25,,,7.89,7.89,7622916.0,148969898.12,,175.97,7.89,14.46,0.1076,15.61,0.1025,23.41
2009-08-31,901007.0,17111399.82,1.66,3.43,1.49,20.74,1.0,12255750.24,640645.0,645331.0,12166756.46,,,4662.0,1.62,,4662.0,,0.47,69751.0,19329.0,,,1.62,4662.0,0.12,2000.0,19261.0,14.92,0.44,,,7.73,7.73,7643328.0,145157630.69,,177.65,7.75,13.0,0.0971,14.61,0.1088,22.75
2009-09-01,862347.0,15974060.76,1.59,3.32,1.43,19.53,1.0,11338630.98,611900.0,612107.0,11334796.53,,,3300.0,0.0,,,,0.83,85.0,32045.0,,,0.0,3300.0,,,33309.0,13.89,0.79,,,7.35,7.35,7718268.0,142972703.56,,175.13,7.35,13.07,0.0986,15.54,0.1035,22.19
2009-09-02,814705.0,15020132.31,1.5,3.12,1.35,18.11,1.0,10822006.2,586058.0,586995.0,10804731.4,,,1582.0,,,,,0.64,,27424.0,,,,1582.0,,,25112.0,13.0,0.6,,,6.93,6.93,7871379.0,145118974.36,,174.65,6.93,13.96,0.1001,16.27,0.0963,22.085
2009-09-03,815177.0,15253399.11,1.5,3.09,1.35,18.08,1.0,11035823.79,583745.0,589780.0,10922898.29,,,,0.17,,,,0.03,10111.0,2313.0,,,0.17,,,,7326.0,13.0,0.18,,,6.89,6.89,7891285.0,147659857.41,,175.06,6.91,14.27,0.1009,16.22,0.0962,22.415
2009-09-04,807023.0,15393879.74,1.49,3.06,1.33,18.08,1.0,10882762.23,579265.0,570528.0,11049419.59,,,4900.0,0.11,,,,0.19,4900.0,11615.0,,,0.11,4900.0,,2235.0,24152.0,13.03,0.51,,,6.94,6.94,7765294.0,148122174.97,,174.51,6.95,14.56,0.102,16.57,0.0967,22.85
2009-09-07,877023.0,17252593.91,1.61,3.36,1.45,19.96,1.0,12108524.66,604265.0,615528.0,11886961.52,,,,1.04,,,,0.5,45000.0,25000.0,,,1.04,,,50000.0,,13.89,,,,7.15,7.15,7852533.0,154473215.62,,179.87,7.17,13.58,0.0911,14.87,0.1037,23.565
2009-09-08,696071.0,13780108.67,1.28,2.68,1.15,16.29,1.0,8642394.55,506648.0,436551.0,10030103.96,,,4400.0,0.44,,,,2.35,16938.0,102017.0,,,0.44,4400.0,,,195915.0,11.92,4.29,,,5.94,5.94,8021391.0,158799374.82,,188.7,5.94,12.39,0.0919,12.8,0.0816,23.715
2009-09-09,733119.0,14577807.3,1.35,2.88,1.21,17.31,1.0,9616191.96,526443.0,483599.0,10468129.47,,,,1.23,,,,0.26,49779.0,12731.0,,,1.23,,,32526.0,2731.0,12.5,0.07,,,6.1,6.1,8098858.0,161042874.75,,192.07,6.11,11.87,0.0959,16.53,0.085,23.82
2009-09-10,741382.0,14998956.12,1.36,2.95,1.23,17.76,1.0,10317464.74,533324.0,509981.0,10789718.76,,,31290.0,0.7,,,,0.61,26382.0,25733.0,,,0.7,31290.0,,1324.0,,12.75,,,,6.18,6.18,8092094.0,163711774.53,,193.12,6.19,11.73,0.1029,19.09,0.086,24.235
2009-09-11,742095.0,15022673.25,1.37,2.92,1.23,18.2,1.0,10058133.15,534625.0,496855.0,10822733.87,,,20739.0,,,,,0.46,,19438.0,,,,20739.0,,,13126.0,12.97,0.1,,,6.2,6.2,8086620.0,163702288.77,,195.66,6.22,14.35,0.1037,17.97,0.0861,24.25
2009-09-14,719578.0,14323566.76,1.32,2.87,1.19,17.91,1.0,9441939.6,527819.0,474338.0,10506506.15,,,,,,,,0.16,,6806.0,,,,,,,22517.0,12.78,0.29,,,6.12,6.12,8098328.0,161201345.48,,195.82,6.12,14.52,0.1033,17.3,0.0834,23.845
2009-09-15,817740.0,16745139.24,1.51,3.35,1.35,19.63,1.0,11318685.34,526824.0,552742.0,10787953.67,,,19758.0,1.77,,10000.0,,0.58,73879.0,23092.0,,,1.77,19758.0,0.24,2339.0,5475.0,12.65,0.65,,,6.05,6.05,8180107.0,167506824.52,,195.88,6.06,12.38,0.0909,15.64,0.0939,24.53
2009-09-16,819969.0,17095385.69,1.51,3.4,1.36,20.13,1.0,11572783.59,528620.0,555081.0,11021102.97,,,2300.0,0.03,,,,0.0,2339.0,504.0,,,0.03,2300.0,,,,13.02,,,,6.11,6.11,8119397.0,169279842.66,,199.35,6.13,12.46,0.0909,15.64,0.0948,24.975
2009-09-17,814761.0,16248839.74,1.5,3.37,1.35,20.24,1.0,11118623.29,529510.0,557518.0,10560057.65,,,1754.0,0.38,,,,0.33,12012.0,10970.0,,,0.38,1754.0,,10106.0,9575.0,13.11,0.2,,,5.81,5.81,8591336.0,171337658.27,,212.45,5.81,11.92,0.09,14.53,0.0893,23.89
2009-09-18,812113.0,15860449.26,1.49,3.26,1.34,19.51,1.0,10882015.77,530681.0,557199.0,10364123.07,,,24634.0,0.3,,,,1.04,13679.0,37463.0,,,0.3,24634.0,,14000.0,13998.0,12.63,0.49,,,5.92,5.92,8431502.0,164666012.86,,201.27,5.9,12.66,0.0946,15.91,0.0906,23.395
2009-09-21,804087.0,15613085.0,1.48,3.0,1.33,18.93,1.0,11142905.53,500651.0,573869.0,9721219.99,,,9999.0,0.55,,,,1.32,29727.0,55254.0,,,0.55,9999.0,,15225.0,13057.0,11.71,0.35,,,5.69,5.69,8297279.0,161109584.28,,193.91,5.7,13.16,0.0942,13.22,0.0914,23.26
2009-09-22,800980.0,15646366.63,1.47,2.96,1.32,18.72,1.0,11502378.63,459308.0,588838.0,8972135.84,,,5320.0,0.41,,7000.0,,1.18,18000.0,50163.0,,,0.41,5320.0,0.16,3500.0,10031.0,10.7,0.25,,,5.29,5.29,8219246.0,160554990.54,,191.13,5.3,12.51,0.0946,13.17,0.0923,23.4
2009-09-23,677911.0,13117832.63,1.25,2.51,1.12,15.92,1.0,9993114.59,350624.0,516430.0,6784706.18,,,3648.0,0.07,,,,2.69,2209.0,113147.0,,,0.07,3648.0,,815.0,74617.0,8.11,1.72,,,3.83,3.83,8813734.0,170549065.4,,191.83,4.06,14.49,0.1019,15.58,0.074,23.18
2009-09-24,704984.0,13376875.01,1.3,2.61,1.17,16.39,1.0,10741570.83,298657.0,566099.0,5666933.38,,,,,,85000.0,,2.76,,120685.0,,,,,1.99,68718.0,35331.0,6.9,0.86,,,3.12,3.12,9268743.0,175871816.42,,213.98,3.12,14.0,0.1031,14.92,0.0737,22.73
2009-09-25,612234.0,11289874.99,1.13,2.28,1.01,14.07,1.0,8674059.23,284569.0,470382.0,5247582.52,,,4400.0,,,,,0.42,,18488.0,,,,4400.0,,,95717.0,6.43,2.22,,,2.94,2.94,9406411.0,173458521.19,,211.53,2.95,14.32,0.1051,16.38,0.0632,22.09
2009-09-28,574143.0,11330355.05,1.06,2.11,0.95,12.95,0.0,8522863.49,283514.0,431879.0,5594972.48,,,,0.09,,,,0.03,4400.0,1467.0,,,0.09,,,412.0,42903.0,6.32,1.04,,,2.65,2.65,10418998.0,205612446.12,,210.33,2.92,15.59,0.1164,17.84,0.0536,23.64
2009-09-29,504889.0,10216555.47,0.93,1.8,0.84,11.91,0.0,7100448.28,217457.0,350895.0,4400296.9,,,,0.02,,,,1.79,200.0,85040.0,,,0.02,,,18983.0,81184.0,5.19,1.75,,,2.26,2.26,9424242.0,190701899.12,,222.8,2.28,17.91,0.1209,18.72,0.0524,24.24
2009-09-30,542162.0,10898369.55,1.0,1.87,0.9,12.95,0.0,7450890.43,212519.0,370660.0,4271989.92,,,17508.0,0.57,,,,0.95,24066.0,39560.0,,,0.57,17508.0,,17114.0,4301.0,5.12,0.1,,,2.21,2.21,9393248.0,188820109.1,,225.78,2.22,16.98,0.1137,18.17,0.0564,24.08
2009-10-01,543919.0,10915525.94,1.0,1.9,0.9,12.98,0.0,7438513.54,223699.0,370660.0,4489257.11,,,10526.0,,,,,,,,,,,10526.0,,654.0,,5.36,,,,2.3,2.3,9503318.0,190715371.46,,228.71,2.29,16.97,0.1133,18.0,0.0559,24.04
2009-10-02,531242.0,10426078.85,0.98,1.78,0.88,12.65,0.0,7219567.29,212246.0,367860.0,4165509.38,,,,0.3,,,,0.26,12200.0,11453.0,,,0.3,,,,15000.0,5.07,0.36,,,2.19,2.19,9464331.0,185745594.81,,226.37,2.19,15.08,0.1055,17.18,0.0549,23.51
2009-10-05,555739.0,11094742.66,1.02,1.84,0.92,13.08,0.0,7815944.24,210161.0,391503.0,4195642.58,,,5468.0,0.72,,,,0.21,29843.0,7553.0,,,0.72,5468.0,,,6200.0,4.96,0.15,,,2.19,2.19,9368263.0,187027484.44,,220.92,2.2,14.07,0.0996,16.3,0.058,23.915
2009-10-06,608500.0,12683966.84,1.12,2.02,1.01,14.55,1.0,8170725.86,262443.0,391982.0,5470531.32,,,50253.0,0.02,,,,0.13,479.0,5880.0,,,0.02,50253.0,,7909.0,,6.39,,,,2.7,2.7,9453215.0,197048916.28,,227.47,2.73,14.53,0.1014,15.18,0.0626,24.97
2009-10-07,626939.0,13104956.52,1.15,2.06,1.04,15.46,1.0,8028768.79,277019.0,384095.0,5790550.52,,,27133.0,0.11,,10000.0,,0.27,4200.0,12943.0,,,0.11,27133.0,0.25,386.0,22087.0,6.93,0.4,,,2.85,2.85,9442895.0,197385596.34,,235.93,2.85,13.73,0.1025,19.22,0.0645,25.04
2009-10-08,534472.0,12106838.72,0.98,1.77,0.88,13.7,0.0,6623070.87,292955.0,292384.0,6636005.14,,,,0.87,,,,0.08,31692.0,3303.0,,,0.87,,,19239.0,38770.0,7.6,0.96,,1.94,3.0,3.0,9456573.0,214209919.64,,240.53,3.06,12.33,0.119,23.67,0.0548,27.135
2009-10-09,578870.0,13402480.56,1.07,1.85,0.96,15.76,0.0,7001648.29,327327.0,302410.0,7578547.44,,,14286.0,0.38,,,,0.06,10026.0,2411.0,,,0.38,14286.0,,22497.0,,8.98,,,,3.3,3.3,9603966.0,222359022.94,,261.83,3.32,12.73,0.1275,25.86,0.0583,27.735
2009-10-12,604843.0,14119959.64,1.11,1.93,1.0,16.67,1.0,7666677.05,340665.0,328410.0,7952767.99,,,17000.0,0.28,,17000.0,,0.12,9000.0,5662.0,,,0.28,17000.0,0.47,2000.0,,9.45,,,,3.42,3.42,9617717.0,224524010.18,,265.76,3.43,11.89,0.121,24.58,0.0607,27.965
2009-10-13,785566.0,18004459.97,1.45,2.47,1.3,21.82,1.0,10414412.8,418481.0,454399.0,9591204.83,,,28751.0,3.61,,,,0.02,125989.0,1096.0,,,3.61,28751.0,,50161.0,,11.59,,,,4.19,4.19,9574587.0,219440846.91,,266.4,4.17,18.96,0.1224,21.04,0.0786,27.455
2009-10-14,839644.0,20642222.79,1.55,2.63,1.39,23.7,1.0,12228302.68,472559.0,497399.0,11617623.85,,,44001.0,1.31,,,,0.02,43000.0,83.0,,,1.31,44001.0,,10160.0,,13.34,,,,4.74,4.74,9506647.0,233716105.07,,264.63,4.8,18.53,0.1247,21.1,0.0841,29.45
2009-10-15,886423.0,21792260.83,1.63,2.69,1.47,25.9,1.0,14098690.97,468258.0,573479.0,11511885.94,,,687.0,1.5,,36890.0,,0.05,43390.0,4988.0,,,1.5,687.0,1.04,,4200.0,13.78,0.09,,,4.68,4.68,9533602.0,234378780.1,,280.54,4.68,19.59,0.1295,22.14,0.0886,29.45
2009-10-16,853398.0,20837876.71,1.57,2.54,1.41,24.93,1.0,12784973.21,485114.0,523598.0,11845288.74,,,10739.0,,,,,0.19,,6368.0,,,,10739.0,,12485.0,49881.0,14.24,1.41,,,4.81,4.81,9610629.0,234667883.19,,282.85,4.79,17.31,0.1213,21.53,0.0845,29.25
2009-10-19,857580.0,21000842.1,1.58,2.46,1.42,24.98,1.0,12826974.85,484016.0,523796.0,11852822.58,,,11326.0,1.28,,,,2.2,44600.0,73935.0,,,1.28,11326.0,,61511.0,44402.0,14.15,1.31,,,4.82,4.82,9554130.0,233966248.66,,279.11,4.82,21.06,0.1264,21.7,0.0854,29.335
2009-10-20,883711.0,21216567.12,1.63,2.46,1.46,25.7,1.0,13332322.9,498186.0,555317.0,11960693.83,,,10638.0,1.46,,,,0.23,48388.0,7370.0,,,1.46,10638.0,,10902.0,16867.0,14.48,0.49,,,4.93,4.93,9605700.0,230618356.87,,280.63,4.91,22.6,0.1398,24.0,0.0875,28.76
