,CJ1 FP Equity_DX_SI_QTY,CJ1 FP Equity_DX_SHORT_INTEREST_VALUE,CJ1 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CJ1 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CJ1 FP Equity_DX_SI_MV,CJ1 FP Equity_DX_DSS,CJ1 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CJ1 FP Equity_DX_SUPPLY_SI_QTY,CJ1 FP Equity_DX_BROKER_SI_QTY,CJ1 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CJ1 FP Equity_DX_BROKER_SI_MV_NEW_x,CJ1 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CJ1 FP Equity_DX_BROKER_SI_MV_INC_x,CJ1 FP Equity_DX_BROKER_SI_QTY_ADD,CJ1 FP Equity_DX_BROKER_SI_QTY_NEW,CJ1 FP Equity_DX_SUPPLY_SI_MV_DEC,CJ1 FP Equity_DX_BROKER_SI_QTY_INC,CJ1 FP Equity_DX_SUPPLY_SI_QTY_DEC,CJ1 FP Equity_DX_BROKER_SI_MV_NEW_y,CJ1 FP Equity_DX_BROKER_SI_MV_INC_y,CJ1 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CJ1 FP Equity_DX_BROKER_SI_MV_ADD,CJ1 FP Equity_DX_SUPPLY_SI_QTY_ADD,CJ1 FP Equity_DX_BROKER_SI_QTY_DEC,CJ1 FP Equity_DX_SUPPLY_SI_MV,CJ1 FP Equity_DX_BROKER_SI_MV_DEC,CJ1 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CJ1 FP Equity_DX_UTILIZATION_QUANTITY,CJ1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CJ1 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CJ1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CJ1 FP Equity_DX_ACTIVE_UTILIZATION_MV,CJ1 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CJ1 FP Equity_DX_BROKER_SI_CON_RATIO,CJ1 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CJ1 FP Equity_DX_DEMAND_SUPPLY_RATIO,CJ1 FP Equity_PX_LAST
2009-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.82
2009-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.87
2009-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.87
2009-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.86
2009-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.59
2009-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.53
2009-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.29
2009-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.82
2009-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.52
2009-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.31
2009-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.78
2009-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.29
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.44
2009-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.4
2009-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.16
2009-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.98
2009-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.28
2009-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2
2009-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.21
2009-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.85
2009-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7
2009-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.61
2009-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.38
2009-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.59
2009-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.14
2009-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.08
2009-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.98
2009-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.78
2009-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.58
2009-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.53
2009-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.65
2009-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.66
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.59
2009-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.54
2009-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.41
2009-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0
2009-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.31
2009-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.83
2009-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.57
2009-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.65
2009-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.58
2009-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.76
2009-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.32
2009-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.9
2009-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.04
2009-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.66
2009-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.74
2009-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9
2009-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.83
2009-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.65
2009-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.04
2009-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.24
2009-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.94
2009-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.16
2009-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.12
2009-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.35
2009-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.94
2009-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.14
2009-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.24
2009-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.18
2009-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.14
2009-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.05
2009-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1
2009-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.91
2009-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.74
2009-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.74
2009-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.25
2009-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.14
2009-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3
2009-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.04
2009-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.63
2009-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7
2009-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.17
2009-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.03
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.59
2009-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.67
2009-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.04
2009-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9
2009-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.01
2009-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.43
2009-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.23
2009-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.05
2009-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.99
2009-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9
2009-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6
2009-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.14
2009-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.56
2009-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8
2009-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.03
2009-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.48
2009-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.05
2009-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.44
2009-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.83
2009-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.44
2009-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2
2009-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.01
2009-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.09
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.21
2009-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.59
2009-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.06
2009-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.76
2009-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.81
2009-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.51
2009-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.82
2009-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.02
2009-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.94
2009-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.16
2009-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.41
2009-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.67
2009-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.08
2009-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.54
2009-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.47
2009-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.09
2009-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.95
2009-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.98
2009-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.81
2009-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.77
2009-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.63
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.21
2009-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.88
2009-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.24
2009-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.16
2009-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.22
2009-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.18
2009-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.59
2009-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.94
2009-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.65
2009-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.26
2009-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.77
2009-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.96
2009-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8
2009-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.62
2009-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.08
2009-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.59
2009-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.81
2009-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.77
2009-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.61
2009-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.73
2009-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.29
2009-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.35
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.6
2009-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.17
2009-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.83
2009-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.39
2009-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.87
2009-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.01
2009-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.26
2009-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.68
2009-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.21
2009-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.39
2009-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.65
2009-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.79
2009-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.36
2009-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1
2009-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8
2009-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.73
2009-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.28
2009-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.93
2009-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.38
2009-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.74
2009-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.55
2009-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.15
2009-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.27
2009-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.07
2009-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.07
2009-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.64
2009-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04
2009-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.31
2009-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.89
2009-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.98
2009-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.24
2009-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.37
2009-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.02
2009-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.04
2009-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.68
2009-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1
2009-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.62
2009-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.38
2009-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.84
2009-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.32
2009-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.49
2009-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.26
2009-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3
2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0
2009-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7
2009-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.88
2009-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.17
2009-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.42
2009-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.33
2009-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.03
2009-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.87
2009-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.81
2009-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.56
2009-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.37
2009-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3
2009-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.1
2009-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.69
2009-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.55
2009-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.92
2009-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.02
2009-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.06
2009-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1
2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.69
2009-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.78
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.62
2010-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.78
2010-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.68
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.31
2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.87
2010-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.18
2010-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.25
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.79
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.18
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.91
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.22
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.39
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.74
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.72
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.87
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.86
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.38
2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.18
2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.63
