,APX FP Equity_DX_SI_QTY,APX FP Equity_DX_SHORT_INTEREST_VALUE,APX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,APX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,APX FP Equity_DX_SI_MV,APX FP Equity_DX_DSS,APX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,APX FP Equity_DX_SUPPLY_SI_QTY,APX FP Equity_DX_BROKER_SI_QTY,APX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,APX FP Equity_DX_SUPPLY_SI_QTY_INC_x,APX FP Equity_DX_BROKER_SI_MV_INC_x,APX FP Equity_DX_BROKER_SI_QTY_ADD,APX FP Equity_DX_SUPPLY_SI_MV_DEC,APX FP Equity_DX_BROKER_SI_QTY_INC,APX FP Equity_DX_SUPPLY_SI_QTY_DEC,APX FP Equity_DX_BROKER_SI_MV_INC_y,APX FP Equity_DX_SUPPLY_SI_QTY_INC_y,APX FP Equity_DX_BROKER_SI_MV_ADD,APX FP Equity_DX_SUPPLY_SI_QTY_ADD,APX FP Equity_DX_BROKER_SI_QTY_DEC,APX FP Equity_DX_SUPPLY_SI_MV,APX FP Equity_DX_BROKER_SI_MV_DEC,APX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,APX FP Equity_DX_UTILIZATION_QUANTITY,APX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,APX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,APX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,APX FP Equity_DX_ACTIVE_UTILIZATION_MV,APX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,APX FP Equity_DX_BROKER_SI_CON_RATIO,APX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,APX FP Equity_DX_DEMAND_SUPPLY_RATIO,APX FP Equity_PX_LAST
2009-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.29
2009-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.42
2009-04-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15254.28,0.02,0.0,,0.0,,0.0,
2009-04-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15254.28,0.02,0.0,,0.0,,0.0,
2009-04-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15254.28,0.02,0.0,,0.0,,0.0,
2009-04-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15254.28,0.02,0.0,,0.0,,0.0,
2009-04-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,14711.28,0.02,0.0,,0.0,,0.0,40.91
2009-04-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,14585.42,0.02,0.0,,0.0,,0.0,40.56
2009-04-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,14153.9,0.02,0.0,,0.0,,0.0,39.36
2009-04-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,14829.95,0.02,0.0,,0.0,,0.0,41.24
2009-04-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15462.84,0.02,0.0,,0.0,,0.0,43.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15462.84,0.02,0.0,,0.0,,0.0,
2009-05-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15462.84,0.02,0.0,,0.0,,0.0,
2009-05-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15923.13,0.02,0.0,,0.0,,0.0,44.28
2009-05-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16541.65,0.02,0.0,,0.0,,0.0,46.0
2009-05-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16257.56,0.02,0.0,,0.0,,0.0,45.21
2009-05-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16469.73,0.02,0.0,,0.0,,0.0,45.8
2009-05-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15894.37,0.02,0.0,,0.0,,0.0,44.2
2009-05-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15887.17,0.02,0.0,,0.0,,0.0,44.18
2009-05-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15772.1,0.02,0.0,,0.0,,0.0,43.86
2009-05-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15333.39,0.02,0.0,,0.0,,0.0,42.64
2009-05-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15592.3,0.02,0.0,,0.0,,0.0,43.36
2009-05-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16174.85,0.02,0.0,,0.0,,0.0,44.98
2009-05-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16394.21,0.02,0.0,,0.0,,0.0,45.59
2009-05-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16394.21,0.02,0.0,,0.0,,0.0,
2009-05-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15700.18,0.02,0.0,,0.0,,0.0,43.66
2009-05-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15462.84,0.02,0.0,,0.0,,0.0,43.0
2009-05-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15462.84,0.02,0.0,,0.0,,0.0,
2009-05-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15534.77,0.02,0.0,,0.0,,0.0,43.2
2009-05-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16002.25,0.02,0.0,,0.0,,0.0,44.5
2009-05-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15991.46,0.02,0.0,,0.0,,0.0,44.47
2009-05-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16045.4,0.02,0.0,,0.0,,0.0,44.62
2009-06-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16505.69,0.02,0.0,,0.0,,0.0,45.9
2009-06-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16261.16,0.02,0.0,,0.0,,0.0,45.22
2009-06-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16106.53,0.02,0.0,,0.0,,0.0,44.79
2009-06-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16023.82,0.02,0.0,,0.0,,0.0,44.56
2009-06-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16548.84,0.02,0.0,,0.0,,0.0,46.02
2009-06-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16196.58,0.02,0.0,,0.0,,0.0,44.6
2009-06-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16309.16,0.02,0.0,,0.0,,0.0,44.91
2009-06-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16559.74,0.02,0.0,,0.0,,0.0,45.6
2009-06-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16559.74,0.02,0.0,,0.0,,0.0,
2009-06-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16548.84,0.02,0.0,,0.0,,0.0,45.57
2009-06-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16065.85,0.02,0.0,,0.0,,0.0,44.24
2009-06-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16033.16,0.02,0.0,,0.0,,0.0,44.15
2009-06-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15709.96,0.02,0.0,,0.0,,0.0,43.26
2009-06-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15706.33,0.02,0.0,,0.0,,0.0,43.25
2009-06-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15891.54,0.02,0.0,,0.0,,0.0,43.76
2009-06-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15550.17,0.02,0.0,,0.0,,0.0,42.82
2009-06-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15263.28,0.02,0.0,,0.0,,0.0,42.03
2009-06-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15938.75,0.02,0.0,,0.0,,0.0,43.89
2009-06-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16084.01,0.02,0.0,,0.0,,0.0,44.29
2009-06-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16094.9,0.02,0.0,,0.0,,0.0,44.32
2009-06-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16301.9,0.02,0.0,,0.0,,0.0,44.89
2009-06-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15989.59,0.02,0.0,,0.0,,0.0,44.03
2009-07-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16454.42,0.02,0.0,,0.0,,0.0,45.31
2009-07-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15913.32,0.02,0.0,,0.0,,0.0,43.82
2009-07-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16145.74,0.02,0.0,,0.0,,0.0,44.46
2009-07-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16102.16,0.02,0.0,,0.0,,0.0,44.34
2009-07-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16022.27,0.02,0.0,,0.0,,0.0,44.12
2009-07-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15877.01,0.02,0.0,,0.0,,0.0,43.72
2009-07-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16113.06,0.02,0.0,,0.0,,0.0,44.37
2009-07-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15989.59,0.02,0.0,,0.0,,0.0,44.03
2009-07-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,15884.27,0.02,0.0,,0.0,,0.0,43.74
2009-07-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16207.48,0.02,0.0,,0.0,,0.0,44.63
2009-07-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16712.26,0.02,0.0,,0.0,,0.0,46.02
2009-07-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16654.15,0.02,0.0,,0.0,,0.0,45.86
2009-07-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,16879.31,0.02,0.0,,0.0,,0.0,46.48
2009-07-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,17275.14,0.02,0.0,,0.0,,0.0,47.57
2009-07-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,17217.04,0.02,0.0,,0.0,,0.0,47.41
2009-07-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,17169.83,0.02,0.0,,0.0,,0.0,47.28
2009-07-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,17674.61,0.02,0.0,,0.0,,0.0,48.67
2009-07-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,17598.35,0.02,0.0,,0.0,,0.0,48.46
2009-07-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,17750.87,0.02,0.0,,0.0,,0.0,48.88
2009-07-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,17848.93,0.02,0.0,,0.0,,0.0,49.15
2009-07-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,17758.14,0.02,0.0,,0.0,,0.0,48.9
2009-07-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,18302.87,0.02,0.0,,0.0,,0.0,50.4
2009-07-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,18012.34,0.02,0.0,,0.0,,0.0,49.6
2009-08-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,18146.71,0.02,0.0,,0.0,,0.0,49.97
2009-08-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,380.0,17917.92,0.02,0.0,,0.0,,0.0,49.34
2009-08-05,8900.0,408344.46,1.85,1.93,0.44,3.0,408344.46,0.0,8900.0,0.0,,,8900.0,,,,,,0.44,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,48.01
2009-08-06,8900.0,413532.75,1.99,1.93,0.43,3.0,413532.75,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,48.62
2009-08-07,8900.0,422633.54,1.97,1.93,0.43,3.0,422633.54,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,49.69
2009-08-10,8900.0,420166.97,1.95,1.93,0.44,3.0,420166.97,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,49.4
2009-08-11,8900.0,414383.29,1.95,1.93,0.44,3.0,414383.29,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,48.72
2009-08-12,8900.0,416254.48,1.96,1.93,0.43,3.0,416254.48,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,48.94
2009-08-13,8900.0,416509.64,2.05,1.93,0.44,3.0,416509.64,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,48.97
2009-08-14,8900.0,413192.54,2.4,1.93,0.44,3.0,413192.54,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,48.58
2009-08-17,8900.0,402475.73,2.38,1.93,0.43,3.0,402475.73,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,47.32
2009-08-18,8900.0,410385.75,2.39,1.93,0.42,3.0,410385.75,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,48.25
2009-08-19,8900.0,403921.65,2.39,1.93,0.43,3.0,403921.65,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,47.49
2009-08-20,8900.0,410555.86,2.62,1.93,0.43,3.0,410555.86,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,48.27
2009-08-21,8900.0,414468.35,2.56,1.93,0.43,3.0,414468.35,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,48.73
2009-08-24,8900.0,416849.86,2.47,1.93,0.43,3.0,416849.86,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,49.01
2009-08-25,8900.0,415659.1,2.59,1.93,0.44,3.0,415659.1,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,23.4211,48.87
2009-08-26,8900.0,412767.27,2.59,1.93,0.43,3.0,412767.27,0.0,8900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,15.3448,48.53
2009-08-27,11700.0,537147.81,3.4,2.54,0.57,4.0,537147.81,0.0,11700.0,0.0,,0.13,,,2800.0,,0.13,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,20.1724,48.04
2009-08-28,11700.0,538042.31,3.24,2.54,0.56,4.0,538042.31,0.0,11700.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,20.1724,48.12
2009-08-31,11700.0,532339.87,3.32,2.54,0.56,4.0,532339.87,0.0,11700.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,20.1724,47.61
