,ALSEM FP Equity_DX_SI_QTY,ALSEM FP Equity_DX_SHORT_INTEREST_VALUE,ALSEM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALSEM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALSEM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALSEM FP Equity_DX_SI_MV,ALSEM FP Equity_DX_DSS,ALSEM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALSEM FP Equity_DX_SUPPLY_SI_QTY,ALSEM FP Equity_DX_BROKER_SI_QTY,ALSEM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALSEM FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALSEM FP Equity_DX_BROKER_SI_MV_INC_x,ALSEM FP Equity_DX_BROKER_SI_QTY_ADD,ALSEM FP Equity_DX_SUPPLY_SI_MV_DEC,ALSEM FP Equity_DX_BROKER_SI_QTY_INC,ALSEM FP Equity_DX_SUPPLY_SI_QTY_DEC,ALSEM FP Equity_DX_BROKER_SI_MV_INC_y,ALSEM FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALSEM FP Equity_DX_BROKER_SI_MV_ADD,ALSEM FP Equity_DX_SUPPLY_SI_QTY_ADD,ALSEM FP Equity_DX_BROKER_SI_QTY_DEC,ALSEM FP Equity_DX_SUPPLY_SI_MV,ALSEM FP Equity_DX_BROKER_SI_MV_DEC,ALSEM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALSEM FP Equity_DX_UTILIZATION_QUANTITY,ALSEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALSEM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALSEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALSEM FP Equity_DX_ACTIVE_UTILIZATION_MV,ALSEM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALSEM FP Equity_DX_BROKER_SI_CON_RATIO,ALSEM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALSEM FP Equity_DX_DEMAND_SUPPLY_RATIO
2025-07-25,201.0,4183.81,0.08,0.01,0.0,0.0,0.0,4183.81,201.0,201.0,4183.81,,,,,,,,,,,,0.0,,100.0,51.02,0.0,0.0,0.0,100.0,,1.0,100.0,0.5102
2025-07-28,201.0,4210.95,0.08,0.01,0.0,0.0,0.0,4210.95,201.0,201.0,4210.95,,,,,,,,,,,,0.0,,100.0,48.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.4867
2025-07-29,201.0,4341.6,0.08,0.01,0.0,0.0,0.0,4341.6,201.0,201.0,4341.6,,,,,,,,,,,,0.0,,100.0,48.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.4867
2025-07-30,201.0,4341.6,0.08,0.01,0.0,0.0,0.0,4341.6,201.0,201.0,4341.6,,,,,,,,,,,,0.0,,100.0,48.67,0.0,0.0,0.0,100.0,,1.0,100.0,0.4867
2025-07-31,1301.0,27971.5,0.49,0.04,0.01,0.03,0.0,17221.5,801.0,801.0,17221.5,500.0,,600.0,,,,,500.0,0.01,100.0,,0.02,,100.0,79.07,0.0,0.0,0.0,100.0,16.04,0.6146,76.36,1.2843
2025-08-01,1200.0,25656.0,0.45,0.04,0.01,0.03,0.0,14966.0,701.0,700.0,14987.38,,,,0.0,,100.0,,,,,101.0,0.01,0.0,100.0,76.78,0.0,0.0,0.0,100.0,17.46,0.7118,82.54,1.3143
2025-08-04,1200.0,26226.0,0.45,0.04,0.01,0.03,0.0,15298.5,700.0,700.0,15298.5,,,,0.0,,1.0,,,,,,0.02,,100.0,76.75,0.0,0.0,0.0,100.0,17.35,0.7132,82.65,1.3158
2025-08-05,1200.0,26400.0,0.45,0.04,0.01,0.03,0.0,15400.0,700.0,700.0,15400.0,,,,,,,,,,,,0.02,,100.0,76.75,0.0,0.0,0.0,100.0,17.37,0.713,82.63,1.3158
2025-08-06,200.0,4381.0,0.08,0.01,0.0,0.0,0.0,4381.0,200.0,200.0,4381.0,,,,0.01,,500.0,,,,,500.0,0.0,0.01,100.0,39.06,0.0,0.0,0.0,100.0,,1.0,100.0,0.3906
2025-08-07,325.0,7189.0,0.12,0.01,0.0,0.01,0.0,7189.0,325.0,325.0,7189.0,125.0,0.0,,,125.0,,0.0,125.0,,,,0.01,,100.0,60.52,0.0,0.0,0.0,100.0,,1.0,100.0,0.6052
2025-08-08,463.0,10649.0,0.18,0.01,0.0,0.01,0.0,10649.0,463.0,463.0,10649.0,138.0,0.0,,,138.0,,0.0,138.0,,,,0.01,,100.0,68.59,0.0,0.0,0.0,100.0,,1.0,100.0,0.6859
2025-08-11,591.0,14361.3,0.22,0.02,0.01,0.01,0.0,14361.3,591.0,591.0,14361.3,128.0,0.0,,,128.0,,0.0,128.0,,,,0.01,,100.0,73.6,0.0,0.0,0.0,100.0,,1.0,100.0,0.736
2025-08-12,982.0,24893.7,0.37,0.03,0.01,0.02,0.0,9911.85,591.0,391.0,14981.85,,,,,,,,,,,200.0,0.01,0.0,100.0,73.6,0.0,0.0,0.0,100.0,,1.0,100.0,1.2229
2025-08-13,391.0,10361.5,0.15,0.01,0.0,0.01,0.0,10361.5,391.0,391.0,10361.5,,,,0.0,,200.0,,,,,,0.01,,100.0,64.84,0.0,0.0,0.0,100.0,,1.0,100.0,0.6484
2025-08-14,1238.0,31234.74,0.47,0.03,0.01,0.03,0.0,31234.74,791.0,1238.0,19956.93,400.0,0.02,,,847.0,,0.02,400.0,,,,0.02,,100.0,78.86,0.0,0.0,0.0,100.0,,1.0,100.0,1.2343
2025-08-15,1238.0,30838.58,0.47,0.03,0.01,0.03,0.0,30838.58,791.0,1238.0,19703.81,,,,,,,,,,,,0.02,,100.0,79.1,0.0,0.0,0.0,100.0,,1.0,100.0,1.238
2025-08-18,4538.0,113903.8,1.72,0.12,0.04,0.12,0.0,113903.8,1091.0,4538.0,27384.1,300.0,0.09,,,3300.0,,0.09,300.0,,,,0.03,,100.0,83.92,0.0,0.0,0.0,100.0,,1.0,100.0,3.4908
2025-08-19,4285.0,115609.3,1.62,0.11,0.04,0.11,0.0,115609.3,1091.0,4285.0,29435.18,,,,,,,,,,,253.0,0.03,0.01,100.0,83.92,0.0,0.0,0.0,100.0,,1.0,100.0,3.2962
2025-08-20,4285.0,111838.5,1.62,0.11,0.04,0.12,0.0,111838.5,838.0,4285.0,21871.8,,,,0.0,,253.0,,,,,,0.02,,100.0,64.46,0.0,0.0,0.0,100.0,,1.0,100.0,3.2962
2025-08-21,4285.0,111195.75,1.62,0.16,0.04,0.12,0.0,111195.75,838.0,4285.0,21746.1,,,,,,,,,,,,0.02,,100.0,80.04,0.0,0.0,0.0,100.0,,1.0,100.0,4.0926
2025-08-22,5985.0,156807.0,2.27,0.24,0.06,0.16,0.0,156807.0,838.0,5985.0,21955.6,,0.04,,,1700.0,,0.04,,,,,0.02,,100.0,80.04,0.0,0.0,0.0,100.0,,1.0,100.0,5.7163
2025-08-25,6265.0,158097.28,2.37,0.29,0.06,0.17,0.0,158097.28,538.0,6265.0,13576.43,,0.01,,0.01,280.0,300.0,0.01,,,,,0.01,,100.0,72.02,0.0,0.0,0.0,100.0,,1.0,100.0,8.3869
2025-08-26,6265.0,158097.28,2.37,0.31,0.06,0.17,0.0,158097.28,538.0,6265.0,13576.43,,,,,,,,,,,,0.01,,100.0,72.02,0.0,0.0,0.0,100.0,,1.0,100.0,8.3869
2025-08-27,6520.0,162348.0,2.47,0.32,0.06,0.17,0.0,162348.0,538.0,6520.0,13396.2,,0.01,,,255.0,,0.01,,,,,0.01,,100.0,72.02,0.0,0.0,0.0,100.0,,1.0,100.0,8.7282
2025-08-28,6520.0,169389.6,2.47,0.33,0.06,0.17,0.0,169389.6,538.0,6520.0,13977.24,,,,,,,,,,,,0.01,,100.0,72.02,0.0,0.0,0.0,100.0,,1.0,100.0,8.7282
