,DEC FP Equity_DX_SI_QTY,DEC FP Equity_DX_SHORT_INTEREST_VALUE,DEC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,DEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DEC FP Equity_DX_SI_MV,DEC FP Equity_DX_DSS,DEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DEC FP Equity_DX_SUPPLY_SI_QTY,DEC FP Equity_DX_BROKER_SI_QTY,DEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DEC FP Equity_DX_BROKER_SI_MV_NEW_x,DEC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,DEC FP Equity_DX_SUPPLY_SI_QTY_INC_x,DEC FP Equity_DX_BROKER_SI_MV_INC_x,DEC FP Equity_DX_SUPPLY_SI_MV_NEW,DEC FP Equity_DX_BROKER_SI_QTY_ADD,DEC FP Equity_DX_BROKER_SI_QTY_NEW,DEC FP Equity_DX_SUPPLY_SI_MV_DEC,DEC FP Equity_DX_BROKER_SI_QTY_INC,DEC FP Equity_DX_SUPPLY_SI_QTY_DEC,DEC FP Equity_DX_BROKER_SI_MV_NEW_y,DEC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,DEC FP Equity_DX_BROKER_SI_MV_INC_y,DEC FP Equity_DX_SUPPLY_SI_QTY_INC_y,DEC FP Equity_DX_BROKER_SI_MV_ADD,DEC FP Equity_DX_SUPPLY_SI_QTY_ADD,DEC FP Equity_DX_BROKER_SI_QTY_DEC,DEC FP Equity_DX_SUPPLY_SI_MV,DEC FP Equity_DX_BROKER_SI_MV_DEC,DEC FP Equity_DX_SUPPLY_SI_MV_RMV,DEC FP Equity_DX_BROKER_SI_MV_RMV,DEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DEC FP Equity_DX_UTILIZATION_QUANTITY,DEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DEC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,DEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DEC FP Equity_DX_ACTIVE_UTILIZATION_MV,DEC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DEC FP Equity_DX_BROKER_SI_CON_RATIO,DEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DEC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,7137359.0,139717080.42,11.66,23.0,3.23,152.64,1.0,101630910.26,3263885.0,5191751.0,63892047.89,,,16534.0,2.62,,,,0.49,92100.0,71168.0,,,2.62,16534.0,,49985.0,152369.0,71.99,1.89,,,64.71,64.71,1780161.0,34847469.16,,39.34,64.66,14.84,0.1368,23.32,1.415
2006-03-22,7274824.0,142224426.58,11.88,25.84,3.29,157.71,1.0,104860432.67,3303322.0,5363644.0,64580679.51,,,160219.0,6.7,,,,2.89,271272.0,154234.0,,,6.7,160219.0,,33451.0,99379.0,74.67,2.02,,,64.49,64.49,1818878.0,35559469.28,,40.89,64.62,15.68,0.1405,23.81,1.4203
2006-03-29,6983779.0,133420695.07,11.41,23.63,3.16,148.87,1.0,98469652.12,3196890.0,5154300.0,61074568.06,,,10177.0,0.0,,5200.0,,3.4,4404.0,116609.0,,,0.0,10177.0,0.12,,218948.0,70.57,5.78,,,60.5,60.5,2086998.0,39870781.1,,45.75,60.67,15.84,0.1423,23.97,1.3217
2006-04-05,5951811.0,113004637.8,9.72,18.56,2.7,127.37,1.0,74465149.24,3190856.0,3921985.0,60583497.45,,,77575.0,0.29,,,,1.79,15594.0,84637.0,,,0.29,77575.0,,1028.0,592345.0,70.35,11.88,,13.99,61.5,61.5,1997262.0,37921209.01,,43.77,61.64,16.16,0.1416,21.88,1.1472
2006-04-12,6282283.0,117693720.04,10.26,20.69,2.84,135.28,1.0,82967580.94,3153361.0,4428663.0,59075782.92,6.75,,76768.0,8.96,,1682.0,290823.0,1.32,404630.0,63161.0,6.75,,8.96,76768.0,0.04,1210.0,190457.0,69.58,3.94,1.12,,62.48,62.48,1893602.0,35475171.0,52312.0,41.49,62.64,17.44,0.1304,18.33,1.2448
2006-04-19,6393645.0,122469269.21,10.44,21.03,2.9,138.95,1.0,87172447.59,3143862.0,4550935.0,60220184.52,,,31268.0,3.57,,,,0.63,151264.0,40767.0,,,3.57,31268.0,,,28992.0,69.88,0.41,,,64.1,64.1,1761075.0,33733115.97,,38.91,64.23,16.73,0.1323,19.77,1.3035
2006-04-26,6632687.0,137091407.88,10.83,22.73,3.0,153.82,1.0,97391950.96,3224847.0,4711968.0,66654557.26,,,38726.0,7.96,,,,0.0,215965.0,38311.0,,,7.96,38726.0,,80570.0,54931.0,76.72,0.0,,,65.22,65.22,1719397.0,35538320.36,,40.58,65.4,15.73,0.132,19.99,1.3415
2006-05-03,6969048.0,137829335.31,11.38,25.5,3.16,161.49,1.0,98170814.26,3354812.0,4963799.0,66349307.4,,,164254.0,11.62,,19000.0,,0.78,486295.0,35096.0,,,11.62,164254.0,0.46,807.0,253464.0,78.86,4.68,,,69.14,69.14,1497173.0,29610121.7,,34.94,69.3,16.3,0.1304,18.16,1.4363
2006-05-10,6425178.0,129343151.68,10.49,24.96,2.91,152.22,1.0,83304324.65,3298911.0,4138179.0,66409295.72,,,64418.0,1.44,,,,7.58,61494.0,347037.0,,,1.44,64418.0,,226718.0,887114.0,78.71,18.39,,,67.5,67.5,1588511.0,31977794.11,,37.55,67.7,15.9,0.1256,17.54,1.3146
2006-05-17,6320477.0,117452197.84,10.32,23.33,2.86,142.17,1.0,74164220.27,3383285.0,3991013.0,62870928.76,,127256.0,113892.0,0.96,2.83,,,7.49,62168.0,271942.0,,127256.0,0.96,113892.0,,115169.0,209333.0,75.99,8.21,,,35.96,35.96,6025161.0,111964397.91,,133.36,36.3,17.34,0.1271,17.93,0.6718
2006-05-24,5952889.0,107366338.45,9.72,20.0,2.7,130.29,1.0,69888258.6,3178417.0,3874930.0,57325946.33,,,3189.0,0.97,,,,6.98,79999.0,288057.0,,,0.97,3189.0,,80000.0,196083.0,69.28,5.74,,,32.52,32.52,6596209.0,118969261.47,,141.83,32.82,18.08,0.137,18.99,0.609
2006-05-31,5650183.0,105661690.23,9.23,19.0,2.56,127.01,1.0,73312326.36,2814802.0,3920324.0,52638425.51,,,2253.0,5.43,,60000.0,,7.5,201569.0,384468.0,,,5.43,2253.0,1.32,18600.0,216175.0,63.0,3.5,,,67.8,28.08,1336973.0,25002168.42,,0.0,169.77,15.68,0.1339,19.68,0.5636
2006-06-07,5739329.0,105590654.23,9.37,18.8,2.6,125.81,1.0,78393705.67,2618848.0,4261052.0,48180871.61,,,242756.0,8.11,,308750.0,,13.43,402610.0,563630.0,,,8.11,242756.0,6.97,124920.0,370631.0,56.85,8.51,,,68.4,26.33,1209776.0,22257138.3,,0.0,208.92,14.8,0.1326,25.88,0.5771
2006-06-14,6295658.0,105886013.07,10.28,20.21,2.85,128.54,1.0,78018230.34,3365428.0,4638725.0,56602781.35,,,216404.0,18.3,,,,4.82,979137.0,200358.0,,,18.3,216404.0,,730534.0,601464.0,68.14,17.11,,,79.41,18.98,872511.0,14674671.2,,0.0,201.35,23.02,0.1593,26.41,0.355
2006-06-21,5836434.0,100213676.08,9.5,17.44,2.64,118.13,1.0,74992991.99,3198150.0,4367584.0,54913388.58,,92672.0,29901.0,11.61,1.85,,,6.03,582109.0,289851.0,,92672.0,11.61,29901.0,,,853251.0,64.57,18.18,,,73.22,19.8,1169933.0,20088171.42,,0.0,173.72,15.89,0.1601,28.34,0.3614
2006-06-28,6060502.0,102450474.65,9.87,19.52,2.74,121.55,1.0,71850477.92,3394666.0,4250346.0,57385533.9,,,35810.0,2.31,,,,4.5,136994.0,218657.0,,,2.31,35810.0,,390000.0,254232.0,67.85,5.28,0.22,,21.32,21.32,12526251.0,211751495.26,10637.0,247.46,21.52,15.36,0.1691,29.42,0.3806
2006-07-03,5621883.0,98602039.43,9.15,18.99,2.55,116.57,1.0,67365045.48,3344313.0,3840878.0,58655806.66,,,,0.59,,,,0.0,2822.0,46654.0,,,0.59,,,,412290.0,68.45,6.58,0.07,,21.08,21.08,12523619.0,219651382.72,3700.0,250.18,21.48,16.59,0.1602,26.19,0.3543
2006-07-04,5570531.0,97558121.07,9.07,18.85,2.52,115.58,1.0,65587711.98,3257801.0,3745033.0,57054694.49,,,51674.0,,,,,2.62,,138185.0,,,,51674.0,,,95845.0,67.11,1.86,,,20.57,20.57,12582705.0,220364101.33,,251.99,21.03,16.59,0.1562,25.17,0.3517
2006-07-05,5592557.0,96553573.24,9.11,20.52,2.53,115.61,1.0,65041259.72,3267416.0,3767307.0,56410813.53,,3700.0,23611.0,0.4,0.07,,,0.37,23645.0,17696.0,,3700.0,0.4,23611.0,,,1371.0,66.95,0.01,,,20.63,20.63,12573171.0,217071473.21,,254.21,20.85,16.56,0.1552,25.13,0.353
2006-07-06,5604782.0,95995897.74,9.13,20.79,2.54,114.43,1.0,64782521.02,3247976.0,3782369.0,55629705.48,,,4350.0,0.0,,1000.0,,0.66,14062.0,20090.0,,,0.0,4350.0,0.02,,,65.75,,0.07,,20.51,20.5,12591677.0,215663934.42,3700.0,252.13,20.68,16.71,0.1555,25.09,0.3538
2006-07-07,5578767.0,95406856.9,9.08,20.89,2.53,113.68,1.0,64272669.48,3272705.0,3758244.0,55969087.36,,,33123.0,2.98,,,,0.22,150000.0,9088.0,,,2.98,33123.0,,694.0,174126.0,66.18,3.57,,,20.68,20.67,12556456.0,214737772.84,,251.43,20.84,16.6,0.1585,25.22,0.3524
2006-07-10,5134996.0,87685525.5,8.36,19.49,2.33,104.36,1.0,53953313.0,2963865.0,3159587.0,50611151.41,,,10040.0,1.18,,,,6.37,59298.0,318880.0,,,1.18,10040.0,,,657954.0,60.0,13.66,,,18.8,18.8,12802762.0,218620796.16,,255.63,19.01,18.05,0.1469,19.29,0.3257
2006-07-11,4981399.0,82585968.14,8.11,18.95,2.26,99.52,1.0,50005686.09,2958724.0,3016230.0,49052301.57,,,18316.0,0.38,,,,0.37,36643.0,15537.0,,,0.38,18316.0,,,180000.0,58.9,3.64,0.16,,18.78,18.78,12798931.0,212191817.56,7920.0,249.91,19.07,18.41,0.1536,20.74,0.3161
2006-07-12,4814910.0,81476766.91,7.84,14.2,2.18,96.32,1.0,51019420.68,3030729.0,3015018.0,51285278.5,,3700.0,15000.0,0.0,0.07,,,4.52,2350.0,232004.0,,3700.0,0.0,15000.0,,285309.0,3563.0,60.44,0.04,,,19.33,19.33,12646068.0,213993768.27,,250.36,19.45,19.43,0.161,21.36,0.3071
2006-07-13,4854143.0,81766156.97,7.9,13.69,2.2,97.4,1.0,52286131.44,3161737.0,3104027.0,53258234.01,,,111055.0,5.03,,,,0.59,245950.0,29867.0,,,5.03,111055.0,,53520.0,156941.0,63.22,3.08,0.07,,19.91,19.91,12719602.0,214256764.52,3700.0,248.67,20.27,20.53,0.1564,20.92,0.3056
2006-07-14,4932303.0,82321668.67,8.03,13.82,2.23,98.53,1.0,53080511.68,3084677.0,3180319.0,51484217.0,,,4940.0,5.07,,,,1.59,257653.0,82000.0,,,5.07,4940.0,,,181361.0,61.39,3.67,,,19.4,19.4,12814592.0,213879519.73,,250.38,19.69,20.11,0.1664,26.17,0.3102
2006-07-17,4597679.0,75633132.25,7.49,12.74,2.08,90.66,1.0,47960889.67,2945183.0,2915505.0,48449101.24,,,20831.0,0.0,,,,3.44,9948.0,160325.0,,,0.0,20831.0,,,274762.0,57.62,5.77,,,18.74,18.74,12770386.0,210076495.83,,245.45,19.01,21.77,0.1758,28.39,0.2926
2006-07-18,4104563.0,67204562.55,6.68,11.19,1.86,80.3,1.0,39613996.93,2882430.0,2419451.0,47194414.42,,,10232.0,,,,,1.58,,72985.0,,,,10232.0,,,496054.0,55.94,9.88,,,18.33,18.33,12839154.0,210217196.83,,246.22,18.51,22.63,0.1629,24.7,0.2611
2006-07-19,3816841.0,63246192.86,6.22,10.53,1.73,74.42,1.0,39655407.55,2515235.0,2393162.0,41678193.54,,3700.0,,3.73,0.07,,,7.39,197208.0,370895.0,,3700.0,3.73,,,,223497.0,48.62,4.27,,,15.96,15.96,13243549.0,219449553.77,,254.92,16.02,25.53,0.1808,25.56,0.2422
2006-07-20,3790677.0,65639704.15,6.17,10.78,1.72,75.78,1.0,41153817.8,2494432.0,2376623.0,43193809.05,,,,,,,,0.0,,17103.0,,,,,,,16539.0,49.78,0.0,0.07,,15.85,15.85,13241834.0,229296789.51,3700.0,265.28,15.8,25.34,0.1822,26.23,0.2409
2006-07-21,3888076.0,66992975.62,6.33,10.71,1.76,78.21,1.0,42612885.35,2543479.0,2473127.0,43825076.11,,,50596.0,2.07,,,,0.0,96504.0,1548.0,,,2.07,50596.0,,,,51.1,,,,16.18,16.18,13172552.0,226967902.62,,263.78,16.23,25.41,0.1788,25.62,0.2474
2006-07-24,3628501.0,63298020.11,5.91,10.29,1.64,74.36,1.0,38525343.26,2523339.0,2208430.0,44018828.37,,,2879.0,0.2,,,,0.0,6087.0,23019.0,,,0.2,2879.0,,,270783.0,51.38,4.51,,,16.09,16.09,13155095.0,229486354.79,,266.41,16.17,26.9,0.1845,27.07,0.2314
2006-07-25,3615296.0,64028399.08,5.89,10.32,1.64,75.09,1.0,39167490.02,2525004.0,2211551.0,44718873.31,,,22502.0,0.54,,,,0.03,13086.0,20837.0,,,0.54,22502.0,,,9965.0,52.17,0.15,,,16.13,16.13,13124926.0,232447910.16,,270.44,16.17,27.0,0.1856,27.25,0.231
2006-07-26,3565497.0,62168371.23,5.81,10.37,1.61,73.74,1.0,37734114.6,2479879.0,2164137.0,43239424.48,,3700.0,78305.0,4.26,0.07,5100.0,,2.63,209373.0,127129.0,,3700.0,4.26,78305.0,0.1,,261887.0,50.87,5.44,,,15.79,15.79,13225784.0,230606125.74,,269.18,15.89,26.52,0.1964,28.34,0.227
2006-07-27,3538835.0,61733825.9,5.76,10.36,1.6,73.01,1.0,37884809.69,2483164.0,2171712.0,43317988.56,,,40700.0,0.4,,,,0.73,19711.0,33716.0,,,0.4,40700.0,,,12136.0,50.92,0.3,0.07,,15.83,15.83,13204156.0,230342207.99,3700.0,269.09,15.91,26.04,0.1943,28.21,0.2256
2006-07-28,3615296.0,62540808.01,5.89,10.81,1.64,74.46,1.0,38337507.56,2527485.0,2216176.0,43722824.94,,,15018.0,1.02,,,,0.08,51947.0,2409.0,,,1.02,15018.0,,31713.0,7483.0,51.62,0.1,,,24.84,24.84,7645819.0,132264605.2,,154.97,24.99,26.21,0.1916,27.63,0.3554
2006-07-31,3617496.0,62547855.35,5.89,10.93,1.64,74.29,1.0,38339085.33,2532071.0,2217366.0,43780452.18,,,1096.0,0.74,,,,0.13,38572.0,2814.0,,,0.74,1096.0,,6304.0,37382.0,51.57,0.8,,,24.88,24.88,7646419.0,132209437.01,,154.81,24.99,26.23,0.1881,26.89,0.3554
2006-08-01,3490171.0,60466034.07,5.68,10.5,1.58,71.53,1.0,37529116.67,2432905.0,2166225.0,42149257.62,,,4504.0,0.0,,,,2.14,1464.0,103670.0,,,0.0,4504.0,,,52605.0,49.43,1.09,,,23.88,23.88,7755909.0,134368504.54,,157.16,23.93,24.91,0.1873,27.99,0.3425
2006-08-02,3490835.0,61524897.28,5.68,11.09,1.58,72.22,1.0,37926454.78,2419851.0,2151893.0,42649132.43,,3700.0,2366.0,1.54,0.08,,,1.6,72608.0,91422.0,,3700.0,1.54,2366.0,,72302.0,86940.0,49.77,1.6,,,23.75,23.75,7768542.0,136918172.47,,159.69,23.76,25.7,0.1886,27.56,0.3426
2006-08-03,3392542.0,57960349.69,5.52,10.85,1.54,70.0,1.0,35106401.18,2461509.0,2054852.0,42053988.54,,,45358.0,0.42,,,,,22399.0,,,,0.42,45358.0,,,119440.0,50.23,2.39,0.08,,24.22,24.22,7701747.0,131581554.28,3700.0,155.1,24.46,25.96,0.1959,29.16,0.3338
2006-08-04,3435546.0,59254618.94,5.59,11.22,1.56,70.01,1.0,36133639.95,2441969.0,2095006.0,42117888.27,,,4225.0,0.99,,,,0.78,56569.0,23765.0,,,0.99,4225.0,,,16415.0,49.41,0.58,,,23.99,23.99,7737173.0,133446979.84,,156.33,24.02,26.07,0.1936,28.27,0.3375
2006-08-07,3449143.0,59636969.17,5.62,11.33,1.56,70.8,1.0,36470704.91,2417867.0,2109307.0,41805822.42,,,7277.0,0.18,,22000.0,,0.59,1652.0,31378.0,,,0.18,7277.0,0.45,,9352.0,49.24,0.16,,,23.79,23.79,7743651.0,133890614.56,,157.0,23.88,25.87,0.1913,28.2,0.3394
2006-08-08,3396138.0,58836944.1,5.53,11.21,1.54,69.93,1.0,35635392.48,2434209.0,2056917.0,42171848.98,,,19107.0,,,,,0.0,,2766.0,,,,19107.0,,,52390.0,49.7,0.94,,,23.96,23.96,7726410.0,133857444.33,,156.95,24.05,26.26,0.1938,28.65,0.3342
2006-08-09,3423260.0,59042716.02,5.57,11.45,1.55,70.34,1.0,36045815.63,2438626.0,2089914.0,42060229.84,,3700.0,3591.0,0.64,0.07,,,0.1,32997.0,2874.0,,3700.0,0.64,3591.0,,,,49.64,,,,23.87,23.87,7778219.0,134154921.19,,157.05,24.02,25.94,0.1924,28.51,0.3351
2006-08-10,3486094.0,60335633.59,5.68,11.68,1.58,71.71,1.0,36270897.53,2493806.0,2095673.0,43161591.47,,,4910.0,0.23,,,,0.02,12000.0,2338.0,,,0.23,4910.0,,56308.0,6241.0,50.81,0.06,0.07,,24.4,24.4,7727087.0,133736694.97,3700.0,156.37,24.52,25.44,0.1863,27.81,0.3411
2006-08-11,3434859.0,59331104.05,5.59,11.62,1.56,70.67,1.0,35281294.5,2510146.0,2042542.0,43358325.19,,,16620.0,0.0,,,,0.01,632.0,280.0,,,0.0,16620.0,,,53763.0,50.98,1.15,,,24.42,24.42,7769664.0,134207180.91,,156.91,24.52,25.92,0.1832,26.52,0.3341
2006-08-14,3481358.0,60253665.18,5.67,12.09,1.58,71.54,1.0,36079528.3,2514652.0,2084616.0,43522383.98,,,4506.0,1.17,,,,,59377.0,,,,1.17,4506.0,,,17303.0,50.93,0.36,,,24.47,24.47,7763483.0,134366619.39,,157.04,24.49,25.61,0.1871,27.96,0.3387
2006-08-15,3437467.0,61527248.98,5.6,12.06,1.56,71.09,1.0,37368850.63,2466994.0,2087761.0,44156745.09,,,4312.0,0.06,,,,1.03,5000.0,51970.0,,,0.06,4312.0,,,1855.0,50.37,0.0,,,23.96,23.96,7829905.0,140147531.43,,162.69,23.64,24.92,0.186,28.24,0.3338
2006-08-16,3356328.0,60247570.52,5.47,11.66,1.52,70.66,1.0,38797384.9,2308735.0,2161361.0,41442813.31,,3700.0,4156.0,2.38,0.08,,,3.39,87271.0,166114.0,,3700.0,2.38,4156.0,,,13671.0,48.22,0.3,,,22.39,22.39,8002252.0,143643959.02,,167.6,22.34,24.02,0.1834,28.18,0.3255
2006-08-17,3385102.0,61982840.25,5.51,11.84,1.53,72.13,1.0,40222025.73,2299938.0,2196667.0,42112967.24,,,,1.12,,,,0.02,52740.0,5097.0,,,1.12,,,,17434.0,48.62,0.13,0.08,,22.32,22.32,8003259.0,146543508.6,3700.0,170.4,22.2,23.94,0.1824,27.66,0.3285
2006-08-18,3752625.0,67908144.82,6.11,13.15,1.7,80.43,1.0,46410038.09,2316091.0,2564633.0,41912379.48,,,16897.0,8.29,,,,0.0,367966.0,744.0,,,8.29,16897.0,,,,49.3,,,,22.44,22.44,8005910.0,144876318.76,,169.21,22.56,21.18,0.2013,33.96,0.3636
2006-08-21,3460923.0,63371159.1,5.64,12.14,1.57,74.04,1.0,41581230.92,2339582.0,2270898.0,42838867.88,,,25203.0,0.57,,,,0.07,36864.0,1712.0,,,0.57,25203.0,,,330599.0,49.58,7.12,,,22.61,22.61,8006587.0,146604445.87,,170.6,22.52,23.33,0.178,27.15,0.3345
2006-08-22,3430299.0,62633985.22,5.59,12.0,1.55,74.02,1.0,40910121.61,2339103.0,2240540.0,42709787.9,,,9205.0,0.52,,,,0.06,22194.0,9683.0,,,0.52,9205.0,,,52552.0,50.17,0.6,,,22.64,22.64,7991093.0,145909729.98,,170.31,22.75,23.3,0.1777,27.49,0.3321
2006-08-23,3464007.0,62625874.89,5.64,16.85,1.57,74.46,1.0,40873858.94,2377070.0,2260844.0,42975111.89,,3700.0,4239.0,0.42,0.08,,,0.06,20936.0,743.0,,3700.0,0.42,4239.0,,30770.0,632.0,50.6,0.1,,,22.78,22.78,8057753.0,145676331.26,,167.91,23.16,23.16,0.1759,27.26,0.332
2006-08-24,3471507.0,63564957.21,5.65,18.73,1.57,74.59,1.0,41606719.11,2335028.0,2272290.0,42755481.96,,,10242.0,0.34,,,,1.1,18814.0,48584.0,,,0.34,10242.0,,,7368.0,49.75,0.19,0.08,,22.49,22.49,8045512.0,147317181.28,3700.0,169.22,22.72,23.38,0.1751,26.94,0.3344
2006-08-25,3769737.0,69639684.04,6.14,21.68,1.71,81.44,1.0,47489745.31,2313875.0,2570716.0,42745030.73,,,7084.0,6.69,,,,0.51,306063.0,28237.0,,,6.69,7084.0,,,7637.0,49.67,0.06,,,22.31,22.31,8055909.0,148819654.38,,170.83,22.53,21.49,0.1933,32.61,0.3635
2006-08-28,3786837.0,70507432.14,6.17,22.22,1.71,82.29,1.0,48410453.47,2283787.0,2600045.0,42522019.54,,,8226.0,0.87,,,,0.77,29328.0,38313.0,,,0.87,8226.0,,,,49.34,,,,22.11,22.11,8045455.0,149798993.83,,171.74,22.32,21.44,0.193,32.55,0.3666
