,STP FP Equity_DX_SI_QTY,STP FP Equity_DX_SHORT_INTEREST_VALUE,STP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,STP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,STP FP Equity_DX_SI_MV,STP FP Equity_DX_DSS,STP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,STP FP Equity_DX_SUPPLY_SI_QTY,STP FP Equity_DX_BROKER_SI_QTY,STP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,STP FP Equity_DX_SUPPLY_SI_QTY_INC_x,STP FP Equity_DX_BROKER_SI_MV_INC_x,STP FP Equity_DX_BROKER_SI_QTY_ADD,STP FP Equity_DX_SUPPLY_SI_MV_DEC,STP FP Equity_DX_BROKER_SI_QTY_INC,STP FP Equity_DX_SUPPLY_SI_QTY_DEC,STP FP Equity_DX_BROKER_SI_MV_INC_y,STP FP Equity_DX_SUPPLY_SI_QTY_INC_y,STP FP Equity_DX_BROKER_SI_MV_ADD,STP FP Equity_DX_SUPPLY_SI_QTY_ADD,STP FP Equity_DX_BROKER_SI_QTY_DEC,STP FP Equity_DX_SUPPLY_SI_MV,STP FP Equity_DX_BROKER_SI_MV_DEC,STP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,STP FP Equity_DX_UTILIZATION_QUANTITY,STP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,STP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,STP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,STP FP Equity_DX_ACTIVE_UTILIZATION_MV,STP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,STP FP Equity_DX_BROKER_SI_CON_RATIO,STP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,STP FP Equity_DX_DEMAND_SUPPLY_RATIO,STP FP Equity_PX_LAST
2003-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.45
2003-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.38
2003-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.86
2003-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.16
2003-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.72
2003-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3
2003-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.65
2003-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.76
2003-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6
2003-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.72
2003-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.06
2003-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.22
2003-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.06
2003-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.45
2003-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3
2003-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.25
2003-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.58
2003-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.62
2003-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0
2003-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5
2003-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6
2003-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.12
2003-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.22
2003-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7
2003-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.52
2003-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.62
2003-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.56
2003-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2
2003-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.92
2003-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.76
2003-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.42
2003-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.14
2003-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4
2003-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.95
2003-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.18
2003-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.36
2003-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.87
2003-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0
2003-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4
2003-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1
2003-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.31
2003-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.26
2003-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6
2003-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.88
2003-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.35
2003-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.42
2003-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.85
2003-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.22
2003-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1
2003-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8
2003-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9
2003-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3
2003-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8
2004-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.25
2004-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.75
2004-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1
2004-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65
2004-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1
2004-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.65
2004-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8
2004-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4
2004-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5
2004-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.65
2004-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2
2004-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.45
2004-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.9
2004-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.35
2004-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3
2004-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.82
