,MLVIN FP Equity_PX_LAST
2022-12-05,3.48
2022-12-06,3.48
2022-12-07,4.76
2022-12-08,4.76
2022-12-09,4.76
2022-12-12,3.9
2022-12-13,3.9
2022-12-14,3.9
2022-12-15,3.9
2022-12-16,3.9
2022-12-19,3.9
2022-12-20,3.9
2022-12-21,3.9
2022-12-22,3.9
2022-12-23,3.9
2022-12-27,3.9
2022-12-28,3.9
2022-12-29,3.9
2022-12-30,3.9
2023-01-02,3.9
2023-01-03,3.9
2023-01-04,3.9
2023-01-05,3.32
2023-01-06,3.32
2023-01-09,3.32
2023-01-10,3.32
2023-01-11,3.46
2023-01-12,3.46
2023-01-13,3.46
2023-01-16,3.46
2023-01-17,3.46
2023-01-18,4.58
2023-01-19,4.58
2023-01-20,4.58
2023-01-23,4.58
2023-01-24,4.58
2023-01-25,4.58
2023-01-26,4.58
2023-01-27,3.44
2023-01-30,3.44
2023-01-31,3.44
2023-02-01,3.44
2023-02-02,3.44
2023-02-03,3.44
2023-02-06,3.44
2023-02-07,3.44
2023-02-08,3.44
2023-02-09,3.44
2023-02-10,3.44
2023-02-13,3.44
2023-02-14,3.44
2023-02-15,3.44
2023-02-16,3.44
2023-02-17,3.44
2023-02-20,3.44
2023-02-21,3.44
2023-02-22,3.44
2023-02-23,3.44
2023-02-24,3.44
2023-02-27,3.44
2023-02-28,3.44
2023-03-01,3.44
2023-03-02,3.44
2023-03-03,3.44
2023-03-06,3.54
2023-03-07,3.52
2023-03-08,3.52
2023-03-09,3.52
2023-03-10,3.52
2023-03-13,3.52
2023-03-14,3.52
2023-03-15,3.52
2023-03-16,3.52
2023-03-17,3.52
2023-03-20,3.52
2023-03-21,3.52
2023-03-22,3.52
2023-03-23,3.52
2023-03-24,3.52
2023-03-27,3.52
2023-03-28,3.52
2023-03-29,3.52
2023-03-30,3.52
2023-03-31,3.52
2023-04-03,3.52
2023-04-04,3.0
2023-04-05,3.0
2023-04-06,3.8
2023-04-11,3.8
2023-04-12,3.8
2023-04-13,3.8
2023-04-14,3.52
2023-04-17,3.52
2023-04-18,3.52
2023-04-19,3.52
2023-04-20,3.52
2023-04-21,3.52
2023-04-24,3.52
2023-04-25,3.52
2023-04-26,3.52
2023-04-27,3.52
2023-04-28,3.52
2023-05-02,3.52
2023-05-03,3.52
2023-05-04,3.52
2023-05-05,3.52
2023-05-08,3.98
2023-05-09,3.98
2023-05-10,3.98
2023-05-11,3.98
2023-05-12,3.98
2023-05-15,3.98
2023-05-16,3.98
2023-05-17,3.98
2023-05-18,3.6
2023-05-19,3.98
2023-05-22,3.98
2023-05-23,3.98
2023-05-24,3.98
2023-05-25,3.98
2023-05-26,3.98
2023-05-29,3.98
2023-05-30,3.98
2023-05-31,3.7
2023-06-01,3.5
2023-06-02,3.5
2023-06-05,3.5
2023-06-06,3.5
2023-06-07,3.5
2023-06-08,3.5
2023-06-09,3.5
2023-06-12,4.0
2023-06-13,4.0
2023-06-14,4.0
2023-06-15,4.0
2023-06-16,4.0
2023-06-19,4.0
2023-06-20,4.0
2023-06-21,4.0
2023-06-22,4.0
2023-06-23,4.0
2023-06-26,4.0
2023-06-27,4.0
2023-06-28,4.0
2023-06-29,4.0
2023-06-30,4.0
2023-07-03,3.0
2023-07-04,3.0
2023-07-05,3.0
2023-07-06,3.02
2023-07-07,3.02
2023-07-10,3.02
2023-07-11,3.02
2023-07-12,3.02
2023-07-13,3.02
2023-07-14,3.02
2023-07-17,3.02
2023-07-18,3.02
2023-07-19,3.02
2023-07-20,3.02
2023-07-21,3.88
2023-07-24,3.88
2023-07-25,3.88
2023-07-26,3.88
2023-07-27,3.88
2023-07-28,3.88
2023-07-31,3.88
2023-08-01,3.88
2023-08-02,3.88
2023-08-03,3.88
2023-08-04,3.88
2023-08-07,3.88
2023-08-08,3.88
2023-08-09,3.88
2023-08-10,3.88
2023-08-11,3.88
2023-08-14,3.88
2023-08-15,3.88
2023-08-16,3.88
2023-08-17,3.88
2023-08-18,3.88
2023-08-21,3.88
2023-08-22,3.88
2023-08-23,3.88
2023-08-24,3.88
2023-08-25,3.88
2023-08-28,3.88
2023-08-29,3.88
2023-08-30,3.88
2023-08-31,3.88
2023-09-01,3.5
2023-09-04,3.5
2023-09-05,3.5
2023-09-06,3.5
2023-09-07,3.5
2023-09-08,3.5
2023-09-11,3.5
2023-09-12,3.5
2023-09-13,3.5
2023-09-14,3.5
2023-09-15,3.5
2023-09-18,3.5
2023-09-19,3.02
2023-09-20,3.88
2023-09-21,3.88
2023-09-22,3.88
2023-09-25,3.88
2023-09-26,3.88
2023-09-27,3.88
2023-09-28,3.88
2023-09-29,3.88
2023-10-02,3.88
2023-10-03,3.88
2023-10-04,3.88
2023-10-05,3.88
2023-10-06,3.88
2023-10-09,3.88
2023-10-10,3.88
2023-10-11,3.88
2023-10-12,3.88
2023-10-13,3.88
2023-10-16,3.88
2023-10-17,3.88
2023-10-18,3.88
2023-10-19,3.88
2023-10-20,3.88
2023-10-23,3.88
2023-10-24,3.88
2023-10-25,3.88
2023-10-26,3.88
2023-10-27,3.88
2023-10-30,3.88
2023-10-31,3.88
2023-11-01,3.88
2023-11-02,3.88
2023-11-03,3.88
2023-11-06,3.02
2023-11-07,3.02
2023-11-08,3.02
2023-11-09,3.88
2023-11-10,3.88
2023-11-13,3.88
2023-11-14,3.88
2023-11-15,3.88
2023-11-16,3.88
2023-11-17,3.02
2023-11-20,3.02
2023-11-21,3.02
2023-11-22,3.02
2023-11-23,3.02
2023-11-24,3.88
2023-11-27,3.88
2023-11-28,3.88
2023-11-29,3.88
2023-11-30,3.88
2023-12-01,3.88
2023-12-04,3.88
2023-12-05,3.88
2023-12-06,3.88
2023-12-07,3.88
2023-12-08,3.88
2023-12-11,3.88
2023-12-12,4.1
2023-12-13,4.1
2023-12-14,4.1
2023-12-15,4.1
2023-12-18,4.1
2023-12-19,4.1
2023-12-20,4.1
2023-12-21,4.1
2023-12-22,4.1
2023-12-27,4.1
2023-12-28,4.1
2023-12-29,4.1
2024-01-02,4.1
2024-01-03,4.1
2024-01-04,4.1
2024-01-05,4.1
2024-01-08,4.1
2024-01-09,4.1
2024-01-10,4.1
2024-01-11,4.1
2024-01-12,4.1
2024-01-15,4.1
2024-01-16,4.1
2024-01-17,4.1
2024-01-18,4.1
2024-01-19,4.1
2024-01-22,4.1
2024-01-23,4.1
2024-01-24,4.1
2024-01-25,4.1
2024-01-26,4.1
2024-01-29,4.1
2024-01-30,4.1
2024-01-31,4.1
2024-02-01,4.1
2024-02-02,4.1
2024-02-05,4.1
2024-02-06,4.1
2024-02-07,4.1
2024-02-08,4.1
2024-02-09,4.1
2024-02-12,4.1
2024-02-13,4.1
2024-02-14,4.1
2024-02-15,4.1
2024-02-16,4.1
2024-02-19,4.1
2024-02-20,4.1
2024-02-21,4.1
2024-02-22,4.1
2024-02-23,4.1
2024-02-26,4.1
2024-02-27,4.1
2024-02-28,4.1
2024-02-29,4.1
2024-03-01,4.1
2024-03-04,4.1
2024-03-05,4.1
2024-03-06,4.1
2024-03-07,4.1
2024-03-08,4.1
2024-03-11,4.1
2024-03-12,4.1
2024-03-13,4.1
2024-03-14,4.1
2024-03-15,4.1
2024-03-18,4.1
2024-03-19,4.1
2024-03-20,4.1
2024-03-21,4.1
2024-03-22,4.1
2024-03-25,4.1
2024-03-26,4.1
2024-03-27,4.1
2024-03-28,4.1
2024-04-02,4.1
2024-04-03,4.1
2024-04-04,4.1
2024-04-05,4.1
2024-04-08,4.1
2024-04-09,4.1
2024-04-10,4.1
2024-04-11,4.1
2024-04-12,4.1
2024-04-15,4.1
2024-04-16,4.1
2024-04-17,4.1
2024-04-18,4.1
2024-04-19,4.1
2024-04-22,4.1
2024-04-23,4.1
2024-04-24,4.1
2024-04-25,4.1
2024-04-26,4.1
2024-04-29,4.1
2024-04-30,4.1
2024-05-02,4.1
2024-05-03,4.1
2024-05-06,3.7
2024-05-07,3.7
2024-05-08,4.1
2024-05-09,4.1
2024-05-10,4.1
2024-05-13,4.1
2024-05-14,4.1
2024-05-15,4.1
2024-05-16,4.1
2024-05-17,4.1
2024-05-20,4.1
2024-05-21,4.1
2024-05-22,4.1
2024-05-23,4.1
2024-05-24,4.1
2024-05-27,4.1
2024-05-28,4.1
2024-05-29,4.1
2024-05-30,4.1
2024-05-31,4.1
2024-06-03,4.1
2024-06-04,4.1
2024-06-05,4.1
2024-06-06,4.1
2024-06-07,4.1
2024-06-10,4.1
2024-06-11,4.1
2024-06-12,4.1
2024-06-13,4.1
2024-06-14,4.1
2024-06-17,4.1
2024-06-18,4.1
2024-06-19,4.1
2024-06-20,4.1
2024-06-21,4.1
2024-06-24,4.1
2024-06-25,4.1
2024-06-26,4.1
2024-06-27,4.1
2024-06-28,4.1
2024-07-01,4.1
2024-07-02,4.1
2024-07-03,4.1
2024-07-04,4.1
2024-07-05,4.1
2024-07-08,4.1
2024-07-09,4.1
2024-07-10,4.1
2024-07-11,4.1
2024-07-12,4.1
2024-07-15,4.1
2024-07-16,4.1
2024-07-17,4.1
2024-07-18,4.1
2024-07-19,4.1
2024-07-22,4.1
2024-07-23,4.1
2024-07-24,4.1
2024-07-25,4.1
2024-07-26,4.1
2024-07-29,4.1
2024-07-30,4.1
2024-07-31,4.1
2024-08-01,4.1
2024-08-02,4.1
2024-08-05,4.1
2024-08-06,4.1
2024-08-07,4.1
2024-08-08,4.1
2024-08-09,4.1
2024-08-12,4.1
2024-08-13,4.1
2024-08-14,4.1
2024-08-15,4.1
2024-08-16,4.1
2024-08-19,4.1
2024-08-20,4.1
2024-08-21,4.1
2024-08-22,4.1
2024-08-23,4.1
2024-08-26,4.1
2024-08-27,4.1
2024-08-28,4.1
2024-08-29,4.1
2024-08-30,4.1
2024-09-02,4.1
2024-09-03,4.1
2024-09-04,4.1
2024-09-05,4.1
2024-09-06,4.1
2024-09-09,4.1
2024-09-10,4.1
2024-09-11,4.1
2024-09-12,4.1
2024-09-13,4.1
2024-09-16,4.1
2024-09-17,4.1
2024-09-18,4.1
2024-09-19,4.1
2024-09-20,4.1
2024-09-23,4.1
2024-09-24,4.1
2024-09-25,4.1
2024-09-26,4.1
2024-09-27,4.1
2024-09-30,4.1
2024-10-01,4.1
2024-10-02,4.1
2024-10-03,4.1
2024-10-04,4.1
2024-10-07,4.1
2024-10-08,4.1
2024-10-09,4.1
2024-10-10,4.1
2024-10-11,4.1
2024-10-14,4.1
2024-10-15,4.1
2024-10-16,4.1
2024-10-17,4.1
2024-10-18,4.1
2024-10-21,4.1
2024-10-22,4.1
2024-10-23,4.1
2024-10-24,4.1
2024-10-25,4.1
2024-10-28,4.1
2024-10-29,4.1
2024-10-30,4.1
2024-10-31,4.1
2024-11-01,4.1
2024-11-04,4.1
2024-11-05,4.1
2024-11-06,4.1
2024-11-07,4.1
2024-11-08,4.1
2024-11-11,4.1
2024-11-12,4.1
2024-11-13,4.1
2024-11-14,4.1
2024-11-15,4.1
2024-11-18,4.1
2024-11-19,4.1
2024-11-20,4.1
2024-11-21,4.1
2024-11-22,4.1
2024-11-25,4.2
2024-11-26,4.2
2024-11-27,4.2
2024-11-28,4.2
2024-11-29,4.2
2024-12-02,4.1
2024-12-03,4.2
2024-12-04,4.2
2024-12-05,4.2
2024-12-06,4.2
2024-12-09,4.2
2024-12-10,4.2
2024-12-11,4.2
2024-12-12,4.2
2024-12-13,4.2
2024-12-16,4.2
2024-12-17,4.2
2024-12-18,4.2
2024-12-19,4.2
2024-12-20,4.2
2024-12-23,4.2
2024-12-24,4.26
2024-12-27,4.26
2024-12-30,4.26
2024-12-31,4.26
2025-01-02,4.26
2025-01-03,4.26
2025-01-06,4.26
2025-01-07,4.26
2025-01-08,4.26
2025-01-09,4.26
2025-01-10,4.26
2025-01-13,4.26
2025-01-14,4.26
2025-01-15,4.26
2025-01-16,4.26
2025-01-17,4.36
2025-01-20,4.36
2025-01-21,4.36
2025-01-22,4.36
2025-01-23,4.36
2025-01-24,4.36
2025-01-27,4.36
2025-01-28,4.36
2025-01-29,4.36
2025-01-30,4.36
2025-01-31,4.36
2025-02-03,4.36
2025-02-04,4.36
2025-02-05,4.36
2025-02-06,4.36
2025-02-07,4.36
2025-02-10,4.36
2025-02-11,4.36
2025-02-12,4.36
2025-02-13,4.4
2025-02-14,4.4
2025-02-17,4.4
2025-02-18,4.4
2025-02-19,4.4
2025-02-20,4.4
2025-02-21,4.4
2025-02-24,4.4
2025-02-25,4.44
2025-02-26,4.44
2025-02-27,4.44
2025-02-28,4.44
2025-03-03,4.44
2025-03-04,4.44
2025-03-05,4.44
2025-03-06,4.44
2025-03-07,4.44
2025-03-10,4.44
2025-03-11,4.44
2025-03-12,4.44
2025-03-13,4.44
2025-03-14,4.44
2025-03-17,4.44
2025-03-18,4.44
2025-03-19,4.44
2025-03-20,4.44
2025-03-21,4.44
2025-03-24,4.44
2025-03-25,4.44
2025-03-26,4.44
2025-03-27,4.44
2025-03-28,4.44
2025-03-31,4.44
2025-04-01,4.44
2025-04-02,4.44
2025-04-03,4.44
2025-04-04,4.44
2025-04-07,4.54
2025-04-08,4.54
2025-04-09,4.54
2025-04-10,4.54
2025-04-11,4.6
2025-04-14,4.6
2025-04-15,4.6
2025-04-16,4.6
2025-04-17,4.6
2025-04-22,4.6
2025-04-23,4.6
2025-04-24,4.6
2025-04-25,4.6
2025-04-28,4.6
2025-04-29,4.6
2025-04-30,4.6
2025-05-02,4.6
2025-05-05,4.6
2025-05-06,4.6
2025-05-07,4.6
2025-05-08,4.6
2025-05-09,4.6
2025-05-12,4.6
2025-05-13,4.6
2025-05-14,4.6
2025-05-15,4.6
2025-05-16,4.6
2025-05-19,4.6
2025-05-20,4.6
2025-05-21,4.6
2025-05-22,4.6
2025-05-23,4.6
2025-05-26,4.6
2025-05-27,4.6
2025-05-28,4.6
2025-05-29,4.6
2025-05-30,4.6
2025-06-02,4.6
2025-06-03,4.6
2025-06-04,4.6
2025-06-05,4.6
2025-06-06,4.6
2025-06-09,4.6
2025-06-10,4.6
2025-06-11,4.6
2025-06-12,4.6
2025-06-13,4.6
2025-06-16,4.6
2025-06-17,4.6
2025-06-18,4.1
2025-06-19,4.6
2025-06-20,4.6
2025-06-23,4.6
2025-06-24,4.6
2025-06-25,4.6
2025-06-26,4.6
2025-06-27,4.6
2025-06-30,4.6
2025-07-01,4.6
2025-07-02,4.6
2025-07-03,4.6
2025-07-04,4.6
2025-07-07,4.6
2025-07-08,4.6
2025-07-09,4.6
2025-07-10,4.6
2025-07-11,4.1
2025-07-14,4.1
2025-07-15,4.1
2025-07-16,4.6
2025-07-17,4.6
2025-07-18,4.6
2025-07-21,4.6
2025-07-22,4.6
2025-07-23,4.6
2025-07-24,4.6
2025-07-25,4.6
2025-07-28,4.6
2025-07-29,4.6
2025-07-30,4.6
2025-07-31,4.6
2025-08-01,4.6
2025-08-04,4.6
2025-08-05,4.6
2025-08-06,4.6
2025-08-07,4.6
2025-08-08,4.6
2025-08-11,4.6
2025-08-12,4.6
2025-08-13,4.6
2025-08-14,4.6
2025-08-15,4.6
2025-08-18,4.6
2025-08-19,4.6
2025-08-20,4.6
2025-08-21,4.6
2025-08-22,4.6
2025-08-25,4.6
2025-08-26,4.6
2025-08-27,4.6
2025-08-28,4.6
2025-08-29,4.6
