,ALGEC FP Equity_DX_SI_QTY,ALGEC FP Equity_DX_SHORT_INTEREST_VALUE,ALGEC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALGEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALGEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALGEC FP Equity_DX_SI_MV,ALGEC FP Equity_DX_DSS,ALGEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALGEC FP Equity_DX_SUPPLY_SI_QTY,ALGEC FP Equity_DX_BROKER_SI_QTY,ALGEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALGEC FP Equity_DX_BROKER_SI_MV_NEW_x,ALGEC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALGEC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALGEC FP Equity_DX_BROKER_SI_MV_INC_x,ALGEC FP Equity_DX_SUPPLY_SI_MV_NEW,ALGEC FP Equity_DX_BROKER_SI_QTY_ADD,ALGEC FP Equity_DX_BROKER_SI_QTY_NEW,ALGEC FP Equity_DX_SUPPLY_SI_MV_DEC,ALGEC FP Equity_DX_BROKER_SI_QTY_INC,ALGEC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALGEC FP Equity_DX_BROKER_SI_MV_NEW_y,ALGEC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALGEC FP Equity_DX_BROKER_SI_MV_INC_y,ALGEC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALGEC FP Equity_DX_BROKER_SI_MV_ADD,ALGEC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALGEC FP Equity_DX_BROKER_SI_QTY_DEC,ALGEC FP Equity_DX_SUPPLY_SI_MV,ALGEC FP Equity_DX_BROKER_SI_MV_DEC,ALGEC FP Equity_DX_SUPPLY_SI_MV_RMV,ALGEC FP Equity_DX_BROKER_SI_MV_RMV,ALGEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALGEC FP Equity_DX_UTILIZATION_QUANTITY,ALGEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALGEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALGEC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALGEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALGEC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALGEC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALGEC FP Equity_DX_BROKER_SI_CON_RATIO,ALGEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALGEC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-06-07,136646.0,330683.32,7.54,1.04,0.64,0.33,0.0,141565.16,78148.0,58498.0,189118.16,,,,,,,,0.01,,2797.0,,,,,,,,0.19,,,,27.82,27.82,202748.0,490650.16,,0.49,27.82,,1.0,100.0,0.4865
2006-06-14,138782.0,285890.92,7.66,1.12,0.65,0.29,0.0,120505.88,80284.0,58498.0,165385.04,,,2136.0,,,,,,,,,,,2136.0,,,,0.17,,,,27.78,27.78,208734.0,429992.04,,0.43,27.78,,1.0,100.0,0.4802
2006-06-21,131228.0,299199.84,2.75,1.14,0.61,0.3,0.0,133375.44,72730.0,58498.0,165824.4,,,,,,,,0.0,,7554.0,,,,,,,,0.17,,,,27.69,27.69,189971.0,433133.88,,0.43,27.69,,1.0,100.0,0.4995
2006-06-28,132919.0,300396.94,2.79,1.34,0.62,0.3,0.0,132205.48,74421.0,58498.0,168191.46,,,1694.0,,,,,0.0,,3.0,,,,1694.0,,,,0.17,,,,27.72,27.72,194025.0,438496.5,,0.44,27.72,,1.0,100.0,0.4951
2006-07-03,122546.0,330874.2,2.57,1.69,0.57,0.33,0.0,159618.6,63428.0,59118.0,171255.6,,,,,,620.0,,0.0,,10993.0,,,,,0.0,,,0.17,,,,27.73,27.73,165338.0,446412.6,,0.0,0.0,0.93,0.9815,99.07,0.5357
2006-07-04,130389.0,363785.31,2.73,1.89,0.61,0.36,0.0,164939.22,71271.0,59118.0,198846.09,,,8083.0,,,,,0.0,,239.0,,,,8083.0,,,,0.2,,,,28.07,28.07,182610.0,509481.9,,0.0,0.0,0.9,0.9821,99.1,0.5136
2006-07-05,135198.0,374498.46,2.83,2.06,0.63,0.37,0.0,163756.86,76080.0,59118.0,210741.6,,,4809.0,,,,,,,,,,,4809.0,,,,0.21,,,,27.71,27.71,198524.0,549911.48,,0.0,0.0,0.91,0.982,99.09,0.4923
2006-07-06,135215.0,371841.25,2.83,2.22,0.63,0.37,0.0,162574.5,76097.0,59118.0,209266.75,,,42.0,,,,,0.0,,25.0,,,,42.0,,,,0.21,,,,27.69,27.69,198726.0,546496.5,,0.0,0.0,0.92,0.9818,99.08,0.492
2006-07-07,148953.0,390256.86,3.12,2.62,0.69,0.39,0.0,154889.16,89835.0,59118.0,235367.7,,,13738.0,,,,,,,,,,,13738.0,,,,0.24,,,,31.31,31.31,197100.0,516402.0,,0.52,31.31,0.96,0.981,99.04,0.5191
2006-07-10,142154.0,393766.58,2.98,2.58,0.66,0.39,0.0,167911.86,81536.0,60618.0,225854.72,,,,0.0,,,,0.01,1500.0,8299.0,,,0.0,,,,,0.23,,,,31.17,31.17,180065.0,498780.05,,0.5,31.17,3.24,0.9374,96.76,0.5434
2006-07-11,148305.0,400423.5,3.11,2.7,0.69,0.4,0.0,163668.6,87687.0,60618.0,236754.9,,,6151.0,,,,,,,,,,,6151.0,,,,0.24,,,,31.28,31.28,192680.0,520236.0,,0.52,31.28,3.32,0.9359,96.68,0.529
2006-07-12,160601.0,414350.58,3.37,2.96,0.75,0.41,0.0,183688.26,89404.0,71197.0,230662.32,,,1717.0,,,10579.0,,,,,,,,1717.0,0.03,,,0.23,,,,31.37,31.37,195608.0,504668.64,,0.5,31.37,14.86,0.6985,82.19,0.5635
2006-07-13,163732.0,392956.8,3.43,2.95,0.76,0.39,0.0,172123.2,92014.0,71718.0,220833.6,,,2610.0,0.0,,,,,521.0,,,,0.0,2610.0,,,,0.22,,,,31.19,31.19,202971.0,487130.4,,0.49,31.19,15.48,0.6872,81.38,0.5551
2006-07-14,160805.0,366635.4,3.37,2.84,0.75,0.37,0.0,158824.8,91145.0,69660.0,207810.6,,,622.0,0.0,,,,0.01,63.0,1491.0,,,0.0,622.0,,,2120.0,0.21,0.01,,,31.01,31.01,202729.0,462222.12,,0.46,31.01,16.02,0.7309,83.98,0.5472
2006-07-17,158796.0,352527.12,3.33,2.75,0.74,0.35,0.0,153781.62,89525.0,69271.0,198745.5,,,317.0,,,,,0.01,,1938.0,,,,317.0,,,389.0,0.2,0.0,,,30.88,30.88,200393.0,444872.46,,0.44,30.88,15.55,0.7373,84.45,0.5477
2006-07-18,156696.0,346298.16,3.28,2.61,0.73,0.35,0.0,152025.9,87906.0,68790.0,194272.26,,,121.0,,,,,0.0,,1740.0,,,,121.0,,,481.0,0.19,0.0,,,30.78,30.78,197702.0,436921.42,,0.44,30.78,14.96,0.7455,85.04,0.5486
2006-07-19,91428.0,205713.0,1.92,1.53,0.43,0.21,0.0,153326.25,23283.0,68145.0,52386.75,,,,,,,,0.14,,64623.0,,,,,,,645.0,0.05,0.0,,,8.71,8.71,244129.0,549290.25,,0.55,8.71,14.16,0.757,85.84,0.3419
2006-07-20,64114.0,137845.1,1.34,1.06,0.3,0.14,0.0,84778.8,24681.0,39432.0,53064.15,,,1399.0,0.0,,,,,361.0,,,,0.0,1399.0,,,29074.0,0.05,0.07,,,8.69,8.69,259283.0,557458.45,,0.56,8.69,25.38,0.6212,74.62,0.2258
2006-07-21,77170.0,174404.2,1.62,1.34,0.36,0.17,0.0,72376.5,45145.0,32025.0,102027.7,,,20964.0,,,,,0.0,,500.0,,,,20964.0,,,7408.0,0.1,0.01,,,17.34,17.34,215280.0,486532.8,,0.49,17.34,30.33,0.5774,69.67,0.2963
2006-07-24,78229.0,178362.12,1.64,1.36,0.36,0.18,0.0,72009.24,46647.0,31583.0,106355.16,,,1581.0,,,,,0.0,,79.0,,,,1581.0,,,442.0,0.11,0.0,,,17.36,17.36,222127.0,506449.56,,0.51,17.36,29.35,0.5853,70.65,0.2911
2006-07-25,79281.0,179967.87,1.66,1.39,0.37,0.18,0.0,72966.88,47136.0,32144.0,106998.72,,,490.0,0.0,,,,,562.0,,,,0.0,490.0,,,,0.11,,,,17.34,17.34,224657.0,509971.39,,0.51,17.34,30.58,0.5754,69.42,0.2917
2006-07-26,78409.0,180340.7,1.64,1.47,0.36,0.18,0.0,73570.1,46421.0,31987.0,106768.3,,,141.0,,,,,0.0,,856.0,,,,141.0,,,157.0,0.11,0.0,,,17.28,17.28,222280.0,511244.0,,0.51,17.28,30.24,0.5781,69.76,0.2918
2006-07-27,81171.0,180199.62,1.7,1.54,0.38,0.18,0.0,71637.18,48903.0,32269.0,108564.66,,,2482.0,0.0,,,,,281.0,,,,0.0,2482.0,,,,0.11,,,,17.37,17.37,232602.0,516376.44,,0.52,17.37,30.85,0.5733,69.15,0.2883
2006-07-28,75747.0,181035.33,1.59,1.48,0.35,0.18,0.0,75820.36,44023.0,31724.0,105214.97,,,,,,,,0.0,,4879.0,,,,,,,545.0,0.11,0.0,,,17.33,17.33,210033.0,501978.87,,0.5,17.33,29.66,0.5827,70.34,0.2982
2006-07-31,74843.0,190101.22,1.57,1.48,0.35,0.19,0.0,78361.54,43992.0,30851.0,111739.68,,,515.0,,,,,0.0,,547.0,,,,515.0,,,872.0,0.11,0.0,,,17.33,17.33,209845.0,533006.3,,0.53,17.33,27.68,0.5997,72.32,0.2948
2006-08-01,78497.0,196242.5,1.65,1.49,0.37,0.2,0.0,79022.5,46888.0,31609.0,117220.0,,,2897.0,0.0,,,,,758.0,,,,0.0,2897.0,,,,0.12,,,,17.3,17.3,224189.0,560472.5,,0.56,17.3,29.41,0.5848,70.59,0.2896
2006-08-02,79199.0,196413.52,1.66,1.53,0.37,0.2,0.0,80270.16,46832.0,32367.0,116143.36,,,105.0,0.0,,,,0.0,757.0,161.0,,,0.0,105.0,,,,0.12,,,,17.35,17.35,223056.0,553178.88,,0.55,17.35,31.06,0.5717,68.94,0.2935
2006-08-03,77758.0,195950.16,1.63,1.53,0.36,0.2,0.0,80821.44,45687.0,32072.0,115131.24,,,,,,,,0.0,,1145.0,,,,,,,295.0,0.12,0.0,,,17.3,17.3,218383.0,550325.16,,0.55,17.3,30.43,0.5766,69.57,0.2945
2006-08-04,79625.0,195877.5,1.67,1.58,0.37,0.2,0.0,79128.36,47459.0,32166.0,116749.14,,,1772.0,0.0,,,,,95.0,,,,0.0,1772.0,,,,0.12,,,,17.3,17.3,226880.0,558124.8,,0.56,17.3,30.63,0.575,69.37,0.2902
2006-08-07,77948.0,194870.0,1.63,1.56,0.36,0.2,0.0,80350.0,45808.0,32140.0,114520.0,,,,,,,,0.0,,1650.0,,,,,,,26.0,0.11,0.0,,,17.33,17.33,218516.0,546290.0,,0.55,17.33,30.69,0.5745,69.31,0.2949
2006-08-08,78279.0,199611.45,1.64,1.56,0.36,0.2,0.0,81957.0,46139.0,32140.0,117654.45,,,383.0,,,,,0.0,,53.0,,,,383.0,,,,0.12,,,,17.34,17.34,219954.0,560882.7,,0.55,17.34,29.78,0.5818,70.22,0.2942
2006-08-09,78818.0,200197.72,1.65,1.57,0.37,0.2,0.0,81635.6,46678.0,32140.0,118562.12,,,594.0,,,,,0.0,,55.0,,,,594.0,,,,0.12,,,,17.31,17.31,223000.0,566420.0,,0.56,17.31,30.21,0.5784,69.79,0.2923
2006-08-10,69389.0,172778.61,1.45,1.39,0.32,0.18,0.0,80028.6,37249.0,32140.0,92750.01,,,,,,,,0.0,,306.0,,,,,,,,0.09,,0.02,,16.99,16.99,181953.0,453062.97,9122.0,0.46,16.99,30.78,0.5739,69.22,0.3166
2006-08-11,68457.0,174565.35,1.44,1.37,0.32,0.17,0.0,81957.0,36317.0,32140.0,92608.35,,,,,,,,0.0,,932.0,,,,,,,,0.09,,,,16.96,16.96,177763.0,453295.65,,0.45,16.96,30.72,0.5743,69.28,0.3198
2006-08-14,69420.0,176326.8,1.46,1.45,0.32,0.18,0.0,81635.6,37280.0,32140.0,94691.2,,,963.0,,,,,,,,,,,963.0,,,,0.1,,,,16.95,16.95,182606.0,463819.24,,0.47,16.95,30.79,0.5738,69.21,0.3157
2006-08-15,68573.0,178975.53,1.44,1.58,0.32,0.18,0.0,83885.4,36433.0,32140.0,95090.13,,,,,,,,0.0,,847.0,,,,,,,,0.09,,,,16.92,16.92,178830.0,466746.3,,0.46,16.92,30.1,0.5792,69.9,0.3186
2006-08-16,70342.0,179372.1,1.47,1.58,0.33,0.18,0.0,81957.0,38202.0,32140.0,97415.1,,,1769.0,,,,,,,,,,,1769.0,,,,0.1,,,,16.92,16.92,187602.0,478385.1,,0.48,16.92,30.29,0.5777,69.71,0.3115
2006-08-17,70186.0,176166.86,1.47,1.62,0.33,0.18,0.0,80671.4,38046.0,32140.0,95495.46,,,,,,,,0.0,,156.0,,,,,,,,0.1,,,,17.24,17.24,182698.0,458571.98,,0.46,17.24,31.34,0.5696,68.66,0.318
2006-08-18,70238.0,173487.86,1.47,1.63,0.33,0.18,0.0,79385.8,38098.0,32140.0,94102.06,,,52.0,,,,,,,,,,,52.0,,,,0.1,,,,17.24,17.24,182894.0,451748.18,,0.46,17.24,31.28,0.5701,68.72,0.3178
2006-08-21,68716.0,176600.12,1.44,1.6,0.32,0.18,0.0,82599.8,36576.0,32140.0,94000.32,,,,,,,,0.0,,1522.0,,,,,,,,0.09,,,,17.17,17.17,176417.0,453391.69,,0.45,17.17,29.97,0.5802,70.03,0.3226
2006-08-22,70619.0,180784.64,1.48,1.65,0.33,0.18,0.0,82278.4,38479.0,32140.0,98506.24,,,1902.0,,,,,,,,,,,1902.0,,,,0.1,,,,17.27,17.27,184357.0,471953.92,,0.47,17.27,29.86,0.5811,70.14,0.3169
2006-08-23,70069.0,177975.26,1.47,1.68,0.33,0.18,0.0,81635.6,37929.0,32140.0,96339.66,,,,,,,,0.0,,550.0,,,,,,,,0.1,,,,13.91,13.91,234738.0,596234.52,,0.6,13.91,31.01,0.5721,68.99,0.257
2006-08-24,70212.0,176232.12,1.47,1.8,0.33,0.18,0.0,80671.4,38072.0,32140.0,95560.72,,,143.0,,,,,,,,,,,143.0,,,,0.1,,,,13.9,13.9,235866.0,592023.66,,0.6,13.9,31.05,0.5718,68.95,0.2563
2006-08-25,69436.0,177061.8,1.46,1.83,0.32,0.18,0.0,81957.0,37296.0,32140.0,95104.8,,,,,,,,0.0,,776.0,,,,,,,,0.1,,,,13.86,13.86,231739.0,590934.45,,0.59,13.86,30.56,0.5756,69.44,0.2581
2006-08-28,70153.0,178890.15,1.47,1.89,0.33,0.18,0.0,81957.0,38013.0,32140.0,96933.15,,,717.0,,,,,,,,,,,717.0,,,,0.1,,,,13.88,13.88,235865.0,601455.75,,0.6,13.88,30.22,0.5783,69.78,0.2561
2006-08-29,69997.0,178492.35,1.47,1.97,0.33,0.18,0.0,81957.0,37857.0,32140.0,96535.35,,,,,,,,0.0,,156.0,,,,,,,,0.1,,,,13.88,13.88,234966.0,599163.3,,0.6,13.88,30.48,0.5762,69.52,0.2566
2006-08-30,69517.0,180744.2,1.46,1.98,0.32,0.18,0.0,83564.0,37377.0,32140.0,97180.2,,,,,,,,0.0,,480.0,,,,,,,,0.1,,,,13.9,13.9,231505.0,601913.0,,0.6,13.9,30.09,0.5793,69.91,0.2585
2006-08-31,70310.0,182102.9,1.47,1.8,0.33,0.18,0.0,83242.6,38170.0,32140.0,98860.3,,,793.0,,,,,,,,,,,793.0,,,,0.1,,,,13.95,13.95,235364.0,609592.76,,0.61,13.95,30.28,0.5778,69.72,0.257
2006-09-01,70108.0,180177.56,1.47,1.81,0.33,0.18,0.0,82599.8,37968.0,32140.0,97577.76,,,,,,,,0.0,,202.0,,,,,,,,0.1,,,,13.93,13.93,234645.0,603037.65,,0.61,13.93,30.82,0.5736,69.18,0.2572
2006-09-04,69904.0,179653.28,1.47,1.8,0.33,0.18,0.0,82599.8,37764.0,32140.0,97053.48,,,,,,,,0.0,,204.0,,,,,,,,0.1,,,,13.91,13.91,233749.0,600734.93,,0.6,13.91,30.64,0.575,69.36,0.2575
2006-09-05,71100.0,175617.0,1.49,1.81,0.33,0.18,0.0,79385.8,38960.0,32140.0,96231.2,,,1196.0,,,,,,,,,,,1196.0,,,,0.1,,,,13.95,13.95,240266.0,593457.02,,0.6,13.95,31.41,0.5691,68.59,0.2546
2006-09-06,69679.0,170713.55,1.46,1.74,0.32,0.17,0.0,78743.0,37539.0,32140.0,91970.55,,,,,,,,0.0,,1421.0,,,,,,,,0.09,,,,13.89,13.89,232679.0,570063.55,,0.58,13.89,31.65,0.5673,68.35,0.2579
2006-09-07,69864.0,171166.8,1.46,1.72,0.33,0.17,0.0,78743.0,37724.0,32140.0,92423.8,,,184.0,,,,,,,,,,,184.0,,,,0.09,,,,13.89,13.89,233777.0,572753.65,,0.58,13.89,30.9,0.573,69.1,0.2573
2006-09-08,70321.0,169473.61,1.47,1.67,0.33,0.17,0.0,77457.4,38181.0,32140.0,92016.21,,,457.0,,,,,,,,,,,457.0,,,,0.09,,,,13.89,13.89,236696.0,570437.36,,0.58,13.89,31.16,0.571,68.84,0.2558
2006-09-11,69179.0,170180.34,1.45,1.73,0.32,0.17,0.0,79064.4,37039.0,32140.0,91115.94,,,,,,,,0.0,,1142.0,,,,,,,,0.09,,,,13.82,13.82,230988.0,568230.48,,0.57,13.82,30.54,0.5757,69.46,0.2581
2006-09-12,69613.0,174728.63,1.46,1.85,0.32,0.17,0.0,80671.4,37473.0,32140.0,94057.23,,,434.0,,,,,,,,,,,434.0,,,,0.09,,,,13.87,13.87,232766.0,584242.66,,0.58,13.87,29.8,0.5816,70.2,0.2576
2006-09-13,70651.0,174507.97,1.48,1.91,0.33,0.17,0.0,79385.8,38511.0,32140.0,95122.17,,,1037.0,,,,,,,,,,,1037.0,,,,0.1,,,,13.91,13.91,238417.0,588889.99,,0.59,13.91,30.51,0.576,69.49,0.2551
2006-09-14,69237.0,174477.24,0.52,1.88,0.32,0.17,0.0,80992.8,37097.0,32140.0,93484.44,,,,,,,,0.0,,1414.0,,,,,,,,0.09,,,,13.82,13.82,231274.0,582810.48,,0.58,13.82,30.44,0.5765,69.56,0.258
2006-09-15,69970.0,178423.5,0.52,1.87,0.33,0.18,0.0,81957.0,37830.0,32140.0,96466.5,,,733.0,,,,,,,,,,,733.0,,,,0.1,,,,13.93,13.93,233696.0,595924.8,,0.59,13.93,29.95,0.5804,70.05,0.2577
2006-09-18,70586.0,176465.0,0.53,1.92,0.33,0.18,0.0,80350.0,38446.0,32140.0,96115.0,,,616.0,,,,,,,,,,,616.0,,,,0.1,,,,13.92,13.92,237680.0,594200.0,,0.6,13.92,30.77,0.5739,69.23,0.2556
2006-09-19,69779.0,174447.5,0.52,1.95,0.32,0.18,0.0,80350.0,37639.0,32140.0,94097.5,,,,,,,,0.0,,807.0,,,,,,,,0.09,,,,13.9,13.9,233097.0,582742.5,,0.59,13.9,31.07,0.5716,68.93,0.2577
2006-09-20,68674.0,180612.62,0.51,1.9,0.32,0.18,0.0,84528.2,36534.0,32140.0,96084.42,,,,,,,,0.0,,1105.0,,,,,,,,0.09,,,,13.91,13.91,226119.0,594692.97,,0.59,13.91,29.54,0.5837,70.46,0.2615
