,SRIUC FP Equity_DX_SI_QTY,SRIUC FP Equity_DX_SHORT_INTEREST_VALUE,SRIUC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIUC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIUC FP Equity_DX_SI_MV,SRIUC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIUC FP Equity_DX_SUPPLY_SI_QTY,SRIUC FP Equity_DX_BROKER_SI_QTY,SRIUC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIUC FP Equity_DX_BROKER_SI_QTY_ADD,SRIUC FP Equity_DX_BROKER_SI_MV_ADD,SRIUC FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIUC FP Equity_DX_SUPPLY_SI_MV,SRIUC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIUC FP Equity_DX_UTILIZATION_QUANTITY,SRIUC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIUC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIUC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIUC FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIUC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRIUC FP Equity_DX_BROKER_SI_CON_RATIO,SRIUC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIUC FP Equity_DX_DEMAND_SUPPLY_RATIO,SRIUC FP Equity_PX_LAST
2023-11-07,,,,,,,,,,,,,,,,,,,,,,,,10.08
2023-11-08,,,,,,,,,,,,,,,,,,,,,,,,10.076
2023-11-09,,,,,,,,,,,,,,,,,,,,,,,,10.078
2023-11-10,,,,,,,,,,,,,,,,,,,,,,,,10.076
2023-11-13,,,,,,,,,,,,,,,,,,,,,,,,10.078
2023-11-14,,,,,,,,,,,,,,,,,,,,,,,,10.086
2023-11-15,,,,,,,,,,,,,,,,,,,,,,,,10.086
2023-11-16,,,,,,,,,,,,,,,,,,,,,,,,10.104
2023-11-17,,,,,,,,,,,,,,,,,,,,,,,,10.094
2023-11-20,,,,,,,,,,,,,,,,,,,,,,,,10.096
2023-11-21,,,,,,,,,,,,,,,,,,,,,,,,10.094
2023-11-22,,,,,,,,,,,,,,,,,,,,,,,,10.094
2023-11-23,,,,,,,,,,,,,,,,,,,,,,,,10.094
2023-11-24,,,,,,,,,,,,,,,,,,,,,,,,10.098
2023-11-27,,,,,,,,,,,,,,,,,,,,,,,,10.096
2023-11-28,,,,,,,,,,,,,,,,,,,,,,,,10.102
2023-11-29,,,,,,,,,,,,,,,,,,,,,,,,10.104
2023-11-30,,,,,,,,,,,,,,,,,,,,,,,,10.108
2023-12-01,,,,,,,,,,,,,,,,,,,,,,,,10.112
2023-12-04,,,,,,,,,,,,,,,,,,,,,,,,10.12
2023-12-05,,,,,,,,,,,,,,,,,,,,,,,,10.126
2023-12-06,,,,,,,,,,,,,,,,,,,,,,,,10.126
2023-12-07,,,,,,,,,,,,,,,,,,,,,,,,10.126
2023-12-08,,,,,,,,,,,,,,,,,,,,,,,,10.124
2023-12-11,,,,,,,,,,,,,,,,,,,,,,,,10.108
2023-12-12,,,,,,,,,,,,,,,,,,,,,,,,10.126
2023-12-13,,,,,,,,,,,,,,,,,,,,,,,,10.13
2023-12-14,,,,,,,,,,,,,,,,,,,,,,,,10.146
2023-12-15,,,,,,,,,,,,,,,,,,,,,,,,10.14
2023-12-18,,,,,,,,,,,,,,,,,,,,,,,,10.14
2023-12-19,,,,,,,,,,,,,,,,,,,,,,,,10.14
2023-12-20,,,,,,,,,,,,,,,,,,,,,,,,10.142
2023-12-21,,,,,,,,,,,,,,,,,,,,,,,,10.146
2023-12-22,,,,,,,,,,,,,,,,,,,,,,,,10.15
2023-12-27,,,,,,,,,,,,,,,,,,,,,,,,10.15
2023-12-28,,,,,,,,,,,,,,,,,,,,,,,,10.156
2023-12-29,,,,,,,,,,,,,,,,,,,,,,,,10.156
2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,10.156
2024-01-03,,,,,,,,,,,,,,,,,,,,,,,,10.158
2024-01-04,,,,,,,,,,,,,,,,,,,,,,,,10.158
2024-01-05,,,,,,,,,,,,,,,,,,,,,,,,10.162
2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,10.154
2024-01-09,,,,,,,,,,,,,,,,,,,,,,,,10.158
2024-01-10,,,,,,,,,,,,,,,,,,,,,,,,10.158
2024-01-11,,,,,,,,,,,,,,,,,,,,,,,,10.16
2024-01-12,,,,,,,,,,,,,,,,,,,,,,,,10.168
2024-01-15,,,,,,,,,,,,,,,,,,,,,,,,10.164
2024-01-16,,,,,,,,,,,,,,,,,,,,,,,,10.196
2024-01-17,,,,,,,,,,,,,,,,,,,,,,,,10.164
2024-01-18,,,,,,,,,,,,,,,,,,,,,,,,10.168
2024-01-19,,,,,,,,,,,,,,,,,,,,,,,,10.17
2024-01-22,,,,,,,,,,,,,,,,,,,,,,,,10.17
2024-01-23,,,,,,,,,,,,,,,,,,,,,,,,10.174
2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,10.176
2024-01-25,,,,,,,,,,,,,,,,,,,,,,,,10.178
2024-01-26,,,,,,,,,,,,,,,,,,,,,,,,10.184
2024-01-29,,,,,,,,,,,,,,,,,,,,,,,,10.184
2024-01-30,,,,,,,,,,,,,,,,,,,,,,,,10.194
2024-01-31,,,,,,,,,,,,,,,,,,,,,,,,10.19
2024-02-01,,,,,,,,,,,,,,,,,,,,,,,,10.194
2024-02-02,,,,,,,,,,,,,,,,,,,,,,,,10.198
2024-02-05,,,,,,,,,,,,,,,,,,,,,,,,10.19
2024-02-06,,,,,,,,,,,,,,,,,,,,,,,,10.192
2024-02-07,,,,,,,,,,,,,,,,,,,,,,,,10.19
2024-02-08,,,,,,,,,,,,,,,,,,,,,,,,10.196
2024-02-09,,,,,,,,,,,,,,,,,,,,,,,,10.19
2024-02-12,,,,,,,,,,,,,,,,,,,,,,,,10.196
2024-02-13,,,,,,,,,,,,,,,,,,,,,,,,10.19
2024-02-14,,,,,,,,,,,,,,,,,,,,,,,,10.19
2024-02-15,,,,,,,,,,,,,,,,,,,,,,,,10.194
2024-02-16,,,,,,,,,,,,,,,,,,,,,,,,10.196
2024-02-19,,,,,,,,,,,,,,,,,,,,,,,,10.198
2024-02-20,,,,,,,,,,,,,,,,,,,,,,,,10.202
2024-02-21,,,,,,,,,,,,,,,,,,,,,,,,10.2
2024-02-22,,,,,,,,,,,,,,,,,,,,,,,,10.194
2024-02-23,,,,,,,,,,,,,,,,,,,,,,,,10.204
2024-02-26,,,,,,,,,,,,,,,,,,,,,,,,10.204
2024-02-27,,,,,,,,,,,,,,,,,,,,,,,,10.212
2024-02-28,,,,,,,,,,,,,,,,,,,,,,,,10.206
2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,10.206
2024-03-01,,,,,,,,,,,,,,,,,,,,,,,,10.25
2024-03-04,,,,,,,,,,,,,,,,,,,,,,,,10.212
2024-03-05,,,,,,,,,,,,,,,,,,,,,,,,10.214
2024-03-06,,,,,,,,,,,,,,,,,,,,,,,,10.216
2024-03-07,,,,,,,,,,,,,,,,,,,,,,,,10.22
2024-03-08,,,,,,,,,,,,,,,,,,,,,,,,10.244
2024-03-11,,,,,,,,,,,,,,,,,,,,,,,,10.228
2024-03-12,,,,,,,,,,,,,,,,,,,,,,,,10.228
2024-03-13,,,,,,,,,,,,,,,,,,,,,,,,10.234
2024-03-14,,,,,,,,,,,,,,,,,,,,,,,,10.24
2024-03-15,,,,,,,,,,,,,,,,,,,,,,,,10.24
2024-03-18,,,,,,,,,,,,,,,,,,,,,,,,10.238
2024-03-19,,,,,,,,,,,,,,,,,,,,,,,,10.228
2024-03-20,,,,,,,,,,,,,,,,,,,,,,,,10.23
2024-03-21,,,,,,,,,,,,,,,,,,,,,,,,10.242
2024-03-22,,,,,,,,,,,,,,,,,,,,,,,,10.246
2024-03-25,,,,,,,,,,,,,,,,,,,,,,,,10.248
2024-03-26,,,,,,,,,,,,,,,,,,,,,,,,10.236
2024-03-27,,,,,,,,,,,,,,,,,,,,,,,,10.252
2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,10.242
2024-04-02,,,,,,,,,,,,,,,,,,,,,,,,10.254
2024-04-03,,,,,,,,,,,,,,,,,,,,,,,,10.274
2024-04-04,,,,,,,,,,,,,,,,,,,,,,,,10.262
2024-04-05,,,,,,,,,,,,,,,,,,,,,,,,10.272
2024-04-08,,,,,,,,,,,,,,,,,,,,,,,,10.25
2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,10.262
2024-04-10,,,,,,,,,,,,,,,,,,,,,,,,10.268
2024-04-11,,,,,,,,,,,,,,,,,,,,,,,,10.274
2024-04-12,,,,,,,,,,,,,,,,,,,,,,,,10.282
2024-04-15,,,,,,,,,,,,,,,,,,,,,,,,10.284
2024-04-16,,,,,,,,,,,,,,,,,,,,,,,,10.272
2024-04-17,,,,,,,,,,,,,,,,,,,,,,,,10.272
2024-04-18,,,,,,,,,,,,,,,,,,,,,,,,10.276
2024-04-19,,,,,,,,,,,,,,,,,,,,,,,,10.262
2024-04-22,,,,,,,,,,,,,,,,,,,,,,,,10.274
2024-04-23,,,,,,,,,,,,,,,,,,,,,,,,10.286
2024-04-24,,,,,,,,,,,,,,,,,,,,,,,,10.268
2024-04-25,,,,,,,,,,,,,,,,,,,,,,,,10.288
2024-04-26,,,,,,,,,,,,,,,,,,,,,,,,10.286
2024-04-29,,,,,,,,,,,,,,,,,,,,,,,,10.294
2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,10.298
2024-05-02,,,,,,,,,,,,,,,,,,,,,,,,10.298
2024-05-03,,,,,,,,,,,,,,,,,,,,,,,,10.3
2024-05-06,,,,,,,,,,,,,,,,,,,,,,,,10.296
2024-05-07,,,,,,,,,,,,,,,,,,,,,,,,10.296
2024-05-08,,,,,,,,,,,,,,,,,,,,,,,,10.296
2024-05-09,,,,,,,,,,,,,,,,,,,,,,,,10.308
2024-05-10,,,,,,,,,,,,,,,,,,,,,,,,10.3
2024-05-13,,,,,,,,,,,,,,,,,,,,,,,,10.298
2024-05-14,,,,,,,,,,,,,,,,,,,,,,,,10.314
2024-05-15,,,,,,,,,,,,,,,,,,,,,,,,10.314
2024-05-16,,,,,,,,,,,,,,,,,,,,,,,,10.306
2024-05-17,,,,,,,,,,,,,,,,,,,,,,,,10.308
2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,10.294
2024-05-21,,,,,,,,,,,,,,,,,,,,,,,,10.306
2024-05-22,,,,,,,,,,,,,,,,,,,,,,,,10.312
2024-05-23,,,,,,,,,,,,,,,,,,,,,,,,10.32
2024-05-24,,,,,,,,,,,,,,,,,,,,,,,,10.318
2024-05-27,,,,,,,,,,,,,,,,,,,,,,,,10.332
2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,10.316
2024-05-29,,,,,,,,,,,,,,,,,,,,,,,,10.324
2024-05-30,,,,,,,,,,,,,,,,,,,,,,,,10.306
2024-05-31,,,,,,,,,,,,,,,,,,,,,,,,10.322
2024-06-03,,,,,,,,,,,,,,,,,,,,,,,,10.33
2024-06-04,,,,,,,,,,,,,,,,,,,,,,,,10.326
2024-06-05,,,,,,,,,,,,,,,,,,,,,,,,10.334
2024-06-06,,,,,,,,,,,,,,,,,,,,,,,,10.328
2024-06-07,,,,,,,,,,,,,,,,,,,,,,,,10.328
2024-06-10,,,,,,,,,,,,,,,,,,,,,,,,10.312
2024-06-11,,,,,,,,,,,,,,,,,,,,,,,,10.33
2024-06-12,,,,,,,,,,,,,,,,,,,,,,,,10.354
2024-06-13,,,,,,,,,,,,,,,,,,,,,,,,10.354
2024-06-14,,,,,,,,,,,,,,,,,,,,,,,,10.34
2024-06-17,,,,,,,,,,,,,,,,,,,,,,,,10.342
2024-06-18,,,,,,,,,,,,,,,,,,,,,,,,10.342
2024-06-19,,,,,,,,,,,,,,,,,,,,,,,,10.344
2024-06-20,,,,,,,,,,,,,,,,,,,,,,,,10.346
2024-06-21,,,,,,,,,,,,,,,,,,,,,,,,10.354
2024-06-24,,,,,,,,,,,,,,,,,,,,,,,,10.35
2024-06-25,,,,,,,,,,,,,,,,,,,,,,,,10.354
2024-06-26,,,,,,,,,,,,,,,,,,,,,,,,10.352
2024-06-27,,,,,,,,,,,,,,,,,,,,,,,,10.358
2024-06-28,,,,,,,,,,,,,,,,,,,,,,,,10.362
2024-07-01,,,,,,,,,,,,,,,,,,,,,,,,10.362
2024-07-02,,,,,,,,,,,,,,,,,,,,,,,,10.362
2024-07-03,,,,,,,,,,,,,,,,,,,,,,,,10.356
2024-07-04,,,,,,,,,,,,,,,,,,,,,,,,10.362
2024-07-05,,,,,,,,,,,,,,,,,,,,,,,,10.362
2024-07-08,,,,,,,,,,,,,,,,,,,,,,,,10.366
2024-07-09,,,,,,,,,,,,,,,,,,,,,,,,10.368
2024-07-10,,,,,,,,,,,,,,,,,,,,,,,,10.364
2024-07-11,,,,,,,,,,,,,,,,,,,,,,,,10.394
2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,10.374
2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,10.374
2024-07-16,,,,,,,,,,,,,,,,,,,,,,,,10.374
2024-07-17,,,,,,,,,,,,,,,,,,,,,,,,10.378
2024-07-18,,,,,,,,,,,,,,,,,,,,,,,,10.382
2024-07-19,,,,,,,,,,,,,,,,,,,,,,,,10.368
2024-07-22,,,,,,,,,,,,,,,,,,,,,,,,10.388
2024-07-23,,,,,,,,,,,,,,,,,,,,,,,,10.388
2024-07-24,,,,,,,,,,,,,,,,,,,,,,,,10.404
2024-07-25,,,,,,,,,,,,,,,,,,,,,,,,10.394
2024-07-26,,,,,,,,,,,,,,,,,,,,,,,,10.396
2024-07-29,,,,,,,,,,,,,,,,,,,,,,,,10.388
2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,10.398
2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,10.392
2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,10.398
2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,10.402
2024-08-05,,,,,,,,,,,,,,,,,,,,,,,,10.408
2024-08-06,,,,,,,,,,,,,,,,,,,,,,,,10.396
2024-08-07,,,,,,,,,,,,,,,,,,,,,,,,10.398
2024-08-08,,,,,,,,,,,,,,,,,,,,,,,,10.402
2024-08-09,,,,,,,,,,,,,,,,,,,,,,,,10.404
2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,10.406
2024-08-13,,,,,,,,,,,,,,,,,,,,,,,,10.408
2024-08-14,,,,,,,,,,,,,,,,,,,,,,,,10.41
2024-08-15,,,,,,,,,,,,,,,,,,,,,,,,10.412
2024-08-16,,,,,,,,,,,,,,,,,,,,,,,,10.41
2024-08-19,,,,,,,,,,,,,,,,,,,,,,,,10.414
2024-08-20,,,,,,,,,,,,,,,,,,,,,,,,10.416
2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,10.416
2024-08-22,,,,,,,,,,,,,,,,,,,,,,,,10.42
2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,10.42
2024-08-26,,,,,,,,,,,,,,,,,,,,,,,,10.426
2024-08-27,,,,,,,,,,,,,,,,,,,,,,,,10.424
2024-08-28,,,,,,,,,,,,,,,,,,,,,,,,10.426
2024-08-29,,,,,,,,,,,,,,,,,,,,,,,,10.432
2024-08-30,,,,,,,,,,,,,,,,,,,,,,,,10.432
2024-09-02,,,,,,,,,,,,,,,,,,,,,,,,10.43
2024-09-03,,,,,,,,,,,,,,,,,,,,,,,,10.434
2024-09-04,,,,,,,,,,,,,,,,,,,,,,,,10.434
2024-09-05,,,,,,,,,,,,,,,,,,,,,,,,10.444
2024-09-06,,,,,,,,,,,,,,,,,,,,,,,,10.442
2024-09-09,,,,,,,,,,,,,,,,,,,,,,,,10.448
2024-09-10,,,,,,,,,,,,,,,,,,,,,,,,10.446
2024-09-11,,,,,,,,,,,,,,,,,,,,,,,,10.446
2024-09-12,,,,,,,,,,,,,,,,,,,,,,,,10.448
2024-09-13,,,,,,,,,,,,,,,,,,,,,,,,10.448
2024-09-16,,,,,,,,,,,,,,,,,,,,,,,,10.444
2024-09-17,,,,,,,,,,,,,,,,,,,,,,,,10.454
2024-09-18,,,,,,,,,,,,,,,,,,,,,,,,10.452
2024-09-19,,,,,,,,,,,,,,,,,,,,,,,,10.458
2024-09-20,,,,,,,,,,,,,,,,,,,,,,,,10.46
2024-09-23,,,,,,,,,,,,,,,,,,,,,,,,10.46
2024-09-24,,,,,,,,,,,,,,,,,,,,,,,,10.464
2024-09-25,,,,,,,,,,,,,,,,,,,,,,,,10.468
2024-09-26,,,,,,,,,,,,,,,,,,,,,,,,10.468
2024-09-27,,,,,,,,,,,,,,,,,,,,,,,,10.47
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,10.474
2024-10-01,,,,,,,,,,,,,,,,,,,,,,,,10.478
2024-10-02,,,,,,,,,,,,,,,,,,,,,,,,10.478
2024-10-03,,,,,,,,,,,,,,,,,,,,,,,,10.492
2024-10-04,,,,,,,,,,,,,,,,,,,,,,,,10.484
2024-10-07,,,,,,,,,,,,,,,,,,,,,,,,10.482
2024-10-08,,,,,,,,,,,,,,,,,,,,,,,,10.482
2024-10-09,,,,,,,,,,,,,,,,,,,,,,,,10.482
2024-10-10,,,,,,,,,,,,,,,,,,,,,,,,10.49
2024-10-11,,,,,,,,,,,,,,,,,,,,,,,,10.49
2024-10-14,,,,,,,,,,,,,,,,,,,,,,,,10.49
2024-10-15,,,,,,,,,,,,,,,,,,,,,,,,10.49
2024-10-16,,,,,,,,,,,,,,,,,,,,,,,,10.49
2024-10-17,,,,,,,,,,,,,,,,,,,,,,,,10.502
2024-10-18,,,,,,,,,,,,,,,,,,,,,,,,10.506
2024-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,400.0,4202.4,0.0,0.0,,0.0,,0.0,10.506
2024-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,400.0,4202.4,0.0,0.0,,0.0,,0.0,10.506
2024-10-23,,,,,,,,,,,,,,,,,,,,,,,,10.51
2024-10-24,,,,,,,,,,,,,,,,,,,,,,,,10.518
2024-10-25,,,,,,,,,,,,,,,,,,,,,,,,10.518
2024-10-28,,,,,,,,,,,,,,,,,,,,,,,,10.512
2024-10-29,,,,,,,,,,,,,,,,,,,,,,,,10.52
2024-10-30,,,,,,,,,,,,,,,,,,,,,,,,10.52
2024-10-31,,,,,,,,,,,,,,,,,,,,,,,,10.502
2024-11-01,,,,,,,,,,,,,,,,,,,,,,,,10.518
2024-11-04,,,,,,,,,,,,,,,,,,,,,,,,10.52
2024-11-05,,,,,,,,,,,,,,,,,,,,,,,,10.522
2024-11-06,,,,,,,,,,,,,,,,,,,,,,,,10.522
2024-11-07,,,,,,,,,,,,,,,,,,,,,,,,10.53
2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,10.518
2024-11-11,,,,,,,,,,,,,,,,,,,,,,,,10.524
2024-11-12,,,,,,,,,,,,,,,,,,,,,,,,10.52
2024-11-13,,,,,,,,,,,,,,,,,,,,,,,,10.514
2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,10.528
2024-11-15,,,,,,,,,,,,,,,,,,,,,,,,10.532
2024-11-18,,,,,,,,,,,,,,,,,,,,,,,,10.518
2024-11-19,,,,,,,,,,,,,,,,,,,,,,,,10.536
2024-11-20,,,,,,,,,,,,,,,,,,,,,,,,10.534
2024-11-21,,,,,,,,,,,,,,,,,,,,,,,,10.526
2024-11-22,,,,,,,,,,,,,,,,,,,,,,,,10.534
2024-11-25,,,,,,,,,,,,,,,,,,,,,,,,10.538
2024-11-26,,,,,,,,,,,,,,,,,,,,,,,,10.528
2024-11-27,,,,,,,,,,,,,,,,,,,,,,,,10.538
2024-11-28,,,,,,,,,,,,,,,,,,,,,,,,10.54
2024-11-29,,,,,,,,,,,,,,,,,,,,,,,,10.54
2024-12-02,,,,,,,,,,,,,,,,,,,,,,,,10.546
2024-12-03,,,,,,,,,,,,,,,,,,,,,,,,10.546
2024-12-04,,,,,,,,,,,,,,,,,,,,,,,,10.548
2024-12-05,,,,,,,,,,,,,,,,,,,,,,,,10.548
2024-12-06,,,,,,,,,,,,,,,,,,,,,,,,10.546
2024-12-09,,,,,,,,,,,,,,,,,,,,,,,,10.55
2024-12-10,,,,,,,,,,,,,,,,,,,,,,,,10.554
2024-12-11,,,,,,,,,,,,,,,,,,,,,,,,10.556
2024-12-12,,,,,,,,,,,,,,,,,,,,,,,,10.556
2024-12-13,,,,,,,,,,,,,,,,,,,,,,,,10.558
2024-12-16,,,,,,,,,,,,,,,,,,,,,,,,10.558
2024-12-17,,,,,,,,,,,,,,,,,,,,,,,,10.56
2024-12-18,,,,,,,,,,,,,,,,,,,,,,,,10.554
2024-12-19,,,,,,,,,,,,,,,,,,,,,,,,10.55
2024-12-20,,,,,,,,,,,,,,,,,,,,,,,,10.56
2024-12-23,,,,,,,,,,,,,,,,,,,,,,,,10.562
2024-12-24,,,,,,,,,,,,,,,,,,,,,,,,10.56
2024-12-27,,,,,,,,,,,,,,,,,,,,,,,,10.564
2024-12-30,,,,,,,,,,,,,,,,,,,,,,,,10.568
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,10.566
2025-01-02,,,,,,,,,,,,,,,,,,,,,,,,10.572
2025-01-03,,,,,,,,,,,,,,,,,,,,,,,,10.574
2025-01-06,,,,,,,,,,,,,,,,,,,,,,,,10.568
2025-01-07,,,,,,,,,,,,,,,,,,,,,,,,10.57
2025-01-08,,,,,,,,,,,,,,,,,,,,,,,,10.566
2025-01-09,,,,,,,,,,,,,,,,,,,,,,,,10.564
2025-01-10,,,,,,,,,,,,,,,,,,,,,,,,10.572
2025-01-13,,,,,,,,,,,,,,,,,,,,,,,,10.57
2025-01-14,,,,,,,,,,,,,,,,,,,,,,,,10.578
2025-01-15,,,,,,,,,,,,,,,,,,,,,,,,10.576
2025-01-16,,,,,,,,,,,,,,,,,,,,,,,,10.584
2025-01-17,,,,,,,,,,,,,,,,,,,,,,,,10.588
2025-01-20,,,,,,,,,,,,,,,,,,,,,,,,10.582
2025-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,400.0,4235.2,0.0,0.0,,0.0,,0.0,10.588
2025-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,400.0,4235.2,0.0,0.0,,0.0,,0.0,10.588
2025-01-23,,,,,,,,,,,,,,,,,,,,,,,,10.59
2025-01-24,,,,,,,,,,,,,,,,,,,,,,,,10.586
2025-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,400.0,4235.2,0.0,0.0,,0.0,,0.0,10.588
2025-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,400.0,4234.4,0.0,0.0,,0.0,,0.0,10.586
2025-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,400.0,4236.8,0.0,0.0,,0.0,,0.0,10.592
2025-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,400.0,4240.0,0.0,0.0,,0.0,,0.0,10.6
2025-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,400.0,4240.8,0.0,0.0,,0.0,,0.0,10.602
2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,10.604
2025-02-04,,,,,,,,,,,,,,,,,,,,,,,,10.612
2025-02-05,,,,,,,,,,,,,,,,,,,,,,,,10.612
2025-02-06,,,,,,,,,,,,,,,,,,,,,,,,10.614
2025-02-07,,,,,,,,,,,,,,,,,,,,,,,,10.598
2025-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,400.0,4244.0,0.0,0.0,,0.0,,0.0,10.61
2025-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,200.0,2120.0,0.0,0.0,,0.0,,0.0,10.6
2025-02-12,,,,,,,,,,,,,,,,,,,,,,,,10.602
