,DEFS FP Equity_DX_SI_QTY,DEFS FP Equity_DX_SHORT_INTEREST_VALUE,DEFS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DEFS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DEFS FP Equity_DX_SI_MV,DEFS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DEFS FP Equity_DX_SUPPLY_SI_QTY,DEFS FP Equity_DX_BROKER_SI_QTY,DEFS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DEFS FP Equity_DX_SUPPLY_SI_QTY_INC_x,DEFS FP Equity_DX_BROKER_SI_MV_INC_x,DEFS FP Equity_DX_BROKER_SI_QTY_ADD,DEFS FP Equity_DX_SUPPLY_SI_MV_DEC,DEFS FP Equity_DX_BROKER_SI_QTY_INC,DEFS FP Equity_DX_SUPPLY_SI_QTY_DEC,DEFS FP Equity_DX_BROKER_SI_MV_INC_y,DEFS FP Equity_DX_SUPPLY_SI_QTY_INC_y,DEFS FP Equity_DX_BROKER_SI_MV_ADD,DEFS FP Equity_DX_SUPPLY_SI_QTY_ADD,DEFS FP Equity_DX_BROKER_SI_QTY_DEC,DEFS FP Equity_DX_SUPPLY_SI_MV,DEFS FP Equity_DX_BROKER_SI_MV_DEC,DEFS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DEFS FP Equity_DX_UTILIZATION_QUANTITY,DEFS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DEFS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DEFS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DEFS FP Equity_DX_ACTIVE_UTILIZATION_MV,DEFS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DEFS FP Equity_DX_BROKER_SI_CON_RATIO,DEFS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DEFS FP Equity_DX_DEMAND_SUPPLY_RATIO,DEFS FP Equity_PX_LAST
2025-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.13,,22500.0,,,,,22500.0,0.0,0.13,0.0,0.0,75710.0,417692.07,0.43,0.0,,0.0,,0.0,5.517
2025-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,67210.0,380408.6,0.38,0.0,,0.0,,0.0,5.66
2025-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,76768.0,431743.23,0.44,0.0,,0.0,,0.0,5.624
2025-07-31,42770.0,243660.69,0.24,0.23,0.24,187260.39,32870.0,32870.0,187260.39,,,32870.0,,,,,,0.18,32870.0,,0.18,,100.0,32.82,0.0,0.0,0.0,100.0,23.22,0.3966,53.87,0.4271,5.697
2025-08-01,19800.0,110939.4,0.11,0.11,0.11,55469.7,9900.0,9900.0,55469.7,,,,0.13,,22970.0,,,,,22970.0,0.06,0.13,100.0,12.83,0.0,0.0,0.0,100.0,49.58,0.5,50.42,0.2566,5.603
2025-08-04,19800.0,112464.0,0.1,0.11,0.11,56232.0,9900.0,9900.0,56232.0,,,,,,,,,,,,0.06,,100.0,12.83,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.2566,5.68
2025-08-05,19800.0,112800.6,0.1,0.11,0.11,56400.3,9900.0,9900.0,56400.3,,,,,,,,,,,,0.06,,100.0,12.68,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.2536,5.697
2025-08-06,19800.0,113612.4,0.1,0.1,0.11,56806.2,9900.0,9900.0,56806.2,,,,,,,,,,,,0.06,,100.0,12.65,0.0,0.0,0.0,100.0,49.65,0.5,50.35,0.253,5.738
2025-08-07,42595.0,239170.93,0.22,0.22,0.24,183582.43,32695.0,32695.0,183582.43,,,22795.0,,,,,,0.13,22795.0,,0.19,,100.0,32.23,0.0,0.0,0.0,100.0,23.63,0.3928,53.24,0.4199,5.615
2025-08-08,19800.0,110088.0,0.1,0.1,0.11,55044.0,9900.0,9900.0,55044.0,,,,0.13,,22795.0,,,,,22795.0,0.06,0.13,100.0,12.56,0.0,0.0,0.0,100.0,49.75,0.5,50.25,0.2513,5.56
2025-08-11,42954.0,235344.97,0.21,0.21,0.23,181102.87,33054.0,33054.0,181102.87,,,23154.0,,,,,,0.13,23154.0,,0.18,,100.0,41.94,0.0,0.0,0.0,100.0,23.31,0.3957,53.72,0.5451,5.479
2025-08-12,42954.0,239511.5,0.21,0.21,0.24,184309.1,33054.0,33054.0,184309.1,,,,,,,,,,,,0.18,,100.0,41.94,0.0,0.0,0.0,100.0,23.14,0.3982,54.12,0.5451,5.576
2025-08-13,19800.0,110286.0,0.09,0.1,0.11,55143.0,9900.0,9900.0,55143.0,,,,0.13,,23154.0,,,,,23154.0,0.06,0.13,100.0,12.56,0.0,0.0,0.0,100.0,49.94,0.5,50.06,0.2513,5.57
2025-08-14,19800.0,112761.0,0.1,0.1,0.11,56380.5,9900.0,9900.0,56380.5,,,,,,,,,,,,0.05,,100.0,12.63,0.0,0.0,0.0,100.0,49.45,0.5001,50.55,0.2525,5.695
2025-08-15,19800.0,111949.2,0.1,0.1,0.11,55974.6,9900.0,9900.0,55974.6,,,,,,,,,,,,0.06,,100.0,12.63,0.0,0.0,0.0,100.0,49.82,0.5,50.18,0.2525,5.654
2025-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.06,,9900.0,,,,,9900.0,0.0,0.06,0.0,0.0,73892.0,423253.38,0.42,0.0,,0.0,,0.0,5.728
2025-08-19,30800.0,169615.6,0.15,0.15,0.17,84807.8,15400.0,15400.0,84807.8,,,15400.0,,,,,,0.08,15400.0,,0.09,,100.0,18.31,0.0,0.0,0.0,100.0,49.02,0.5002,50.98,0.3662,5.507
2025-08-20,30800.0,168198.8,0.16,0.14,0.17,84099.4,15400.0,15400.0,84099.4,,,,,,,,,,,,0.09,,100.0,18.31,0.0,0.0,0.0,100.0,49.79,0.5,50.21,0.3662,5.461
2025-08-21,30800.0,171340.4,0.16,0.14,0.17,85670.2,15400.0,15400.0,85670.2,,,,,,,,,,,,0.08,,100.0,18.31,0.0,0.0,0.0,100.0,49.54,0.5,50.46,0.3662,5.563
2025-08-22,72008.0,401732.63,0.37,0.33,0.4,266720.83,47808.0,47808.0,266720.83,8800.0,0.05,23608.0,,8800.0,,0.05,8800.0,0.13,23608.0,,0.27,,100.0,41.03,0.0,0.0,0.0,100.0,33.54,0.3334,33.64,0.6181,5.579
2025-08-25,48400.0,271766.0,0.26,0.22,0.27,135883.0,24200.0,24200.0,135883.0,,,,0.13,,23608.0,,,,,23608.0,0.13,0.13,100.0,26.05,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.521,5.615
2025-08-26,48400.0,271862.8,0.26,0.22,0.27,135931.4,24200.0,24200.0,135931.4,,,,,,,,,,,,0.14,,100.0,26.05,0.0,0.0,0.0,100.0,49.99,0.5,50.01,0.521,5.617
2025-08-27,48400.0,271136.8,0.26,0.22,0.27,135568.4,24200.0,24200.0,135568.4,,,,,,,,,,,,0.14,,100.0,26.05,0.0,0.0,0.0,100.0,49.93,0.5,50.07,0.521,5.602
2025-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.14,,24200.0,,,,,24200.0,0.0,0.13,0.0,0.0,71500.0,401043.5,0.4,0.0,,0.0,,0.0,5.609
2025-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,71600.0,402535.2,0.4,0.0,,0.0,,0.0,5.622
