DATE,ALTXC FP Equity_DX_SI_QTY,ALTXC FP Equity_DX_SHORT_INTEREST_VALUE,ALTXC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTXC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTXC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTXC FP Equity_DX_SI_MV,ALTXC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTXC FP Equity_DX_SUPPLY_SI_QTY,ALTXC FP Equity_DX_BROKER_SI_QTY,ALTXC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTXC FP Equity_DX_SUPPLY_SI_MV,ALTXC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTXC FP Equity_DX_UTILIZATION_QUANTITY,ALTXC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTXC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTXC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTXC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTXC FP Equity_DX_BROKER_SI_CON_RATIO,ALTXC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALTXC FP Equity_PX_LAST
2024-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,450.0,0.0,0.0,0.0,0.0,9.0
2024-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,450.0,0.0,0.0,0.0,0.0,9.0
2024-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,450.0,0.0,0.0,0.0,0.0,9.0
2024-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,430.0,0.0,0.0,0.0,0.0,8.6
2024-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,430.0,0.0,0.0,0.0,0.0,8.6
2024-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,430.0,0.0,0.0,0.0,0.0,8.6
2024-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,430.0,0.0,0.0,0.0,0.0,8.6
2024-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,430.0,0.0,0.0,0.0,0.0,8.6
2024-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,430.0,0.0,0.0,0.0,0.0,8.6
2024-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,420.0,0.0,0.0,0.0,0.0,8.4
