DATE,CEN FP Equity_DX_SI_QTY,CEN FP Equity_DX_SHORT_INTEREST_VALUE,CEN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CEN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CEN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CEN FP Equity_DX_SI_MV,CEN FP Equity_DX_DSS,CEN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CEN FP Equity_DX_SUPPLY_SI_QTY,CEN FP Equity_DX_BROKER_SI_QTY,CEN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CEN FP Equity_DX_BROKER_SI_MV_NEW_x,CEN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CEN FP Equity_DX_SUPPLY_SI_QTY_INC_x,CEN FP Equity_DX_BROKER_SI_MV_INC_x,CEN FP Equity_DX_SUPPLY_SI_MV_NEW,CEN FP Equity_DX_BROKER_SI_QTY_ADD,CEN FP Equity_DX_BROKER_SI_QTY_NEW,CEN FP Equity_DX_SUPPLY_SI_MV_DEC,CEN FP Equity_DX_BROKER_SI_QTY_INC,CEN FP Equity_DX_SUPPLY_SI_QTY_DEC,CEN FP Equity_DX_BROKER_SI_MV_NEW_y,CEN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CEN FP Equity_DX_BROKER_SI_MV_INC_y,CEN FP Equity_DX_SUPPLY_SI_QTY_INC_y,CEN FP Equity_DX_BROKER_SI_MV_ADD,CEN FP Equity_DX_SUPPLY_SI_QTY_ADD,CEN FP Equity_DX_BROKER_SI_QTY_DEC,CEN FP Equity_DX_SUPPLY_SI_MV,CEN FP Equity_DX_BROKER_SI_MV_DEC,CEN FP Equity_DX_SUPPLY_SI_MV_RMV,CEN FP Equity_DX_BROKER_SI_MV_RMV,CEN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CEN FP Equity_DX_UTILIZATION_QUANTITY,CEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CEN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CEN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CEN FP Equity_DX_ACTIVE_UTILIZATION_MV,CEN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CEN FP Equity_DX_BROKER_SI_CON_RATIO,CEN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CEN FP Equity_DX_DEMAND_SUPPLY_RATIO,CEN FP Equity_PX_LAST
2006-07-17,13079.0,426541.46,0.4,1.24,0.12,0.48,0.0,333627.88,4877.0,10230.0,159052.12,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,1.96,1.96,243691.0,7947420.6,0.0,9.08,1.95,29.84,0.3791,49.9,0.0526,37.0
2006-07-18,13021.0,422354.51,0.4,1.19,0.12,0.48,0.0,331824.49,4789.0,10230.0,155337.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,1.88,1.88,249809.0,8102907.54,0.0,9.18,1.88,29.4,0.3796,50.13,0.0511,36.8
2006-07-19,8916.0,286059.53,0.27,0.81,0.08,0.32,0.0,196673.95,4790.0,6130.0,153681.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4100.0,0.17,0.15,0.0,0.0,1.89,1.89,248198.0,7963145.39,0.0,9.04,1.89,34.45,0.3876,49.22,0.0352,36.4
2006-07-20,8902.0,288748.94,0.27,0.8,0.08,0.32,0.0,198835.2,4762.0,6130.0,154462.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,1.88,1.88,248158.0,8049355.02,0.0,9.03,1.87,34.57,0.3857,48.86,0.0352,36.8
2006-07-21,8913.0,289105.74,0.27,0.8,0.08,0.32,0.0,198835.2,4784.0,6130.0,155175.79,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,1.9,1.9,247259.0,8020194.69,0.0,9.04,1.89,34.38,0.3868,49.13,0.0354,36.8
2006-07-24,7192.0,232648.75,0.22,0.7,0.06,0.26,0.0,198294.89,3064.0,6130.0,99115.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,1.22,1.22,249045.0,8056174.69,0.0,9.12,1.21,34.4,0.387,49.15,0.0285,36.7
2006-07-25,7536.0,242448.07,0.23,0.73,0.07,0.27,0.0,197214.26,3407.0,6130.0,109609.95,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,1.34,1.34,250052.0,8044669.02,0.0,9.13,1.34,34.48,0.3871,49.13,0.0297,36.5
2006-07-26,8022.0,259144.28,0.25,0.74,0.07,0.29,0.0,198024.73,3886.0,6130.0,125534.11,0.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1.54,1.54,248162.0,8016674.37,0.0,9.04,1.53,34.55,0.3862,48.96,0.0318,36.65
2006-07-27,7533.0,243347.52,0.23,0.7,0.07,0.27,0.0,198024.73,3401.0,6130.0,109866.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,1.35,1.35,248566.0,8029725.26,0.0,9.06,1.34,34.48,0.3867,49.06,0.0299,36.65
2006-07-28,7528.0,246238.27,0.23,0.7,0.07,0.27,0.0,200510.17,3392.0,6130.0,110951.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,1.35,1.35,248185.0,8118045.25,0.0,9.07,1.34,34.41,0.3857,48.96,0.0299,37.11
2006-07-31,7539.0,245867.12,0.23,0.7,0.07,0.28,0.0,199915.83,4003.0,6130.0,130548.62,0.0,0.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.59,1.59,247511.0,8072001.1,0.0,9.11,1.58,34.21,0.3872,49.3,0.03,37.0
2006-08-01,8112.0,264554.19,0.25,0.77,0.07,0.3,0.0,218765.97,3991.0,6708.0,130157.27,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,578.0,12.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.59,1.59,246565.0,8041149.49,0.0,9.06,1.59,31.28,0.4083,53.65,0.0324,37.0
2006-08-02,8116.0,263253.92,0.25,0.77,0.07,0.3,0.0,217583.45,3997.0,6708.0,129648.34,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.6,1.6,245942.0,7977475.93,0.0,9.06,1.59,31.3,0.4088,53.69,0.0325,36.8
2006-08-03,8111.0,263091.73,0.25,0.77,0.07,0.3,0.0,217583.45,3986.0,6708.0,129291.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.59,1.59,246343.0,7990482.93,0.0,9.03,1.58,31.39,0.408,53.56,0.0324,36.8
2006-08-04,8109.0,263312.76,0.25,0.76,0.07,0.3,0.0,217819.95,3984.0,6708.0,129367.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.59,1.59,246663.0,8009559.18,0.0,9.03,1.58,31.39,0.4079,53.55,0.0324,36.84
2006-08-07,8113.0,262441.51,0.25,0.77,0.07,0.3,0.0,216992.19,3991.0,6708.0,129101.94,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.59,1.59,246794.0,7983358.73,0.0,9.05,1.58,31.39,0.4084,53.6,0.0324,36.7
2006-08-08,7106.0,229866.8,0.22,0.68,0.06,0.26,0.0,184643.92,3971.0,5708.0,128454.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.14,0.04,0.0,0.0,1.58,1.58,246618.0,7977665.44,0.0,9.03,1.58,19.61,0.4635,62.76,0.0284,36.7
2006-08-09,5102.0,165490.57,0.16,0.49,0.05,0.19,0.0,120274.21,3960.0,3708.0,128448.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.14,0.07,0.0,0.0,1.59,1.59,244363.0,7926258.84,0.0,8.96,1.59,27.13,0.5541,69.22,0.0205,36.8
2006-08-10,5106.0,165755.33,0.16,0.49,0.05,0.19,0.0,120372.26,3967.0,3708.0,128780.14,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.78,1.78,218848.0,7104430.74,0.0,8.04,1.78,27.07,0.5547,69.29,0.0229,36.83
2006-08-11,5109.0,164366.67,0.16,0.6,0.05,0.19,0.0,119293.72,2811.0,3708.0,90435.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.26,1.26,220263.0,7086297.78,0.0,8.06,1.26,26.91,0.5559,69.44,0.0229,36.5
2006-08-14,3951.0,126415.01,0.12,0.47,0.04,0.14,0.0,81589.03,2812.0,2550.0,89971.91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1158.0,0.1,0.04,0.0,0.0,1.26,1.26,220147.0,7043757.25,0.0,8.02,1.25,39.31,0.4636,55.33,0.0177,36.3
2006-08-15,3947.0,125939.13,0.12,0.47,0.04,0.14,0.0,81364.27,2806.0,2550.0,89532.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.26,1.26,220170.0,7025086.83,0.0,7.98,1.25,39.36,0.4632,55.26,0.0177,36.2
2006-08-16,3946.0,125907.22,0.12,0.46,0.04,0.14,0.0,81364.27,2803.0,2550.0,89436.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.26,1.26,219406.0,7000709.46,0.0,7.94,1.26,39.42,0.4629,55.19,0.0178,36.2
2006-08-17,3951.0,125370.26,0.12,0.47,0.04,0.14,0.0,80914.74,2811.0,2550.0,89196.61,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.27,1.27,219400.0,6961841.12,0.0,7.92,1.26,39.29,0.4632,55.31,0.0178,36.0
2006-08-18,3947.0,125208.54,0.12,0.48,0.04,0.14,0.0,80892.27,2804.0,2550.0,88949.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.26,1.26,219362.0,6958701.82,0.0,7.89,1.26,39.4,0.4627,55.18,0.0178,35.99
2006-08-21,3960.0,122270.11,0.12,0.48,0.04,0.14,0.0,78734.54,2832.0,2550.0,87441.66,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.28,1.28,219181.0,6767496.27,0.0,7.81,1.27,38.76,0.4642,55.76,0.0178,35.03
2006-08-22,3946.0,122081.31,0.12,0.48,0.04,0.14,0.0,78891.88,2800.0,2550.0,86626.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.26,1.26,219376.0,6787052.58,0.0,7.69,1.26,39.4,0.4613,55.05,0.0178,35.1
2006-08-23,3950.0,121160.57,0.12,0.51,0.04,0.14,0.0,78217.59,2810.0,2550.0,86192.71,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.14,1.14,244205.0,7490637.48,0.0,8.14,1.19,39.15,0.462,55.28,0.016,34.8
2006-08-24,3613.0,108275.91,0.11,0.84,0.03,0.12,0.0,76419.48,2480.0,2550.0,74321.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,1.0,1.0,245052.0,7343822.17,0.0,8.05,1.05,38.78,0.4624,55.57,0.0146,34.0
2006-08-25,3601.0,108138.47,0.11,0.88,0.03,0.12,0.0,76576.81,2452.0,2550.0,73633.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.99,0.99,244140.0,7331554.33,0.0,7.93,1.04,39.33,0.46,54.95,0.0146,34.07
2006-08-28,3595.0,109796.15,0.11,0.91,0.03,0.12,0.0,77880.44,2438.0,2550.0,74459.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.99,0.99,243751.0,7444484.48,0.0,7.98,1.03,39.69,0.4593,54.64,0.0146,34.65
2006-08-29,3452.0,106341.54,0.11,0.91,0.03,0.12,0.0,73933.86,1631.0,2400.0,50244.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,807.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.06,0.01,0.0,0.0,0.66,0.66,244551.0,7533583.51,0.0,8.1,0.69,42.12,0.5124,57.88,0.014,34.95
2006-08-30,3376.0,103851.52,0.1,0.83,0.03,0.12,0.0,71274.87,1642.0,2317.0,50510.72,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,83.0,0.06,0.0,0.0,0.0,0.76,0.76,214396.0,6595186.62,0.0,7.47,0.76,43.47,0.5085,56.53,0.0156,34.9
2006-08-31,2626.0,81011.7,0.08,0.63,0.02,0.09,0.0,48681.06,1625.0,1578.0,50131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,739.0,0.06,0.03,0.0,0.0,0.75,0.75,213814.0,6596129.39,0.0,7.47,0.75,36.56,0.5361,63.44,0.0122,35.0
2006-09-01,2626.0,81243.16,0.08,0.64,0.02,0.09,0.0,48820.15,1625.0,1578.0,50274.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.75,0.75,214447.0,6634559.22,0.0,7.52,0.75,36.56,0.5361,63.44,0.0122,35.1
2006-09-04,2622.0,82043.85,0.08,0.65,0.02,0.09,0.0,49376.5,1618.0,1578.0,50628.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.76,0.76,211251.0,6610162.11,0.0,7.45,0.76,36.3,0.5375,63.7,0.0123,35.5
2006-09-05,2628.0,82231.59,0.08,0.62,0.02,0.09,0.0,49376.5,1628.0,1578.0,50941.03,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.76,0.76,211295.0,6611538.89,0.0,7.51,0.76,36.63,0.5358,63.37,0.0123,35.5
2006-09-06,2628.0,82231.59,0.08,0.72,0.02,0.09,0.0,49376.5,1628.0,1578.0,50941.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.74,0.74,218544.0,6838364.16,0.0,7.77,0.74,36.63,0.5358,63.37,0.0119,35.5
2006-09-07,2632.0,81892.77,0.08,0.72,0.02,0.09,0.0,49098.33,1634.0,1578.0,50840.73,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.74,0.74,218607.0,6801798.36,0.0,7.76,0.74,36.76,0.5351,63.24,0.012,35.3
2006-09-08,1578.0,48959.24,0.05,0.43,0.01,0.06,0.0,48959.24,579.0,1578.0,17964.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,1055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.26,0.26,219661.0,6815231.36,0.0,7.74,0.26,36.69,0.5354,63.31,0.0072,35.2
2006-09-11,36578.0,1121977.59,1.13,10.64,0.33,0.94,0.0,1121977.59,35000.0,36578.0,1073574.71,0.0,0.0,0.0,0.0,0.0,35000.0,0.0,0.02,0.0,579.0,0.0,0.0,0.0,0.0,0.89,35000.0,0.0,1.24,0.0,0.0,0.0,32.03,15.28,74288.0,2278677.66,0.0,0.0,100.0,3.68,0.8884,94.16,0.1597,34.8
2006-09-12,35000.0,1062468.76,1.08,10.62,0.31,0.89,0.0,1062468.76,35000.0,35000.0,1062468.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,1.25,0.06,0.0,0.0,32.13,15.3,73939.0,2244510.8,0.0,0.0,100.0,0.0,1.0,100.0,0.153,34.44
2006-09-13,35000.0,1064319.75,1.08,11.12,0.31,0.89,0.0,1064319.75,35000.0,35000.0,1064319.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,32.57,15.51,72452.0,2203202.71,0.0,0.0,100.0,0.0,1.0,100.0,0.1551,34.5
2006-09-14,35000.0,1064319.75,1.08,10.93,0.31,0.89,0.0,1064319.75,35000.0,35000.0,1064319.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,32.56,15.63,72488.0,2204297.44,0.0,0.0,100.0,0.0,1.0,100.0,0.1563,34.5
2006-09-15,35000.0,1064319.75,1.08,11.14,0.31,0.89,0.0,1064319.75,35000.0,35000.0,1064319.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,32.57,15.63,72464.0,2203567.62,0.0,0.0,100.0,0.0,1.0,100.0,0.1563,34.3
2006-09-18,35054.0,1067515.73,1.08,11.19,0.31,0.89,0.0,1065871.24,35054.0,35000.0,1067515.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,1.26,0.0,0.0,0.0,32.68,15.68,72206.0,2198922.82,0.0,0.0,100.13,0.18,0.9963,99.82,0.1568,34.35
2006-09-19,35048.0,1065779.39,1.08,11.11,0.31,0.89,0.0,1065779.39,35054.0,35048.0,1065961.85,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,32.68,15.68,72220.0,2196147.79,0.0,0.0,100.13,0.18,0.9963,99.82,0.1568,34.3
2006-09-20,35048.0,1065779.39,1.08,10.95,0.31,0.89,0.0,1065779.39,35054.0,35048.0,1065961.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,32.8,15.88,71805.0,2183528.0,0.0,0.0,100.13,0.18,0.9963,99.82,0.1588,34.3
