DATE,AC FP Equity_DX_SI_QTY,AC FP Equity_DX_SHORT_INTEREST_VALUE,AC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AC FP Equity_DX_SI_MV,AC FP Equity_DX_DSS,AC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AC FP Equity_DX_SUPPLY_SI_QTY,AC FP Equity_DX_BROKER_SI_QTY,AC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AC FP Equity_DX_BROKER_SI_MV_NEW_x,AC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AC FP Equity_DX_SUPPLY_SI_QTY_INC_x,AC FP Equity_DX_BROKER_SI_MV_INC_x,AC FP Equity_DX_SUPPLY_SI_MV_NEW,AC FP Equity_DX_BROKER_SI_QTY_ADD,AC FP Equity_DX_BROKER_SI_QTY_NEW,AC FP Equity_DX_SUPPLY_SI_MV_DEC,AC FP Equity_DX_BROKER_SI_QTY_INC,AC FP Equity_DX_SUPPLY_SI_QTY_DEC,AC FP Equity_DX_BROKER_SI_MV_NEW_y,AC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AC FP Equity_DX_BROKER_SI_MV_INC_y,AC FP Equity_DX_SUPPLY_SI_QTY_INC_y,AC FP Equity_DX_BROKER_SI_MV_ADD,AC FP Equity_DX_SUPPLY_SI_QTY_ADD,AC FP Equity_DX_BROKER_SI_QTY_DEC,AC FP Equity_DX_SUPPLY_SI_MV,AC FP Equity_DX_BROKER_SI_MV_DEC,AC FP Equity_DX_SUPPLY_SI_MV_RMV,AC FP Equity_DX_BROKER_SI_MV_RMV,AC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AC FP Equity_DX_UTILIZATION_QUANTITY,AC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AC FP Equity_DX_ACTIVE_UTILIZATION_MV,AC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AC FP Equity_DX_BROKER_SI_CON_RATIO,AC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AC FP Equity_DX_DEMAND_SUPPLY_RATIO,AC FP Equity_PX_LAST
2023-12-05,5128965.0,170281638.0,2.31,6.93,1.94,169.58,1.0,86181888.0,4050725.0,2595840.0,134484070.0,0.0,0.0,85145.0,9.32,0.0,0.0,0.0,4.11,269218.0,126764.0,0.0,0.0,9.32,85145.0,0.0,203200.0,820942.0,133.92,26.41,0.0,0.0,6.97,6.97,54045096.0,1794297187.2,0.0,1778.56,7.0,11.36,0.126,27.14,0.0883,33.2
2023-12-06,5063220.0,170833042.8,2.28,6.79,1.91,168.53,1.0,90535486.72,4189205.0,2683328.0,141343776.7,0.0,0.0,154455.0,12.59,0.0,0.0,0.0,6.32,391442.0,195230.0,0.0,0.0,12.59,154455.0,0.0,179255.0,303954.0,139.81,9.76,0.0,0.0,7.2,7.2,53973232.0,1821056847.68,0.0,1798.62,7.21,16.18,0.1367,27.87,0.0871,33.74
2023-12-07,4596797.0,156566905.82,2.07,6.13,1.74,156.01,1.0,74615582.6,3880359.0,2190710.0,132165027.54,0.0,0.0,157075.0,2.44,0.0,0.0,0.0,15.59,65390.0,487531.0,0.0,0.0,2.44,157075.0,0.0,21610.0,558008.0,131.61,17.48,0.0,0.0,6.73,6.73,53818576.0,1833060698.56,0.0,1816.41,6.76,11.68,0.1506,32.14,0.0797,34.06
2023-12-08,4802616.0,167179062.96,2.17,6.53,1.81,164.59,1.0,81437925.38,4101618.0,2339498.0,142777322.58,0.0,0.0,373950.0,12.61,0.0,0.0,0.0,5.69,357509.0,172275.0,0.0,0.0,12.61,373950.0,0.0,19584.0,208721.0,140.4,6.92,0.0,0.0,7.12,7.12,53475816.0,1861493154.96,0.0,1828.63,7.13,13.33,0.1562,31.86,0.0834,34.81
2023-12-11,4564223.0,159656520.54,2.06,6.18,1.72,159.17,1.0,81954642.0,3986286.0,2342900.0,139440284.28,0.0,0.0,173153.0,4.69,0.0,107471.0,0.0,13.86,119944.0,410250.0,0.0,0.0,4.69,173153.0,3.59,121765.0,224013.0,139.08,7.18,0.0,0.0,6.91,6.91,53661704.0,1877086405.92,0.0,1865.34,6.94,16.06,0.1575,31.35,0.0792,34.98
2023-12-12,4250846.0,149799813.04,1.92,5.59,1.6,148.88,1.0,90012333.84,3982110.0,2554266.0,140329556.4,0.0,0.0,380081.0,8.12,0.0,118452.0,0.0,17.4,229778.0,501643.0,0.0,0.0,8.12,380081.0,4.14,117386.0,136864.0,139.37,4.56,0.0,0.0,6.9,6.9,53698536.0,1892336408.64,0.0,1872.34,6.93,17.27,0.1532,28.03,0.0737,35.24
2023-12-13,4032684.0,139571193.24,1.82,5.29,1.52,141.55,1.0,84946853.22,3674715.0,2454402.0,127181886.15,0.0,0.0,150100.0,9.0,0.0,0.0,0.0,16.3,252284.0,465363.0,0.0,0.0,9.0,150100.0,0.0,7868.0,352148.0,128.99,12.23,0.0,0.0,6.39,6.39,53798628.0,1861970515.08,0.0,1877.05,6.43,14.68,0.1315,25.93,0.0702,34.61
2023-12-14,4345739.0,151883578.05,1.96,5.61,1.64,150.32,1.0,82371313.35,3516368.0,2356833.0,122897061.6,0.0,0.0,14768.0,4.2,0.0,0.0,0.0,11.64,127671.0,319119.0,0.0,0.0,4.2,14768.0,0.0,146004.0,225240.0,121.37,8.45,0.0,0.0,6.14,6.14,53781436.0,1879661188.2,0.0,1845.89,6.17,18.99,0.1328,24.41,0.0758,34.95
2023-12-15,3422048.0,118573963.2,1.54,4.31,1.29,119.89,1.0,50522368.05,2739145.0,1458077.0,94911374.25,0.0,0.0,1696.0,3.62,0.0,4009.0,0.0,30.05,103295.0,880764.0,0.0,0.0,3.62,1696.0,0.14,101845.0,1006060.0,96.12,34.45,0.0,0.0,4.82,4.82,54079468.0,1873853566.2,0.0,1889.87,4.84,23.14,0.1798,31.36,0.0602,34.65
2023-12-18,2922509.0,101060361.22,1.32,3.65,1.1,101.51,1.0,49620916.8,2587662.0,1434960.0,89481351.96,0.0,0.0,128390.0,7.51,0.0,19021.0,0.0,13.69,223487.0,385736.0,0.0,0.0,7.51,128390.0,0.66,105863.0,265625.0,89.91,9.43,0.0,0.0,4.57,4.57,54053632.0,1869174594.56,0.0,1867.27,4.59,14.46,0.1362,27.99,0.0516,34.58
