DATE,EPAB FP Equity_DX_SI_QTY,EPAB FP Equity_DX_SHORT_INTEREST_VALUE,EPAB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EPAB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EPAB FP Equity_DX_SI_MV,EPAB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EPAB FP Equity_DX_SUPPLY_SI_QTY,EPAB FP Equity_DX_BROKER_SI_QTY,EPAB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EPAB FP Equity_DX_SUPPLY_SI_QTY_INC_x,EPAB FP Equity_DX_BROKER_SI_MV_INC_x,EPAB FP Equity_DX_BROKER_SI_QTY_ADD,EPAB FP Equity_DX_SUPPLY_SI_MV_DEC,EPAB FP Equity_DX_BROKER_SI_QTY_INC,EPAB FP Equity_DX_SUPPLY_SI_QTY_DEC,EPAB FP Equity_DX_BROKER_SI_MV_INC_y,EPAB FP Equity_DX_SUPPLY_SI_QTY_INC_y,EPAB FP Equity_DX_BROKER_SI_MV_ADD,EPAB FP Equity_DX_SUPPLY_SI_QTY_ADD,EPAB FP Equity_DX_BROKER_SI_QTY_DEC,EPAB FP Equity_DX_SUPPLY_SI_MV,EPAB FP Equity_DX_BROKER_SI_MV_DEC,EPAB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EPAB FP Equity_DX_UTILIZATION_QUANTITY,EPAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EPAB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EPAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EPAB FP Equity_DX_ACTIVE_UTILIZATION_MV,EPAB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EPAB FP Equity_DX_BROKER_SI_CON_RATIO,EPAB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EPAB FP Equity_DX_DEMAND_SUPPLY_RATIO,EPAB FP Equity_PX_LAST
2023-11-08,16400.0,418200.0,2.02,0.03,0.42,209100.0,8200.0,8200.0,209100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,100.0,98.7,0.0,0.0,0.0,100.0,0.0,1.0,100.0,1.974,25.5
2023-11-09,16400.0,422300.0,2.03,0.03,0.42,211150.0,8200.0,8200.0,211150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,100.0,98.7,0.0,0.0,0.0,100.0,0.0,1.0,100.0,1.974,25.75
2023-11-10,16400.0,419430.0,1.97,0.03,0.42,209715.0,8200.0,8200.0,209715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,100.0,98.7,0.0,0.0,0.0,100.0,0.0,1.0,100.0,1.974,25.575
2023-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,8200.0,0.0,0.0,0.0,0.0,8200.0,0.0,0.21,0.0,0.0,108.0,2775.6,0.0,0.0,0.0,0.0,0.0,0.0,25.7
2023-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2832.84,0.0,0.0,0.0,0.0,0.0,0.0,26.23
2023-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2839.32,0.0,0.0,0.0,0.0,0.0,0.0,26.29
2023-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2837.7,0.0,0.0,0.0,0.0,0.0,0.0,26.275
2023-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2858.22,0.0,0.0,0.0,0.0,0.0,0.0,26.465
2023-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2866.32,0.0,0.0,0.0,0.0,0.0,0.0,26.54
2023-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2859.84,0.0,0.0,0.0,0.0,0.0,0.0,26.48
2023-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2878.74,0.0,0.0,0.0,0.0,0.0,0.0,26.655
2023-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2885.76,0.0,0.0,0.0,0.0,0.0,0.0,26.72
2023-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2897.64,0.0,0.0,0.0,0.0,0.0,0.0,26.83
2023-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2892.24,0.0,0.0,0.0,0.0,0.0,0.0,26.78
2023-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2887.38,0.0,0.0,0.0,0.0,0.0,0.0,26.735
2023-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2898.72,0.0,0.0,0.0,0.0,0.0,0.0,26.84
2023-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2910.06,0.0,0.0,0.0,0.0,0.0,0.0,26.945
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2937.06,0.0,0.0,0.0,0.0,0.0,0.0,27.195
2023-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2931.12,0.0,0.0,0.0,0.0,0.0,0.0,27.14
2023-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2952.18,0.0,0.0,0.0,0.0,0.0,0.0,27.335
2023-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2981.88,0.0,0.0,0.0,0.0,0.0,0.0,27.61
2023-12-07,16800.0,462420.0,2.48,0.03,0.46,231210.0,8400.0,8400.0,231210.0,0.0,0.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.23,8400.0,0.0,0.23,0.0,100.0,98.73,0.0,0.0,0.0,100.0,0.0,1.0,100.0,1.9746,27.525
2023-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,8400.0,0.0,0.0,0.0,0.0,8400.0,0.0,0.23,0.0,0.0,8508.0,236267.16,0.24,0.0,0.0,0.0,0.0,0.0,27.77
2023-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,3005.64,0.0,0.0,0.0,0.0,0.0,0.0,27.83
2023-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,3002.4,0.0,0.0,0.0,0.0,0.0,0.0,27.8
2023-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2994.84,0.0,0.0,0.0,0.0,0.0,0.0,27.73
2023-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,3015.36,0.0,0.0,0.0,0.0,0.0,0.0,27.92
2023-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,3020.22,0.0,0.0,0.0,0.0,0.0,0.0,27.965
2023-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2990.52,0.0,0.0,0.0,0.0,0.0,0.0,27.69
2023-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,3007.8,0.0,0.0,0.0,0.0,0.0,0.0,27.85
2023-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,3002.4,0.0,0.0,0.0,0.0,0.0,0.0,27.8
2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2988.36,0.0,0.0,0.0,0.0,0.0,0.0,27.67
2023-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2994.3,0.0,0.0,0.0,0.0,0.0,0.0,27.725
2023-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,2994.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,27752.73,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,27777.75,0.02,0.0,0.0,0.0,0.0,0.0,27.75
2023-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,27662.64,0.02,0.0,0.0,0.0,0.0,0.0,27.635
2023-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,27777.75,0.02,0.0,0.0,0.0,0.0,0.0,27.75
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,27777.75,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,27702.68,0.03,0.0,0.0,0.0,0.0,0.0,27.675
2024-01-03,58.0,1584.85,0.01,0.0,0.0,1584.85,58.0,58.0,1584.85,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,100.0,5.48,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0548,27.325
2024-01-04,58.0,1592.39,0.01,0.0,0.0,1592.39,58.0,58.0,1592.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.48,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0548,27.455
2024-01-05,58.0,1590.36,0.01,0.0,0.0,1590.36,58.0,58.0,1590.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.48,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0548,27.42
2024-01-08,58.0,1601.38,0.01,0.0,0.0,1601.38,58.0,58.0,1601.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.38,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0538,27.61
2024-01-09,58.0,1597.32,0.01,0.0,0.0,1597.32,58.0,58.0,1597.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.38,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0538,27.54
2024-01-10,58.0,1595.87,0.01,0.0,0.0,1595.87,58.0,58.0,1595.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.29,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0529,27.515
2024-01-11,58.0,1581.66,0.01,0.0,0.0,1581.66,58.0,58.0,1581.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.29,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0529,27.27
2024-01-12,58.0,1595.87,0.01,0.0,0.0,1595.87,58.0,58.0,1595.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.29,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0529,27.515
2024-01-15,58.0,1587.46,0.01,0.0,0.0,1587.46,58.0,58.0,1587.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.29,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0529,27.37
2024-01-16,58.0,1585.14,0.01,0.0,0.0,1585.14,58.0,58.0,1585.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.29,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0529,27.33
2024-01-17,58.0,1574.7,0.01,0.0,0.0,1574.7,58.0,58.0,1574.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.29,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0529,27.15
2024-01-18,58.0,1586.88,0.01,0.0,0.0,1586.88,58.0,58.0,1586.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.29,0.0,0.0,0.0,100.0,0.0,1.0,100.0,0.0529,27.36
2024-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,1096.0,30112.6,0.03,0.0,0.0,0.0,0.0,0.0,27.475
2024-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,28674.75,0.02,0.0,0.0,0.0,0.0,0.0,27.625
