DATE,KOF FP Equity_DX_SI_QTY,KOF FP Equity_DX_SHORT_INTEREST_VALUE,KOF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,KOF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,KOF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,KOF FP Equity_DX_SI_MV,KOF FP Equity_DX_DSS,KOF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,KOF FP Equity_DX_SUPPLY_SI_QTY,KOF FP Equity_DX_BROKER_SI_QTY,KOF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,KOF FP Equity_DX_BROKER_SI_MV_NEW_x,KOF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,KOF FP Equity_DX_SUPPLY_SI_QTY_INC_x,KOF FP Equity_DX_BROKER_SI_MV_INC_x,KOF FP Equity_DX_SUPPLY_SI_MV_NEW,KOF FP Equity_DX_BROKER_SI_QTY_ADD,KOF FP Equity_DX_BROKER_SI_QTY_NEW,KOF FP Equity_DX_SUPPLY_SI_MV_DEC,KOF FP Equity_DX_BROKER_SI_QTY_INC,KOF FP Equity_DX_SUPPLY_SI_QTY_DEC,KOF FP Equity_DX_BROKER_SI_MV_NEW_y,KOF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,KOF FP Equity_DX_BROKER_SI_MV_INC_y,KOF FP Equity_DX_SUPPLY_SI_QTY_INC_y,KOF FP Equity_DX_BROKER_SI_MV_ADD,KOF FP Equity_DX_SUPPLY_SI_QTY_ADD,KOF FP Equity_DX_BROKER_SI_QTY_DEC,KOF FP Equity_DX_SUPPLY_SI_MV,KOF FP Equity_DX_BROKER_SI_MV_DEC,KOF FP Equity_DX_SUPPLY_SI_MV_RMV,KOF FP Equity_DX_BROKER_SI_MV_RMV,KOF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,KOF FP Equity_DX_UTILIZATION_QUANTITY,KOF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,KOF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,KOF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,KOF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,KOF FP Equity_DX_ACTIVE_UTILIZATION_MV,KOF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,KOF FP Equity_DX_BROKER_SI_CON_RATIO,KOF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,KOF FP Equity_DX_DEMAND_SUPPLY_RATIO,KOF FP Equity_PX_LAST
2023-05-09,485602.0,13159814.2,3.09,35.04,2.3,14.09,1.0,12134946.4,437120.0,447784.0,11845952.0,0.0,0.0,1101.0,0.31,0.0,0.0,0.0,2.14,10000.0,74384.0,0.0,0.0,0.31,1101.0,0.0,6454.0,48168.0,12.89,1.96,0.0,0.0,22.57,22.57,1499787.0,40644227.7,0.0,43.5,22.86,24.19,0.1873,28.52,0.2507,27.1
2023-05-10,485872.0,13142837.6,3.09,32.06,2.3,13.28,1.0,8500976.45,413538.0,314269.0,11186202.9,0.0,0.0,1361.0,0.09,0.0,0.0,0.0,0.8,4266.0,24943.0,0.0,0.0,0.09,1361.0,0.0,0.0,137781.0,11.19,4.05,0.0,0.0,21.46,21.46,1513103.0,40929436.15,0.0,40.97,21.45,24.47,0.1791,24.62,0.2522,27.05
2023-05-11,353724.0,9638979.0,2.25,22.67,1.68,9.72,1.0,8735696.0,312883.0,320576.0,8526061.75,0.0,0.0,156.0,0.48,0.0,1287.0,0.0,3.29,16690.0,121570.0,0.0,0.0,0.48,156.0,0.03,20759.0,11670.0,8.49,0.33,0.0,0.0,18.69,18.69,1361349.0,37096760.25,0.0,36.95,18.69,22.13,0.2003,34.41,0.2113,27.25
2023-05-12,349725.0,9495033.75,2.23,22.27,1.66,9.67,1.0,9163858.05,325209.0,337527.0,8829424.35,0.0,0.0,10011.0,0.48,0.0,0.0,0.0,0.05,16951.0,1736.0,0.0,0.0,0.48,10011.0,0.0,4051.0,0.0,8.9,0.0,0.0,0.0,19.34,19.34,1356567.0,36830794.05,0.0,37.01,19.38,23.0,0.1775,28.94,0.208,27.15
2023-05-15,357723.0,9551204.1,2.28,22.92,1.69,9.76,1.0,8656220.1,322169.0,324203.0,8601912.3,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.15,2355.0,5395.0,0.0,0.0,0.06,0.0,0.0,2355.0,15679.0,8.73,0.52,0.0,0.0,19.17,19.17,1358798.0,36279906.6,0.0,36.72,19.22,22.69,0.1969,33.6,0.2128,26.7
2023-05-16,360959.0,9800036.85,2.3,23.34,1.71,9.8,1.0,8849216.7,315279.0,325938.0,8559824.85,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.23,5876.0,6890.0,0.0,0.0,0.15,0.0,0.0,0.0,4141.0,8.42,0.08,0.0,0.0,18.75,18.75,1365790.0,37081198.5,0.0,36.62,18.7,21.88,0.1933,33.1,0.2147,27.15
2023-05-17,357931.0,9878895.6,2.28,23.44,1.7,9.88,1.0,8958104.4,314871.0,324569.0,8690439.6,0.0,0.0,5107.0,0.07,0.0,1288.0,0.0,0.12,2114.0,6658.0,0.0,0.0,0.07,5107.0,0.04,1143.0,4771.0,8.56,0.1,0.0,0.0,18.74,18.74,1365779.0,37695500.4,0.0,37.25,18.69,21.51,0.1919,33.3,0.213,27.6
2023-05-18,364812.0,10032330.0,2.32,23.77,1.73,10.19,1.0,9114875.0,318132.0,331450.0,8748630.0,0.0,0.0,6950.0,0.21,0.0,0.0,0.0,0.1,7070.0,3689.0,0.0,0.0,0.21,6950.0,0.0,0.0,189.0,8.81,0.0,0.0,0.0,20.73,20.73,1216177.0,33444867.5,0.0,33.57,20.78,21.19,0.1849,32.34,0.2378,27.5
2023-05-19,363809.0,10004747.5,2.31,24.03,1.72,10.11,1.0,8981087.5,313267.0,326585.0,8614842.5,0.0,0.0,3337.0,0.0,0.0,0.0,0.0,0.35,475.0,12508.0,0.0,0.0,0.0,3337.0,0.0,4306.0,5340.0,8.6,0.16,0.0,0.0,18.65,18.65,1366258.0,37572095.0,0.0,37.53,18.63,19.88,0.1836,32.53,0.2166,27.5
2023-05-22,363880.0,9988506.0,2.32,24.43,1.72,10.1,1.0,8966707.2,313338.0,326656.0,8601128.1,0.0,0.0,1459.0,0.03,0.0,0.0,0.0,0.05,1227.0,1888.0,0.0,0.0,0.03,1459.0,0.0,500.0,1156.0,8.6,0.03,0.0,0.0,18.78,18.78,1354998.0,37194695.1,0.0,37.21,18.78,19.88,0.1839,32.5,0.2181,27.45
