DATE,STMPA FP Equity_DX_SI_QTY,STMPA FP Equity_DX_SHORT_INTEREST_VALUE,STMPA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,STMPA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,STMPA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,STMPA FP Equity_DX_SI_MV,STMPA FP Equity_DX_DSS,STMPA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,STMPA FP Equity_DX_SUPPLY_SI_QTY,STMPA FP Equity_DX_BROKER_SI_QTY,STMPA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,STMPA FP Equity_DX_BROKER_SI_MV_NEW_x,STMPA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,STMPA FP Equity_DX_SUPPLY_SI_QTY_INC_x,STMPA FP Equity_DX_BROKER_SI_MV_INC_x,STMPA FP Equity_DX_SUPPLY_SI_MV_NEW,STMPA FP Equity_DX_BROKER_SI_QTY_ADD,STMPA FP Equity_DX_BROKER_SI_QTY_NEW,STMPA FP Equity_DX_SUPPLY_SI_MV_DEC,STMPA FP Equity_DX_BROKER_SI_QTY_INC,STMPA FP Equity_DX_SUPPLY_SI_QTY_DEC,STMPA FP Equity_DX_BROKER_SI_MV_NEW_y,STMPA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,STMPA FP Equity_DX_BROKER_SI_MV_INC_y,STMPA FP Equity_DX_SUPPLY_SI_QTY_INC_y,STMPA FP Equity_DX_BROKER_SI_MV_ADD,STMPA FP Equity_DX_SUPPLY_SI_QTY_ADD,STMPA FP Equity_DX_BROKER_SI_QTY_DEC,STMPA FP Equity_DX_SUPPLY_SI_MV,STMPA FP Equity_DX_BROKER_SI_MV_DEC,STMPA FP Equity_DX_SUPPLY_SI_MV_RMV,STMPA FP Equity_DX_BROKER_SI_MV_RMV,STMPA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,STMPA FP Equity_DX_UTILIZATION_QUANTITY,STMPA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,STMPA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,STMPA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,STMPA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,STMPA FP Equity_DX_ACTIVE_UTILIZATION_MV,STMPA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,STMPA FP Equity_DX_BROKER_SI_CON_RATIO,STMPA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,STMPA FP Equity_DX_DEMAND_SUPPLY_RATIO,STMPA FP Equity_PX_LAST
2006-07-17,46817748.0,359012180.16,7.11,9.44,5.15,571.02,2.0,227104484.48,20637334.0,29616044.0,158253111.02,0.0,0.0,84216.0,0.0,0.0,0.0,0.0,6.23,0.0,511233.0,0.0,0.0,0.0,84216.0,0.0,0.0,454988.0,247.7,5.72,0.0,0.0,27.33,27.33,54863544.0,420709696.31,0.0,652.89,27.5,26.51,0.2199,33.53,0.6201,11.68
2006-07-18,35139828.0,271538812.8,5.33,6.97,3.87,429.28,1.0,138932516.78,20595642.0,17979252.0,159150357.18,0.0,0.0,11140.0,0.12,0.0,0.0,0.0,1.61,10000.0,142031.0,0.0,0.0,0.12,11140.0,0.0,89199.0,11646793.0,247.5,141.79,0.0,0.0,27.04,27.04,55571160.0,429419484.13,0.0,662.13,27.21,22.35,0.2141,36.92,0.4614,11.77
2006-07-19,36312616.0,294428817.89,5.51,7.18,4.0,445.53,1.0,155920668.64,20515988.0,19230072.0,166347092.56,0.0,83704.0,45332.0,15.22,1.03,0.0,0.0,1.92,1250820.0,208691.0,0.0,83704.0,15.22,45332.0,0.0,0.0,0.0,248.79,0.0,0.0,0.0,26.29,26.29,57534852.0,466502288.4,0.0,692.08,26.44,21.42,0.2122,37.0,0.4652,12.35
2006-07-20,36957712.0,296747695.17,5.61,7.23,4.07,460.05,1.0,157500737.0,20808508.0,19615542.0,167079520.21,0.0,0.0,414775.0,6.04,0.0,0.0,0.0,0.57,417470.0,78164.0,0.0,0.0,6.04,414775.0,0.0,39614.0,32000.0,257.69,0.38,1.03,0.0,26.41,26.41,57980140.0,465544861.39,83704.0,717.09,26.44,21.1,0.2108,36.98,0.4691,12.23
2006-07-21,36036920.0,278470983.8,5.47,7.12,3.97,444.22,1.0,142056093.87,21118822.0,18383474.0,163193167.98,0.0,0.0,407839.0,0.0,0.0,9023.0,0.0,1.76,0.0,100465.0,0.0,0.0,0.0,407839.0,0.11,2939.0,1241092.0,258.2,16.46,0.0,0.0,26.49,26.49,58619400.0,452974393.7,0.0,714.59,26.54,21.85,0.1965,34.19,0.4519,11.77
2006-07-24,37035464.0,292752152.96,5.62,7.36,4.08,453.01,1.0,157053590.35,20606800.0,19868522.0,162889415.01,0.0,0.0,162688.0,19.22,0.0,0.0,0.0,9.89,1575097.0,725777.0,0.0,0.0,19.22,162688.0,0.0,51068.0,90050.0,249.39,1.41,0.0,0.0,25.93,25.93,58862600.0,465287889.43,0.0,708.48,26.04,20.99,0.2163,38.07,0.466,12.04
2006-07-25,39589096.0,311898044.31,6.01,8.01,4.36,486.61,1.0,178032191.55,20447804.0,22597556.0,161095622.85,0.0,0.0,72606.0,34.06,0.0,0.0,0.0,2.67,2729034.0,231601.0,0.0,0.0,34.06,72606.0,0.0,0.0,0.0,249.66,0.0,0.0,0.0,25.74,25.74,58996012.0,464793153.27,0.0,717.89,25.8,22.07,0.2343,40.27,0.4983,12.0
2006-07-26,40293076.0,307656403.14,6.12,8.21,4.44,490.9,1.0,178085144.84,19566126.0,23323416.0,149396485.61,0.0,83704.0,41874.0,7.95,0.97,0.0,0.0,13.03,725860.0,1007256.0,0.0,83704.0,7.95,41874.0,0.0,0.0,0.0,235.45,0.0,0.0,0.0,24.68,24.68,59709616.0,455910729.97,0.0,715.13,24.77,21.74,0.2399,41.18,0.5083,11.63
2006-07-27,40670340.0,309468934.51,6.17,7.99,4.48,491.15,1.0,179141097.25,19716980.0,23542684.0,150030533.12,0.0,0.0,390537.0,3.3,0.0,0.0,0.0,2.24,287371.0,155979.0,0.0,0.0,3.3,390537.0,0.0,0.0,68101.0,234.06,1.19,0.97,0.0,24.79,24.79,59805316.0,455070880.17,83704.0,704.97,24.93,21.61,0.2473,42.24,0.5114,11.59
2006-07-28,40773364.0,309182104.66,6.19,7.91,4.49,490.9,1.0,177895180.97,19900294.0,23459912.0,150902799.74,0.0,0.0,249149.0,2.51,0.0,0.0,0.0,3.46,219308.0,276337.0,0.0,0.0,2.51,249149.0,0.0,210500.0,302082.0,235.41,3.88,0.0,0.0,25.03,25.03,59615240.0,452058980.79,0.0,700.81,25.14,21.56,0.2397,41.37,0.5128,11.55
2006-07-31,40341576.0,309086144.47,6.12,7.85,4.44,486.04,1.0,177627028.4,19742326.0,23183680.0,151260313.33,0.0,0.0,108057.0,2.14,0.0,0.0,0.0,3.01,186466.0,272699.0,0.0,0.0,2.14,108057.0,0.0,6675.0,462696.0,233.84,5.47,0.0,0.0,24.84,24.84,59738488.0,457699990.01,0.0,702.9,24.96,20.52,0.244,42.37,0.5076,11.67
2006-08-01,38453632.0,289824486.11,5.84,7.68,4.23,464.22,1.0,162499016.05,19484612.0,21560212.0,146855247.9,0.0,0.0,191446.0,0.0,0.0,0.0,0.0,5.2,0.0,449159.0,0.0,0.0,0.0,191446.0,0.0,0.0,1623470.0,231.57,19.59,0.0,0.0,24.95,24.95,58607868.0,441726680.73,0.0,690.25,25.12,21.85,0.2341,40.32,0.4924,11.48
2006-08-02,39124964.0,298480456.07,5.94,7.79,4.31,469.31,1.0,168251676.86,19749048.0,22054512.0,150663521.48,0.0,83704.0,463893.0,4.74,0.97,97000.0,0.0,4.55,426049.0,340734.0,0.0,83704.0,4.74,463893.0,1.11,57573.0,28746.0,232.61,0.58,0.0,0.0,24.91,24.91,59547592.0,454282652.33,0.0,697.23,25.02,21.45,0.232,40.32,0.4934,11.62
2006-08-03,39089672.0,295901491.49,5.93,7.84,4.3,470.49,1.0,167343167.35,19881992.0,22106646.0,150502953.48,0.0,0.0,27220.0,3.33,0.0,0.0,0.0,0.93,249644.0,110572.0,0.0,0.0,3.33,27220.0,0.0,300000.0,197510.0,235.61,2.25,0.97,0.0,25.14,25.14,59212384.0,448226650.25,83704.0,695.91,25.29,22.14,0.2302,39.7,0.4942,11.53
2006-08-04,41872264.0,325212334.34,6.35,8.39,4.61,499.38,1.0,192946518.94,19765640.0,24842562.0,153515222.49,0.0,0.0,66453.0,38.09,0.0,0.0,0.0,2.72,3430306.0,182805.0,0.0,0.0,38.09,66453.0,0.0,0.0,694391.0,233.02,8.93,0.0,0.0,24.78,24.78,59993104.0,465952769.98,0.0,704.7,24.85,18.77,0.2661,45.92,0.525,11.83
2006-08-07,39964908.0,305937834.7,6.06,7.83,4.4,480.2,1.0,177563497.54,19525168.0,23195264.0,149468319.06,0.0,0.0,79097.0,0.9,0.0,0.0,0.0,3.62,50891.0,319569.0,0.0,0.0,0.9,79097.0,0.0,0.0,1698190.0,232.54,19.66,0.0,0.0,24.49,24.49,60194696.0,460800133.82,0.0,712.05,24.62,19.93,0.2567,44.21,0.5013,11.66
2006-08-08,40209168.0,307543698.5,6.1,7.89,4.43,480.98,1.0,179848667.95,19340590.0,23513944.0,147928367.47,0.0,0.0,40072.0,3.71,0.0,0.0,0.0,3.13,338768.0,224651.0,0.0,0.0,3.71,40072.0,0.0,0.0,20087.0,228.95,0.25,0.0,0.0,23.99,23.99,61286816.0,468758121.57,0.0,722.44,24.06,19.73,0.262,44.91,0.4987,11.65
2006-08-09,41487860.0,323316280.17,6.29,8.22,4.57,495.65,1.0,192914454.17,19878752.0,24754732.0,154915779.0,0.0,83704.0,81766.0,15.35,1.0,0.0,0.0,1.56,1337787.0,127307.0,0.0,83704.0,15.35,81766.0,0.0,500000.0,97000.0,235.18,1.13,0.0,0.0,23.97,23.97,63057056.0,491405745.78,0.0,744.37,24.01,21.19,0.2652,44.75,0.5002,11.87
2006-08-10,35670888.0,276345087.61,5.41,7.23,3.93,428.58,1.0,197889997.56,13777802.0,25543830.0,106737682.02,0.0,0.0,544202.0,10.43,0.0,0.0,0.0,78.15,789099.0,6561448.0,0.0,0.0,10.43,544202.0,0.0,0.0,0.0,164.05,0.0,1.0,0.0,17.63,17.63,64382448.0,498775730.87,83704.0,767.57,17.61,22.39,0.2705,44.78,0.4564,11.8
2006-08-11,35884280.0,274464375.61,5.44,7.32,3.95,430.09,1.0,196828246.06,13812085.0,25733904.0,105643063.91,0.0,0.0,34283.0,2.34,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,2.34,34283.0,0.0,0.0,9925.0,163.49,0.22,0.0,0.0,17.69,17.69,64265692.0,491542341.89,0.0,758.57,17.73,22.3,0.2732,45.16,0.4596,11.65
2006-08-14,34768960.0,269586051.97,5.27,7.14,3.83,415.33,1.0,190844178.09,13812817.0,24613490.0,107099631.44,0.0,0.0,9996.0,0.0,0.0,0.0,0.0,0.14,0.0,9264.0,0.0,0.0,0.0,9996.0,0.0,0.0,1120413.0,162.27,13.34,0.0,0.0,17.4,17.4,65552568.0,508271113.19,0.0,773.05,17.35,22.95,0.2694,44.46,0.4381,11.81
2006-08-15,34986344.0,282297001.7,5.31,7.2,3.85,419.82,1.0,199204382.92,13959423.0,24688300.0,112635468.81,0.0,0.0,148590.0,1.45,0.0,0.0,0.0,0.05,74808.0,12739.0,0.0,0.0,1.45,148590.0,0.0,10755.0,0.0,165.85,0.0,0.0,0.0,17.57,17.57,65489760.0,528422257.85,0.0,788.35,17.38,22.95,0.2656,44.0,0.4404,12.29
2006-08-16,35414820.0,289939451.44,5.37,6.99,3.9,431.47,1.0,203228424.02,14264073.0,24823452.0,116779289.03,0.0,83704.0,294946.0,2.17,1.04,0.0,0.0,0.88,135154.0,74000.0,0.0,83704.0,2.17,294946.0,0.0,0.0,0.0,175.13,0.0,0.0,0.0,17.78,17.78,65942736.0,539870051.64,0.0,814.2,17.7,22.7,0.2584,43.2,0.4415,12.47
2006-08-17,41784628.0,350867308.33,6.34,7.95,4.6,512.56,1.0,207385124.04,20388272.0,24697400.0,171201191.93,0.0,0.0,7687.0,0.62,0.0,0.0,0.0,5.51,28948.0,496279.0,0.0,0.0,0.62,7687.0,0.0,6696495.0,155000.0,253.28,1.38,1.04,0.0,25.43,25.43,59777256.0,501952175.13,83704.0,752.93,25.17,22.24,0.2544,42.96,0.5212,12.79
2006-08-18,47664652.0,399929187.69,7.23,8.9,5.25,587.55,2.0,261719028.07,19594378.0,31192388.0,164406186.72,0.0,0.0,41237.0,83.59,0.0,0.0,0.0,9.73,6748987.0,835130.0,0.0,0.0,83.59,41237.0,0.0,0.0,254000.0,246.32,3.29,0.0,0.0,24.38,24.38,60766216.0,509857564.97,0.0,772.15,24.19,23.19,0.2332,36.81,0.5931,12.78
2006-08-21,41451488.0,342627072.81,6.29,7.72,4.56,514.48,1.0,264234630.51,13123691.0,31967464.0,108476970.28,0.0,0.0,390000.0,96.21,0.0,0.0,0.0,84.63,7481000.0,6860686.0,0.0,0.0,96.21,390000.0,0.0,0.0,6705922.0,165.94,82.59,0.0,0.0,16.05,16.05,68634384.0,567313725.49,0.0,864.89,16.1,23.52,0.3147,49.54,0.507,12.59
2006-08-22,43551928.0,361132485.33,6.61,8.11,4.79,539.98,1.0,281207412.39,13721461.0,33913108.0,113778322.59,0.0,0.0,430027.0,24.69,0.0,0.0,0.0,6.19,2000000.0,481257.0,0.0,0.0,24.69,430027.0,0.0,649000.0,54357.0,173.07,0.71,0.0,0.0,17.01,17.01,66946020.0,555116241.59,0.0,841.85,17.05,24.27,0.3106,48.86,0.5399,12.63
2006-08-23,42630176.0,348171586.66,6.47,8.0,4.69,525.73,1.0,269891698.97,15736845.0,33045576.0,128526851.32,0.0,83704.0,364555.0,14.21,1.04,0.0,0.0,2.04,1130410.0,160477.0,0.0,83704.0,14.21,364555.0,0.0,1727601.0,1997941.0,189.53,23.66,0.0,0.0,18.59,18.59,68934664.0,563007090.11,0.0,842.95,18.36,27.65,0.2984,45.67,0.5035,12.44
2006-08-24,42219296.0,345924556.82,6.4,7.87,4.65,518.64,1.0,268064604.36,15649223.0,32716668.0,128222188.52,0.0,0.0,1735.0,2.09,0.0,0.0,0.0,0.09,260000.0,5652.0,0.0,0.0,2.09,1735.0,0.0,0.0,588909.0,187.69,7.55,1.04,0.0,18.54,18.54,68743120.0,563247983.11,83704.0,838.07,18.3,28.43,0.2966,44.99,0.5002,12.48
2006-08-25,44353764.0,364578144.95,6.73,8.42,4.88,545.25,1.0,287072104.67,15577078.0,34924552.0,128040141.1,0.0,0.0,1608.0,80.85,0.0,0.0,0.0,0.92,6607836.0,73753.0,0.0,0.0,80.85,1608.0,0.0,0.0,4399951.0,186.57,53.23,0.0,0.0,18.48,18.48,68709176.0,564774252.92,0.0,840.04,18.17,21.66,0.2468,38.42,0.5262,12.52
2006-08-28,44001872.0,366885624.15,6.67,8.47,4.84,541.48,1.0,288953994.85,15415760.0,34655260.0,128535911.6,0.0,0.0,17012.0,0.0,0.0,79304.0,0.0,2.22,0.0,178329.0,0.0,0.0,0.0,17012.0,0.99,0.0,348595.0,184.91,3.94,0.0,0.0,18.3,18.3,68803400.0,573679646.01,0.0,844.98,17.95,21.83,0.246,38.13,0.5225,12.7
2006-08-29,42659736.0,362976898.67,6.47,8.39,4.7,528.09,1.0,282457029.04,15535856.0,33196444.0,132189210.67,0.0,0.0,206365.0,0.0,0.0,0.0,0.0,1.0,0.0,86269.0,0.0,0.0,0.0,206365.0,0.0,0.0,1458816.0,189.1,16.24,0.0,0.0,18.54,18.54,68280640.0,580976285.15,0.0,848.38,18.23,21.63,0.2403,37.69,0.509,12.96
2006-08-30,41087304.0,354453142.63,6.23,8.15,4.52,518.35,1.0,283435085.49,13302064.0,32855072.0,114754630.49,0.0,83704.0,152459.0,0.13,1.1,0.0,0.0,23.17,8752.0,2485456.0,0.0,83704.0,0.13,152459.0,0.0,15500.0,350124.0,172.05,0.22,0.0,0.0,16.51,16.51,67279720.0,580410634.61,0.0,869.4,16.52,22.49,0.2507,38.56,0.5099,13.14
2006-08-31,41359972.0,348930702.15,6.71,8.31,4.55,524.28,1.0,276738190.21,13632387.0,32802742.0,115008742.46,0.0,0.0,385782.0,1.62,0.0,0.0,0.0,0.0,97668.0,1298.0,0.0,0.0,1.62,385782.0,0.0,29543.0,150000.0,176.55,1.75,1.1,0.0,16.89,16.89,67094900.0,566041741.21,83704.0,868.94,16.89,22.54,0.2454,37.83,0.5123,12.85
2006-09-01,34477036.0,288826087.58,5.59,6.95,3.8,433.18,1.0,217087783.97,13631706.0,25913668.0,114197528.78,0.0,0.0,6139.0,0.0,0.0,0.0,0.0,0.14,0.0,6820.0,0.0,0.0,0.0,6139.0,0.0,0.0,6889073.0,174.08,89.31,0.0,0.0,16.97,16.97,66686688.0,558657513.03,0.0,852.59,16.96,24.14,0.2852,45.56,0.4293,12.76
2006-09-04,33721480.0,283382102.0,5.47,7.01,3.71,422.36,1.0,212050360.54,13339635.0,25233252.0,112101064.55,0.0,0.0,935.0,0.0,0.0,0.0,0.0,3.75,0.0,293006.0,0.0,0.0,0.0,935.0,0.0,0.0,680417.0,169.67,9.34,0.0,0.0,16.58,16.58,67123040.0,564075721.7,0.0,856.59,16.53,23.58,0.2906,46.38,0.4191,12.8
2006-09-05,33746316.0,280932150.13,5.48,7.13,3.72,423.46,1.0,210731387.94,13284846.0,25313614.0,110594008.27,0.0,0.0,177616.0,9.11,0.0,0.0,0.0,2.93,711595.0,232405.0,0.0,0.0,9.11,177616.0,0.0,0.0,631232.0,169.39,7.72,0.0,0.0,16.61,16.61,66713640.0,555379328.76,0.0,850.01,16.62,21.69,0.3014,48.44,0.4218,12.68
2006-09-06,34358920.0,283776198.13,5.57,7.34,3.78,429.35,1.0,207607909.05,15072132.0,25136652.0,124483316.61,0.0,83704.0,0.0,6.14,1.05,0.0,0.0,3.14,503036.0,233641.0,0.0,83704.0,6.14,0.0,0.0,1937223.0,680000.0,190.24,8.71,0.0,0.0,18.77,18.77,65212660.0,538602515.0,0.0,821.92,18.8,21.3,0.2755,45.64,0.428,12.58
2006-09-07,35909484.0,292338941.66,5.83,8.15,3.95,448.47,1.0,215462041.07,15289862.0,26466302.0,124474695.19,0.0,0.0,312419.0,18.03,0.0,0.0,0.0,0.15,1447957.0,10985.0,0.0,0.0,18.03,312419.0,0.0,0.0,118304.0,192.08,1.51,1.05,0.0,19.06,19.06,64923992.0,528545915.89,83704.0,811.74,19.13,20.44,0.2603,43.58,0.4477,12.4
2006-09-08,40027804.0,329019709.1,6.49,9.25,4.4,498.49,1.0,251369756.93,15287554.0,30581084.0,125660317.76,0.0,0.0,1038.0,54.72,0.0,0.0,0.0,0.09,4441783.0,5846.0,0.0,0.0,54.72,1038.0,0.0,2500.0,327000.0,191.4,4.02,0.0,0.0,19.07,19.07,64867688.0,533198069.92,0.0,807.77,19.16,22.37,0.2412,38.4,0.4994,12.52
2006-09-11,39465252.0,330355001.01,6.4,9.42,4.34,492.22,1.0,252437406.33,15152763.0,30156970.0,126840468.07,0.0,0.0,3647.0,4.58,0.0,0.0,0.0,1.7,345884.0,138438.0,0.0,0.0,4.58,3647.0,0.0,0.0,770000.0,190.45,9.65,0.0,0.0,18.9,18.9,65001212.0,544110942.36,0.0,819.74,18.85,22.88,0.2337,36.89,0.4924,12.75
2006-09-12,40184020.0,351145621.43,6.52,9.3,4.42,507.98,1.0,265884039.57,15602820.0,30426948.0,136344296.19,0.0,0.0,424613.0,8.44,0.0,0.0,0.0,0.0,525783.0,7714.0,0.0,0.0,8.44,424613.0,0.0,33158.0,255805.0,202.13,3.28,0.0,0.0,19.39,19.39,64859164.0,566767870.62,0.0,839.93,19.4,23.83,0.2253,35.26,0.4994,13.31
2006-09-13,39897944.0,347859935.49,6.47,8.64,4.38,512.04,1.0,259111916.28,15036317.0,29718952.0,131097789.44,0.0,83704.0,72513.0,5.31,1.11,46000.0,0.0,13.82,269003.0,1037340.0,0.0,83704.0,5.31,72513.0,0.59,314620.0,1023000.0,199.25,12.39,0.0,0.0,18.8,18.8,64960188.0,566371209.69,0.0,858.54,18.84,24.87,0.2186,33.22,0.4987,13.28
2006-09-14,40319188.0,345444362.39,6.54,8.64,4.43,516.7,1.0,256311307.69,15260286.0,29915856.0,130746178.89,0.0,0.0,308039.0,2.78,0.0,0.0,0.0,0.01,204000.0,366.0,0.0,0.0,2.78,308039.0,0.0,0.0,7094.0,201.45,0.28,1.11,0.0,19.0,19.0,65053360.0,557360343.33,83704.0,852.69,19.11,24.59,0.2181,33.45,0.502,13.05
