DATE,NRG FP Equity_DX_SI_QTY,NRG FP Equity_DX_SHORT_INTEREST_VALUE,NRG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,NRG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,NRG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,NRG FP Equity_DX_SI_MV,NRG FP Equity_DX_DSS,NRG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,NRG FP Equity_DX_SUPPLY_SI_QTY,NRG FP Equity_DX_BROKER_SI_QTY,NRG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,NRG FP Equity_DX_BROKER_SI_MV_NEW_x,NRG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,NRG FP Equity_DX_SUPPLY_SI_QTY_INC_x,NRG FP Equity_DX_BROKER_SI_MV_INC_x,NRG FP Equity_DX_SUPPLY_SI_MV_NEW,NRG FP Equity_DX_BROKER_SI_QTY_ADD,NRG FP Equity_DX_BROKER_SI_QTY_NEW,NRG FP Equity_DX_SUPPLY_SI_MV_DEC,NRG FP Equity_DX_BROKER_SI_QTY_INC,NRG FP Equity_DX_SUPPLY_SI_QTY_DEC,NRG FP Equity_DX_BROKER_SI_MV_NEW_y,NRG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,NRG FP Equity_DX_BROKER_SI_MV_INC_y,NRG FP Equity_DX_SUPPLY_SI_QTY_INC_y,NRG FP Equity_DX_BROKER_SI_MV_ADD,NRG FP Equity_DX_SUPPLY_SI_QTY_ADD,NRG FP Equity_DX_BROKER_SI_QTY_DEC,NRG FP Equity_DX_SUPPLY_SI_MV,NRG FP Equity_DX_BROKER_SI_MV_DEC,NRG FP Equity_DX_SUPPLY_SI_MV_RMV,NRG FP Equity_DX_BROKER_SI_MV_RMV,NRG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,NRG FP Equity_DX_UTILIZATION_QUANTITY,NRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,NRG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,NRG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,NRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,NRG FP Equity_DX_ACTIVE_UTILIZATION_MV,NRG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,NRG FP Equity_DX_BROKER_SI_CON_RATIO,NRG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,NRG FP Equity_DX_DEMAND_SUPPLY_RATIO,NRG FP Equity_PX_LAST
2018-03-15,69955.0,607209.4,0.4,4.71,0.09,0.62,0.0,34720.0,65955.0,4000.0,572489.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,9.37,9.37,638114.0,5538829.52,0.0,5.61,9.37,9.95,0.7234,84.37,0.0994,8.68
2018-03-16,74955.0,640115.7,0.43,5.07,0.1,0.65,0.0,34160.0,70955.0,4000.0,605955.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.62,0.0,0.0,0.0,100.0,10.06,0.0,0.0,0.0,0.0,100.0,9.28,0.6346,78.75,0.1063,8.54
2018-03-19,74955.0,634119.3,0.43,4.83,0.1,0.65,0.0,33840.0,70955.0,4000.0,600279.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,100.0,10.06,0.0,0.0,0.0,0.0,100.0,9.13,0.6369,78.91,0.1063,8.46
2018-03-20,72969.0,604183.32,0.42,4.79,0.09,0.62,0.0,33120.0,68969.0,4000.0,571063.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,100.0,9.71,0.0,0.0,0.0,0.0,100.0,9.54,0.6668,80.9,0.1027,8.28
2018-03-21,72969.0,608561.46,0.42,4.84,0.09,0.6,0.0,33360.0,68969.0,4000.0,575201.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,100.0,9.71,0.0,0.0,0.0,0.0,100.0,9.53,0.6658,80.84,0.1027,8.34
2018-03-22,73969.0,613942.7,0.42,4.61,0.09,0.62,0.0,33200.0,69969.0,4000.0,580742.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.58,0.0,0.0,0.0,100.0,9.85,0.0,0.0,0.0,0.0,100.0,9.4,0.6496,79.77,0.1041,8.3
2018-03-23,14969.0,124841.46,0.09,0.92,0.02,0.12,0.0,33360.0,10969.0,4000.0,91481.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,59000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,100.0,1.54,0.0,0.0,0.0,0.0,100.0,26.79,0.3231,46.41,0.0211,8.34
2018-03-26,14969.0,126637.74,0.09,0.88,0.02,0.13,0.0,33840.0,10969.0,4000.0,92797.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,100.0,1.54,0.0,0.0,0.0,0.0,100.0,26.77,0.3229,46.39,0.0211,8.46
2018-03-27,13969.0,120133.4,0.08,0.93,0.02,0.12,0.0,34400.0,9969.0,4000.0,85733.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,100.0,1.29,0.0,0.0,0.0,0.0,100.0,21.58,0.3356,49.8,0.0181,8.6
2018-03-28,13969.0,119854.02,0.08,0.96,0.02,0.12,0.0,34320.0,9969.0,4000.0,85534.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,100.0,1.29,0.0,0.0,0.0,0.0,100.0,21.58,0.3356,49.81,0.0181,8.58
