DATE,ALMOU FP Equity_DX_SI_QTY,ALMOU FP Equity_DX_SHORT_INTEREST_VALUE,ALMOU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMOU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMOU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMOU FP Equity_DX_SI_MV,ALMOU FP Equity_DX_DSS,ALMOU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMOU FP Equity_DX_SUPPLY_SI_QTY,ALMOU FP Equity_DX_BROKER_SI_QTY,ALMOU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMOU FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMOU FP Equity_DX_BROKER_SI_MV_INC_x,ALMOU FP Equity_DX_BROKER_SI_QTY_ADD,ALMOU FP Equity_DX_SUPPLY_SI_MV_DEC,ALMOU FP Equity_DX_BROKER_SI_QTY_INC,ALMOU FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMOU FP Equity_DX_BROKER_SI_MV_INC_y,ALMOU FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMOU FP Equity_DX_BROKER_SI_MV_ADD,ALMOU FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMOU FP Equity_DX_BROKER_SI_QTY_DEC,ALMOU FP Equity_DX_SUPPLY_SI_MV,ALMOU FP Equity_DX_BROKER_SI_MV_DEC,ALMOU FP Equity_DX_SUPPLY_SI_MV_RMV,ALMOU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMOU FP Equity_DX_UTILIZATION_QUANTITY,ALMOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMOU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMOU FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALMOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMOU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMOU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMOU FP Equity_DX_BROKER_SI_CON_RATIO,ALMOU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMOU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMOU FP Equity_PX_LAST
2023-03-02,7219.0,227037.47,0.64,2.27,0.23,0.24,0.0,184831.58,2032.0,5877.0,63906.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,100.0,76.82,0.0,0.0,0.0,0.0,100.0,29.41,0.276,34.17,2.7293,32.45
2023-03-03,7219.0,224149.95,0.64,2.28,0.23,0.24,0.0,182480.85,2032.0,5877.0,63093.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,100.0,76.28,0.0,0.0,0.0,0.0,100.0,28.78,0.2755,34.37,2.7098,31.05
2023-03-06,7219.0,213321.45,0.64,2.28,0.23,0.23,0.0,173665.35,2032.0,5877.0,60045.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,100.0,76.28,0.0,0.0,0.0,0.0,100.0,28.77,0.2753,34.33,2.7098,29.55
2023-03-07,7219.0,215848.1,0.64,2.17,0.23,0.22,0.0,175722.3,2032.0,5877.0,60756.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,100.0,76.28,0.0,0.0,0.0,0.0,100.0,29.3,0.2762,34.3,2.7098,29.9
2023-03-08,4774.0,143936.1,0.42,1.46,0.16,0.14,0.0,104741.1,1990.0,3474.0,59998.5,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,2403.0,0.06,0.07,0.0,100.0,69.78,0.0,0.0,0.0,0.0,100.0,26.24,0.2656,34.69,1.6739,30.15
2023-03-09,3474.0,105435.9,0.31,1.08,0.11,0.11,0.0,105435.9,1190.0,3474.0,36116.5,0.0,0.0,0.0,0.03,0.0,900.0,0.0,0.0,0.0,100.0,0.0,0.04,0.0,0.0,100.0,60.96,0.0,0.0,0.0,0.0,100.0,27.18,0.2716,33.42,1.7797,30.35
2023-03-10,3474.0,105088.5,0.31,1.14,0.11,0.11,0.0,105088.5,1190.0,3474.0,35997.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,100.0,60.96,0.0,0.0,0.0,0.0,100.0,27.2,0.2714,33.3,1.7797,30.25
2023-03-13,3328.0,98342.4,0.29,1.1,0.11,0.1,0.0,95919.3,562.0,3246.0,16607.1,82.0,0.0,0.0,0.02,0.0,710.0,0.0,82.0,0.0,0.0,228.0,0.02,0.01,0.0,100.0,34.23,0.0,0.0,0.0,0.0,100.0,28.48,0.2746,34.91,2.0268,29.55
2023-03-14,3328.0,100838.4,0.29,1.1,0.11,0.1,0.0,98353.8,562.0,3246.0,17028.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,100.0,34.71,0.0,0.0,0.0,0.0,100.0,28.27,0.2733,34.85,2.0556,30.3
2023-03-15,2976.0,88089.6,0.26,1.01,0.1,0.09,0.0,85662.4,562.0,2894.0,16635.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.02,0.01,0.0,100.0,34.95,0.0,0.0,0.0,0.0,100.0,32.02,0.294,38.24,1.8507,29.6
2023-03-16,2905.0,87585.75,0.26,1.01,0.09,0.09,0.0,85113.45,562.0,2823.0,16944.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.02,0.0,0.0,100.0,34.95,0.0,0.0,0.0,0.0,100.0,32.21,0.2981,39.13,1.8066,30.15
