DATE,QDT FP Equity_DX_SI_QTY,QDT FP Equity_DX_SHORT_INTEREST_VALUE,QDT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,QDT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,QDT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,QDT FP Equity_DX_SI_MV,QDT FP Equity_DX_DSS,QDT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,QDT FP Equity_DX_SUPPLY_SI_QTY,QDT FP Equity_DX_BROKER_SI_QTY,QDT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,QDT FP Equity_DX_BROKER_SI_MV_NEW_x,QDT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,QDT FP Equity_DX_SUPPLY_SI_QTY_INC_x,QDT FP Equity_DX_BROKER_SI_MV_INC_x,QDT FP Equity_DX_SUPPLY_SI_MV_NEW,QDT FP Equity_DX_BROKER_SI_QTY_ADD,QDT FP Equity_DX_BROKER_SI_QTY_NEW,QDT FP Equity_DX_SUPPLY_SI_MV_DEC,QDT FP Equity_DX_BROKER_SI_QTY_INC,QDT FP Equity_DX_SUPPLY_SI_QTY_DEC,QDT FP Equity_DX_BROKER_SI_MV_NEW_y,QDT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,QDT FP Equity_DX_BROKER_SI_MV_INC_y,QDT FP Equity_DX_SUPPLY_SI_QTY_INC_y,QDT FP Equity_DX_BROKER_SI_MV_ADD,QDT FP Equity_DX_SUPPLY_SI_QTY_ADD,QDT FP Equity_DX_BROKER_SI_QTY_DEC,QDT FP Equity_DX_SUPPLY_SI_MV,QDT FP Equity_DX_BROKER_SI_MV_DEC,QDT FP Equity_DX_SUPPLY_SI_MV_RMV,QDT FP Equity_DX_BROKER_SI_MV_RMV,QDT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,QDT FP Equity_DX_UTILIZATION_QUANTITY,QDT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,QDT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,QDT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,QDT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,QDT FP Equity_DX_ACTIVE_UTILIZATION_MV,QDT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,QDT FP Equity_DX_BROKER_SI_CON_RATIO,QDT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,QDT FP Equity_DX_DEMAND_SUPPLY_RATIO,QDT FP Equity_PX_LAST
2006-07-24,4935405.0,189074075.56,15.45,35.6,15.45,420.75,4.0,114688439.17,2467461.0,2993715.0,94527785.98,0.0,0.0,2288.0,3.06,0.0,0.0,0.0,1.53,35973.0,18511.0,0.0,0.0,3.06,2288.0,0.0,0.0,39366.0,208.17,3.81,0.0,0.0,75.37,50.78,806488.0,30896344.48,0.0,0.0,147.88,13.6,0.0956,17.11,1.0157,82.8
2006-07-25,4702938.0,179406744.46,14.72,33.78,14.72,401.15,3.0,105561832.87,2459401.0,2767180.0,93820740.72,0.0,0.0,4235.0,1.11,0.0,0.0,0.0,1.26,13034.0,14835.0,0.0,0.0,1.11,4235.0,0.0,2539.0,239569.0,207.1,19.84,0.0,0.0,75.3,50.81,806855.0,30779744.24,0.0,0.0,147.9,14.05,0.0945,18.26,0.9715,82.45
2006-07-26,4307063.0,170183694.37,13.48,31.28,13.48,367.67,3.0,103881460.39,2079588.0,2629065.0,82170139.74,0.0,3452.0,4637.0,0.0,0.29,0.0,0.0,33.78,0.0,401443.0,0.0,3452.0,0.0,4637.0,0.0,13541.0,138116.0,175.82,11.69,0.0,0.0,69.81,43.77,899346.0,35535589.98,0.0,0.0,136.08,14.67,0.0993,19.14,0.9064,85.4
2006-07-27,4206442.0,166305198.24,13.17,29.06,13.17,365.12,3.0,101795326.91,2015186.0,2574761.0,79672061.86,0.0,0.0,12842.0,2.71,0.0,250.0,0.0,7.77,18133.0,99399.0,0.0,0.0,2.71,12842.0,0.02,25608.0,72687.0,173.25,5.98,0.29,0.0,68.18,42.87,940657.0,37189660.26,3452.0,0.0,131.9,13.97,0.1017,19.97,0.8949,85.45
2006-07-28,3592242.0,141689877.91,11.25,25.16,11.25,310.7,3.0,78006185.57,1932014.0,1977679.0,76205007.29,0.0,0.0,4698.0,2.69,0.0,0.0,0.0,7.58,34922.0,87870.0,0.0,0.0,2.69,4698.0,0.0,0.0,632004.0,165.92,55.36,0.0,0.0,66.28,40.89,982736.0,38762350.6,0.0,0.0,131.75,15.07,0.1031,17.45,0.7603,85.25
2006-07-31,3212724.0,126720435.69,10.06,23.09,10.06,278.83,3.0,69141974.49,1776914.0,1752946.0,70087351.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04,0.0,155100.0,0.0,0.0,0.0,0.0,0.0,0.0,224732.0,152.91,18.91,0.0,0.0,63.61,38.31,1016344.0,40087961.02,0.0,0.0,131.54,16.83,0.1124,18.12,0.6927,85.25
2006-08-01,3018050.0,118972031.49,9.45,21.74,9.45,261.83,2.0,61762885.1,1755343.0,1566784.0,69195912.15,0.0,0.0,8372.0,1.0,0.0,0.0,0.0,2.58,11779.0,29943.0,0.0,0.0,1.0,8372.0,0.0,0.0,197941.0,150.93,16.96,0.0,0.0,63.96,37.87,989268.0,38997108.61,0.0,0.0,134.17,15.67,0.111,18.27,0.6512,85.2
2006-08-02,2699536.0,106728410.77,8.45,20.21,8.45,235.6,2.0,53848479.83,1613631.0,1362017.0,63796249.5,0.0,0.0,70477.0,1.16,0.0,0.0,0.0,18.15,13155.0,212189.0,0.0,0.0,1.16,70477.0,0.0,0.0,217922.0,139.15,18.44,0.0,0.0,62.35,35.05,974190.0,38515415.42,0.0,0.0,133.31,14.47,0.1024,16.98,0.5863,85.45
2006-08-03,2471631.0,97317746.96,7.74,18.36,7.74,216.26,2.0,54521745.33,1388894.0,1384718.0,54686170.73,0.0,0.0,20001.0,5.09,0.0,0.0,0.0,1.68,57575.0,20674.0,0.0,0.0,5.09,20001.0,0.0,25937.0,34874.0,120.32,3.25,21.48,0.0,59.72,32.5,936940.0,36890980.02,250000.0,0.0,147.75,18.18,0.1155,18.55,0.5784,85.1
2006-08-04,2634860.0,103318026.85,8.25,19.61,8.25,229.69,2.0,54813811.72,1538929.0,1397885.0,60344423.51,0.0,250000.0,350.0,1.26,21.69,0.0,0.0,8.89,18167.0,100315.0,0.0,250000.0,1.26,350.0,0.0,0.0,5000.0,132.72,0.43,0.0,0.0,33.53,33.53,3051048.0,119637574.36,0.0,260.27,33.77,17.33,0.1133,17.51,0.574,84.75
2006-08-07,2254075.0,88125972.65,7.06,16.92,7.06,195.44,2.0,44062263.04,1293039.0,1127019.0,50553029.31,0.0,0.0,20305.0,3.05,0.0,0.0,0.0,23.69,35000.0,272380.0,0.0,0.0,3.05,20305.0,0.0,6185.0,305867.0,111.2,27.37,0.0,0.0,27.8,27.8,3357912.0,131281905.47,0.0,286.45,27.96,17.55,0.1271,21.56,0.4846,84.5
2006-08-08,1988019.0,77678179.16,6.22,15.02,6.22,172.72,2.0,33937850.41,1285270.0,868572.0,50219556.92,0.0,0.0,1382.0,0.0,0.0,0.0,0.0,0.72,0.0,9151.0,0.0,0.0,0.0,1382.0,0.0,0.0,258447.0,110.43,21.95,0.0,0.0,27.95,27.95,3312434.0,129427254.82,0.0,282.44,28.11,18.92,0.1373,24.34,0.4324,84.45
2006-08-09,1669152.0,65489336.67,5.23,12.82,5.23,142.03,2.0,32048598.52,1026049.0,816835.0,40257129.61,0.0,0.0,9179.0,0.16,0.0,0.0,0.0,24.85,6263.0,285734.0,0.0,0.0,0.16,9179.0,0.0,17335.0,58000.0,86.96,6.74,0.0,0.0,21.69,21.69,3703616.0,145311724.23,0.0,313.98,21.69,22.9,0.1886,29.91,0.3529,84.8
2006-08-10,1611706.0,63049012.2,5.05,12.59,5.05,137.52,2.0,30204577.58,1013119.0,772112.0,39632632.87,0.0,0.0,5749.0,0.1,0.0,0.0,0.0,1.58,424.0,18680.0,0.0,0.0,0.1,5749.0,0.0,0.0,45147.0,86.28,4.01,0.0,0.0,21.51,21.51,3697145.0,144630187.02,0.0,313.82,21.56,23.54,0.1982,30.74,0.3422,84.55
2006-08-11,1596200.0,62663984.38,5.0,12.58,5.0,136.07,1.0,29688564.23,986302.0,756238.0,38720469.32,0.0,0.0,434.0,0.5,0.0,0.0,0.0,2.32,5000.0,27251.0,0.0,0.0,0.5,434.0,0.0,0.0,20874.0,83.83,1.75,0.0,0.0,21.01,21.01,3709086.0,145612145.83,0.0,315.22,21.01,23.7,0.1953,29.82,0.34,84.85
2006-08-14,1303928.0,51913861.97,4.08,10.37,4.08,111.76,1.0,32257766.53,590437.0,810223.0,23507329.33,0.0,0.0,4620.0,4.97,0.0,0.0,0.0,34.01,53985.0,400485.0,0.0,0.0,4.97,4620.0,0.0,0.0,0.0,50.36,0.0,0.0,0.0,12.52,12.52,4127062.0,164312544.12,0.0,353.56,12.47,19.04,0.1949,32.88,0.2764,86.05
2006-08-15,1229285.0,49482392.19,3.85,9.96,3.85,106.06,1.0,30858543.04,560267.0,766615.0,22552419.84,0.0,0.0,10963.0,0.57,0.0,0.0,0.0,3.5,5000.0,41134.0,0.0,0.0,0.57,10963.0,0.0,0.0,48608.0,48.18,4.0,0.0,0.0,11.9,11.9,4146123.0,166893832.05,0.0,357.51,11.88,20.69,0.1912,31.04,0.2612,87.0
2006-08-16,1193079.0,49129015.38,3.74,9.63,3.74,104.36,1.0,31536186.34,525166.0,765844.0,21625465.28,0.0,0.0,3065.0,0.0,0.0,0.0,0.0,3.25,0.0,38165.0,0.0,0.0,0.0,3065.0,0.0,0.0,772.0,45.71,0.0,0.0,0.0,10.91,10.91,4289911.0,176651423.34,0.0,378.25,10.78,21.53,0.2007,31.89,0.2478,89.0
2006-08-17,1177202.0,48829259.4,3.69,10.05,3.69,105.44,1.0,30900257.63,523761.0,744960.0,21725125.96,0.0,0.0,15021.0,1.2,0.0,0.0,0.0,1.43,10000.0,16426.0,0.0,0.0,1.2,15021.0,0.0,0.0,30883.0,46.72,2.03,0.0,0.0,10.97,10.97,4252671.0,176396893.14,0.0,380.11,10.95,21.69,0.2066,32.48,0.2465,89.65
2006-08-18,1178663.0,48808059.12,3.69,9.96,3.69,105.8,1.0,30904831.9,523833.0,746319.0,21691757.55,0.0,0.0,114.0,0.18,0.0,0.0,0.0,0.0,1358.0,42.0,0.0,0.0,0.18,114.0,0.0,0.0,0.0,47.03,0.0,0.0,0.0,10.97,10.97,4249373.0,175965181.41,0.0,379.98,11.01,21.46,0.2067,32.62,0.2469,89.5
2006-08-21,1187083.0,49019419.34,3.72,10.2,3.72,106.09,1.0,30825484.24,532129.0,746488.0,21973741.17,0.0,0.0,8297.0,0.02,0.0,0.0,0.0,0.0,1403.0,0.0,0.0,0.0,0.02,8297.0,0.0,0.0,1234.0,47.46,0.1,0.0,0.0,11.06,11.06,4277287.0,176626339.6,0.0,381.78,11.06,21.42,0.205,32.46,0.2468,89.25
2006-08-22,1171151.0,48090590.24,3.67,10.15,3.67,105.07,1.0,30273291.23,533636.0,737246.0,21912520.43,0.0,0.0,1507.0,0.75,0.0,0.0,0.0,0.0,8217.0,0.0,0.0,0.0,0.75,1507.0,0.0,0.0,17459.0,47.9,1.42,0.0,0.0,11.09,11.09,4277985.0,175665498.04,0.0,381.31,11.16,21.48,0.2082,32.66,0.2434,88.75
2006-08-23,1172011.0,47583640.43,3.67,10.6,3.67,104.18,1.0,29746844.74,543959.0,732681.0,22084732.54,0.0,0.0,10365.0,0.0,0.0,1600.0,0.0,0.01,858.0,43.0,0.0,0.0,0.0,10365.0,0.14,0.0,7022.0,48.36,0.6,0.0,0.0,11.19,11.19,4316004.0,175229739.69,0.0,373.57,11.46,21.56,0.2093,32.85,0.2412,87.75
2006-08-24,1185081.0,48552931.09,3.71,10.89,3.71,105.48,1.0,30571096.93,548587.0,746180.0,22475684.62,0.0,0.0,4655.0,1.68,0.0,0.0,0.0,0.0,19453.0,28.0,0.0,0.0,1.68,4655.0,0.0,0.0,5955.0,48.75,0.5,0.0,0.0,11.34,11.34,4289888.0,175757299.68,0.0,371.56,11.6,21.54,0.2045,32.18,0.2449,88.55
2006-08-25,1153104.0,47456235.36,3.61,10.94,3.61,102.98,1.0,29386176.88,550145.0,714033.0,22641332.09,0.0,0.0,1579.0,0.72,0.0,0.0,0.0,0.0,6897.0,22.0,0.0,0.0,0.72,1579.0,0.0,0.0,39044.0,48.94,3.34,0.0,0.0,11.4,11.4,4274337.0,175911229.76,0.0,371.92,11.63,22.08,0.2141,33.18,0.239,88.95
2006-08-28,1146169.0,47621585.1,3.59,10.94,3.59,102.75,1.0,30169351.86,550514.0,726124.0,22873022.48,0.0,0.0,392.0,1.2,0.0,0.0,0.0,0.0,12091.0,23.0,0.0,0.0,1.2,392.0,0.0,0.0,0.0,48.98,0.0,0.0,0.0,11.41,11.41,4272352.0,177509751.46,0.0,373.59,11.59,22.35,0.2162,33.35,0.2377,89.8
2006-08-29,1149862.0,47801624.44,3.6,11.0,3.6,103.56,1.0,30246595.08,552819.0,727578.0,22981580.59,0.0,0.0,254.0,0.24,0.0,0.0,0.0,0.0,1454.0,48.0,0.0,0.0,0.24,254.0,0.0,2100.0,0.0,49.5,0.0,0.0,0.0,11.45,11.45,4274646.0,177703952.92,0.0,374.54,11.67,22.13,0.2156,33.41,0.2382,89.85
2006-08-30,1071509.0,45511102.52,3.35,10.23,3.35,97.18,1.0,28845174.45,500498.0,679128.0,21258072.3,0.0,0.0,331.0,0.0,0.0,10000.0,0.0,4.74,0.0,52652.0,0.0,0.0,0.0,331.0,0.89,0.0,58450.0,44.87,5.13,0.0,0.0,10.32,10.32,4349063.0,184721408.83,0.0,395.26,10.2,23.68,0.2049,29.69,0.221,91.8
2006-08-31,1076184.0,45435808.06,3.37,10.34,3.37,98.26,1.0,28869730.32,443260.0,683803.0,18714156.95,0.0,0.0,0.0,0.7,0.0,0.0,0.0,5.04,4675.0,57239.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,40.05,0.0,0.0,0.0,9.19,9.19,4379717.0,184908882.65,0.0,399.82,9.11,23.38,0.2043,29.82,0.2231,91.25
2006-09-01,1074821.0,45477722.27,3.36,11.76,3.36,98.4,1.0,28875335.32,443237.0,682440.0,18754201.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,502.0,23.0,0.0,0.0,0.01,0.0,0.0,0.0,1864.0,40.37,0.12,0.0,0.0,9.2,9.2,4374895.0,185110134.4,0.0,399.17,9.18,23.3,0.2042,29.81,0.2231,91.45
2006-09-04,1067537.0,44922559.42,3.34,11.85,3.34,97.62,1.0,28410945.5,443231.0,675156.0,18651410.62,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,716.0,6.0,0.0,0.0,0.04,0.0,0.0,0.0,8000.0,40.35,0.64,0.0,0.0,9.2,9.2,4375065.0,184105204.25,0.0,398.02,9.2,23.35,0.2065,30.08,0.2216,90.95
2006-09-05,1073173.0,44886632.03,3.36,12.01,3.36,98.13,1.0,28361394.26,445932.0,678079.0,18651592.61,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,2923.0,12.0,0.0,0.0,0.27,0.0,0.0,2713.0,0.0,40.65,0.0,0.0,0.0,9.36,9.36,4320240.0,180698753.3,0.0,391.61,9.4,23.11,0.2046,29.96,0.2252,90.4
2006-09-06,1080778.0,44704667.25,3.38,12.86,3.38,97.87,1.0,28338198.64,446386.0,685103.0,18464048.67,0.0,0.0,1433.0,0.77,0.0,0.0,0.0,0.1,9732.0,979.0,0.0,0.0,0.77,1433.0,0.0,0.0,2708.0,40.31,0.44,0.0,0.0,9.36,9.36,4323356.0,178828761.69,0.0,389.08,9.39,22.91,0.2022,29.71,0.2266,89.4
2006-09-07,1094981.0,44658872.29,3.43,14.74,3.43,98.39,1.0,28655587.33,446484.0,702600.0,18209879.38,0.0,0.0,97.0,1.81,0.0,3515.0,0.0,0.0,20000.0,0.0,0.0,0.0,1.81,97.0,0.34,0.0,6018.0,40.07,0.75,0.0,0.0,9.43,9.43,4285983.0,174804099.27,0.0,381.42,9.51,22.49,0.1975,29.27,0.2314,88.15
2006-09-08,1094847.0,44932015.98,3.43,14.22,3.43,97.9,1.0,28750864.53,445710.0,700565.0,18291732.86,0.0,0.0,763.0,0.0,0.0,0.0,0.0,0.31,0.0,3438.0,0.0,0.0,0.0,763.0,0.0,1901.0,2035.0,39.61,0.28,0.0,0.0,9.43,9.43,4283020.0,175773165.64,0.0,380.09,9.44,22.81,0.1968,29.01,0.2315,88.7
2006-09-11,1190278.0,48518030.94,3.73,15.29,3.73,105.8,1.0,28756564.77,562999.0,705476.0,22948926.98,0.0,0.0,60040.0,0.6,0.0,0.0,0.0,0.0,8426.0,0.0,0.0,0.0,0.6,60040.0,0.0,57250.0,3515.0,49.8,0.33,0.0,0.0,11.94,11.94,4153539.0,169306274.44,0.0,367.71,11.93,21.27,0.1766,27.4,0.2524,88.1
2006-09-12,1177740.0,48633609.39,3.69,15.39,3.69,105.14,1.0,28769785.74,560886.0,696706.0,23161233.07,0.0,0.0,17.0,0.0,0.0,1901.0,0.0,0.17,0.0,2131.0,0.0,0.0,0.0,17.0,0.17,0.0,10671.0,49.74,0.88,0.0,0.0,11.91,11.91,4149971.0,171368951.2,0.0,369.7,11.86,21.7,0.1787,27.42,0.25,89.25
2006-09-13,1326006.0,55430972.52,4.15,17.05,4.15,119.17,1.0,35340680.14,539293.0,845411.0,22544042.38,0.0,0.0,979.0,9.78,0.0,60000.0,0.0,1.98,110100.0,22572.0,0.0,0.0,9.78,979.0,5.36,0.0,21395.0,48.29,1.81,0.0,0.0,11.44,11.44,4174792.0,174518652.74,0.0,375.02,11.41,19.3,0.1575,24.32,0.2813,90.35
2006-09-14,1271059.0,53134025.41,3.98,16.79,3.98,114.8,1.0,33111830.05,536389.0,792093.0,22422646.59,0.0,0.0,349.0,0.24,0.0,0.0,0.0,0.28,1589.0,3253.0,0.0,0.0,0.24,349.0,0.0,0.0,54907.0,48.35,4.94,0.0,0.0,11.4,11.4,4168738.0,174265577.63,0.0,376.05,11.39,15.89,0.157,25.55,0.2701,90.35
2006-09-15,1126262.0,47497959.89,3.52,14.88,3.52,102.73,1.0,27306154.41,535953.0,647478.0,22602799.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,144615.0,48.72,12.66,0.0,0.0,11.4,11.4,4167203.0,175743868.62,0.0,378.18,11.41,17.97,0.1773,28.7,0.2395,91.15
2006-09-18,1118448.0,47375411.8,3.5,14.89,3.5,102.01,1.0,27089363.55,536179.0,639531.0,22711561.85,0.0,0.0,260.0,0.18,0.0,0.0,0.0,0.0,1953.0,35.0,0.0,0.0,0.18,260.0,0.0,0.0,9900.0,48.69,0.9,0.0,0.0,11.39,11.39,4172257.0,176729176.08,0.0,379.48,11.37,18.08,0.1796,29.06,0.2375,91.55
